,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:46:27.384000,BOT,77,,1.0,1.0,,,,41.801,41.906,,0 days 00:45:45.561000,0 days 00:46:27.542000,309.0,240.0,278.0,288.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:44:34.562000,2021-09-11 14:33:25.663,124,1.0,False,,False,False,,
1,0 days 00:49:02.201000,BOT,77,,2.0,1.0,,,50.781,54.555,49.525,0 days 00:47:18.263000,0 days 00:48:12.759000,0 days 00:49:02.417000,109.0,161.0,212.0,178.0,False,MEDIUM,2.0,True,Mercedes,0 days 00:46:27.384000,2021-09-11 14:35:18.485,4,1.0,False,,False,False,,154.861
2,0 days 00:51:32.920000,BOT,77,,3.0,1.0,,,48.18,49.359,53.212,0 days 00:49:50.494000,0 days 00:50:39.791000,0 days 00:51:33.217000,150.0,166.0,312.0,178.0,False,MEDIUM,3.0,True,Mercedes,0 days 00:49:02.201000,2021-09-11 14:37:53.302,41,1.0,False,,False,False,,150.751
3,0 days 00:52:56.562000,BOT,77,0 days 00:01:23.642000,4.0,1.0,,,27.672,28.45,27.52,0 days 00:52:00.675000,0 days 00:52:29.125000,0 days 00:52:56.645000,308.0,307.0,313.0,325.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:51:32.920000,2021-09-11 14:40:24.021,1,1.0,False,,False,True,83.642,83.642
4,0 days 00:54:20.358000,BOT,77,0 days 00:01:23.796000,5.0,1.0,,,27.842,28.345,27.609,0 days 00:53:24.487000,0 days 00:53:52.832000,0 days 00:54:20.441000,306.0,306.0,313.0,313.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:52:56.562000,2021-09-11 14:41:47.663,1,1.0,False,,False,True,83.796,83.79599999999999
5,0 days 00:55:44.167000,BOT,77,0 days 00:01:23.809000,6.0,1.0,,,27.975,28.146,27.688,0 days 00:54:48.416000,0 days 00:55:16.562000,0 days 00:55:44.250000,306.0,306.0,314.0,310.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:54:20.358000,2021-09-11 14:43:11.459,1,1.0,False,,False,True,83.809,83.809
6,0 days 00:57:07.759000,BOT,77,0 days 00:01:23.592000,7.0,1.0,,,27.852,28.102,27.638,0 days 00:56:12.102000,0 days 00:56:40.204000,0 days 00:57:07.842000,306.0,307.0,312.0,311.0,True,MEDIUM,7.0,True,Mercedes,0 days 00:55:44.167000,2021-09-11 14:44:35.268,1,1.0,False,,False,True,83.592,83.592
7,0 days 00:58:31.467000,BOT,77,0 days 00:01:23.708000,8.0,1.0,,,27.869,28.171,27.668,0 days 00:57:35.711000,0 days 00:58:03.882000,0 days 00:58:31.550000,307.0,308.0,311.0,313.0,False,MEDIUM,8.0,True,Mercedes,0 days 00:57:07.759000,2021-09-11 14:45:58.860,1,1.0,False,,False,True,83.708,83.708
8,0 days 00:59:55.007000,BOT,77,0 days 00:01:23.540000,9.0,1.0,,,27.772,28.089,27.679,0 days 00:58:59.322000,0 days 00:59:27.411000,0 days 00:59:55.090000,308.0,309.0,312.0,313.0,True,MEDIUM,9.0,True,Mercedes,0 days 00:58:31.467000,2021-09-11 14:47:22.568,1,1.0,False,,False,True,83.54,83.53999999999999
9,0 days 01:01:18.656000,BOT,77,0 days 00:01:23.649000,10.0,1.0,,,27.912,28.147,27.59,0 days 01:00:23.002000,0 days 01:00:51.149000,0 days 01:01:18.739000,307.0,309.0,311.0,314.0,False,MEDIUM,10.0,True,Mercedes,0 days 00:59:55.007000,2021-09-11 14:48:46.108,1,1.0,False,,False,True,83.649,83.649
10,0 days 01:02:42.278000,BOT,77,0 days 00:01:23.622000,11.0,1.0,,,27.859,28.212,27.551,0 days 01:01:46.598000,0 days 01:02:14.810000,0 days 01:02:42.361000,307.0,309.0,312.0,312.0,False,MEDIUM,11.0,True,Mercedes,0 days 01:01:18.656000,2021-09-11 14:50:09.757,1,1.0,False,,False,True,83.622,83.622
11,0 days 01:04:06.100000,BOT,77,0 days 00:01:23.822000,12.0,1.0,,,27.981,28.161,27.68,0 days 01:03:10.342000,0 days 01:03:38.503000,0 days 01:04:06.183000,307.0,309.0,312.0,313.0,False,MEDIUM,12.0,True,Mercedes,0 days 01:02:42.278000,2021-09-11 14:51:33.379,1,1.0,False,,False,True,83.822,83.822
12,0 days 01:05:29.696000,BOT,77,0 days 00:01:23.596000,13.0,1.0,,,27.886,28.139,27.571,0 days 01:04:34.069000,0 days 01:05:02.208000,0 days 01:05:29.779000,308.0,310.0,313.0,315.0,False,MEDIUM,13.0,True,Mercedes,0 days 01:04:06.100000,2021-09-11 14:52:57.201,1,1.0,False,,False,True,83.596,83.596
13,0 days 01:06:53.417000,BOT,77,0 days 00:01:23.721000,14.0,1.0,,,27.931,28.151,27.639,0 days 01:05:57.710000,0 days 01:06:25.861000,0 days 01:06:53.500000,308.0,310.0,313.0,316.0,False,MEDIUM,14.0,True,Mercedes,0 days 01:05:29.696000,2021-09-11 14:54:20.797,1,1.0,False,,False,True,83.721,83.721
14,0 days 01:08:17.119000,BOT,77,0 days 00:01:23.702000,15.0,1.0,,,27.901,28.112,27.689,0 days 01:07:21.401000,0 days 01:07:49.513000,0 days 01:08:17.202000,308.0,310.0,312.0,316.0,False,MEDIUM,15.0,True,Mercedes,0 days 01:06:53.417000,2021-09-11 14:55:44.518,1,1.0,False,,False,True,83.702,83.702
15,0 days 01:09:40.958000,BOT,77,0 days 00:01:23.839000,16.0,1.0,,,27.907,28.172,27.76,0 days 01:08:45.109000,0 days 01:09:13.281000,0 days 01:09:41.041000,308.0,311.0,311.0,315.0,False,MEDIUM,16.0,True,Mercedes,0 days 01:08:17.119000,2021-09-11 14:57:08.220,1,1.0,False,,False,True,83.839,83.839
16,0 days 01:11:05.008000,BOT,77,0 days 00:01:24.050000,17.0,1.0,,,28.072,28.239,27.739,0 days 01:10:09.113000,0 days 01:10:37.352000,0 days 01:11:05.091000,307.0,310.0,311.0,316.0,False,MEDIUM,17.0,True,Mercedes,0 days 01:09:40.958000,2021-09-11 14:58:32.059,1,1.0,False,,False,True,84.05,84.05
17,0 days 01:12:28.761000,BOT,77,0 days 00:01:23.753000,18.0,1.0,,,27.829,28.152,27.772,0 days 01:11:32.920000,0 days 01:12:01.072000,0 days 01:12:28.844000,311.0,311.0,312.0,330.0,False,MEDIUM,18.0,True,Mercedes,0 days 01:11:05.008000,2021-09-11 14:59:56.109,1,1.0,False,,False,True,83.753,83.753
18,0 days 00:46:28.494000,VER,33,,1.0,1.0,,,,41.982,42.055,,0 days 00:45:46.515000,0 days 00:46:28.624000,321.0,256.0,262.0,289.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:44:34.562000,2021-09-11 14:33:25.663,124,2.0,False,,False,False,,
19,0 days 00:49:03.027000,VER,33,,2.0,1.0,,,50.963,53.962,49.657,0 days 00:47:19.527000,0 days 00:48:13.446000,0 days 00:49:03.227000,95.0,192.0,203.0,212.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 00:46:28.494000,2021-09-11 14:35:19.595,4,2.0,False,,False,False,,154.582
