,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:14.748000,BOT,77,,1.0,1.0,0 days 00:18:47.514000,,,33.384,29.446,,0 days 00:19:45.324000,0 days 00:20:15.037000,261.0,178.0,294.0,,False,SOFT,1.0,True,Mercedes,0 days 00:18:47.514000,2021-05-01 14:03:48.377,1,,False,,False,False,,
1,0 days 00:21:34.236000,BOT,77,0 days 00:01:19.488000,2.0,1.0,,,22.795,30.439,26.254,0 days 00:20:37.543000,0 days 00:21:07.982000,0 days 00:21:34.236000,288.0,174.0,296.0,310.0,True,SOFT,2.0,True,Mercedes,0 days 00:20:14.748000,2021-05-01 14:05:15.611,1,,False,,False,True,79.488,79.488
2,0 days 00:23:13.778000,BOT,77,0 days 00:01:39.542000,3.0,1.0,,,30.627,41.947,26.968,0 days 00:22:04.863000,0 days 00:22:46.810000,0 days 00:23:13.778000,188.0,181.0,294.0,287.0,False,SOFT,3.0,True,Mercedes,0 days 00:21:34.236000,2021-05-01 14:06:35.099,1,,False,,False,True,99.542,99.542
3,0 days 00:24:32.983000,BOT,77,0 days 00:01:19.205000,4.0,1.0,,,22.87,30.288,26.047,0 days 00:23:36.648000,0 days 00:24:06.936000,0 days 00:24:32.983000,288.0,185.0,295.0,311.0,True,SOFT,4.0,True,Mercedes,0 days 00:23:13.778000,2021-05-01 14:08:14.641,1,,False,,False,True,79.205,79.205
4,0 days 00:26:12.503000,BOT,77,0 days 00:01:39.520000,5.0,1.0,,0 days 00:26:09,26.258,35.71,37.552,0 days 00:24:59.241000,0 days 00:25:34.951000,0 days 00:26:12.503000,255.0,170.0,,288.0,False,SOFT,5.0,True,Mercedes,0 days 00:24:32.983000,2021-05-01 14:09:33.846,12,,False,,False,False,99.52,99.52000000000001
5,0 days 00:31:46.667000,BOT,77,,6.0,2.0,0 days 00:30:11.721000,,,37.048,29.9,,0 days 00:31:16.867000,0 days 00:31:46.939000,78.0,165.0,294.0,288.0,False,SOFT,6.0,False,Mercedes,0 days 00:26:12.503000,2021-05-01 14:11:13.366,12,,False,,False,False,,
6,0 days 00:33:05.389000,BOT,77,0 days 00:01:18.722000,7.0,2.0,,,22.719,29.985,26.018,0 days 00:32:09.386000,0 days 00:32:39.371000,0 days 00:33:05.389000,286.0,194.0,299.0,308.0,True,SOFT,7.0,False,Mercedes,0 days 00:31:46.667000,2021-05-01 14:16:47.530,1,,False,,False,True,78.722,78.72200000000001
7,0 days 00:34:47.275000,BOT,77,0 days 00:01:41.886000,8.0,2.0,,0 days 00:34:44.291000,27.118,38.152,36.616,0 days 00:33:32.507000,0 days 00:34:10.659000,0 days 00:34:47.275000,259.0,157.0,,248.0,False,SOFT,8.0,False,Mercedes,0 days 00:33:05.389000,2021-05-01 14:18:06.252,1,,False,,False,False,101.886,101.886
8,0 days 00:41:47.307000,BOT,77,,9.0,3.0,0 days 00:40:18.111000,,,35.205,27.294,,0 days 00:41:20.044000,0 days 00:41:47.365000,270.0,172.0,288.0,248.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:34:47.275000,2021-05-01 14:19:48.138,1,,False,,False,False,,
9,0 days 00:43:11.076000,BOT,77,0 days 00:01:23.769000,10.0,3.0,,,24.345,32.608,26.816,0 days 00:42:11.652000,0 days 00:42:44.260000,0 days 00:43:11.076000,277.0,180.0,295.0,310.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:41:47.307000,2021-05-01 14:26:48.170,1,,False,,False,True,83.769,83.76899999999999
10,0 days 00:44:29.534000,BOT,77,0 days 00:01:18.458000,11.0,3.0,,,22.677,30.075,25.706,0 days 00:43:33.753000,0 days 00:44:03.828000,0 days 00:44:29.534000,286.0,198.0,296.0,310.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:43:11.076000,2021-05-01 14:28:11.939,1,,False,,False,True,78.458,78.458
11,0 days 00:46:11.049000,BOT,77,0 days 00:01:41.515000,12.0,3.0,,0 days 00:46:07.973000,26.636,41.121,33.758,0 days 00:44:56.170000,0 days 00:45:37.291000,0 days 00:46:11.049000,254.0,178.0,,291.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:44:29.534000,2021-05-01 14:29:30.397,1,,False,,False,False,101.515,101.51500000000001
12,0 days 00:51:53.023000,BOT,77,,13.0,4.0,0 days 00:50:29.095000,,,32.179,28.308,,0 days 00:51:24.715000,0 days 00:51:53.056000,264.0,184.0,293.0,291.0,False,SOFT,1.0,True,Mercedes,0 days 00:46:11.049000,2021-05-01 14:31:11.912,1,,False,,False,False,,
13,0 days 00:53:12.767000,BOT,77,0 days 00:01:19.744000,14.0,4.0,,,22.651,29.758,27.335,0 days 00:52:15.674000,0 days 00:52:45.432000,0 days 00:53:12.767000,286.0,189.0,243.0,311.0,False,SOFT,2.0,True,Mercedes,0 days 00:51:53.023000,2021-05-01 14:36:53.886,1,,False,,False,True,79.744,79.744
14,0 days 00:54:47.951000,BOT,77,0 days 00:01:35.184000,15.0,4.0,,0 days 00:54:44.827000,28.91,34.578,31.696,0 days 00:53:41.677000,0 days 00:54:16.255000,0 days 00:54:47.951000,89.0,177.0,,274.0,False,SOFT,3.0,True,Mercedes,0 days 00:53:12.767000,2021-05-01 14:38:13.630,1,,False,,False,False,95.184,95.184
15,0 days 01:04:44.722000,BOT,77,,16.0,5.0,0 days 01:03:10.907000,,,35.598,29.399,,0 days 01:04:15.323000,0 days 01:04:45.038000,269.0,159.0,291.0,274.0,False,SOFT,1.0,True,Mercedes,0 days 00:54:47.951000,2021-05-01 14:39:48.814,1,,False,,False,False,,
16,0 days 01:06:16.793000,BOT,77,0 days 00:01:32.071000,17.0,5.0,,,25.09,34.878,32.103,0 days 01:05:09.812000,0 days 01:05:44.690000,0 days 01:06:16.793000,280.0,179.0,294.0,305.0,True,SOFT,2.0,True,Mercedes,0 days 01:04:44.722000,2021-05-01 14:49:45.585,1,,False,,False,True,92.071,92.071
17,0 days 01:07:35.141000,BOT,77,0 days 00:01:18.348000,18.0,5.0,,,22.519,29.819,26.01,0 days 01:06:39.312000,0 days 01:07:09.131000,0 days 01:07:35.141000,287.0,194.0,296.0,309.0,True,SOFT,3.0,True,Mercedes,0 days 01:06:16.793000,2021-05-01 14:51:17.656,1,,False,,False,True,78.348,78.348
18,0 days 01:09:05.162000,BOT,77,0 days 00:01:30.021000,19.0,5.0,,0 days 01:09:01.980000,25.643,33.83,30.548,0 days 01:08:00.784000,0 days 01:08:34.614000,0 days 01:09:05.162000,261.0,174.0,,288.0,False,SOFT,4.0,True,Mercedes,0 days 01:07:35.141000,2021-05-01 14:52:36.004,1,,False,,False,False,90.021,90.021
