,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:27.594000,27.1,49.1,1010.1,False,31.9,304,0.6
1,0 days 00:01:27.593000,27.1,49.0,1010.1,False,31.9,312,0.6
2,0 days 00:02:27.609000,27.1,49.1,1010.1,False,31.7,301,0.8
3,0 days 00:03:27.596000,27.1,49.2,1010.1,False,31.6,336,0.7
4,0 days 00:04:27.593000,27.0,49.2,1010.1,False,31.7,318,0.5
5,0 days 00:05:27.609000,27.0,49.1,1010.1,False,31.7,297,0.5
6,0 days 00:06:27.626000,27.0,49.1,1010.1,False,31.7,312,0.6
7,0 days 00:07:27.626000,27.0,49.0,1010.0,False,31.6,308,0.5
8,0 days 00:08:27.629000,27.0,49.0,1010.1,False,31.6,305,0.7
9,0 days 00:09:27.631000,27.0,48.9,1010.0,False,31.5,305,0.8
10,0 days 00:10:27.625000,27.0,48.9,1010.2,False,31.5,305,0.7
11,0 days 00:11:27.626000,26.9,48.9,1010.1,False,31.3,315,0.6
12,0 days 00:12:27.628000,26.9,48.9,1010.2,False,31.3,297,0.6
13,0 days 00:13:27.628000,26.9,49.0,1010.2,False,31.3,305,0.6
14,0 days 00:14:27.624000,26.9,49.1,1010.1,False,31.3,300,0.6
15,0 days 00:15:27.623000,26.9,49.1,1010.2,False,31.2,292,0.6
16,0 days 00:16:27.623000,26.9,49.3,1010.1,False,31.1,302,0.5
17,0 days 00:17:27.633000,26.8,49.3,1010.1,False,31.0,304,0.5
18,0 days 00:18:27.623000,26.8,49.3,1010.1,False,31.0,307,0.6
19,0 days 00:19:27.626000,26.8,49.2,1010.2,False,31.0,0,0.4
20,0 days 00:20:27.631000,26.7,49.3,1010.1,False,31.0,273,0.1
21,0 days 00:21:27.627000,26.8,49.0,1010.1,False,31.1,0,0.1
22,0 days 00:22:27.624000,26.8,49.0,1010.2,False,31.2,311,0.1
23,0 days 00:23:27.626000,26.8,49.1,1010.2,False,31.2,331,0.2
24,0 days 00:24:27.624000,26.8,49.0,1010.2,False,31.1,346,0.1
25,0 days 00:25:27.628000,26.7,49.2,1010.1,False,31.0,334,0.3
26,0 days 00:26:27.630000,26.7,49.2,1010.1,False,31.0,309,0.3
27,0 days 00:27:27.628000,26.8,49.2,1010.0,False,31.0,202,0.2
28,0 days 00:28:27.623000,26.8,49.1,1010.2,False,31.0,329,0.2
29,0 days 00:29:27.625000,26.7,49.2,1010.1,False,31.0,285,0.2
30,0 days 00:30:27.626000,26.7,49.3,1010.2,False,30.8,351,0.1
31,0 days 00:31:27.626000,26.6,49.2,1010.1,False,30.9,13,0.2
32,0 days 00:32:27.624000,26.6,49.2,1010.1,False,30.9,0,0.0
33,0 days 00:33:27.626000,26.6,49.2,1010.1,False,30.9,293,0.2
34,0 days 00:34:27.628000,26.6,49.3,1010.2,False,30.8,324,0.4
35,0 days 00:35:27.624000,26.6,49.5,1010.2,False,30.5,304,0.4
36,0 days 00:36:27.626000,26.5,49.8,1010.1,False,30.5,329,0.5
37,0 days 00:37:27.626000,26.5,49.9,1010.2,False,30.4,311,0.5
38,0 days 00:38:27.634000,26.4,49.9,1010.1,False,30.3,314,0.5
39,0 days 00:39:27.637000,26.4,50.0,1010.1,False,30.4,335,0.5
40,0 days 00:40:27.629000,26.4,50.1,1010.1,False,30.3,310,0.4
41,0 days 00:41:27.635000,26.4,50.1,1010.1,False,30.3,303,0.4
42,0 days 00:42:27.622000,26.4,50.2,1010.1,False,30.3,301,0.3
43,0 days 00:43:27.626000,26.4,50.3,1010.1,False,30.3,270,0.3
44,0 days 00:44:27.625000,26.3,50.2,1010.1,False,30.3,0,0.3
45,0 days 00:45:27.625000,26.3,50.1,1010.2,False,30.3,293,0.2
46,0 days 00:46:27.626000,26.2,50.3,1010.1,False,30.3,318,0.3
47,0 days 00:47:27.643000,26.2,50.4,1010.2,False,30.2,273,0.3
48,0 days 00:48:27.643000,26.1,50.4,1010.2,False,30.2,349,0.2
49,0 days 00:49:27.657000,26.1,50.5,1010.1,False,30.1,0,0.3
50,0 days 00:50:27.683000,26.1,50.6,1010.2,False,30.1,270,0.0
51,0 days 00:51:28.031000,26.1,50.6,1010.2,False,30.1,353,0.2
52,0 days 00:52:27.707000,26.0,50.7,1010.1,False,30.1,0,0.2
53,0 days 00:53:27.721000,26.0,50.9,1010.2,False,30.0,311,0.2
54,0 days 00:54:27.739000,26.0,51.2,1010.2,False,29.9,55,0.2
55,0 days 00:55:27.752000,26.0,51.6,1010.2,False,29.8,312,0.2
56,0 days 00:56:27.754000,25.9,52.0,1010.3,False,29.8,6,0.1
57,0 days 00:57:27.747000,25.9,52.4,1010.2,False,29.8,357,0.1
58,0 days 00:58:27.747000,25.8,52.8,1010.2,False,29.7,301,0.3
59,0 days 00:59:27.751000,25.8,53.3,1010.2,False,29.7,303,0.4
60,0 days 01:00:27.751000,25.8,53.5,1010.2,False,29.6,349,0.3
61,0 days 01:01:27.755000,25.8,54.0,1010.2,False,29.5,335,0.3
62,0 days 01:02:27.753000,25.8,54.1,1010.2,False,29.4,304,0.5
63,0 days 01:03:27.752000,25.7,54.3,1010.3,False,29.4,331,0.3
64,0 days 01:04:27.767000,25.7,54.5,1010.3,False,29.4,310,0.3
65,0 days 01:05:27.789000,25.7,54.4,1010.3,False,29.5,310,0.2
66,0 days 01:06:27.759000,25.7,54.6,1010.3,False,29.5,322,0.3
67,0 days 01:07:27.784000,25.7,54.6,1010.3,False,29.5,291,0.3
68,0 days 01:08:27.787000,25.7,54.8,1010.2,False,29.5,317,0.2
69,0 days 01:09:27.800000,25.6,54.9,1010.3,False,29.4,286,0.1
70,0 days 01:10:27.798000,25.6,55.1,1010.2,False,29.4,289,0.2
71,0 days 01:11:27.798000,25.6,55.2,1010.3,False,29.4,61,0.3
72,0 days 01:12:27.796000,25.5,55.3,1010.4,False,29.3,21,0.3
73,0 days 01:13:27.797000,25.5,55.2,1010.3,False,29.3,206,0.1
74,0 days 01:14:27.801000,25.6,55.1,1010.4,False,29.4,327,0.1
75,0 days 01:15:27.800000,25.6,55.2,1010.4,False,29.4,280,0.1
76,0 days 01:16:27.799000,25.6,55.2,1010.4,False,29.3,297,0.3
77,0 days 01:17:27.809000,25.5,55.4,1010.3,False,29.3,299,0.3
78,0 days 01:18:27.798000,25.5,55.5,1010.4,False,29.3,278,0.3
