,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:48.759000,NOR,4,,1.0,1.0,0 days 00:16:05.242000,,,47.458,67.388,,0 days 00:17:41.409000,0 days 00:18:48.907000,166.0,271.0,118.0,178.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:16:05.242000,2021-09-25 12:01:05.324,1,,False,,False,False,,
1,0 days 00:20:38.631000,NOR,4,0 days 00:01:49.872000,2.0,1.0,,,39.043,37.466,33.363,0 days 00:19:27.802000,0 days 00:20:05.268000,0 days 00:20:38.631000,243.0,290.0,134.0,286.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:18:48.759000,2021-09-25 12:03:48.841,1,,False,,False,True,109.872,109.872
2,0 days 00:23:09.056000,NOR,4,,3.0,1.0,,,45.969,51.501,52.971,0 days 00:21:24.609000,0 days 00:22:16.085000,0 days 00:23:09.301000,194.0,253.0,123.0,216.0,False,INTERMEDIATE,3.0,True,McLaren,0 days 00:20:38.631000,2021-09-25 12:05:38.713,12,,False,,False,False,,150.441
3,0 days 00:24:57.967000,NOR,4,0 days 00:01:48.911000,4.0,1.0,,,38.592,37.553,32.766,0 days 00:23:47.648000,0 days 00:24:25.201000,0 days 00:24:57.967000,252.0,291.0,129.0,286.0,True,INTERMEDIATE,4.0,True,McLaren,0 days 00:23:09.056000,2021-09-25 12:08:09.138,1,,False,,False,True,108.911,108.911
4,0 days 00:27:06.100000,NOR,4,0 days 00:02:08.133000,5.0,1.0,,0 days 00:26:57.159000,43.76,43.053,41.32,0 days 00:25:41.727000,0 days 00:26:24.780000,0 days 00:27:06.100000,211.0,231.0,,220.0,False,INTERMEDIATE,5.0,True,McLaren,0 days 00:24:57.967000,2021-09-25 12:09:58.049,12,,False,,False,False,128.133,128.13299999999998
5,0 days 00:29:42.694000,NOR,4,,6.0,2.0,0 days 00:27:30.468000,,71.021,43.833,41.807,0 days 00:28:17.148000,0 days 00:29:00.926000,0 days 00:29:42.993000,187.0,192.0,136.0,220.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:27:06.100000,2021-09-25 12:12:06.182,1,,False,,False,False,,156.661
6,0 days 00:31:42.742000,NOR,4,0 days 00:02:00.048000,7.0,2.0,,,41.804,40.514,37.73,0 days 00:30:24.498000,0 days 00:31:05.012000,0 days 00:31:42.742000,243.0,271.0,135.0,290.0,False,INTERMEDIATE,2.0,True,McLaren,0 days 00:29:42.694000,2021-09-25 12:14:42.776,12,,True,TRACK LIMITS AT TURN 2,False,True,120.048,120.048
7,0 days 00:33:29.980000,NOR,4,0 days 00:01:47.238000,8.0,2.0,,,38.07,36.816,32.352,0 days 00:32:20.812000,0 days 00:32:57.628000,0 days 00:33:29.980000,253.0,288.0,140.0,285.0,True,INTERMEDIATE,3.0,True,McLaren,0 days 00:31:42.742000,2021-09-25 12:16:42.824,1,,False,,False,True,107.238,107.238
8,0 days 00:35:34.731000,NOR,4,0 days 00:02:04.751000,9.0,2.0,,0 days 00:35:26.174000,44.641,40.647,39.463,0 days 00:34:14.621000,0 days 00:34:55.268000,0 days 00:35:34.731000,203.0,245.0,,211.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 00:33:29.980000,2021-09-25 12:18:30.062,1,,False,,False,False,124.751,124.751
9,0 days 00:43:37.602000,NOR,4,,10.0,3.0,0 days 00:41:17.534000,,,46.098,46.122,,0 days 00:42:51.506000,0 days 00:43:37.665000,188.0,165.0,137.0,212.0,False,INTERMEDIATE,1.0,True,McLaren,0 days 00:35:34.731000,2021-09-25 12:20:34.813,1,,False,,False,False,,
10,0 days 00:45:23.856000,NOR,4,0 days 00:01:46.254000,11.0,3.0,,,37.838,36.486,31.93,0 days 00:44:15.440000,0 days 00:44:51.926000,0 days 00:45:23.856000,256.0,291.0,141.0,281.0,True,INTERMEDIATE,2.0,True,McLaren,0 days 00:43:37.602000,2021-09-25 12:28:37.684,1,,False,,False,True,106.254,106.25399999999999
11,0 days 00:47:43.990000,NOR,4,0 days 00:02:20.134000,12.0,3.0,,,48.228,50.261,41.645,0 days 00:46:12.084000,0 days 00:47:02.345000,0 days 00:47:43.990000,174.0,236.0,135.0,208.0,False,INTERMEDIATE,3.0,True,McLaren,0 days 00:45:23.856000,2021-09-25 12:30:23.938,1,,False,,False,True,140.134,140.13400000000001
12,0 days 00:49:41.788000,NOR,4,0 days 00:01:57.798000,13.0,3.0,,,39.541,41.716,36.541,0 days 00:48:23.531000,0 days 00:49:05.247000,0 days 00:49:41.788000,238.0,212.0,144.0,294.0,False,INTERMEDIATE,4.0,True,McLaren,0 days 00:47:43.990000,2021-09-25 12:32:44.072,12,,False,,False,True,117.798,117.798
13,0 days 00:51:27.615000,NOR,4,0 days 00:01:45.827000,14.0,3.0,,,37.527,36.567,31.733,0 days 00:50:19.315000,0 days 00:50:55.882000,0 days 00:51:27.615000,255.0,291.0,139.0,286.0,True,INTERMEDIATE,5.0,True,McLaren,0 days 00:49:41.788000,2021-09-25 12:34:41.870,1,,False,,False,True,105.827,105.827
