,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:52.602000,HAM,44,,1.0,1.0,0 days 00:16:47.716000,,,42.886,43.613,,0 days 00:18:09.006000,0 days 00:18:52.844000,269.0,144.0,307.0,187.0,False,SOFT,1.0,True,Mercedes,0 days 00:16:47.716000,2021-12-04 17:01:47.728,1,,False,,False,False,,
1,0 days 00:20:55.013000,HAM,44,0 days 00:02:02.411000,2.0,1.0,,,44.539,35.03,42.842,0 days 00:19:37.141000,0 days 00:20:12.171000,0 days 00:20:55.013000,264.0,254.0,304.0,214.0,True,SOFT,2.0,True,Mercedes,0 days 00:18:52.602000,2021-12-04 17:03:52.614,1,,False,,False,True,122.411,122.411
2,0 days 00:22:23.479000,HAM,44,0 days 00:01:28.466000,3.0,1.0,,,32.365,28.171,27.93,0 days 00:21:27.378000,0 days 00:21:55.549000,0 days 00:22:23.479000,296.0,320.0,307.0,321.0,True,SOFT,3.0,True,Mercedes,0 days 00:20:55.013000,2021-12-04 17:05:55.025,1,,False,,False,True,88.466,88.46600000000001
3,0 days 00:24:55.614000,HAM,44,,4.0,1.0,,,67.267,47.974,36.947,0 days 00:23:30.733000,0 days 00:24:18.771000,0 days 00:24:55.892000,134.0,221.0,304.0,225.0,False,SOFT,4.0,True,Mercedes,0 days 00:22:23.479000,2021-12-04 17:07:23.491,1,,False,,False,False,,152.188
4,0 days 00:26:51.197000,HAM,44,0 days 00:01:55.583000,5.0,1.0,,0 days 00:26:49.002000,32.514,47.767,35.302,0 days 00:25:28.128000,0 days 00:26:15.895000,0 days 00:26:51.197000,273.0,280.0,,287.0,False,SOFT,5.0,True,Mercedes,0 days 00:24:55.614000,2021-12-04 17:09:55.626,1,,False,,False,False,115.583,115.583
5,0 days 00:31:12.621000,HAM,44,,6.0,2.0,0 days 00:29:18.554000,,,35.434,32.412,,0 days 00:30:40.214000,0 days 00:31:12.858000,262.0,275.0,304.0,283.0,False,SOFT,6.0,False,Mercedes,0 days 00:26:51.197000,2021-12-04 17:11:51.209,1,,False,,False,False,,
6,0 days 00:33:38.752000,HAM,44,0 days 00:02:26.131000,7.0,2.0,,0 days 00:33:04.958000,42.001,33.217,70.913,0 days 00:31:54.622000,0 days 00:32:27.839000,0 days 00:33:38.752000,257.0,249.0,,273.0,False,SOFT,7.0,False,Mercedes,0 days 00:31:12.621000,2021-12-04 17:16:12.633,1,,False,,False,False,146.131,146.13099999999997
7,0 days 00:42:28.448000,HAM,44,,8.0,3.0,0 days 00:40:38.935000,,,32.357,34.31,,0 days 00:41:54.147000,0 days 00:42:28.507000,273.0,278.0,293.0,202.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:33:38.752000,2021-12-04 17:18:38.764,1,,False,,False,False,,
8,0 days 00:44:06.178000,HAM,44,0 days 00:01:37.730000,9.0,3.0,,,35.675,30.585,31.47,0 days 00:43:04.123000,0 days 00:43:34.708000,0 days 00:44:06.178000,277.0,301.0,306.0,198.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:42:28.448000,2021-12-04 17:27:28.460,1,,False,,False,True,97.73,97.72999999999999
9,0 days 00:45:34.893000,HAM,44,0 days 00:01:28.715000,10.0,3.0,,,32.519,28.401,27.795,0 days 00:44:38.697000,0 days 00:45:07.098000,0 days 00:45:34.893000,298.0,318.0,307.0,322.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:44:06.178000,2021-12-04 17:29:06.190,1,,False,,False,True,88.715,88.715
10,0 days 00:47:51.806000,HAM,44,0 days 00:02:16.913000,11.0,3.0,,,54.198,46.366,36.349,0 days 00:46:29.091000,0 days 00:47:15.457000,0 days 00:47:51.806000,258.0,178.0,305.0,274.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:45:34.893000,2021-12-04 17:30:34.905,12,,False,,False,True,136.913,136.91299999999998
11,0 days 00:49:19.874000,HAM,44,0 days 00:01:28.068000,12.0,3.0,,,32.312,28.111,27.645,0 days 00:48:24.118000,0 days 00:48:52.229000,0 days 00:49:19.874000,299.0,322.0,307.0,322.0,True,MEDIUM,5.0,True,Mercedes,0 days 00:47:51.806000,2021-12-04 17:32:51.818,1,,False,,False,True,88.068,88.068
12,0 days 00:51:30.231000,HAM,44,0 days 00:02:10.357000,13.0,3.0,,,55.472,44.249,30.636,0 days 00:50:15.346000,0 days 00:50:59.595000,0 days 00:51:30.231000,241.0,187.0,305.0,305.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:49:19.874000,2021-12-04 17:34:19.886,1,,False,,False,True,130.357,130.357
13,0 days 00:53:16.500000,HAM,44,0 days 00:01:46.269000,14.0,3.0,,,36.785,33.681,35.803,0 days 00:52:07.016000,0 days 00:52:40.697000,0 days 00:53:16.500000,274.0,305.0,305.0,257.0,False,MEDIUM,7.0,True,Mercedes,0 days 00:51:30.231000,2021-12-04 17:36:30.243,1,,False,,False,True,106.269,106.26899999999999
14,0 days 00:54:44.212000,HAM,44,0 days 00:01:27.712000,15.0,3.0,,,32.153,27.953,27.606,0 days 00:53:48.653000,0 days 00:54:16.606000,0 days 00:54:44.212000,298.0,323.0,310.0,326.0,True,MEDIUM,8.0,True,Mercedes,0 days 00:53:16.500000,2021-12-04 17:38:16.512,1,,False,,False,True,87.712,87.71199999999999
15,0 days 00:56:39.073000,HAM,44,0 days 00:01:54.861000,16.0,3.0,,0 days 00:56:38.040000,39.356,37.845,37.66,0 days 00:55:23.568000,0 days 00:56:01.413000,0 days 00:56:39.073000,230.0,223.0,,247.0,False,MEDIUM,9.0,True,Mercedes,0 days 00:54:44.212000,2021-12-04 17:39:44.224,12,,False,,False,False,114.861,114.86099999999999
16,0 days 01:04:59.342000,HAM,44,,17.0,4.0,0 days 01:03:11.353000,,,32.269,37.263,,0 days 01:04:22.081000,0 days 01:04:59.992000,276.0,172.0,304.0,131.0,False,SOFT,1.0,True,Mercedes,0 days 00:56:39.073000,2021-12-04 17:41:39.085,1,,False,,False,False,,
17,0 days 01:06:47.446000,HAM,44,0 days 00:01:48.104000,18.0,4.0,,,34.855,41.637,31.612,0 days 01:05:34.197000,0 days 01:06:15.834000,0 days 01:06:47.446000,193.0,139.0,306.0,295.0,True,SOFT,2.0,True,Mercedes,0 days 01:04:59.342000,2021-12-04 17:49:59.354,1,,False,,False,True,108.104,108.10399999999998
18,0 days 01:08:15.481000,HAM,44,0 days 00:01:28.035000,19.0,4.0,,,32.224,28.017,27.794,0 days 01:07:19.670000,0 days 01:07:47.687000,0 days 01:08:15.481000,296.0,322.0,306.0,325.0,True,SOFT,3.0,True,Mercedes,0 days 01:06:47.446000,2021-12-04 17:51:47.458,1,,False,,False,True,88.035,88.035
19,0 days 01:10:02.800000,HAM,44,0 days 00:01:47.319000,20.0,4.0,,0 days 01:10:01.622000,39.367,32.708,35.244,0 days 01:08:54.848000,0 days 01:09:27.556000,0 days 01:10:02.800000,268.0,294.0,,296.0,False,SOFT,4.0,True,Mercedes,0 days 01:08:15.481000,2021-12-04 17:53:15.493,1,,False,,False,False,107.319,107.31899999999999
20,0 days 01:12:12.172000,HAM,44,0 days 00:02:09.372000,21.0,5.0,0 days 01:10:27.353000,,67.446,31.972,29.954,0 days 01:11:10.246000,0 days 01:11:42.218000,0 days 01:12:12.172000,264.0,297.0,305.0,293.0,False,SOFT,1.0,True,Mercedes,0 days 01:10:02.800000,2021-12-04 17:55:02.812,1,,False,,False,False,129.372,129.372
