,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:05.033000,RIC,3,,1.0,1.0,0 days 00:15:37.846000,,,34.267,33.872,,0 days 00:16:31.179000,0 days 00:17:05.222000,283.0,225.0,276.0,291.0,False,MEDIUM,1.0,True,McLaren,0 days 00:15:37.846000,2021-06-25 09:30:37.857,12,,False,,False,False,,
1,0 days 00:18:14.153000,RIC,3,0 days 00:01:09.120000,2.0,1.0,,,17.164,30.865,21.091,0 days 00:17:22.197000,0 days 00:17:53.062000,0 days 00:18:14.153000,299.0,234.0,279.0,293.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:05.033000,2021-06-25 09:32:05.044,1,,False,,False,True,69.12,69.12
2,0 days 00:19:50.471000,RIC,3,0 days 00:01:36.318000,3.0,1.0,,,17.28,46.061,32.977,0 days 00:18:31.433000,0 days 00:19:17.494000,0 days 00:19:50.471000,303.0,110.0,282.0,245.0,False,MEDIUM,3.0,True,McLaren,0 days 00:18:14.153000,2021-06-25 09:33:14.164,1,,False,,False,True,96.318,96.318
3,0 days 00:21:06.357000,RIC,3,0 days 00:01:15.886000,4.0,1.0,,,17.012,32.344,26.53,0 days 00:20:07.483000,0 days 00:20:39.827000,0 days 00:21:06.357000,313.0,186.0,280.0,308.0,False,MEDIUM,4.0,True,McLaren,0 days 00:19:50.471000,2021-06-25 09:34:50.482,1,,False,,False,True,75.886,75.886
4,0 days 00:22:30.347000,RIC,3,0 days 00:01:23.990000,5.0,1.0,,,16.863,35.336,31.791,0 days 00:21:23.220000,0 days 00:21:58.556000,0 days 00:22:30.347000,320.0,98.0,278.0,309.0,False,MEDIUM,5.0,True,McLaren,0 days 00:21:06.357000,2021-06-25 09:36:06.368,1,,False,,False,True,83.99,83.99
5,0 days 00:23:38.093000,RIC,3,0 days 00:01:07.746000,6.0,1.0,,,16.968,30.124,20.654,0 days 00:22:47.315000,0 days 00:23:17.439000,0 days 00:23:38.093000,311.0,238.0,282.0,304.0,True,MEDIUM,6.0,True,McLaren,0 days 00:22:30.347000,2021-06-25 09:37:30.358,1,,False,,False,True,67.746,67.746
6,0 days 00:25:11.894000,RIC,3,0 days 00:01:33.801000,7.0,1.0,,,26.376,43.575,23.85,0 days 00:24:04.469000,0 days 00:24:48.044000,0 days 00:25:11.894000,128.0,200.0,280.0,203.0,False,MEDIUM,7.0,True,McLaren,0 days 00:23:38.093000,2021-06-25 09:38:38.104,1,,False,,False,True,93.801,93.80100000000002
7,0 days 00:26:19.214000,RIC,3,0 days 00:01:07.320000,8.0,1.0,,,16.963,29.892,20.465,0 days 00:25:28.857000,0 days 00:25:58.749000,0 days 00:26:19.214000,312.0,239.0,282.0,305.0,True,MEDIUM,8.0,True,McLaren,0 days 00:25:11.894000,2021-06-25 09:40:11.905,1,,False,,False,True,67.32,67.32000000000001
8,0 days 00:27:53.270000,RIC,3,0 days 00:01:34.056000,9.0,1.0,,,23.772,43.186,27.098,0 days 00:26:42.986000,0 days 00:27:26.172000,0 days 00:27:53.270000,214.0,185.0,278.0,279.0,False,MEDIUM,9.0,True,McLaren,0 days 00:26:19.214000,2021-06-25 09:41:19.225,1,,False,,False,True,94.056,94.056
9,0 days 00:29:01.037000,RIC,3,0 days 00:01:07.767000,10.0,1.0,,,17.01,30.107,20.65,0 days 00:28:10.280000,0 days 00:28:40.387000,0 days 00:29:01.037000,306.0,239.0,274.0,303.0,False,MEDIUM,10.0,True,McLaren,0 days 00:27:53.270000,2021-06-25 09:42:53.281,1,,False,,False,True,67.767,67.767
10,0 days 00:30:31.437000,RIC,3,0 days 00:01:30.400000,11.0,1.0,,0 days 00:30:28.175000,18.116,44.032,28.252,0 days 00:29:19.153000,0 days 00:30:03.185000,0 days 00:30:31.437000,289.0,212.0,,86.0,False,MEDIUM,11.0,True,McLaren,0 days 00:29:01.037000,2021-06-25 09:44:01.048,1,,False,,False,False,90.4,90.39999999999999
11,0 days 00:38:41.301000,RIC,3,,12.0,2.0,0 days 00:37:23.217000,,,35.497,24.549,,0 days 00:38:16.754000,0 days 00:38:41.461000,293.0,214.0,281.0,291.0,False,SOFT,1.0,True,McLaren,0 days 00:30:31.437000,2021-06-25 09:45:31.448,12,,False,,False,False,,
