,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:08.155000,20.7,40.0,944.0,False,35.0,352,0.8
1,0 days 00:01:08.156000,20.7,40.0,944.0,False,35.1,78,1.3
2,0 days 00:02:08.157000,20.8,40.0,944.0,False,35.1,268,2.7
3,0 days 00:03:08.156000,20.9,38.0,944.0,False,35.1,256,3.5
4,0 days 00:04:08.157000,21.0,38.0,944.0,False,34.7,267,2.0
5,0 days 00:05:08.170000,20.9,39.0,944.2,False,34.3,129,2.0
6,0 days 00:06:08.177000,20.8,37.0,944.2,False,34.3,250,0.8
7,0 days 00:07:08.200000,20.8,36.0,944.2,False,34.4,0,1.1
8,0 days 00:08:08.219000,20.7,35.0,944.0,False,34.4,212,0.6
9,0 days 00:09:08.235000,20.7,34.0,944.0,False,34.4,244,1.2
10,0 days 00:10:08.262000,20.7,35.0,944.2,False,34.1,208,1.1
11,0 days 00:11:08.250000,20.7,36.0,944.2,False,34.1,336,0.6
12,0 days 00:12:08.249000,20.7,36.0,944.2,False,33.8,54,0.8
13,0 days 00:13:08.265000,20.7,36.0,944.2,False,33.6,129,0.8
14,0 days 00:14:08.271000,20.7,35.0,944.2,False,34.3,78,1.6
15,0 days 00:15:08.265000,20.7,36.0,944.2,False,34.7,153,1.7
16,0 days 00:16:08.264000,20.7,35.0,944.2,False,34.7,121,1.2
17,0 days 00:17:08.266000,20.7,34.0,944.0,False,34.6,279,1.2
18,0 days 00:18:08.265000,20.7,34.0,944.2,False,34.1,256,0.8
19,0 days 00:19:08.266000,20.7,33.0,944.0,False,34.1,275,1.8
20,0 days 00:20:08.264000,20.8,33.0,944.0,False,34.0,267,1.8
21,0 days 00:21:08.264000,20.8,32.0,944.0,False,33.6,265,2.7
22,0 days 00:22:08.264000,20.7,33.0,944.0,False,33.5,272,1.6
23,0 days 00:23:08.264000,20.6,33.0,944.0,False,33.3,286,1.5
24,0 days 00:24:08.263000,20.8,33.0,944.0,False,33.6,9,1.2
25,0 days 00:25:08.265000,20.8,33.0,944.2,False,33.6,37,0.6
26,0 days 00:26:08.263000,20.7,33.0,944.0,False,33.4,0,0.5
27,0 days 00:27:08.264000,20.7,33.0,944.0,False,33.0,101,0.8
28,0 days 00:28:08.264000,20.7,34.0,944.0,False,33.1,75,1.0
29,0 days 00:29:08.264000,20.7,33.0,944.0,False,33.1,124,1.0
30,0 days 00:30:08.265000,20.5,33.0,944.0,False,32.9,0,0.8
31,0 days 00:31:08.269000,20.5,33.0,944.0,False,33.0,136,0.8
32,0 days 00:32:08.266000,20.6,34.0,944.0,False,32.9,341,1.0
33,0 days 00:33:08.289000,20.5,34.0,944.0,False,32.9,99,0.8
34,0 days 00:34:08.297000,20.5,33.0,944.0,False,32.9,117,1.5
35,0 days 00:35:08.313000,20.5,34.0,943.9,False,32.9,110,1.3
36,0 days 00:36:08.328000,20.5,34.0,944.0,False,32.8,78,1.7
37,0 days 00:37:08.372000,20.7,34.0,944.0,False,32.8,100,1.3
38,0 days 00:38:08.333000,20.8,33.0,943.9,False,32.8,269,0.8
39,0 days 00:39:08.353000,20.8,33.0,943.9,False,32.8,269,0.8
40,0 days 00:40:08.359000,21.0,34.0,944.0,False,33.0,207,2.2
41,0 days 00:41:08.365000,21.0,34.0,944.0,False,34.1,289,2.0
42,0 days 00:42:08.358000,21.0,34.0,944.0,False,34.1,183,0.8
43,0 days 00:43:08.366000,21.0,34.0,944.0,False,34.6,263,0.8
44,0 days 00:44:08.371000,21.0,33.0,944.0,False,34.6,325,1.7
45,0 days 00:45:08.374000,21.0,33.0,944.0,False,34.2,256,1.7
46,0 days 00:46:08.392000,21.1,33.0,944.0,False,34.0,268,1.7
47,0 days 00:47:08.409000,21.1,33.0,943.9,False,34.1,263,2.7
48,0 days 00:48:08.426000,21.1,34.0,944.0,False,34.1,263,2.5
49,0 days 00:49:08.437000,21.1,34.0,944.0,False,34.1,263,2.5
50,0 days 00:50:08.454000,21.1,34.0,944.0,False,34.2,268,1.6
51,0 days 00:51:08.471000,21.1,33.0,943.9,False,34.7,251,3.5
52,0 days 00:52:08.487000,21.0,33.0,944.0,False,35.1,263,3.4
53,0 days 00:53:08.487000,21.0,33.0,944.0,False,35.6,261,2.9
54,0 days 00:54:08.488000,21.1,33.0,944.0,False,35.6,211,2.2
55,0 days 00:55:08.489000,21.1,33.0,944.0,False,36.5,216,1.1
56,0 days 00:56:08.486000,21.2,33.0,943.9,False,36.6,216,1.1
