,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:24:42.693000,VER,1,,1.0,1.0,0 days 00:22:56.653000,,,46.318,26.756,,0 days 00:24:16.059000,0 days 00:24:42.721000,220.0,244.0,283.0,189.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:22:56.653000,2022-03-18 15:07:56.685,1,,False,,False,False,,
1,0 days 00:26:16.314000,VER,1,0 days 00:01:33.621000,2.0,1.0,,,29.993,40.202,23.426,0 days 00:25:12.686000,0 days 00:25:52.888000,0 days 00:26:16.314000,233.0,267.0,281.0,317.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:24:42.693000,2022-03-18 15:09:42.725,1,,False,,False,True,93.621,93.621
2,0 days 00:28:51.594000,VER,1,,3.0,1.0,,,49.428,73.425,32.433,0 days 00:27:05.833000,0 days 00:28:19.359000,0 days 00:28:51.655000,124.0,102.0,282.0,207.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:26:16.314000,2022-03-18 15:11:16.346,1,,False,,False,False,,155.286
3,0 days 00:30:25.285000,VER,1,0 days 00:01:33.691000,4.0,1.0,,,30.185,40.076,23.43,0 days 00:29:21.779000,0 days 00:30:01.855000,0 days 00:30:25.285000,232.0,267.0,282.0,315.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:28:51.594000,2022-03-18 15:13:51.626,1,,False,,False,True,93.691,93.691
4,0 days 00:32:07.796000,VER,1,0 days 00:01:42.511000,5.0,1.0,,0 days 00:32:06.008000,32.347,42.273,27.891,0 days 00:30:57.632000,0 days 00:31:39.905000,0 days 00:32:07.796000,218.0,253.0,,252.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:30:25.285000,2022-03-18 15:15:25.317,1,,False,,False,False,102.511,102.511
5,0 days 00:44:48.825000,VER,1,,6.0,2.0,0 days 00:42:52.754000,,,55.019,24.951,,0 days 00:44:23.966000,0 days 00:44:48.856000,165.0,225.0,282.0,189.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:07.796000,2022-03-18 15:17:07.828,1,,False,,False,False,,
6,0 days 00:46:20.761000,VER,1,0 days 00:01:31.936000,7.0,2.0,,,29.376,39.507,23.053,0 days 00:45:18.201000,0 days 00:45:57.708000,0 days 00:46:20.761000,235.0,266.0,282.0,314.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:44:48.825000,2022-03-18 15:29:48.857,1,,False,,False,True,91.936,91.93599999999999
7,0 days 00:48:09.442000,VER,1,0 days 00:01:48.681000,8.0,2.0,,0 days 00:48:07.646000,35.829,44.81,28.042,0 days 00:46:56.590000,0 days 00:47:41.400000,0 days 00:48:09.442000,204.0,216.0,,287.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:46:20.761000,2022-03-18 15:31:20.793,1,,False,,False,False,108.681,108.68100000000001
8,0 days 00:58:25.520000,VER,1,,9.0,3.0,0 days 00:56:21.848000,0 days 00:58:23.659000,,48.171,28.579,,0 days 00:57:57.032000,0 days 00:58:25.520000,192.0,222.0,,200.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:48:09.442000,2022-03-18 15:33:09.474,1,,False,,False,False,,
9,0 days 01:00:35.088000,VER,1,0 days 00:02:09.568000,10.0,4.0,0 days 00:58:46.187000,,61.145,43.033,25.39,0 days 00:59:26.665000,0 days 01:00:09.698000,0 days 01:00:35.088000,227.0,254.0,270.0,203.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:58:25.520000,2022-03-18 15:43:25.552,1,,False,,False,False,129.568,129.56799999999998
10,0 days 01:02:12.253000,VER,1,0 days 00:01:37.165000,11.0,4.0,,,31.045,41.616,24.504,0 days 01:01:06.133000,0 days 01:01:47.749000,0 days 01:02:12.253000,229.0,257.0,269.0,290.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:00:35.088000,2022-03-18 15:45:35.120,1,,False,,False,True,97.165,97.165
11,0 days 01:03:49.385000,VER,1,0 days 00:01:37.132000,12.0,4.0,,,31.174,41.719,24.239,0 days 01:02:43.427000,0 days 01:03:25.146000,0 days 01:03:49.385000,229.0,255.0,269.0,293.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:02:12.253000,2022-03-18 15:47:12.285,1,,False,,False,True,97.132,97.132
12,0 days 01:05:26.522000,VER,1,0 days 00:01:37.137000,13.0,4.0,,,31.132,41.819,24.186,0 days 01:04:20.517000,0 days 01:05:02.336000,0 days 01:05:26.522000,229.0,254.0,270.0,293.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:03:49.385000,2022-03-18 15:48:49.417,1,,False,,False,True,97.137,97.137
13,0 days 01:07:04.265000,VER,1,0 days 00:01:37.743000,14.0,4.0,,,31.201,42.097,24.445,0 days 01:05:57.723000,0 days 01:06:39.820000,0 days 01:07:04.265000,229.0,254.0,270.0,293.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:05:26.522000,2022-03-18 15:50:26.554,1,,False,,False,True,97.743,97.743
14,0 days 01:08:41.763000,VER,1,0 days 00:01:37.498000,15.0,4.0,,,31.211,42.04,24.247,0 days 01:07:35.476000,0 days 01:08:17.516000,0 days 01:08:41.763000,229.0,255.0,270.0,293.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:07:04.265000,2022-03-18 15:52:04.297,1,,False,,False,True,97.498,97.498
15,0 days 01:10:19.381000,VER,1,0 days 00:01:37.618000,16.0,4.0,,,31.243,42.119,24.256,0 days 01:09:13.006000,0 days 01:09:55.125000,0 days 01:10:19.381000,227.0,250.0,270.0,296.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:08:41.763000,2022-03-18 15:53:41.795,1,,False,,False,True,97.618,97.618
16,0 days 01:11:57.199000,VER,1,0 days 00:01:37.818000,17.0,4.0,,,31.311,42.249,24.258,0 days 01:10:50.692000,0 days 01:11:32.941000,0 days 01:11:57.199000,229.0,258.0,285.0,295.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:10:19.381000,2022-03-18 15:55:19.413,1,,False,,False,True,97.818,97.818
17,0 days 01:13:34.711000,VER,1,0 days 00:01:37.512000,18.0,4.0,,,30.822,42.44,24.25,0 days 01:12:28.021000,0 days 01:13:10.461000,0 days 01:13:34.711000,230.0,257.0,274.0,312.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:11:57.199000,2022-03-18 15:56:57.231,1,,False,,False,True,97.512,97.512
18,0 days 01:15:12.335000,VER,1,0 days 00:01:37.624000,19.0,4.0,,,31.222,42.199,24.203,0 days 01:14:05.933000,0 days 01:14:48.132000,0 days 01:15:12.335000,230.0,251.0,274.0,293.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:13:34.711000,2022-03-18 15:58:34.743,1,,False,,False,True,97.624,97.624
19,0 days 01:17:12.938000,VER,1,0 days 00:02:00.603000,20.0,4.0,,0 days 01:17:10.341000,39.299,49.014,32.29,0 days 01:15:51.634000,0 days 01:16:40.648000,0 days 01:17:12.938000,181.0,186.0,,191.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:15:12.335000,2022-03-18 16:00:12.367,1,,False,,False,False,120.603,120.60300000000001
20,0 days 00:17:47.188000,RIC,3,,1.0,1.0,0 days 00:15:54.663000,,,45.945,34.355,,0 days 00:17:12.975000,0 days 00:17:47.266000,215.0,240.0,261.0,194.0,False,HARD,1.0,True,McLaren,0 days 00:15:54.663000,2022-03-18 15:00:54.695,1,,False,,False,False,,
21,0 days 00:19:35.734000,RIC,3,0 days 00:01:48.546000,2.0,1.0,,,32.338,46.736,29.472,0 days 00:18:19.526000,0 days 00:19:06.262000,0 days 00:19:35.734000,221.0,219.0,279.0,293.0,True,HARD,2.0,True,McLaren,0 days 00:17:47.188000,2022-03-18 15:02:47.220,1,,False,,False,True,108.546,108.54599999999999
22,0 days 00:21:11.789000,RIC,3,0 days 00:01:36.055000,3.0,1.0,,,30.678,41.412,23.965,0 days 00:20:06.412000,0 days 00:20:47.824000,0 days 00:21:11.789000,232.0,261.0,279.0,307.0,True,HARD,3.0,True,McLaren,0 days 00:19:35.734000,2022-03-18 15:04:35.766,1,,False,,False,True,96.055,96.055
23,0 days 00:23:07.797000,RIC,3,0 days 00:01:56.008000,4.0,1.0,,,39.347,51.338,25.323,0 days 00:21:51.136000,0 days 00:22:42.474000,0 days 00:23:07.797000,212.0,242.0,279.0,280.0,False,HARD,4.0,True,McLaren,0 days 00:21:11.789000,2022-03-18 15:06:11.821,1,,False,,False,True,116.008,116.00800000000001
24,0 days 00:25:04.109000,RIC,3,0 days 00:01:56.312000,5.0,1.0,,,33.296,46.127,36.889,0 days 00:23:41.093000,0 days 00:24:27.220000,0 days 00:25:04.109000,220.0,234.0,279.0,306.0,False,HARD,5.0,True,McLaren,0 days 00:23:07.797000,2022-03-18 15:08:07.829,1,,False,,False,True,116.312,116.31200000000001
25,0 days 00:26:42.543000,RIC,3,0 days 00:01:38.434000,6.0,1.0,,,30.806,42.134,25.494,0 days 00:25:34.915000,0 days 00:26:17.049000,0 days 00:26:42.543000,232.0,248.0,278.0,309.0,False,HARD,6.0,True,McLaren,0 days 00:25:04.109000,2022-03-18 15:10:04.141,1,,False,,False,True,98.434,98.434
26,0 days 00:28:29.456000,RIC,3,0 days 00:01:46.913000,7.0,1.0,,,30.965,49.145,26.803,0 days 00:27:13.508000,0 days 00:28:02.653000,0 days 00:28:29.456000,233.0,175.0,278.0,307.0,False,HARD,7.0,True,McLaren,0 days 00:26:42.543000,2022-03-18 15:11:42.575,1,,False,,False,True,106.913,106.913
27,0 days 00:30:13.696000,RIC,3,0 days 00:01:44.240000,8.0,1.0,,0 days 00:30:11.929000,30.785,42.638,30.817,0 days 00:29:00.241000,0 days 00:29:42.879000,0 days 00:30:13.696000,234.0,197.0,,305.0,False,HARD,8.0,True,McLaren,0 days 00:28:29.456000,2022-03-18 15:13:29.488,1,,False,,False,False,104.24,104.24000000000001
28,0 days 00:40:29.082000,RIC,3,,9.0,2.0,0 days 00:38:36.976000,,,45.715,33.757,,0 days 00:39:55.516000,0 days 00:40:29.176000,220.0,235.0,281.0,151.0,False,SOFT,1.0,True,McLaren,0 days 00:30:13.696000,2022-03-18 15:15:13.728,1,,False,,False,False,,
29,0 days 00:42:03.248000,RIC,3,0 days 00:01:34.166000,10.0,2.0,,,30.135,40.198,23.833,0 days 00:40:59.217000,0 days 00:41:39.415000,0 days 00:42:03.248000,236.0,266.0,280.0,309.0,True,SOFT,2.0,True,McLaren,0 days 00:40:29.082000,2022-03-18 15:25:29.114,1,,False,,False,True,94.166,94.166
30,0 days 00:44:13.030000,RIC,3,0 days 00:02:09.782000,11.0,2.0,,,39.552,62.092,28.138,0 days 00:42:42.800000,0 days 00:43:44.892000,0 days 00:44:13.030000,203.0,200.0,278.0,279.0,False,SOFT,3.0,True,McLaren,0 days 00:42:03.248000,2022-03-18 15:27:03.280,1,,False,,False,True,129.782,129.782
31,0 days 00:45:53.703000,RIC,3,0 days 00:01:40.673000,12.0,2.0,,0 days 00:45:51.958000,30.356,40.61,29.707,0 days 00:44:43.386000,0 days 00:45:23.996000,0 days 00:45:53.703000,234.0,263.0,,304.0,False,SOFT,4.0,True,McLaren,0 days 00:44:13.030000,2022-03-18 15:29:13.062,1,,False,,False,False,100.673,100.673
32,0 days 00:17:40.740000,NOR,4,,1.0,1.0,0 days 00:15:28.531000,,,45.974,34.532,,0 days 00:17:06.318000,0 days 00:17:40.808000,218.0,242.0,279.0,99.0,False,HARD,1.0,True,McLaren,0 days 00:15:28.531000,2022-03-18 15:00:28.563,1,,False,,False,False,,
33,0 days 00:19:16.226000,NOR,4,0 days 00:01:35.486000,2.0,1.0,,,30.753,40.918,23.815,0 days 00:18:11.493000,0 days 00:18:52.411000,0 days 00:19:16.226000,232.0,262.0,277.0,306.0,True,HARD,2.0,True,McLaren,0 days 00:17:40.740000,2022-03-18 15:02:40.772,1,,False,,False,True,95.486,95.48599999999999
34,0 days 00:21:24.211000,NOR,4,0 days 00:02:07.985000,3.0,1.0,,,42.863,56.877,28.245,0 days 00:19:59.089000,0 days 00:20:55.966000,0 days 00:21:24.211000,154.0,164.0,280.0,225.0,False,HARD,3.0,True,McLaren,0 days 00:19:16.226000,2022-03-18 15:04:16.258,1,,False,,False,True,127.985,127.98500000000001
35,0 days 00:22:59.386000,NOR,4,0 days 00:01:35.175000,4.0,1.0,,,30.787,40.59,23.798,0 days 00:21:54.998000,0 days 00:22:35.588000,0 days 00:22:59.386000,228.0,263.0,280.0,307.0,True,HARD,4.0,True,McLaren,0 days 00:21:24.211000,2022-03-18 15:06:24.243,1,,False,,False,True,95.175,95.17500000000001
36,0 days 00:25:09.337000,NOR,4,0 days 00:02:09.951000,5.0,1.0,,,44.947,59.121,25.883,0 days 00:23:44.333000,0 days 00:24:43.454000,0 days 00:25:09.337000,157.0,206.0,279.0,259.0,False,HARD,5.0,True,McLaren,0 days 00:22:59.386000,2022-03-18 15:07:59.418,1,,False,,False,True,129.951,129.95100000000002
37,0 days 00:26:53.751000,NOR,4,0 days 00:01:44.414000,6.0,1.0,,0 days 00:26:52.052000,34.482,41.389,28.543,0 days 00:25:43.819000,0 days 00:26:25.208000,0 days 00:26:53.751000,230.0,265.0,,307.0,False,HARD,6.0,True,McLaren,0 days 00:25:09.337000,2022-03-18 15:10:09.369,1,,False,,False,False,104.414,104.41400000000002
38,0 days 00:36:32.910000,NOR,4,,7.0,2.0,0 days 00:34:43.783000,,,48.065,26.089,,0 days 00:36:06.941000,0 days 00:36:32.986000,201.0,210.0,281.0,188.0,False,SOFT,1.0,True,McLaren,0 days 00:26:53.751000,2022-03-18 15:11:53.783,1,,False,,False,False,,
39,0 days 00:38:34.063000,NOR,4,0 days 00:02:01.153000,8.0,2.0,,,39.458,55.336,26.359,0 days 00:37:12.368000,0 days 00:38:07.704000,0 days 00:38:34.063000,186.0,190.0,281.0,306.0,False,SOFT,2.0,True,McLaren,0 days 00:36:32.910000,2022-03-18 15:21:32.942,1,,False,,False,True,121.153,121.15299999999999
40,0 days 00:40:07.343000,NOR,4,0 days 00:01:33.280000,9.0,2.0,,,29.967,39.687,23.626,0 days 00:39:04.030000,0 days 00:39:43.717000,0 days 00:40:07.343000,236.0,265.0,275.0,308.0,True,SOFT,3.0,True,McLaren,0 days 00:38:34.063000,2022-03-18 15:23:34.095,1,,False,,False,True,93.28,93.28
41,0 days 00:41:57.702000,NOR,4,0 days 00:01:50.359000,10.0,2.0,,0 days 00:41:55.912000,35.087,47.398,27.874,0 days 00:40:42.430000,0 days 00:41:29.828000,0 days 00:41:57.702000,192.0,218.0,,235.0,False,SOFT,4.0,True,McLaren,0 days 00:40:07.343000,2022-03-18 15:25:07.375,1,,False,,False,False,110.359,110.35900000000001
42,0 days 00:52:37.801000,NOR,4,,11.0,3.0,0 days 00:50:45.545000,,,43.461,24.498,,0 days 00:52:13.415000,0 days 00:52:37.821000,226.0,238.0,266.0,199.0,False,SOFT,5.0,False,McLaren,0 days 00:41:57.702000,2022-03-18 15:26:57.734,1,,False,,False,False,,
43,0 days 00:54:16.888000,NOR,4,0 days 00:01:39.087000,12.0,3.0,,,31.697,42.985,24.405,0 days 00:53:09.498000,0 days 00:53:52.483000,0 days 00:54:16.888000,226.0,242.0,266.0,281.0,False,SOFT,6.0,False,McLaren,0 days 00:52:37.801000,2022-03-18 15:37:37.833,1,,False,,False,True,99.087,99.087
