,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:15:27.758000,MAG,20,,1.0,1.0,0 days 00:13:58.681000,,,48.21,18.846,,0 days 00:15:08.954000,0 days 00:15:27.763000,258.0,210.0,291.0,,False,INTERMEDIATE,1.0,True,Haas F1 Team,0 days 00:13:58.681000,2022-11-11 19:00:03.471,1,,False,,False,False,,
1,0 days 00:16:47.639000,MAG,20,0 days 00:01:19.881000,2.0,1.0,,,20.444,41.261,18.176,0 days 00:15:48.202000,0 days 00:16:29.463000,0 days 00:16:47.639000,292.0,243.0,293.0,281.0,True,INTERMEDIATE,2.0,True,Haas F1 Team,0 days 00:15:27.758000,2022-11-11 19:01:32.548,1,,False,,False,True,79.881,79.881
2,0 days 00:18:07.428000,MAG,20,0 days 00:01:19.789000,3.0,1.0,,,20.264,41.496,18.029,0 days 00:17:07.903000,0 days 00:17:49.399000,0 days 00:18:07.428000,289.0,244.0,299.0,293.0,True,INTERMEDIATE,3.0,True,Haas F1 Team,0 days 00:16:47.639000,2022-11-11 19:02:52.429,1,,False,,False,True,79.789,79.789
3,0 days 00:19:43.453000,MAG,20,0 days 00:01:36.025000,4.0,1.0,,0 days 00:19:40.495000,21.759,49.202,25.064,0 days 00:18:29.187000,0 days 00:19:18.389000,0 days 00:19:43.453000,291.0,215.0,,266.0,False,INTERMEDIATE,4.0,True,Haas F1 Team,0 days 00:18:07.428000,2022-11-11 19:04:12.218,1,,False,,False,False,96.025,96.025
4,0 days 00:21:42.196000,MAG,20,0 days 00:01:58.743000,5.0,2.0,0 days 00:20:08.405000,,47.31,52.067,19.366,0 days 00:20:30.763000,0 days 00:21:22.830000,0 days 00:21:42.196000,263.0,65.0,296.0,266.0,False,INTERMEDIATE,1.0,True,Haas F1 Team,0 days 00:19:43.453000,2022-11-11 19:05:48.243,1,,False,,False,False,118.743,118.74300000000001
5,0 days 00:23:00.619000,MAG,20,0 days 00:01:18.423000,6.0,2.0,,,19.454,40.783,18.186,0 days 00:22:01.650000,0 days 00:22:42.433000,0 days 00:23:00.619000,296.0,249.0,294.0,294.0,False,INTERMEDIATE,2.0,True,Haas F1 Team,0 days 00:21:42.196000,2022-11-11 19:07:46.986,1,,True,TRACK LIMITS AT TURN 8 LAP 7 ,False,True,78.423,78.423
6,0 days 00:24:25.036000,MAG,20,0 days 00:01:24.417000,7.0,2.0,,,20.047,45.597,18.773,0 days 00:23:20.666000,0 days 00:24:06.263000,0 days 00:24:25.036000,290.0,212.0,295.0,297.0,False,INTERMEDIATE,3.0,True,Haas F1 Team,0 days 00:23:00.619000,2022-11-11 19:09:05.409,1,,False,,False,True,84.417,84.417
7,0 days 00:25:46.398000,MAG,20,0 days 00:01:21.362000,8.0,2.0,,,19.742,42.636,18.984,0 days 00:24:44.778000,0 days 00:25:27.414000,0 days 00:25:46.398000,294.0,244.0,293.0,293.0,False,INTERMEDIATE,4.0,True,Haas F1 Team,0 days 00:24:25.036000,2022-11-11 19:10:29.826,1,,False,,False,True,81.362,81.362
8,0 days 00:27:22.070000,MAG,20,0 days 00:01:35.672000,9.0,2.0,,0 days 00:27:19.100000,20.609,50.075,24.988,0 days 00:26:07.007000,0 days 00:26:57.082000,0 days 00:27:22.070000,291.0,216.0,,293.0,False,INTERMEDIATE,5.0,True,Haas F1 Team,0 days 00:25:46.398000,2022-11-11 19:11:51.188,1,,False,,False,False,95.672,95.672
9,0 days 00:30:09.076000,MAG,20,,10.0,3.0,0 days 00:28:41.539000,,,45.067,20.149,,0 days 00:29:48.958000,0 days 00:30:09.241000,156.0,205.0,295.0,293.0,False,SOFT,1.0,True,Haas F1 Team,0 days 00:27:22.070000,2022-11-11 19:13:26.860,1,,False,,False,False,,
10,0 days 00:31:24.831000,MAG,20,0 days 00:01:15.755000,11.0,3.0,,,19.412,38.714,17.629,0 days 00:30:28.488000,0 days 00:31:07.202000,0 days 00:31:24.831000,302.0,260.0,299.0,293.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:30:09.076000,2022-11-11 19:16:13.866,1,,False,,False,True,75.755,75.755
11,0 days 00:32:38.785000,MAG,20,0 days 00:01:13.954000,12.0,3.0,,,18.891,37.457,17.606,0 days 00:31:43.722000,0 days 00:32:21.179000,0 days 00:32:38.785000,300.0,259.0,297.0,299.0,True,SOFT,3.0,True,Haas F1 Team,0 days 00:31:24.831000,2022-11-11 19:17:29.621,1,,False,,False,True,73.954,73.95400000000001
12,0 days 00:34:12.834000,MAG,20,0 days 00:01:34.049000,13.0,3.0,,0 days 00:34:09.829000,24.696,44.167,25.186,0 days 00:33:03.481000,0 days 00:33:47.648000,0 days 00:34:12.834000,266.0,228.0,,284.0,False,SOFT,4.0,True,Haas F1 Team,0 days 00:32:38.785000,2022-11-11 19:18:43.575,1,,False,,False,False,94.049,94.049
13,0 days 00:40:25.206000,MAG,20,,14.0,4.0,0 days 00:39:00.237000,,,43.673,20.036,,0 days 00:40:05.254000,0 days 00:40:25.206000,272.0,229.0,300.0,284.0,False,SOFT,1.0,True,Haas F1 Team,0 days 00:34:12.834000,2022-11-11 19:20:17.624,1,,False,,False,False,,
14,0 days 00:41:37.486000,MAG,20,0 days 00:01:12.280000,15.0,4.0,,,18.641,36.565,17.074,0 days 00:40:43.847000,0 days 00:41:20.412000,0 days 00:41:37.486000,305.0,261.0,317.0,299.0,True,SOFT,2.0,True,Haas F1 Team,0 days 00:40:25.206000,2022-11-11 19:26:29.996,1,,False,,False,True,72.28,72.28
