,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:57:19.664000,VER,1,,1.0,1.0,,,,38.182,17.191,,0 days 00:57:02.603000,0 days 00:57:19.793000,310.0,249.0,306.0,214.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:56:00.694000,2022-11-12 19:33:01.280,1,2.0,False,,False,False,,
1,0 days 00:58:34.509000,VER,1,0 days 00:01:14.845000,2.0,1.0,,,19.359,38.316,17.17,0 days 00:57:39.067000,0 days 00:58:17.383000,0 days 00:58:34.553000,311.0,257.0,310.0,307.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:57:19.664000,2022-11-12 19:34:20.250,1,2.0,False,,False,True,74.845,74.845
2,0 days 00:59:49.061000,VER,1,0 days 00:01:14.552000,3.0,1.0,,,19.224,38.085,17.243,0 days 00:58:53.777000,0 days 00:59:31.862000,0 days 00:59:49.105000,306.0,256.0,305.0,312.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:58:34.509000,2022-11-12 19:35:35.095,1,1.0,False,,False,True,74.552,74.55199999999999
3,0 days 01:01:03.585000,VER,1,0 days 00:01:14.524000,4.0,1.0,,,19.183,38.029,17.312,0 days 01:00:08.288000,0 days 01:00:46.317000,0 days 01:01:03.629000,307.0,256.0,306.0,305.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:59:49.061000,2022-11-12 19:36:49.647,1,1.0,False,,False,True,74.524,74.524
4,0 days 01:02:18.092000,VER,1,0 days 00:01:14.507000,5.0,1.0,,,19.156,38.002,17.349,0 days 01:01:22.785000,0 days 01:02:00.787000,0 days 01:02:18.136000,309.0,254.0,305.0,307.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:01:03.585000,2022-11-12 19:38:04.171,1,1.0,False,,False,True,74.507,74.507
5,0 days 01:03:32.736000,VER,1,0 days 00:01:14.644000,6.0,1.0,,,19.031,38.272,17.341,0 days 01:02:37.167000,0 days 01:03:15.439000,0 days 01:03:32.780000,309.0,257.0,305.0,308.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:02:18.092000,2022-11-12 19:39:18.678,1,1.0,False,,False,True,74.644,74.644
6,0 days 01:04:47.575000,VER,1,0 days 00:01:14.839000,7.0,1.0,,,19.215,38.242,17.382,0 days 01:03:51.995000,0 days 01:04:30.237000,0 days 01:04:47.619000,307.0,256.0,305.0,307.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:03:32.736000,2022-11-12 19:40:33.322,1,1.0,True,TRACK LIMITS AT TURN 4 LAP 7 ,False,True,74.839,74.839
7,0 days 01:06:02.461000,VER,1,0 days 00:01:14.886000,8.0,1.0,,,19.206,38.256,17.424,0 days 01:05:06.825000,0 days 01:05:45.081000,0 days 01:06:02.505000,308.0,256.0,304.0,308.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:04:47.575000,2022-11-12 19:41:48.161,1,1.0,False,,False,True,74.886,74.886
8,0 days 01:07:17.655000,VER,1,0 days 00:01:15.194000,9.0,1.0,,,19.281,38.439,17.474,0 days 01:06:21.786000,0 days 01:07:00.225000,0 days 01:07:17.699000,307.0,255.0,304.0,308.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:06:02.461000,2022-11-12 19:43:03.047,1,1.0,False,,False,True,75.194,75.194
9,0 days 01:08:32.779000,VER,1,0 days 00:01:15.124000,10.0,1.0,,,19.222,38.445,17.457,0 days 01:07:36.921000,0 days 01:08:15.366000,0 days 01:08:32.823000,307.0,254.0,305.0,308.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:07:17.655000,2022-11-12 19:44:18.241,1,1.0,False,,False,True,75.124,75.124
10,0 days 01:09:48.235000,VER,1,0 days 00:01:15.456000,11.0,1.0,,,19.283,38.672,17.501,0 days 01:08:52.106000,0 days 01:09:30.778000,0 days 01:09:48.279000,307.0,254.0,305.0,309.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:08:32.779000,2022-11-12 19:45:33.365,1,1.0,False,,False,True,75.456,75.456
11,0 days 01:11:04.460000,VER,1,0 days 00:01:16.225000,12.0,1.0,,,19.549,39.209,17.467,0 days 01:10:07.828000,0 days 01:10:47.037000,0 days 01:11:04.504000,306.0,254.0,305.0,308.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:09:48.235000,2022-11-12 19:46:48.821,1,1.0,False,,False,True,76.225,76.225
12,0 days 01:12:21.026000,VER,1,0 days 00:01:16.566000,13.0,1.0,,,19.928,39.149,17.489,0 days 01:11:24.432000,0 days 01:12:03.581000,0 days 01:12:21.070000,307.0,254.0,305.0,307.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:11:04.460000,2022-11-12 19:48:05.046,12,1.0,False,,False,True,76.566,76.566
13,0 days 01:13:37.004000,VER,1,0 days 00:01:15.978000,14.0,1.0,,,19.61,38.856,17.512,0 days 01:12:40.680000,0 days 01:13:19.536000,0 days 01:13:37.048000,307.0,254.0,305.0,293.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:12:21.026000,2022-11-12 19:49:21.612,1,1.0,False,,False,True,75.978,75.97800000000001
14,0 days 01:14:53.853000,VER,1,0 days 00:01:16.849000,15.0,1.0,,,19.43,39.842,17.577,0 days 01:13:56.478000,0 days 01:14:36.320000,0 days 01:14:53.897000,306.0,251.0,310.0,307.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:13:37.004000,2022-11-12 19:50:37.590,1,2.0,False,,False,True,76.849,76.849
15,0 days 01:16:10.016000,VER,1,0 days 00:01:16.163000,16.0,1.0,,,19.304,39.305,17.554,0 days 01:15:13.201000,0 days 01:15:52.506000,0 days 01:16:10.060000,311.0,251.0,307.0,306.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:14:53.853000,2022-11-12 19:51:54.439,1,2.0,False,,False,True,76.163,76.163
16,0 days 01:17:26.064000,VER,1,0 days 00:01:16.048000,17.0,1.0,,,19.33,39.179,17.539,0 days 01:16:29.390000,0 days 01:17:08.569000,0 days 01:17:26.108000,310.0,250.0,308.0,302.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:16:10.016000,2022-11-12 19:53:10.602,1,2.0,False,,False,True,76.048,76.048
17,0 days 01:18:42.013000,VER,1,0 days 00:01:15.949000,18.0,1.0,,,19.316,39.151,17.482,0 days 01:17:45.424000,0 days 01:18:24.575000,0 days 01:18:42.057000,311.0,252.0,308.0,306.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:17:26.064000,2022-11-12 19:54:26.650,1,2.0,False,,False,True,75.949,75.949
18,0 days 01:19:59.898000,VER,1,0 days 00:01:17.885000,19.0,1.0,,,20.064,40.249,17.572,0 days 01:19:02.121000,0 days 01:19:42.370000,0 days 01:19:59.942000,324.0,248.0,310.0,309.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:18:42.013000,2022-11-12 19:55:42.599,1,4.0,False,,False,True,77.885,77.885
19,0 days 01:21:17.032000,VER,1,0 days 00:01:17.134000,20.0,1.0,,,19.688,39.841,17.605,0 days 01:20:19.630000,0 days 01:20:59.471000,0 days 01:21:17.076000,327.0,248.0,310.0,293.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 01:19:59.898000,2022-11-12 19:57:00.484,1,4.0,False,,False,True,77.134,77.134
20,0 days 01:22:33.539000,VER,1,0 days 00:01:16.507000,21.0,1.0,,,19.385,39.539,17.583,0 days 01:21:36.461000,0 days 01:22:16,0 days 01:22:33.583000,312.0,249.0,311.0,307.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 01:21:17.032000,2022-11-12 19:58:17.618,1,4.0,False,,False,True,76.507,76.507
21,0 days 01:23:49.982000,VER,1,0 days 00:01:16.443000,22.0,1.0,,,19.461,39.459,17.523,0 days 01:22:53.044000,0 days 01:23:32.503000,0 days 01:23:50.026000,311.0,250.0,311.0,306.0,False,MEDIUM,22.0,True,Red Bull Racing,0 days 01:22:33.539000,2022-11-12 19:59:34.125,1,4.0,False,,False,True,76.443,76.443
22,0 days 01:25:06.200000,VER,1,0 days 00:01:16.218000,23.0,1.0,,,19.351,39.388,17.479,0 days 01:24:09.377000,0 days 01:24:48.765000,0 days 01:25:06.244000,311.0,249.0,311.0,307.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 01:23:49.982000,2022-11-12 20:00:50.568,1,4.0,False,,False,True,76.218,76.21799999999999
23,0 days 01:26:22.735000,VER,1,0 days 00:01:16.535000,24.0,1.0,,,19.332,39.64,17.563,0 days 01:25:25.576000,0 days 01:26:05.216000,0 days 01:26:22.779000,311.0,247.0,310.0,303.0,False,MEDIUM,24.0,True,Red Bull Racing,0 days 01:25:06.200000,2022-11-12 20:02:06.786,1,4.0,False,,False,True,76.535,76.535
24,0 days 00:57:24.895000,GAS,10,,1.0,1.0,,,,41.143,17.406,,0 days 00:57:07.625000,0 days 00:57:25.030000,318.0,242.0,305.0,238.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:56:00.694000,2022-11-12 19:33:01.280,1,11.0,False,,False,False,,
25,0 days 00:58:42.400000,GAS,10,0 days 00:01:17.505000,2.0,1.0,,,19.732,40.34,17.433,0 days 00:57:44.685000,0 days 00:58:25.025000,0 days 00:58:42.458000,312.0,239.0,309.0,300.0,True,SOFT,2.0,True,AlphaTauri,0 days 00:57:24.895000,2022-11-12 19:34:25.481,1,10.0,False,,False,True,77.505,77.505
26,0 days 00:59:57.690000,GAS,10,0 days 00:01:15.290000,3.0,1.0,,,19.482,38.624,17.184,0 days 00:59:01.940000,0 days 00:59:40.564000,0 days 00:59:57.748000,310.0,252.0,324.0,301.0,True,SOFT,3.0,True,AlphaTauri,0 days 00:58:42.400000,2022-11-12 19:35:42.986,1,10.0,False,,False,True,75.29,75.29
