,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:29.575000,19.1,52.0,1003.0,False,31.3,262,2.5
1,0 days 00:01:29.578000,19.2,50.0,1003.0,False,31.5,226,2.7
2,0 days 00:02:29.574000,19.2,50.0,1003.0,False,31.4,261,3.0
3,0 days 00:03:29.577000,19.2,49.0,1003.0,False,31.3,255,2.7
4,0 days 00:04:29.577000,19.2,49.0,1003.0,False,31.1,264,2.7
5,0 days 00:05:29.578000,19.2,49.0,1003.0,False,31.1,253,3.0
6,0 days 00:06:29.577000,19.1,50.0,1003.0,False,31.0,245,2.2
7,0 days 00:07:29.575000,19.1,52.0,1003.0,False,31.0,261,3.0
8,0 days 00:08:29.583000,19.1,50.0,1003.2,False,31.0,246,3.0
9,0 days 00:09:29.574000,19.1,51.0,1003.2,False,31.0,272,2.7
10,0 days 00:10:29.576000,19.1,51.0,1003.2,False,31.0,270,2.5
11,0 days 00:11:29.575000,19.1,51.0,1003.2,False,31.6,266,1.7
12,0 days 00:12:29.575000,19.1,49.0,1003.2,False,31.4,247,3.2
13,0 days 00:13:29.575000,19.0,50.0,1003.2,False,31.0,259,2.4
14,0 days 00:14:29.581000,19.2,49.0,1003.2,False,30.8,248,2.5
15,0 days 00:15:29.579000,19.2,50.0,1003.2,False,31.0,163,2.2
16,0 days 00:16:29.583000,19.1,49.0,1003.2,False,31.0,186,1.5
17,0 days 00:17:29.579000,19.1,48.0,1003.2,False,31.0,202,2.4
18,0 days 00:18:29.583000,19.1,48.0,1003.0,False,31.4,276,2.4
19,0 days 00:19:29.578000,19.1,49.0,1003.2,False,31.5,244,2.7
20,0 days 00:20:29.582000,19.2,49.0,1003.2,False,31.2,255,3.5
21,0 days 00:21:29.570000,19.2,48.0,1003.2,False,31.0,228,2.7
22,0 days 00:22:29.578000,19.1,48.0,1003.2,False,31.3,227,1.7
23,0 days 00:23:29.576000,19.1,49.0,1003.2,False,31.4,246,3.2
24,0 days 00:24:29.576000,19.2,48.0,1003.2,False,31.4,208,3.4
25,0 days 00:25:29.587000,19.1,47.0,1003.2,False,31.2,170,1.2
26,0 days 00:26:29.582000,19.0,48.0,1003.2,False,31.2,190,1.5
27,0 days 00:27:29.686000,18.9,48.0,1003.2,False,31.0,229,2.7
28,0 days 00:28:29.581000,18.9,47.0,1003.2,False,30.9,250,2.4
29,0 days 00:29:29.574000,18.8,48.0,1003.4,False,30.9,102,2.5
30,0 days 00:30:29.576000,18.8,48.0,1003.0,False,30.9,0,2.2
31,0 days 00:31:30.178000,18.9,49.0,1003.2,False,31.0,108,0.8
32,0 days 00:32:29.577000,19.0,49.0,1003.2,False,30.9,291,0.8
33,0 days 00:33:29.575000,19.1,48.0,1003.2,False,31.0,90,2.0
34,0 days 00:34:29.577000,19.0,48.0,1003.2,False,31.0,99,2.5
35,0 days 00:35:29.572000,19.2,49.0,1003.2,False,31.2,354,1.3
36,0 days 00:36:29.576000,19.3,48.0,1003.2,False,31.0,102,1.8
37,0 days 00:37:29.575000,19.2,48.0,1003.2,False,31.0,242,2.4
