,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 01:03:41.505000,VER,1,,1.0,1.0,,,,27.84,37.947,,0 days 01:03:03.663000,0 days 01:03:41.625000,216.0,256.0,241.0,69.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:06.774000,2022-04-23 14:33:06.787,124,2.0,False,,False,False,,
1,0 days 01:05:48.096000,VER,1,0 days 00:02:06.591000,2.0,1.0,,,36.806,49.397,40.388,0 days 01:04:18.367000,0 days 01:05:07.764000,0 days 01:05:48.152000,165.0,126.0,227.0,214.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:41.505000,2022-04-23 14:34:41.518,4,2.0,False,,False,False,126.591,126.59100000000001
2,0 days 01:07:57.402000,VER,1,0 days 00:02:09.306000,3.0,1.0,,,39.583,50.474,39.249,0 days 01:06:27.735000,0 days 01:07:18.209000,0 days 01:07:57.458000,169.0,227.0,212.0,208.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:05:48.096000,2022-04-23 14:36:48.109,4,2.0,False,,False,False,129.306,129.30599999999998
3,0 days 01:10:14.550000,VER,1,0 days 00:02:17.148000,4.0,1.0,,,40.581,45.654,50.913,0 days 01:08:38.039000,0 days 01:09:23.693000,0 days 01:10:14.606000,140.0,73.0,281.0,86.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:07:57.402000,2022-04-23 14:38:57.415,41,2.0,False,,False,False,137.148,137.14800000000002
4,0 days 01:11:34.510000,VER,1,0 days 00:01:19.960000,5.0,1.0,,,25.722,27.654,26.584,0 days 01:10:40.328000,0 days 01:11:07.982000,0 days 01:11:34.566000,221.0,255.0,279.0,293.0,True,SOFT,5.0,True,Red Bull Racing,0 days 01:10:14.550000,2022-04-23 14:41:14.563,1,2.0,False,,False,True,79.96,79.96000000000001
5,0 days 01:12:53.906000,VER,1,0 days 00:01:19.396000,6.0,1.0,,,25.474,27.4,26.522,0 days 01:12:00.040000,0 days 01:12:27.440000,0 days 01:12:53.962000,222.0,255.0,279.0,295.0,True,SOFT,6.0,True,Red Bull Racing,0 days 01:11:34.510000,2022-04-23 14:42:34.523,1,2.0,False,,False,True,79.396,79.39599999999999
6,0 days 01:14:13.392000,VER,1,0 days 00:01:19.486000,7.0,1.0,,,25.263,27.526,26.697,0 days 01:13:19.225000,0 days 01:13:46.751000,0 days 01:14:13.448000,221.0,253.0,277.0,292.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:12:53.906000,2022-04-23 14:43:53.919,1,2.0,False,,False,True,79.486,79.486
7,0 days 01:15:32.767000,VER,1,0 days 00:01:19.375000,8.0,1.0,,,25.332,27.46,26.583,0 days 01:14:38.780000,0 days 01:15:06.240000,0 days 01:15:32.823000,221.0,254.0,279.0,294.0,True,SOFT,8.0,True,Red Bull Racing,0 days 01:14:13.392000,2022-04-23 14:45:13.405,1,2.0,False,,False,True,79.375,79.375
8,0 days 01:16:52.056000,VER,1,0 days 00:01:19.289000,9.0,1.0,,,25.307,27.431,26.551,0 days 01:15:58.130000,0 days 01:16:25.561000,0 days 01:16:52.112000,222.0,254.0,279.0,293.0,True,SOFT,9.0,True,Red Bull Racing,0 days 01:15:32.767000,2022-04-23 14:46:32.780,1,2.0,False,,False,True,79.289,79.289
9,0 days 01:18:11.301000,VER,1,0 days 00:01:19.245000,10.0,1.0,,,25.265,27.462,26.518,0 days 01:17:17.377000,0 days 01:17:44.839000,0 days 01:18:11.357000,221.0,254.0,279.0,295.0,True,SOFT,10.0,True,Red Bull Racing,0 days 01:16:52.056000,2022-04-23 14:47:52.069,1,2.0,False,,False,True,79.245,79.245
10,0 days 01:19:30.539000,VER,1,0 days 00:01:19.238000,11.0,1.0,,,25.251,27.426,26.561,0 days 01:18:36.608000,0 days 01:19:04.034000,0 days 01:19:30.595000,223.0,254.0,279.0,295.0,True,SOFT,11.0,True,Red Bull Racing,0 days 01:18:11.301000,2022-04-23 14:49:11.314,1,2.0,False,,False,True,79.238,79.238
11,0 days 01:20:49.802000,VER,1,0 days 00:01:19.263000,12.0,1.0,,,25.247,27.514,26.502,0 days 01:19:55.842000,0 days 01:20:23.356000,0 days 01:20:49.858000,223.0,255.0,279.0,295.0,False,SOFT,12.0,True,Red Bull Racing,0 days 01:19:30.539000,2022-04-23 14:50:30.552,1,2.0,False,,False,True,79.263,79.26299999999999
12,0 days 01:22:09.099000,VER,1,0 days 00:01:19.297000,13.0,1.0,,,25.217,27.536,26.544,0 days 01:21:15.075000,0 days 01:21:42.611000,0 days 01:22:09.155000,222.0,254.0,279.0,294.0,False,SOFT,13.0,True,Red Bull Racing,0 days 01:20:49.802000,2022-04-23 14:51:49.815,1,2.0,False,,False,True,79.297,79.297
13,0 days 01:23:28.253000,VER,1,0 days 00:01:19.154000,14.0,1.0,,,25.207,27.405,26.542,0 days 01:22:34.362000,0 days 01:23:01.767000,0 days 01:23:28.309000,223.0,256.0,280.0,294.0,True,SOFT,14.0,True,Red Bull Racing,0 days 01:22:09.099000,2022-04-23 14:53:09.112,1,2.0,False,,False,True,79.154,79.154
14,0 days 01:24:47.542000,VER,1,0 days 00:01:19.289000,15.0,1.0,,,25.269,27.455,26.565,0 days 01:23:53.578000,0 days 01:24:21.033000,0 days 01:24:47.598000,222.0,257.0,279.0,291.0,False,SOFT,15.0,True,Red Bull Racing,0 days 01:23:28.253000,2022-04-23 14:54:28.266,1,2.0,False,,False,True,79.289,79.289
15,0 days 01:26:06.743000,VER,1,0 days 00:01:19.201000,16.0,1.0,,,25.196,27.427,26.578,0 days 01:25:12.794000,0 days 01:25:40.221000,0 days 01:26:06.799000,222.0,257.0,286.0,295.0,False,SOFT,16.0,True,Red Bull Racing,0 days 01:24:47.542000,2022-04-23 14:55:47.555,1,2.0,False,,False,True,79.201,79.20100000000001
16,0 days 01:27:26.280000,VER,1,0 days 00:01:19.537000,17.0,1.0,,,24.965,27.748,26.824,0 days 01:26:31.764000,0 days 01:26:59.512000,0 days 01:27:26.336000,222.0,256.0,286.0,294.0,False,SOFT,17.0,True,Red Bull Racing,0 days 01:26:06.743000,2022-04-23 14:57:06.756,1,2.0,False,,False,True,79.537,79.537
17,0 days 01:28:46.102000,VER,1,0 days 00:01:19.822000,18.0,1.0,,,25.099,27.849,26.874,0 days 01:27:51.435000,0 days 01:28:19.284000,0 days 01:28:46.158000,219.0,255.0,286.0,294.0,False,SOFT,18.0,True,Red Bull Racing,0 days 01:27:26.280000,2022-04-23 14:58:26.293,1,2.0,False,,False,True,79.822,79.822
18,0 days 01:30:06.852000,VER,1,0 days 00:01:20.750000,19.0,1.0,,,25.568,28.093,27.089,0 days 01:29:11.726000,0 days 01:29:39.819000,0 days 01:30:06.908000,219.0,256.0,286.0,296.0,False,SOFT,19.0,True,Red Bull Racing,0 days 01:28:46.102000,2022-04-23 14:59:46.115,1,2.0,False,,False,True,80.75,80.75
19,0 days 01:31:26.621000,VER,1,0 days 00:01:19.769000,20.0,1.0,,,25.4,27.674,26.695,0 days 01:30:32.308000,0 days 01:30:59.982000,0 days 01:31:26.677000,221.0,257.0,278.0,292.0,False,SOFT,20.0,True,Red Bull Racing,0 days 01:30:06.852000,2022-04-23 15:01:06.865,1,1.0,False,,False,True,79.769,79.769
20,0 days 01:32:46.572000,VER,1,0 days 00:01:19.951000,21.0,1.0,,,25.448,27.679,26.824,0 days 01:31:52.125000,0 days 01:32:19.804000,0 days 01:32:46.628000,221.0,256.0,278.0,292.0,False,SOFT,21.0,True,Red Bull Racing,0 days 01:31:26.621000,2022-04-23 15:02:26.634,1,1.0,False,,False,True,79.951,79.951
21,0 days 01:03:38.405000,LEC,16,,1.0,1.0,,,,27.716,35.674,,0 days 01:03:02.841000,0 days 01:03:38.546000,215.0,253.0,236.0,115.0,False,SOFT,1.0,True,Ferrari,0 days 01:02:06.774000,2022-04-23 14:33:06.787,124,1.0,False,,False,False,,
22,0 days 01:05:46.452000,LEC,16,0 days 00:02:08.047000,2.0,1.0,,,38.387,50.241,39.419,0 days 01:04:16.851000,0 days 01:05:07.092000,0 days 01:05:46.511000,172.0,128.0,236.0,226.0,True,SOFT,2.0,True,Ferrari,0 days 01:03:38.405000,2022-04-23 14:34:38.418,4,1.0,False,,False,False,128.047,128.047
23,0 days 01:07:56.688000,LEC,16,0 days 00:02:10.236000,3.0,1.0,,,40.093,50.566,39.577,0 days 01:06:26.604000,0 days 01:07:17.170000,0 days 01:07:56.747000,152.0,190.0,160.0,148.0,False,SOFT,3.0,True,Ferrari,0 days 01:05:46.452000,2022-04-23 14:36:46.465,4,1.0,False,,False,False,130.236,130.236
24,0 days 01:10:13.899000,LEC,16,0 days 00:02:17.211000,4.0,1.0,,,40.077,46.156,50.978,0 days 01:08:36.824000,0 days 01:09:22.980000,0 days 01:10:13.958000,159.0,79.0,278.0,87.0,False,SOFT,4.0,True,Ferrari,0 days 01:07:56.688000,2022-04-23 14:38:56.701,41,1.0,False,,False,False,137.211,137.211
25,0 days 01:11:33.483000,LEC,16,0 days 00:01:19.584000,5.0,1.0,,,25.487,27.655,26.442,0 days 01:10:39.445000,0 days 01:11:07.100000,0 days 01:11:33.542000,224.0,254.0,277.0,281.0,True,SOFT,5.0,True,Ferrari,0 days 01:10:13.899000,2022-04-23 14:41:13.912,1,1.0,False,,False,True,79.584,79.584
26,0 days 01:12:52.818000,LEC,16,0 days 00:01:19.335000,6.0,1.0,,,25.363,27.508,26.464,0 days 01:11:58.905000,0 days 01:12:26.413000,0 days 01:12:52.877000,222.0,254.0,278.0,281.0,True,SOFT,6.0,True,Ferrari,0 days 01:11:33.483000,2022-04-23 14:42:33.496,1,1.0,False,,False,True,79.335,79.335
27,0 days 01:14:11.934000,LEC,16,0 days 00:01:19.116000,7.0,1.0,,,25.254,27.515,26.347,0 days 01:13:18.131000,0 days 01:13:45.646000,0 days 01:14:11.993000,225.0,254.0,279.0,282.0,True,SOFT,7.0,True,Ferrari,0 days 01:12:52.818000,2022-04-23 14:43:52.831,1,1.0,False,,False,True,79.116,79.11600000000001
