,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:30.428000,VER,1,,1.0,1.0,0 days 00:15:43.938000,,,41.746,31.137,,0 days 00:16:59.475000,0 days 00:17:30.520000,259.0,252.0,241.0,275.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:15:43.938000,2022-10-28 18:00:43.956,1,,False,,False,False,,
1,0 days 00:19:00.090000,VER,1,0 days 00:01:29.662000,2.0,1.0,,,29.038,32.819,27.805,0 days 00:17:59.466000,0 days 00:18:32.285000,0 days 00:19:00.090000,304.0,286.0,243.0,339.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:17:30.428000,2022-10-28 18:02:30.446,12,,False,,False,True,89.662,89.662
2,0 days 00:20:23.382000,VER,1,0 days 00:01:23.292000,3.0,1.0,,,28.78,32.364,22.148,0 days 00:19:28.870000,0 days 00:20:01.234000,0 days 00:20:23.382000,307.0,286.0,243.0,342.0,True,HARD,3.0,True,Red Bull Racing,0 days 00:19:00.090000,2022-10-28 18:04:00.108,1,,False,,False,True,83.292,83.292
3,0 days 00:21:46.161000,VER,1,0 days 00:01:22.779000,4.0,1.0,,,28.637,32.263,21.879,0 days 00:20:52.019000,0 days 00:21:24.282000,0 days 00:21:46.161000,305.0,286.0,243.0,343.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:20:23.382000,2022-10-28 18:05:23.400,1,,False,,False,True,82.779,82.779
4,0 days 00:23:22.064000,VER,1,0 days 00:01:35.903000,5.0,1.0,,,31.682,36.152,28.069,0 days 00:22:17.843000,0 days 00:22:53.995000,0 days 00:23:22.064000,238.0,257.0,246.0,292.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:21:46.161000,2022-10-28 18:06:46.179,1,,False,,False,True,95.903,95.903
5,0 days 00:24:44.355000,VER,1,0 days 00:01:22.291000,6.0,1.0,,,28.496,32.16,21.635,0 days 00:23:50.560000,0 days 00:24:22.720000,0 days 00:24:44.355000,308.0,289.0,246.0,345.0,True,HARD,6.0,True,Red Bull Racing,0 days 00:23:22.064000,2022-10-28 18:08:22.082,1,,False,,False,True,82.291,82.291
6,0 days 00:26:34.758000,VER,1,0 days 00:01:50.403000,7.0,1.0,,,36.212,49.693,24.498,0 days 00:25:20.567000,0 days 00:26:10.260000,0 days 00:26:34.758000,188.0,231.0,246.0,237.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:24:44.355000,2022-10-28 18:09:44.373,1,,False,,False,True,110.403,110.403
7,0 days 00:27:57.153000,VER,1,0 days 00:01:22.395000,8.0,1.0,,,28.507,32.298,21.59,0 days 00:27:03.265000,0 days 00:27:35.563000,0 days 00:27:57.153000,308.0,289.0,247.0,344.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:26:34.758000,2022-10-28 18:11:34.776,1,,False,,False,True,82.395,82.39500000000001
8,0 days 00:29:34.532000,VER,1,0 days 00:01:37.379000,9.0,1.0,,0 days 00:29:31.864000,30.868,36.861,29.65,0 days 00:28:28.021000,0 days 00:29:04.882000,0 days 00:29:34.532000,249.0,107.0,,302.0,False,HARD,9.0,True,Red Bull Racing,0 days 00:27:57.153000,2022-10-28 18:12:57.171,1,,False,,False,False,97.379,97.37899999999999
9,0 days 00:45:30.540000,VER,1,,10.0,2.0,0 days 00:43:53.899000,,,33.12,32.972,,0 days 00:44:57.731000,0 days 00:45:30.629000,263.0,271.0,247.0,286.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:29:34.532000,2022-10-28 18:14:34.550,1,,False,,False,False,,
