,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:16:44.424000,VER,1,,1.0,1.0,0 days 00:15:03.733000,,,37.801,29.09,,0 days 00:16:15.584000,0 days 00:16:44.524000,203.0,176.0,278.0,280.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:03.733000,2022-05-07 17:00:03.789,1,,False,,False,False,,
1,0 days 00:18:18.461000,VER,1,0 days 00:01:34.037000,2.0,1.0,,,31.547,35.663,26.827,0 days 00:17:15.971000,0 days 00:17:51.634000,0 days 00:18:18.461000,210.0,184.0,280.0,327.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:16:44.424000,2022-05-07 17:01:44.480,1,,False,,False,True,94.037,94.03699999999999
2,0 days 00:20:22.802000,VER,1,0 days 00:02:04.341000,3.0,1.0,,,45.075,45.884,33.382,0 days 00:19:03.536000,0 days 00:19:49.420000,0 days 00:20:22.802000,162.0,165.0,283.0,96.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:18.461000,2022-05-07 17:03:18.517,1,,False,,False,True,124.341,124.34100000000001
3,0 days 00:21:55.249000,VER,1,0 days 00:01:32.447000,4.0,1.0,,,30.931,35.402,26.114,0 days 00:20:53.733000,0 days 00:21:29.135000,0 days 00:21:55.249000,217.0,189.0,284.0,329.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:20:22.802000,2022-05-07 17:05:22.858,1,,False,,False,True,92.447,92.447
4,0 days 00:23:59.465000,VER,1,0 days 00:02:04.216000,5.0,1.0,,,47.378,47.949,28.889,0 days 00:22:42.627000,0 days 00:23:30.576000,0 days 00:23:59.465000,167.0,163.0,285.0,282.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:21:55.249000,2022-05-07 17:06:55.305,1,,False,,False,True,124.216,124.216
5,0 days 00:25:30.820000,VER,1,0 days 00:01:31.355000,6.0,1.0,,,30.449,34.946,25.96,0 days 00:24:29.914000,0 days 00:25:04.860000,0 days 00:25:30.820000,220.0,191.0,285.0,332.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:23:59.465000,2022-05-07 17:08:59.521,1,,False,,False,True,91.355,91.35499999999999
6,0 days 00:27:28.372000,VER,1,0 days 00:01:57.552000,7.0,1.0,,0 days 00:27:24.079000,39.686,39.865,38.001,0 days 00:26:10.506000,0 days 00:26:50.371000,0 days 00:27:28.372000,185.0,179.0,,283.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:25:30.820000,2022-05-07 17:10:30.876,12,,False,,False,False,117.552,117.55199999999999
7,0 days 00:43:54.464000,VER,1,,8.0,2.0,0 days 00:42:04.783000,,,38.852,34.153,,0 days 00:43:20.447000,0 days 00:43:54.476000,200.0,154.0,270.0,184.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:42:04.783000,2022-05-07 17:27:04.839,1,,False,,False,False,,
8,0 days 00:45:29.333000,VER,1,0 days 00:01:34.869000,9.0,2.0,,,31.808,35.893,27.168,0 days 00:44:26.272000,0 days 00:45:02.165000,0 days 00:45:29.333000,210.0,180.0,273.0,301.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:43:54.464000,2022-05-07 17:28:54.520,1,,False,,False,True,94.869,94.869
9,0 days 00:47:05.171000,VER,1,0 days 00:01:35.838000,10.0,2.0,,,32.002,36.851,26.985,0 days 00:46:01.335000,0 days 00:46:38.186000,0 days 00:47:05.171000,208.0,181.0,272.0,305.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:45:29.333000,2022-05-07 17:30:29.389,1,,False,,False,True,95.838,95.83800000000001
