,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:19:23.424000,LEC,16,0 days 00:02:02.245000,1.0,1.0,0 days 00:17:21.837000,,41.672,53.11,27.463,0 days 00:18:02.954000,0 days 00:18:55.986000,0 days 00:19:23.441000,63.0,126.0,267.0,232.0,False,SOFT,1.0,True,Ferrari,0 days 00:17:21.837000,2022-05-28 14:02:22.231,1,,False,,False,False,122.245,122.245
1,0 days 00:20:38.316000,LEC,16,0 days 00:01:14.892000,2.0,1.0,,,20.134,35.102,19.656,0 days 00:19:43.558000,0 days 00:20:18.660000,0 days 00:20:38.316000,211.0,197.0,270.0,282.0,True,SOFT,2.0,True,Ferrari,0 days 00:19:23.424000,2022-05-28 14:04:23.818,1,,False,,False,True,74.892,74.892
2,0 days 00:22:23.959000,LEC,16,0 days 00:01:45.643000,3.0,1.0,,,34.902,46.629,24.112,0 days 00:21:13.218000,0 days 00:21:59.847000,0 days 00:22:23.959000,73.0,165.0,268.0,240.0,False,SOFT,3.0,True,Ferrari,0 days 00:20:38.316000,2022-05-28 14:05:38.710,1,,False,,False,True,105.643,105.643
3,0 days 00:23:36.898000,LEC,16,0 days 00:01:12.939000,4.0,1.0,,,19.351,34.263,19.325,0 days 00:22:43.310000,0 days 00:23:17.573000,0 days 00:23:36.898000,218.0,202.0,269.0,283.0,True,SOFT,4.0,True,Ferrari,0 days 00:22:23.959000,2022-05-28 14:07:24.353,1,,False,,False,True,72.939,72.939
4,0 days 00:25:17.259000,LEC,16,0 days 00:01:40.361000,5.0,1.0,,,27.058,48.237,25.066,0 days 00:24:03.956000,0 days 00:24:52.193000,0 days 00:25:17.259000,150.0,151.0,268.0,189.0,False,SOFT,5.0,True,Ferrari,0 days 00:23:36.898000,2022-05-28 14:08:37.292,1,,False,,False,True,100.361,100.361
5,0 days 00:26:29.828000,LEC,16,0 days 00:01:12.569000,6.0,1.0,,,19.174,34.06,19.335,0 days 00:25:36.433000,0 days 00:26:10.493000,0 days 00:26:29.828000,218.0,202.0,265.0,281.0,True,SOFT,6.0,True,Ferrari,0 days 00:25:17.259000,2022-05-28 14:10:17.653,1,,False,,False,True,72.569,72.569
6,0 days 00:28:14.864000,LEC,16,0 days 00:01:45.036000,7.0,1.0,,,25.596,51.822,27.618,0 days 00:26:55.424000,0 days 00:27:47.246000,0 days 00:28:14.864000,103.0,119.0,268.0,201.0,False,SOFT,7.0,True,Ferrari,0 days 00:26:29.828000,2022-05-28 14:11:30.222,1,,False,,False,True,105.036,105.036
7,0 days 00:29:43.995000,LEC,16,0 days 00:01:29.131000,8.0,1.0,,,23.415,43.145,22.571,0 days 00:28:38.279000,0 days 00:29:21.424000,0 days 00:29:43.995000,170.0,143.0,268.0,248.0,False,SOFT,8.0,True,Ferrari,0 days 00:28:14.864000,2022-05-28 14:13:15.258,1,,False,,False,True,89.131,89.131
8,0 days 00:45:24.537000,LEC,16,,9.0,1.0,,0 days 00:30:59.309000,19.096,,,0 days 00:30:03.139000,,,219.0,,,282.0,False,SOFT,9.0,True,Ferrari,0 days 00:29:43.995000,2022-05-28 14:14:44.389,152,,False,,False,False,,
9,0 days 00:47:07.944000,LEC,16,0 days 00:01:43.407000,10.0,2.0,0 days 00:45:25.509000,,38.153,41.806,23.448,0 days 00:46:02.690000,0 days 00:46:44.496000,0 days 00:47:07.944000,166.0,161.0,269.0,247.0,False,SOFT,1.0,True,Ferrari,0 days 00:45:25.509000,2022-05-28 14:30:25.903,1,,False,,False,False,103.407,103.40700000000001
