,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:36:39.731000,VER,1,,1.0,1.0,0 days 00:34:39.377000,,,38.078,40.566,,0 days 00:35:59.274000,0 days 00:36:39.772000,261.0,150.0,299.0,269.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:34:39.377000,2022-03-25 17:19:39.388,1,,False,,False,False,,
1,0 days 00:38:11.021000,VER,1,0 days 00:01:31.290000,2.0,1.0,,,33.754,29.175,28.361,0 days 00:37:13.485000,0 days 00:37:42.660000,0 days 00:38:11.021000,281.0,321.0,297.0,328.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:36:39.731000,2022-03-25 17:21:39.742,1,,False,,False,True,91.29,91.29
2,0 days 00:40:37.412000,VER,1,0 days 00:02:26.391000,3.0,1.0,,,57.243,49.95,39.198,0 days 00:39:08.264000,0 days 00:39:58.214000,0 days 00:40:37.412000,141.0,198.0,299.0,75.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:38:11.021000,2022-03-25 17:23:11.032,1,,False,,False,True,146.391,146.39100000000002
3,0 days 00:42:07.963000,VER,1,0 days 00:01:30.551000,4.0,1.0,,,33.206,28.94,28.405,0 days 00:41:10.618000,0 days 00:41:39.558000,0 days 00:42:07.963000,282.0,321.0,297.0,327.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:40:37.412000,2022-03-25 17:25:37.423,1,,False,,False,True,90.551,90.551
4,0 days 00:45:00.199000,VER,1,,5.0,1.0,,,64.703,60.254,47.259,0 days 00:43:12.856000,0 days 00:44:13.046000,0 days 00:45:00.238000,120.0,138.0,298.0,137.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:42:07.963000,2022-03-25 17:27:07.974,1,,False,,False,False,,172.216
5,0 days 00:46:30.413000,VER,1,0 days 00:01:30.214000,6.0,1.0,,,33.136,28.823,28.255,0 days 00:45:33.335000,0 days 00:46:02.158000,0 days 00:46:30.413000,283.0,323.0,294.0,324.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:45:00.199000,2022-03-25 17:30:00.210,1,,False,,False,True,90.214,90.214
6,0 days 00:48:15.399000,VER,1,0 days 00:01:44.986000,7.0,1.0,,0 days 00:48:14.196000,38.342,32.342,34.302,0 days 00:47:08.755000,0 days 00:47:41.097000,0 days 00:48:15.399000,257.0,276.0,,282.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:46:30.413000,2022-03-25 17:31:30.424,1,,False,,False,False,104.986,104.98599999999999
7,0 days 01:00:22.992000,VER,1,,8.0,2.0,0 days 00:58:21.818000,,,39.859,31.951,,0 days 00:59:51.159000,0 days 01:00:22.994000,209.0,251.0,299.0,284.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:48:15.399000,2022-03-25 17:33:15.410,1,,False,,False,False,,
8,0 days 01:02:34.669000,VER,1,0 days 00:02:11.677000,9.0,2.0,,,51.223,40.624,39.83,0 days 01:01:14.215000,0 days 01:01:54.839000,0 days 01:02:34.669000,140.0,277.0,298.0,144.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:00:22.992000,2022-03-25 17:45:23.003,1,,False,,False,True,131.677,131.67700000000002
9,0 days 01:04:49.060000,VER,1,0 days 00:02:14.391000,10.0,2.0,,,48.125,44.256,42.01,0 days 01:03:22.794000,0 days 01:04:07.050000,0 days 01:04:49.060000,217.0,228.0,281.0,175.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:02:34.669000,2022-03-25 17:47:34.680,1267,,False,,False,False,134.391,134.391
10,0 days 01:06:51.914000,VER,1,0 days 00:02:02.854000,11.0,2.0,,,51.002,39.101,32.751,0 days 01:05:40.062000,0 days 01:06:19.163000,0 days 01:06:51.914000,216.0,271.0,298.0,283.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:04:49.060000,2022-03-25 17:49:49.071,1,,False,,False,True,122.854,122.85400000000001
11,0 days 01:08:36.170000,VER,1,0 days 00:01:44.256000,12.0,2.0,,0 days 01:08:34.975000,33.167,28.762,42.327,0 days 01:07:25.081000,0 days 01:07:53.843000,0 days 01:08:36.170000,283.0,324.0,,251.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:06:51.914000,2022-03-25 17:51:51.925,1,,False,,False,False,104.256,104.256
