,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:01.228000,VER,1,0 days 00:01:45.631000,1.0,1.0,0 days 00:18:17.690000,,39.793,19.339,46.499,0 days 00:18:55.565000,0 days 00:19:14.908000,0 days 00:20:01.329000,265.0,199.0,299.0,201.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:17.690000,2023-03-31 01:33:18.690,1,,False,,False,False,105.631,105.631
1,0 days 00:21:22.500000,VER,1,0 days 00:01:21.272000,2.0,1.0,,,28.469,18.043,34.76,0 days 00:20:29.697000,0 days 00:20:47.740000,0 days 00:21:22.500000,283.0,324.0,302.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:20:01.228000,2023-03-31 01:35:02.228,12,,False,,False,True,81.272,81.27199999999999
2,0 days 00:23:07.501000,VER,1,0 days 00:01:45.001000,3.0,1.0,,,37.179,20.743,47.079,0 days 00:21:59.679000,0 days 00:22:20.422000,0 days 00:23:07.501000,243.0,244.0,303.0,265.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:21:22.500000,2023-03-31 01:36:23.500,1,,False,,False,True,105.001,105.001
3,0 days 00:24:26.833000,VER,1,0 days 00:01:19.332000,4.0,1.0,,,27.546,17.836,33.95,0 days 00:23:35.047000,0 days 00:23:52.883000,0 days 00:24:26.833000,284.0,324.0,303.0,324.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:23:07.501000,2023-03-31 01:38:08.501,1,,False,,False,True,79.332,79.332
4,0 days 00:26:41.437000,VER,1,0 days 00:02:14.604000,5.0,1.0,,0 days 00:25:58.716000,31.36,20.12,83.124,0 days 00:24:58.193000,0 days 00:25:18.313000,0 days 00:26:41.437000,266.0,252.0,,278.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:24:26.833000,2023-03-31 01:39:27.833,12,,False,,False,False,134.604,134.60399999999998
5,0 days 00:28:46.852000,VER,1,0 days 00:02:05.415000,6.0,2.0,0 days 00:26:45.653000,,59.399,19.895,46.121,0 days 00:27:40.836000,0 days 00:28:00.731000,0 days 00:28:46.852000,262.0,284.0,303.0,144.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:26:41.437000,2023-03-31 01:41:42.437,1,,False,,False,False,125.415,125.41499999999999
6,0 days 00:30:25.627000,VER,1,0 days 00:01:38.775000,7.0,2.0,,,31.409,23.489,43.877,0 days 00:29:18.261000,0 days 00:29:41.750000,0 days 00:30:25.627000,242.0,166.0,303.0,324.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:28:46.852000,2023-03-31 01:43:47.852,1,,False,,False,True,98.775,98.775
7,0 days 00:31:44.905000,VER,1,0 days 00:01:19.278000,8.0,2.0,,,27.216,17.673,34.389,0 days 00:30:52.843000,0 days 00:31:10.516000,0 days 00:31:44.905000,285.0,323.0,302.0,322.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:30:25.627000,2023-03-31 01:45:26.627,1,,False,,False,True,79.278,79.27799999999999
8,0 days 00:33:38.682000,VER,1,0 days 00:01:53.777000,9.0,2.0,,,44.198,28.89,40.689,0 days 00:32:29.103000,0 days 00:32:57.993000,0 days 00:33:38.682000,182.0,191.0,303.0,232.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:31:44.905000,2023-03-31 01:46:45.905,1,,False,,False,True,113.777,113.77699999999999
9,0 days 00:34:57.472000,VER,1,0 days 00:01:18.790000,10.0,2.0,,,27.231,17.649,33.91,0 days 00:34:05.913000,0 days 00:34:23.562000,0 days 00:34:57.472000,285.0,322.0,302.0,322.0,True,SOFT,10.0,False,Red Bull Racing,0 days 00:33:38.682000,2023-03-31 01:48:39.682,1,,False,,False,True,78.79,78.78999999999999
10,0 days 00:49:42.028000,VER,1,,11.0,2.0,,0 days 00:36:23.303000,29.777,19.953,,0 days 00:35:27.428000,0 days 00:35:47.381000,,256.0,280.0,,293.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:34:57.472000,2023-03-31 01:49:58.472,1,,False,,False,False,,
11,0 days 01:00:04.935000,VER,1,,12.0,3.0,0 days 00:49:42.028000,0 days 00:51:18.261000,36.581,19.425,,0 days 00:50:16.746000,0 days 00:50:36.168000,,275.0,277.0,,182.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:49:42.028000,2023-03-31 02:04:43.028,15,,False,,False,False,,
12,0 days 01:02:33.521000,VER,1,0 days 00:02:28.586000,13.0,4.0,0 days 01:01:02.036000,,92.992,19.187,36.407,0 days 01:01:37.927000,0 days 01:01:57.114000,0 days 01:02:33.521000,265.0,273.0,304.0,198.0,False,SOFT,1.0,False,Red Bull Racing,0 days 01:01:02.036000,2023-03-31 02:16:03.036,1,,False,,False,False,148.586,148.586
13,0 days 01:03:58.860000,VER,1,0 days 00:01:25.339000,14.0,4.0,,,29.435,18.951,36.953,0 days 01:03:02.956000,0 days 01:03:21.907000,0 days 01:03:58.860000,275.0,286.0,304.0,323.0,False,SOFT,2.0,False,Red Bull Racing,0 days 01:02:33.521000,2023-03-31 02:17:34.521,1,,False,,False,True,85.339,85.339
14,0 days 01:06:00.420000,VER,1,0 days 00:02:01.560000,15.0,4.0,,,31.818,30.368,59.374,0 days 01:04:30.678000,0 days 01:05:01.046000,0 days 01:06:00.420000,256.0,148.0,163.0,323.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:03:58.860000,2023-03-31 02:18:59.860,1,,False,,False,True,121.56,121.56
15,0 days 01:07:44.719000,VER,1,0 days 00:01:44.299000,16.0,4.0,,,42.466,22.369,39.464,0 days 01:06:42.886000,0 days 01:07:05.255000,0 days 01:07:44.719000,229.0,282.0,303.0,143.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:06:00.420000,2023-03-31 02:21:01.420,1,,False,,False,True,104.299,104.299
16,0 days 01:10:37.592000,VER,1,,17.0,4.0,,0 days 01:10:37.592000,59.173,43.604,,0 days 01:08:43.968000,0 days 01:09:27.592000,,101.0,111.0,,323.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:07:44.719000,2023-03-31 02:22:45.719,12,,False,,False,False,,
17,0 days 00:18:03.766000,SAR,2,0 days 00:02:03.608000,1.0,1.0,0 days 00:16:02.113000,,42.263,21.582,59.763,0 days 00:16:42.597000,0 days 00:17:04.175000,0 days 00:18:03.878000,255.0,285.0,294.0,197.0,False,HARD,1.0,True,Williams,0 days 00:16:02.113000,2023-03-31 01:31:03.113,1,,False,,False,False,123.608,123.608
18,0 days 00:19:31.063000,SAR,2,0 days 00:01:27.297000,2.0,1.0,,,30.807,18.969,37.521,0 days 00:18:34.573000,0 days 00:18:53.542000,0 days 00:19:31.063000,270.0,318.0,300.0,305.0,True,HARD,2.0,True,Williams,0 days 00:18:03.766000,2023-03-31 01:33:04.766,1,,False,,False,True,87.297,87.297
19,0 days 00:20:54.601000,SAR,2,0 days 00:01:23.538000,3.0,1.0,,,29.263,18.464,35.811,0 days 00:20:00.326000,0 days 00:20:18.790000,0 days 00:20:54.601000,277.0,320.0,300.0,315.0,True,HARD,3.0,True,Williams,0 days 00:19:31.063000,2023-03-31 01:34:32.063,12,,False,,False,True,83.538,83.53800000000001
20,0 days 00:22:43.831000,SAR,2,0 days 00:01:49.230000,4.0,1.0,,,28.451,29.391,51.388,0 days 00:21:23.052000,0 days 00:21:52.443000,0 days 00:22:43.831000,280.0,95.0,300.0,319.0,False,HARD,4.0,True,Williams,0 days 00:20:54.601000,2023-03-31 01:35:55.601,1,,False,,False,True,109.23,109.22999999999999
21,0 days 00:24:06.143000,SAR,2,0 days 00:01:22.312000,5.0,1.0,,,28.532,18.339,35.441,0 days 00:23:12.363000,0 days 00:23:30.702000,0 days 00:24:06.143000,280.0,319.0,301.0,321.0,True,HARD,5.0,True,Williams,0 days 00:22:43.831000,2023-03-31 01:37:44.831,1,,False,,False,True,82.312,82.312
22,0 days 00:25:58.528000,SAR,2,0 days 00:01:52.385000,6.0,1.0,,,38.195,27.515,46.675,0 days 00:24:44.338000,0 days 00:25:11.853000,0 days 00:25:58.528000,240.0,263.0,301.0,306.0,False,HARD,6.0,True,Williams,0 days 00:24:06.143000,2023-03-31 01:39:07.143,12,,False,,False,True,112.385,112.385
23,0 days 00:27:19.679000,SAR,2,0 days 00:01:21.151000,7.0,1.0,,,28.135,18.207,34.809,0 days 00:26:26.663000,0 days 00:26:44.870000,0 days 00:27:19.679000,283.0,320.0,300.0,321.0,True,HARD,7.0,True,Williams,0 days 00:25:58.528000,2023-03-31 01:40:59.528,1,,False,,False,True,81.151,81.151
24,0 days 00:29:06.189000,SAR,2,0 days 00:01:46.510000,8.0,1.0,,,34.97,23.4,48.14,0 days 00:27:54.649000,0 days 00:28:18.049000,0 days 00:29:06.189000,252.0,289.0,301.0,304.0,False,HARD,8.0,True,Williams,0 days 00:27:19.679000,2023-03-31 01:42:20.679,1,,False,,False,True,106.51,106.50999999999999
25,0 days 00:30:26.947000,SAR,2,0 days 00:01:20.758000,9.0,1.0,,,28.125,18.197,34.436,0 days 00:29:34.314000,0 days 00:29:52.511000,0 days 00:30:26.947000,283.0,320.0,305.0,320.0,True,HARD,9.0,True,Williams,0 days 00:29:06.189000,2023-03-31 01:44:07.189,1,,False,,False,True,80.758,80.75800000000001
26,0 days 00:32:56.476000,SAR,2,0 days 00:02:29.529000,10.0,1.0,,0 days 00:32:03.274000,32.154,20.893,96.482,0 days 00:30:59.101000,0 days 00:31:19.994000,0 days 00:32:56.476000,246.0,279.0,,304.0,False,HARD,10.0,True,Williams,0 days 00:30:26.947000,2023-03-31 01:45:27.947,1,,False,,False,False,149.529,149.529
27,0 days 00:35:12.103000,SAR,2,0 days 00:02:15.627000,11.0,2.0,0 days 00:32:58.461000,0 days 00:34:34.835000,37.705,20.305,77.617,0 days 00:33:34.181000,0 days 00:33:54.486000,0 days 00:35:12.103000,260.0,278.0,,226.0,False,HARD,11.0,False,Williams,0 days 00:32:56.476000,2023-03-31 01:47:57.476,1,,False,,False,False,135.627,135.627
28,0 days 00:46:57.821000,SAR,2,,12.0,3.0,0 days 00:35:14.085000,0 days 00:36:54.849000,36.088,23.25,,0 days 00:35:48.365000,0 days 00:36:11.678000,,263.0,106.0,,228.0,False,HARD,12.0,False,Williams,0 days 00:35:12.103000,2023-03-31 01:50:13.103,1,,False,,False,False,,
29,0 days 00:48:54.076000,SAR,2,0 days 00:01:56.255000,13.0,4.0,0 days 00:46:59.733000,,46.725,26.297,43.233,0 days 00:47:44.546000,0 days 00:48:10.843000,0 days 00:48:54.076000,263.0,297.0,299.0,122.0,False,SOFT,1.0,True,Williams,0 days 00:46:57.821000,2023-03-31 02:01:58.821,1,,False,,False,False,116.255,116.255
