,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:44.265000,16.7,85.0,932.9,False,21.7,249,0.8
1,0 days 00:01:44.280000,16.6,84.0,932.9,False,21.5,250,1.1
2,0 days 00:02:44.279000,16.6,85.0,933.0,False,21.4,259,0.8
3,0 days 00:03:44.278000,16.7,84.0,932.9,False,21.4,285,1.1
4,0 days 00:04:44.278000,16.6,84.0,932.9,False,21.5,256,0.8
5,0 days 00:05:44.277000,16.7,85.0,932.9,False,21.5,253,0.6
6,0 days 00:06:44.276000,16.6,85.0,932.9,False,21.7,222,0.6
7,0 days 00:07:44.276000,16.6,84.0,932.7,False,21.7,257,1.1
8,0 days 00:08:44.275000,16.6,85.0,932.9,False,21.8,258,1.2
9,0 days 00:09:44.274000,16.6,84.0,932.7,False,21.8,253,1.2
10,0 days 00:10:44.274000,16.7,84.0,932.7,False,21.8,228,1.1
11,0 days 00:11:44.273000,16.8,85.0,932.9,False,22.2,236,0.6
12,0 days 00:12:44.272000,16.8,83.0,932.7,False,22.3,80,0.6
13,0 days 00:13:44.287000,16.8,82.0,932.7,False,22.4,82,0.6
14,0 days 00:14:44.286000,16.8,83.0,932.7,False,22.5,88,0.8
15,0 days 00:15:44.286000,16.8,82.0,932.9,False,22.2,108,1.2
16,0 days 00:16:44.285000,16.7,83.0,932.7,False,22.3,105,1.0
17,0 days 00:17:44.284000,16.8,83.0,932.7,False,22.5,103,1.0
18,0 days 00:18:44.284000,16.8,83.0,932.7,False,22.6,87,1.7
19,0 days 00:19:44.299000,16.9,83.0,932.7,False,22.9,87,2.5
20,0 days 00:20:44.314000,17.0,82.0,932.7,False,23.1,87,2.5
21,0 days 00:21:44.329000,17.1,81.0,932.7,False,23.2,80,2.4
22,0 days 00:22:44.328000,17.2,81.0,932.7,False,23.2,77,1.7
23,0 days 00:23:44.327000,17.2,80.0,932.7,False,23.1,86,1.5
24,0 days 00:24:44.342000,17.3,80.0,932.7,False,23.1,84,1.1
25,0 days 00:25:44.342000,17.2,79.0,932.7,False,23.0,62,1.7
26,0 days 00:26:44.356000,17.1,81.0,932.7,False,22.9,75,1.3
27,0 days 00:27:44.371000,17.1,80.0,932.7,False,23.1,72,1.2
28,0 days 00:28:44.371000,17.1,81.0,932.7,False,23.4,84,1.2
29,0 days 00:29:44.370000,17.1,81.0,932.7,False,23.4,85,1.3
30,0 days 00:30:44.385000,17.1,80.0,932.7,False,23.2,18,0.8
31,0 days 00:31:44.400000,17.2,81.0,932.7,False,23.2,89,0.8
32,0 days 00:32:44.415000,17.1,82.0,932.5,False,23.1,0,0.5
33,0 days 00:33:44.445000,17.1,83.0,932.7,False,23.3,28,0.4
34,0 days 00:34:44.429000,17.2,81.0,932.7,False,23.7,0,0.0
35,0 days 00:35:44.413000,17.3,82.0,932.7,False,23.6,69,0.4
36,0 days 00:36:44.412000,17.3,81.0,932.7,False,23.6,96,0.6
37,0 days 00:37:44.411000,17.3,81.0,932.7,False,24.0,96,1.1
38,0 days 00:38:44.411000,17.4,81.0,932.7,False,24.1,79,1.0
39,0 days 00:39:44.410000,17.4,80.0,932.5,False,24.1,85,0.8
40,0 days 00:40:44.409000,17.5,78.0,932.7,False,24.1,39,1.1
41,0 days 00:41:44.424000,17.3,81.0,932.7,False,23.7,87,1.2
42,0 days 00:42:44.424000,17.3,79.0,932.7,False,23.7,62,1.2
43,0 days 00:43:44.423000,17.3,79.0,932.7,False,23.9,64,1.5
44,0 days 00:44:44.422000,17.4,79.0,932.7,False,23.8,68,0.6
45,0 days 00:45:44.422000,17.3,80.0,932.7,False,23.2,64,0.8
46,0 days 00:46:44.437000,17.3,80.0,932.5,False,23.4,76,0.6
47,0 days 00:47:44.436000,17.5,80.0,932.7,False,23.6,79,1.0
48,0 days 00:48:44.451000,17.4,79.0,932.7,False,23.7,90,1.2
49,0 days 00:49:44.466000,17.4,79.0,932.7,False,23.9,50,1.0
50,0 days 00:50:44.465000,17.4,79.0,932.7,False,23.9,111,0.6
51,0 days 00:51:44.464000,17.4,79.0,932.7,False,23.9,132,0.5
52,0 days 00:52:44.464000,17.3,80.0,932.7,False,23.9,82,0.0
53,0 days 00:53:44.479000,17.3,80.0,932.7,False,23.4,348,0.5
54,0 days 00:54:44.478000,17.4,80.0,932.5,False,23.4,97,0.6
55,0 days 00:55:44.477000,17.5,78.0,932.7,False,23.7,97,1.2
56,0 days 00:56:44.477000,17.5,78.0,932.5,False,23.9,136,1.0
57,0 days 00:57:44.460000,17.5,79.0,932.7,False,24.1,109,0.6
58,0 days 00:58:44.475000,17.6,79.0,932.5,False,24.1,220,0.6
59,0 days 00:59:44.475000,17.6,79.0,932.7,False,23.7,99,0.4
60,0 days 01:00:44.490000,17.6,79.0,932.5,False,23.7,96,0.6
61,0 days 01:01:44.489000,17.6,79.0,932.5,False,23.9,26,0.4
