,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:26.186000,VER,1,,1.0,1.0,0 days 00:15:48.676000,,,34.174,32.71,,0 days 00:16:53.488000,0 days 00:17:26.191000,287.0,221.0,274.0,292.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:15:48.676000,2023-07-01 10:01:07.890,1,,False,,False,False,,
1,0 days 00:18:36.387000,VER,1,0 days 00:01:10.201000,2.0,1.0,,,17.272,30.557,22.372,0 days 00:17:43.458000,0 days 00:18:14.015000,0 days 00:18:36.387000,320.0,241.0,278.0,318.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:26.186000,2023-07-01 10:02:45.400,12,,True,TRACK LIMITS AT TURN 9 LAP 3 ,False,True,70.201,70.201
2,0 days 00:19:45.033000,VER,1,0 days 00:01:08.646000,3.0,1.0,,,17.018,30.361,21.267,0 days 00:18:53.405000,0 days 00:19:23.766000,0 days 00:19:45.033000,323.0,244.0,282.0,319.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:36.387000,2023-07-01 10:03:55.601,1,,False,,False,True,68.646,68.646
3,0 days 00:21:19.001000,VER,1,0 days 00:01:33.968000,4.0,1.0,,,23.184,45.55,25.234,0 days 00:20:08.217000,0 days 00:20:53.767000,0 days 00:21:19.001000,133.0,192.0,282.0,189.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:19:45.033000,2023-07-01 10:05:04.247,12,,False,,False,True,93.968,93.96799999999999
4,0 days 00:22:26.215000,VER,1,0 days 00:01:07.214000,5.0,1.0,,,16.824,29.717,20.673,0 days 00:21:35.825000,0 days 00:22:05.542000,0 days 00:22:26.215000,320.0,245.0,284.0,318.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:21:19.001000,2023-07-01 10:06:38.215,1,,False,,False,True,67.214,67.214
5,0 days 00:23:46.219000,VER,1,0 days 00:01:20.004000,6.0,1.0,,0 days 00:23:42.921000,19.57,32.1,28.334,0 days 00:22:45.785000,0 days 00:23:17.885000,0 days 00:23:46.219000,207.0,232.0,,292.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:22:26.215000,2023-07-01 10:07:45.429,1,,False,,False,False,80.004,80.004
6,0 days 00:25:27.929000,VER,1,0 days 00:01:41.710000,7.0,2.0,0 days 00:24:06.358000,,40.747,37.523,23.44,0 days 00:24:26.966000,0 days 00:25:04.489000,0 days 00:25:27.929000,245.0,203.0,286.0,289.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:23:46.219000,2023-07-01 10:09:05.433,1,,False,,False,False,101.71,101.71000000000001
7,0 days 00:26:34.165000,VER,1,0 days 00:01:06.236000,8.0,2.0,,,16.572,29.236,20.428,0 days 00:25:44.501000,0 days 00:26:13.737000,0 days 00:26:34.165000,321.0,246.0,290.0,317.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:25:27.929000,2023-07-01 10:10:47.143,1,,False,,False,True,66.236,66.236
8,0 days 00:28:08.678000,VER,1,0 days 00:01:34.513000,9.0,2.0,,0 days 00:28:05.356000,19.05,45.05,30.413,0 days 00:26:53.215000,0 days 00:27:38.265000,0 days 00:28:08.678000,197.0,201.0,,191.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:26:34.165000,2023-07-01 10:11:53.379,1,,False,,False,False,94.513,94.51299999999999
9,0 days 00:35:04.912000,VER,1,,10.0,3.0,0 days 00:33:45.836000,,,35.964,22.202,,0 days 00:34:42.710000,0 days 00:35:04.991000,228.0,217.0,287.0,269.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:28:08.678000,2023-07-01 10:13:27.892,1,,False,,False,False,,
10,0 days 00:36:10.536000,VER,1,0 days 00:01:05.624000,11.0,3.0,,,16.445,29.157,20.022,0 days 00:35:21.357000,0 days 00:35:50.514000,0 days 00:36:10.536000,323.0,247.0,286.0,318.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:35:04.912000,2023-07-01 10:20:24.126,1,,False,,False,True,65.624,65.624
