,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:43:06.346000,VER,1,,1.0,1.0,,,,36.566,24.453,,0 days 00:42:41.987000,0 days 00:43:06.393000,293.0,219.0,260.0,293.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:41:41.441000,2023-07-01 14:33:02.902,1,1.0,False,,False,False,,
1,0 days 00:44:24.844000,VER,1,0 days 00:01:18.498000,2.0,1.0,,,19.411,34.676,24.411,0 days 00:43:25.784000,0 days 00:44:00.460000,0 days 00:44:24.871000,284.0,220.0,261.0,292.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:43:06.346000,2023-07-01 14:34:27.807,1,1.0,False,,False,True,78.498,78.498
2,0 days 00:45:42.852000,VER,1,0 days 00:01:18.008000,3.0,1.0,,,19.335,34.398,24.275,0 days 00:44:44.206000,0 days 00:45:18.604000,0 days 00:45:42.879000,279.0,219.0,263.0,291.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 00:44:24.844000,2023-07-01 14:35:46.305,1,1.0,False,,False,True,78.008,78.00800000000001
3,0 days 00:47:00.279000,VER,1,0 days 00:01:17.427000,4.0,1.0,,,19.143,34.356,23.928,0 days 00:46:02.022000,0 days 00:46:36.378000,0 days 00:47:00.306000,286.0,223.0,262.0,294.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 00:45:42.852000,2023-07-01 14:37:04.313,1,1.0,False,,False,True,77.427,77.427
4,0 days 00:48:17.086000,VER,1,0 days 00:01:16.807000,5.0,1.0,,,19.078,33.978,23.751,0 days 00:47:19.384000,0 days 00:47:53.362000,0 days 00:48:17.113000,286.0,221.0,263.0,293.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 00:47:00.279000,2023-07-01 14:38:21.740,1,1.0,False,,False,True,76.807,76.807
5,0 days 00:49:33.633000,VER,1,0 days 00:01:16.547000,6.0,1.0,,,18.997,33.714,23.836,0 days 00:48:36.110000,0 days 00:49:09.824000,0 days 00:49:33.660000,288.0,222.0,262.0,294.0,True,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 00:48:17.086000,2023-07-01 14:39:38.547,1,1.0,False,,False,True,76.547,76.547
6,0 days 00:50:50.515000,VER,1,0 days 00:01:16.882000,7.0,1.0,,,18.907,34.372,23.603,0 days 00:49:52.567000,0 days 00:50:26.939000,0 days 00:50:50.542000,290.0,223.0,263.0,294.0,False,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 00:49:33.633000,2023-07-01 14:40:55.094,1,1.0,False,,False,True,76.882,76.882
7,0 days 00:52:06.543000,VER,1,0 days 00:01:16.028000,8.0,1.0,,,18.969,33.591,23.468,0 days 00:51:09.511000,0 days 00:51:43.102000,0 days 00:52:06.570000,292.0,223.0,264.0,296.0,True,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 00:50:50.515000,2023-07-01 14:42:11.976,1,1.0,False,,False,True,76.028,76.028
8,0 days 00:53:22.454000,VER,1,0 days 00:01:15.911000,9.0,1.0,,,18.953,33.596,23.362,0 days 00:52:25.523000,0 days 00:52:59.119000,0 days 00:53:22.481000,292.0,223.0,264.0,295.0,True,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 00:52:06.543000,2023-07-01 14:43:28.004,1,1.0,False,,False,True,75.911,75.91099999999999
9,0 days 00:54:38.228000,VER,1,0 days 00:01:15.774000,10.0,1.0,,,18.915,33.599,23.26,0 days 00:53:41.396000,0 days 00:54:14.995000,0 days 00:54:38.255000,294.0,221.0,265.0,296.0,True,INTERMEDIATE,10.0,True,Red Bull Racing,0 days 00:53:22.454000,2023-07-01 14:44:43.915,1,1.0,False,,False,True,75.774,75.774
