,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:48.489000,LEC,16,,1.0,1.0,0 days 00:15:46.990000,,,53.77,26.354,,0 days 00:17:22.207000,0 days 00:17:48.489000,181.0,203.0,329.0,302.0,False,SOFT,1.0,True,Ferrari,0 days 00:15:46.990000,2023-04-28 13:01:20.412,12,,False,,False,False,,
1,0 days 00:19:30.594000,LEC,16,0 days 00:01:42.105000,2.0,1.0,,,36.129,41.072,24.904,0 days 00:18:24.618000,0 days 00:19:05.690000,0 days 00:19:30.594000,218.0,244.0,332.0,321.0,True,SOFT,2.0,True,Ferrari,0 days 00:17:48.489000,2023-04-28 13:03:21.911,12,,False,,False,True,102.105,102.10499999999999
2,0 days 00:21:53.957000,LEC,16,0 days 00:02:23.363000,3.0,1.0,,,57.461,59.72,26.182,0 days 00:20:28.055000,0 days 00:21:27.775000,0 days 00:21:53.957000,109.0,198.0,330.0,304.0,False,SOFT,3.0,True,Ferrari,0 days 00:19:30.594000,2023-04-28 13:05:04.016,12,,False,,False,True,143.363,143.363
3,0 days 00:39:43.926000,LEC,16,,4.0,1.0,,0 days 00:24:19.781000,,,,,,,,,,,False,SOFT,4.0,True,Ferrari,0 days 00:21:53.957000,2023-04-28 13:07:27.379,251,,False,,False,False,,
4,0 days 00:52:40.543000,LEC,16,,5.0,2.0,0 days 00:39:43.926000,0 days 00:41:53.550000,,47.246,,,0 days 00:41:09.629000,,189.0,199.0,,,False,SOFT,5.0,False,Ferrari,0 days 00:39:43.926000,2023-04-28 13:25:17.348,125,,False,,False,False,,
5,0 days 00:54:48.880000,LEC,16,,6.0,3.0,0 days 00:52:40.543000,,,59.212,26.157,,0 days 00:54:22.760000,0 days 00:54:49.057000,169.0,192.0,330.0,304.0,False,SOFT,6.0,False,Ferrari,0 days 00:52:40.543000,2023-04-28 13:38:13.965,1,,False,,False,False,,
6,0 days 00:56:30.718000,LEC,16,0 days 00:01:41.838000,7.0,3.0,,,35.892,41.097,24.849,0 days 00:55:24.772000,0 days 00:56:05.869000,0 days 00:56:30.718000,233.0,232.0,335.0,318.0,True,SOFT,7.0,False,Ferrari,0 days 00:54:48.880000,2023-04-28 13:40:22.302,1,,False,,False,True,101.838,101.83800000000001
7,0 days 00:58:48.042000,LEC,16,0 days 00:02:17.324000,8.0,3.0,,,53.663,56.059,27.602,0 days 00:57:24.381000,0 days 00:58:20.440000,0 days 00:58:48.042000,139.0,69.0,330.0,304.0,False,SOFT,8.0,False,Ferrari,0 days 00:56:30.718000,2023-04-28 13:42:04.140,1,,False,,False,True,137.324,137.32399999999998
8,0 days 01:00:29.311000,LEC,16,0 days 00:01:41.269000,9.0,3.0,,,35.502,40.891,24.876,0 days 00:59:23.544000,0 days 01:00:04.435000,0 days 01:00:29.311000,232.0,243.0,330.0,317.0,True,SOFT,9.0,False,Ferrari,0 days 00:58:48.042000,2023-04-28 13:44:21.464,1,,False,,False,True,101.269,101.269
9,0 days 01:02:44.805000,LEC,16,0 days 00:02:15.494000,10.0,3.0,,0 days 01:02:43.458000,44.444,50.869,40.181,0 days 01:01:13.755000,0 days 01:02:04.624000,0 days 01:02:44.805000,172.0,178.0,,195.0,False,SOFT,10.0,False,Ferrari,0 days 01:00:29.311000,2023-04-28 13:46:02.733,1,,False,,False,False,135.494,135.494
10,0 days 01:11:50.686000,LEC,16,,11.0,4.0,0 days 01:09:55.499000,,,49.373,26.11,,0 days 01:11:24.764000,0 days 01:11:50.686000,168.0,182.0,328.0,302.0,False,SOFT,1.0,True,Ferrari,0 days 01:02:44.805000,2023-04-28 13:48:18.227,1,,False,,False,False,,
11,0 days 01:13:31.902000,LEC,16,0 days 00:01:41.216000,12.0,4.0,,,35.528,40.754,24.934,0 days 01:12:26.214000,0 days 01:13:06.968000,0 days 01:13:31.902000,234.0,237.0,330.0,315.0,True,SOFT,2.0,True,Ferrari,0 days 01:11:50.686000,2023-04-28 13:57:24.108,1,,False,,False,True,101.216,101.216
12,0 days 01:15:51.204000,LEC,16,0 days 00:02:19.302000,13.0,4.0,,,56.408,56.88,26.014,0 days 01:14:28.310000,0 days 01:15:25.190000,0 days 01:15:51.204000,77.0,205.0,330.0,304.0,False,SOFT,3.0,True,Ferrari,0 days 01:13:31.902000,2023-04-28 13:59:05.324,1,,False,,False,True,139.302,139.30200000000002
13,0 days 01:17:32.241000,LEC,16,0 days 00:01:41.037000,14.0,4.0,,,35.494,40.703,24.84,0 days 01:16:26.698000,0 days 01:17:07.401000,0 days 01:17:32.241000,234.0,240.0,329.0,317.0,True,SOFT,4.0,True,Ferrari,0 days 01:15:51.204000,2023-04-28 14:01:24.626,1,,False,,False,True,101.037,101.037
