,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:03.990000,23.6,68.0,1011.5,False,47.1,79,1.2
1,0 days 00:01:03.989000,23.6,68.0,1011.5,False,47.1,84,0.8
2,0 days 00:02:03.988000,23.6,68.0,1011.5,False,47.1,107,1.2
3,0 days 00:03:03.987000,23.6,68.0,1011.5,False,47.1,25,1.1
4,0 days 00:04:03.986000,23.8,68.0,1011.5,False,47.2,93,0.8
5,0 days 00:05:03.985000,23.9,67.0,1011.5,False,47.7,60,0.8
6,0 days 00:06:03.984000,24.0,67.0,1011.4,False,47.8,74,1.5
7,0 days 00:07:03.998000,24.1,66.0,1011.5,False,47.8,51,1.0
8,0 days 00:08:03.997000,24.2,66.0,1011.4,False,47.8,47,1.1
9,0 days 00:09:03.996000,24.3,66.0,1011.2,False,47.6,305,1.2
10,0 days 00:10:03.995000,24.2,66.0,1011.2,False,48.2,76,1.0
11,0 days 00:11:03.994000,24.3,67.0,1011.2,False,48.1,78,1.0
12,0 days 00:12:03.993000,24.4,67.0,1011.4,False,48.1,27,0.8
13,0 days 00:13:04.023000,24.4,67.0,1011.4,False,47.2,3,1.2
14,0 days 00:14:03.990000,24.4,68.0,1011.2,False,47.5,14,0.8
15,0 days 00:15:03.989000,24.2,69.0,1011.2,False,47.8,45,1.1
16,0 days 00:16:03.988000,24.2,69.0,1011.2,False,47.8,92,1.2
17,0 days 00:17:03.987000,24.2,71.0,1011.2,False,47.1,14,1.3
18,0 days 00:18:03.986000,24.2,71.0,1011.2,False,47.2,62,0.8
19,0 days 00:19:04.001000,24.3,71.0,1011.2,False,47.5,238,0.8
20,0 days 00:20:04,24.4,69.0,1011.2,False,47.9,220,1.1
21,0 days 00:21:03.999000,24.6,68.0,1011.2,False,48.8,356,0.8
22,0 days 00:22:03.997000,24.8,66.0,1011.2,False,48.5,0,1.0
23,0 days 00:23:03.996000,24.9,65.0,1011.2,False,48.5,15,0.6
24,0 days 00:24:03.995000,25.0,65.0,1011.2,False,48.8,21,0.5
25,0 days 00:25:03.994000,25.0,66.0,1011.2,False,48.8,103,1.3
26,0 days 00:26:03.993000,25.0,65.0,1011.2,False,48.3,2,0.6
27,0 days 00:27:03.992000,25.0,65.0,1011.2,False,48.3,351,1.2
28,0 days 00:28:03.991000,25.0,65.0,1011.2,False,48.3,351,1.2
29,0 days 00:29:04.006000,25.0,65.0,1011.0,False,48.2,68,0.8
30,0 days 00:30:04.020000,24.9,66.0,1011.0,False,47.8,105,1.5
31,0 days 00:31:04.019000,24.7,68.0,1011.0,False,47.5,41,0.6
32,0 days 00:32:04.018000,24.5,69.0,1011.0,False,47.5,33,1.0
33,0 days 00:33:04.017000,24.5,70.0,1011.0,False,47.7,75,1.0
34,0 days 00:34:04.031000,24.5,70.0,1011.0,False,47.7,75,1.0
35,0 days 00:35:04.046000,24.5,69.0,1011.0,False,47.8,1,0.8
36,0 days 00:36:04.045000,24.4,69.0,1011.0,False,48.4,342,0.6
37,0 days 00:37:04.044000,24.3,67.0,1011.0,False,48.5,47,0.6
38,0 days 00:38:04.043000,24.3,67.0,1011.0,False,48.5,25,0.8
39,0 days 00:39:04.042000,24.4,68.0,1011.0,False,48.5,353,1.2
40,0 days 00:40:04.040000,24.3,68.0,1011.0,False,48.6,71,1.3
41,0 days 00:41:04.055000,24.4,68.0,1011.0,False,48.6,23,1.1
42,0 days 00:42:04.054000,24.4,69.0,1011.0,False,48.6,21,1.1
43,0 days 00:43:04.100000,24.5,69.0,1011.0,False,49.0,10,1.5
44,0 days 00:44:04.083000,24.5,69.0,1011.0,False,49.2,232,0.8
45,0 days 00:45:04.098000,24.7,67.0,1011.0,False,49.5,177,0.6
46,0 days 00:46:04.112000,24.8,66.0,1011.0,False,50.0,0,0.8
47,0 days 00:47:04.111000,24.5,65.0,1010.9,False,49.6,1,1.1
48,0 days 00:48:04.126000,24.4,66.0,1010.9,False,49.3,48,1.0
49,0 days 00:49:04.124000,24.4,66.0,1011.0,False,48.5,129,0.6
50,0 days 00:50:04.123000,24.3,65.0,1011.0,False,48.5,341,0.8
51,0 days 00:51:04.122000,24.2,65.0,1010.9,False,48.5,72,0.6
52,0 days 00:52:04.137000,24.0,66.0,1010.7,False,47.8,356,0.8
53,0 days 00:53:04.120000,24.0,66.0,1011.0,False,48.3,32,1.1
54,0 days 00:54:04.119000,23.7,67.0,1010.9,False,48.5,22,1.1
55,0 days 00:55:04.134000,23.5,67.0,1010.9,False,48.5,24,0.8
56,0 days 00:56:04.117000,23.3,67.0,1010.9,False,48.2,53,1.1
57,0 days 00:57:04.131000,23.2,67.0,1010.9,False,48.5,22,1.0
58,0 days 00:58:04.146000,23.2,66.0,1011.0,False,48.4,81,1.0
59,0 days 00:59:04.161000,23.2,66.0,1010.9,False,48.4,352,1.0
60,0 days 01:00:04.175000,23.3,67.0,1010.9,False,48.6,4,1.2
61,0 days 01:01:04.174000,23.4,65.0,1010.9,False,49.6,30,0.5
62,0 days 01:02:04.189000,23.5,64.0,1010.9,False,49.7,331,1.2
63,0 days 01:03:04.187000,23.5,64.0,1010.9,False,49.4,27,0.6
64,0 days 01:04:04.186000,23.4,64.0,1010.9,False,49.4,323,0.8
65,0 days 01:05:04.185000,23.2,64.0,1010.7,False,49.4,8,0.8
66,0 days 01:06:04.215000,23.2,63.0,1010.7,False,49.5,75,0.8
67,0 days 01:07:04.199000,23.2,63.0,1010.7,False,49.7,63,0.6
