,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:40.642000,VER,1,,1.0,1.0,0 days 00:16:28.332000,,,51.68,26.016,,0 days 00:18:14.673000,0 days 00:18:40.642000,181.0,203.0,338.0,304.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:16:28.332000,2023-04-29 08:31:30.704,12,,False,,False,False,,
1,0 days 00:20:24.205000,VER,1,0 days 00:01:43.563000,2.0,1.0,,,36.724,42.018,24.821,0 days 00:19:17.366000,0 days 00:19:59.384000,0 days 00:20:24.205000,220.0,240.0,343.0,321.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:18:40.642000,2023-04-29 08:33:43.014,21,,False,,False,True,103.563,103.56299999999999
2,0 days 00:22:43.182000,VER,1,0 days 00:02:18.977000,3.0,1.0,,,51.74,61.204,26.033,0 days 00:21:15.945000,0 days 00:22:17.149000,0 days 00:22:43.182000,153.0,216.0,339.0,306.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:24.205000,2023-04-29 08:35:26.577,12,,False,,False,True,138.977,138.977
3,0 days 00:24:26.470000,VER,1,0 days 00:01:43.288000,4.0,1.0,,,36.638,41.795,24.855,0 days 00:23:19.820000,0 days 00:24:01.615000,0 days 00:24:26.470000,217.0,239.0,342.0,320.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:22:43.182000,2023-04-29 08:37:45.554,1,,False,,False,True,103.288,103.288
4,0 days 00:38:04.777000,VER,1,,5.0,1.0,,0 days 00:27:08.039000,54.909,60.972,,0 days 00:25:21.478000,0 days 00:26:22.399000,,130.0,147.0,,320.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:24:26.470000,2023-04-29 08:39:28.842,152,,False,,False,False,,
5,0 days 00:39:59.791000,VER,1,,6.0,2.0,0 days 00:38:04.777000,,,45.547,26.007,,0 days 00:39:33.854000,0 days 00:39:59.791000,198.0,221.0,334.0,303.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:38:04.777000,2023-04-29 08:53:07.149,1,,False,,False,False,,
6,0 days 00:41:42.208000,VER,1,0 days 00:01:42.417000,7.0,2.0,,,36.227,41.335,24.855,0 days 00:40:36.018000,0 days 00:41:17.353000,0 days 00:41:42.208000,224.0,239.0,339.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:39:59.791000,2023-04-29 08:55:02.163,12,,False,,False,True,102.417,102.417
7,0 days 00:44:12.554000,VER,1,0 days 00:02:30.346000,8.0,2.0,,0 days 00:44:11.208000,52.447,59.016,38.883,0 days 00:42:34.655000,0 days 00:43:33.671000,0 days 00:44:12.554000,136.0,161.0,,209.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:41:42.208000,2023-04-29 08:56:44.580,1,,False,,False,False,150.346,150.346
8,0 days 00:56:59.755000,VER,1,,9.0,3.0,0 days 00:55:06.493000,,,45.244,26.208,,0 days 00:56:33.601000,0 days 00:56:59.757000,197.0,222.0,335.0,303.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:44:12.554000,2023-04-29 08:59:14.926,12,,False,,False,False,,
9,0 days 00:58:41.895000,VER,1,0 days 00:01:42.140000,10.0,3.0,,,35.729,41.623,24.788,0 days 00:57:35.484000,0 days 00:58:17.107000,0 days 00:58:41.895000,221.0,236.0,338.0,319.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:56:59.755000,2023-04-29 09:12:02.127,1,,False,,False,True,102.14,102.14
10,0 days 01:02:20.562000,VER,1,,11.0,3.0,,,70.665,,27.352,0 days 00:59:52.597000,,0 days 01:02:20.735000,136.0,207.0,338.0,300.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:58:41.895000,2023-04-29 09:13:44.267,1,,False,,False,False,,
