,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:29:37.290000,VER,1,,1.0,1.0,0 days 00:26:48.122000,,,57.127,67.712,,0 days 00:28:29.604000,0 days 00:29:37.494000,270.0,171.0,202.0,250.0,False,INTERMEDIATE,2.0,False,Red Bull Racing,0 days 00:26:48.122000,2023-07-28 15:11:48.142,1,,False,,False,False,,
1,0 days 00:31:38.887000,VER,1,0 days 00:02:01.597000,2.0,1.0,,,34.173,55.292,32.132,0 days 00:30:11.463000,0 days 00:31:06.755000,0 days 00:31:38.887000,307.0,177.0,207.0,287.0,True,INTERMEDIATE,3.0,False,Red Bull Racing,0 days 00:29:37.290000,2023-07-28 15:14:37.310,12,,False,,False,True,121.597,121.59700000000001
2,0 days 00:33:39.442000,VER,1,0 days 00:02:00.555000,3.0,1.0,,,33.926,54.542,32.087,0 days 00:32:12.813000,0 days 00:33:07.355000,0 days 00:33:39.442000,291.0,174.0,206.0,295.0,True,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 00:31:38.887000,2023-07-28 15:16:38.907,1,,False,,False,True,120.555,120.555
3,0 days 00:36:34.375000,VER,1,,4.0,1.0,,,50.328,75.213,49.388,0 days 00:34:29.848000,0 days 00:35:44.987000,0 days 00:36:34.580000,133.0,161.0,207.0,213.0,False,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 00:33:39.442000,2023-07-28 15:18:39.462,1,,False,,False,False,,174.929
4,0 days 00:38:33.307000,VER,1,0 days 00:01:58.932000,5.0,1.0,,,33.566,53.808,31.558,0 days 00:37:07.941000,0 days 00:38:01.749000,0 days 00:38:33.307000,309.0,177.0,208.0,297.0,True,INTERMEDIATE,6.0,False,Red Bull Racing,0 days 00:36:34.375000,2023-07-28 15:21:34.395,1,,False,,False,True,118.932,118.93199999999999
5,0 days 00:41:46.200000,VER,1,,6.0,1.0,,,56.784,85.327,50.758,0 days 00:39:30.155000,0 days 00:40:55.528000,0 days 00:41:46.324000,136.0,165.0,209.0,143.0,False,INTERMEDIATE,7.0,False,Red Bull Racing,0 days 00:38:33.307000,2023-07-28 15:23:33.327,1,,False,,False,False,,192.869
6,0 days 00:43:44.715000,VER,1,0 days 00:01:58.515000,7.0,1.0,,,33.343,53.773,31.399,0 days 00:42:19.543000,0 days 00:43:13.316000,0 days 00:43:44.715000,311.0,180.0,208.0,299.0,True,INTERMEDIATE,8.0,False,Red Bull Racing,0 days 00:41:46.200000,2023-07-28 15:26:46.220,1,,False,,False,True,118.515,118.51500000000001
7,0 days 00:46:03.964000,VER,1,0 days 00:02:19.249000,8.0,1.0,,0 days 00:45:59.648000,37.925,60.383,40.941,0 days 00:44:22.640000,0 days 00:45:23.023000,0 days 00:46:03.964000,251.0,164.0,,235.0,False,INTERMEDIATE,9.0,False,Red Bull Racing,0 days 00:43:44.715000,2023-07-28 15:28:44.735,1,,False,,False,False,139.249,139.249
8,0 days 00:53:34.353000,VER,1,,9.0,2.0,0 days 00:51:00.237000,,,63.713,51.332,,0 days 00:52:43.079000,0 days 00:53:34.421000,262.0,94.0,213.0,239.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 00:46:03.964000,2023-07-28 15:31:03.984,1,,False,,False,False,,
9,0 days 00:55:29.888000,VER,1,0 days 00:01:55.535000,10.0,2.0,,,32.88,51.6,31.055,0 days 00:54:07.233000,0 days 00:54:58.833000,0 days 00:55:29.888000,313.0,191.0,210.0,303.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 00:53:34.353000,2023-07-28 15:38:34.373,1,,False,,False,True,115.535,115.535
