,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:53:37.169000,SAI,55,,1.0,1.0,0 days 00:51:03.967000,,,65.694,52.976,,0 days 00:52:44.262000,0 days 00:53:37.605000,251.0,79.0,212.0,221.0,False,INTERMEDIATE,4.0,False,Ferrari,0 days 00:51:03.967000,2023-07-29 10:36:04.978,1,,False,,False,False,,
1,0 days 00:55:41.838000,SAI,55,0 days 00:02:04.669000,2.0,1.0,,,33.936,56.056,34.677,0 days 00:54:11.105000,0 days 00:55:07.161000,0 days 00:55:41.838000,300.0,175.0,215.0,283.0,True,INTERMEDIATE,5.0,False,Ferrari,0 days 00:53:37.169000,2023-07-29 10:38:38.180,1,,False,,False,True,124.669,124.66899999999998
2,0 days 00:57:41.819000,SAI,55,0 days 00:01:59.981000,3.0,1.0,,,33.364,54.822,31.795,0 days 00:56:15.202000,0 days 00:57:10.024000,0 days 00:57:41.819000,297.0,170.0,205.0,296.0,True,INTERMEDIATE,6.0,False,Ferrari,0 days 00:55:41.838000,2023-07-29 10:40:42.849,1,,False,,False,True,119.981,119.98100000000001
3,0 days 01:00:23.217000,SAI,55,,4.0,1.0,,,42.992,79.931,38.489,0 days 00:58:24.805000,0 days 00:59:44.773000,0 days 01:00:23.492000,219.0,112.0,212.0,218.0,False,INTERMEDIATE,7.0,False,Ferrari,0 days 00:57:41.819000,2023-07-29 10:42:42.830,1,,False,,False,False,,161.412
4,0 days 01:02:22.631000,SAI,55,0 days 00:01:59.414000,5.0,1.0,,,33.279,54.627,31.508,0 days 01:00:56.496000,0 days 01:01:51.123000,0 days 01:02:22.631000,309.0,175.0,208.0,302.0,True,INTERMEDIATE,8.0,False,Ferrari,0 days 01:00:23.217000,2023-07-29 10:45:24.228,1,,False,,False,True,119.414,119.414
5,0 days 01:04:48.207000,SAI,55,0 days 00:02:25.576000,6.0,1.0,,0 days 01:04:44.348000,38.264,64.5,42.812,0 days 01:03:00.895000,0 days 01:04:05.395000,0 days 01:04:48.207000,234.0,146.0,,245.0,False,INTERMEDIATE,9.0,False,Ferrari,0 days 01:02:22.631000,2023-07-29 10:47:23.642,1,,False,,False,False,145.576,145.57600000000002
6,0 days 01:14:05.014000,SAI,55,,7.0,2.0,0 days 01:11:30.234000,,,69.273,46.636,,0 days 01:13:18.467000,0 days 01:14:05.014000,284.0,159.0,220.0,251.0,False,INTERMEDIATE,1.0,True,Ferrari,0 days 01:04:48.207000,2023-07-29 10:49:49.218,1,,False,,False,False,,
7,0 days 01:16:01.571000,SAI,55,0 days 00:01:56.557000,8.0,2.0,,,32.548,52.913,31.096,0 days 01:14:37.562000,0 days 01:15:30.475000,0 days 01:16:01.571000,311.0,186.0,211.0,305.0,True,INTERMEDIATE,2.0,True,Ferrari,0 days 01:14:05.014000,2023-07-29 10:59:06.025,12,,False,,False,True,116.557,116.557
8,0 days 01:30:41.909000,SAI,55,,9.0,2.0,,0 days 01:21:50.509000,49.878,65.271,,0 days 01:16:51.449000,0 days 01:17:56.793000,,205.0,163.0,,175.0,False,INTERMEDIATE,3.0,True,Ferrari,0 days 01:16:01.571000,2023-07-29 11:01:02.582,125,,False,,False,False,,
9,0 days 01:33:02.673000,SAI,55,,10.0,3.0,0 days 01:30:41.909000,,,60.582,42.649,,0 days 01:32:20.111000,0 days 01:33:02.689000,279.0,129.0,218.0,258.0,False,SOFT,1.0,True,Ferrari,0 days 01:30:41.909000,2023-07-29 11:15:42.920,1,,False,,False,False,,
