,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:16:23.872000,VER,1,,1.0,1.0,0 days 00:15:04.449000,,,41.394,17.552,,0 days 00:16:06.495000,0 days 00:16:23.964000,280.0,235.0,324.0,,False,HARD,1.0,True,Red Bull Racing,0 days 00:15:04.449000,2023-11-03 14:30:04.471,1,,False,,False,False,,
1,0 days 00:17:37.822000,VER,1,0 days 00:01:13.950000,2.0,1.0,,,19.048,38.164,16.738,0 days 00:16:42.920000,0 days 00:17:21.084000,0 days 00:17:37.822000,316.0,257.0,329.0,327.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:16:23.872000,2023-11-03 14:31:23.894,1,,False,,False,True,73.95,73.95
2,0 days 00:19:30.765000,VER,1,0 days 00:01:52.943000,3.0,1.0,,,32.533,61.831,18.579,0 days 00:18:10.355000,0 days 00:19:12.186000,0 days 00:19:30.765000,123.0,204.0,327.0,252.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:17:37.822000,2023-11-03 14:32:37.844,1,,False,,False,True,112.943,112.94300000000001
3,0 days 00:20:43.903000,VER,1,0 days 00:01:13.138000,4.0,1.0,,,18.982,37.394,16.762,0 days 00:19:49.747000,0 days 00:20:27.141000,0 days 00:20:43.903000,317.0,259.0,327.0,329.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:19:30.765000,2023-11-03 14:34:30.787,1,,False,,False,True,73.138,73.138
4,0 days 00:22:36.167000,VER,1,0 days 00:01:52.264000,5.0,1.0,,,30.067,64.611,17.586,0 days 00:21:13.970000,0 days 00:22:18.581000,0 days 00:22:36.167000,136.0,224.0,327.0,239.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:20:43.903000,2023-11-03 14:35:43.925,1,,False,,False,True,112.264,112.264
5,0 days 00:23:49.364000,VER,1,0 days 00:01:13.197000,6.0,1.0,,,18.9,37.594,16.703,0 days 00:22:55.067000,0 days 00:23:32.661000,0 days 00:23:49.364000,318.0,258.0,328.0,332.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:22:36.167000,2023-11-03 14:37:36.189,1,,False,,False,True,73.197,73.197
6,0 days 00:25:17.284000,VER,1,0 days 00:01:27.920000,7.0,1.0,,0 days 00:25:14.333000,21.159,44.37,22.391,0 days 00:24:10.523000,0 days 00:24:54.893000,0 days 00:25:17.284000,254.0,225.0,,279.0,False,HARD,7.0,True,Red Bull Racing,0 days 00:23:49.364000,2023-11-03 14:38:49.386,1,,False,,False,False,87.92,87.91999999999999
7,0 days 00:41:07.028000,VER,1,,8.0,2.0,0 days 00:38:46.636000,,,75.452,17.868,,0 days 00:40:49.197000,0 days 00:41:07.103000,246.0,165.0,326.0,279.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:25:17.284000,2023-11-03 14:40:17.306,1,,False,,False,False,,
8,0 days 00:42:19.821000,VER,1,0 days 00:01:12.793000,9.0,2.0,,,18.88,37.247,16.666,0 days 00:41:25.908000,0 days 00:42:03.155000,0 days 00:42:19.821000,316.0,260.0,324.0,328.0,True,HARD,9.0,False,Red Bull Racing,0 days 00:41:07.028000,2023-11-03 14:56:07.050,1,,False,,False,True,72.793,72.79299999999999
9,0 days 00:44:32.879000,VER,1,0 days 00:02:13.058000,10.0,2.0,,,32.409,69.675,30.974,0 days 00:42:52.230000,0 days 00:44:01.905000,0 days 00:44:32.879000,132.0,119.0,159.0,264.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:42:19.821000,2023-11-03 14:57:19.843,1,,False,,False,True,133.058,133.058
10,0 days 00:46:47.618000,VER,1,0 days 00:02:14.739000,11.0,2.0,,,33.761,82.296,18.682,0 days 00:45:06.640000,0 days 00:46:28.936000,0 days 00:46:47.618000,158.0,69.0,327.0,148.0,False,HARD,11.0,False,Red Bull Racing,0 days 00:44:32.879000,2023-11-03 14:59:32.901,1,,False,,False,True,134.739,134.739
11,0 days 00:48:09.057000,VER,1,0 days 00:01:21.439000,12.0,2.0,,0 days 00:48:06.052000,19.385,40.327,21.727,0 days 00:47:07.003000,0 days 00:47:47.330000,0 days 00:48:09.057000,280.0,232.0,,330.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:46:47.618000,2023-11-03 15:01:47.640,1,,False,,False,False,81.439,81.43900000000001
12,0 days 00:56:20.714000,VER,1,,13.0,3.0,0 days 00:54:31.704000,,,48.085,18.684,,0 days 00:56:02.093000,0 days 00:56:20.749000,147.0,119.0,300.0,330.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:48:09.057000,2023-11-03 15:03:09.079,1,,False,,False,False,,
13,0 days 00:57:38.184000,VER,1,0 days 00:01:17.470000,14.0,3.0,,,20.345,39.574,17.551,0 days 00:56:41.059000,0 days 00:57:20.633000,0 days 00:57:38.184000,292.0,240.0,298.0,286.0,False,HARD,14.0,False,Red Bull Racing,0 days 00:56:20.714000,2023-11-03 15:11:20.736,1,,False,,False,True,77.47,77.47
14,0 days 00:58:55.575000,VER,1,0 days 00:01:17.391000,15.0,3.0,,,20.241,39.638,17.512,0 days 00:57:58.425000,0 days 00:58:38.063000,0 days 00:58:55.575000,289.0,242.0,300.0,276.0,False,HARD,15.0,False,Red Bull Racing,0 days 00:57:38.184000,2023-11-03 15:12:38.206,1,,False,,False,True,77.391,77.39099999999999
15,0 days 01:00:12.684000,VER,1,0 days 00:01:17.109000,16.0,3.0,,,20.014,39.601,17.494,0 days 00:59:15.589000,0 days 00:59:55.190000,0 days 01:00:12.684000,297.0,238.0,305.0,283.0,False,HARD,16.0,False,Red Bull Racing,0 days 00:58:55.575000,2023-11-03 15:13:55.597,1,,False,,False,True,77.109,77.109
16,0 days 01:01:30.086000,VER,1,0 days 00:01:17.402000,17.0,3.0,,,20.165,39.647,17.59,0 days 01:00:32.849000,0 days 01:01:12.496000,0 days 01:01:30.086000,295.0,241.0,304.0,280.0,False,HARD,17.0,False,Red Bull Racing,0 days 01:00:12.684000,2023-11-03 15:15:12.706,1,,False,,False,True,77.402,77.402
17,0 days 01:02:47.456000,VER,1,0 days 00:01:17.370000,18.0,3.0,,,20.076,39.736,17.558,0 days 01:01:50.162000,0 days 01:02:29.898000,0 days 01:02:47.456000,297.0,241.0,306.0,282.0,False,HARD,18.0,False,Red Bull Racing,0 days 01:01:30.086000,2023-11-03 15:16:30.108,1,,False,,False,True,77.37,77.37
18,0 days 01:04:05.450000,VER,1,0 days 00:01:17.994000,19.0,3.0,,,20.248,40.043,17.703,0 days 01:03:07.704000,0 days 01:03:47.747000,0 days 01:04:05.450000,297.0,239.0,309.0,287.0,False,HARD,19.0,False,Red Bull Racing,0 days 01:02:47.456000,2023-11-03 15:17:47.478,1,,False,,False,True,77.994,77.994
