,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:35.296000,24.5,47.0,922.5,False,42.4,75,0.8
1,0 days 00:01:35.295000,24.4,46.0,922.5,False,43.3,48,0.8
2,0 days 00:02:35.294000,24.5,47.0,922.5,False,43.3,28,0.6
3,0 days 00:03:35.293000,24.5,47.0,922.5,False,44.1,51,1.1
4,0 days 00:04:35.292000,24.6,47.0,922.7,False,44.8,123,0.6
5,0 days 00:05:35.291000,24.7,47.0,922.5,False,45.6,152,1.0
6,0 days 00:06:35.305000,24.7,46.0,922.5,False,45.7,142,0.6
7,0 days 00:07:35.289000,24.8,47.0,922.5,False,46.0,48,1.0
8,0 days 00:08:35.303000,25.0,45.0,922.5,False,46.5,39,1.2
9,0 days 00:09:35.302000,25.0,46.0,922.5,False,46.0,342,0.6
10,0 days 00:10:35.301000,25.0,46.0,922.5,False,46.0,71,0.8
11,0 days 00:11:35.300000,24.9,46.0,922.4,False,46.5,14,0.5
12,0 days 00:12:35.299000,24.9,46.0,922.5,False,46.7,344,1.0
13,0 days 00:13:35.298000,25.1,46.0,922.5,False,46.7,76,0.8
14,0 days 00:14:35.297000,25.2,45.0,922.4,False,46.1,0,0.4
15,0 days 00:15:35.312000,25.2,45.0,922.4,False,45.3,53,0.6
16,0 days 00:16:35.295000,25.3,46.0,922.4,False,44.4,81,1.0
17,0 days 00:17:35.310000,25.3,46.0,922.4,False,44.5,72,0.8
18,0 days 00:18:35.308000,25.2,47.0,922.5,False,44.4,346,1.1
19,0 days 00:19:35.307000,25.3,47.0,922.5,False,44.4,64,1.2
20,0 days 00:20:35.306000,25.2,46.0,922.4,False,43.8,15,0.8
21,0 days 00:21:35.305000,25.1,46.0,922.5,False,43.3,14,0.8
22,0 days 00:22:35.304000,25.1,46.0,922.5,False,43.3,359,0.8
23,0 days 00:23:35.303000,25.2,45.0,922.4,False,43.9,50,1.0
24,0 days 00:24:35.302000,25.2,45.0,922.4,False,44.7,54,1.2
25,0 days 00:25:35.317000,25.3,45.0,922.2,False,44.7,21,1.5
26,0 days 00:26:35.316000,25.4,45.0,922.5,False,44.2,25,1.3
27,0 days 00:27:35.315000,25.3,45.0,922.4,False,44.2,16,2.0
28,0 days 00:28:35.314000,25.1,46.0,922.4,False,44.2,39,1.5
29,0 days 00:29:35.312000,25.0,47.0,922.4,False,43.3,21,2.0
30,0 days 00:30:35.311000,25.0,46.0,922.4,False,44.4,345,2.7
31,0 days 00:31:35.310000,24.9,46.0,922.4,False,44.4,24,2.2
32,0 days 00:32:35.309000,24.9,47.0,922.4,False,44.7,37,2.9
33,0 days 00:33:35.308000,24.8,46.0,922.2,False,43.6,30,3.5
