,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:14:09.266000,VER,1,,1.0,1.0,0 days 00:12:53.502000,,,40.167,17.245,,0 days 00:13:52.048000,0 days 00:14:09.266000,281.0,243.0,321.0,,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:12:53.502000,2023-11-04 14:01:09.970,1,,False,,False,False,,
1,0 days 00:15:21.154000,VER,1,0 days 00:01:11.888000,2.0,1.0,,,18.636,36.616,16.636,0 days 00:14:27.902000,0 days 00:15:04.518000,0 days 00:15:21.154000,320.0,260.0,328.0,325.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:14:09.266000,2023-11-04 14:02:25.734,1,,False,,False,True,71.888,71.88799999999999
2,0 days 00:17:04.952000,VER,1,0 days 00:01:43.798000,3.0,1.0,,,30.497,54.778,18.523,0 days 00:15:51.651000,0 days 00:16:46.429000,0 days 00:17:04.952000,194.0,79.0,326.0,233.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:15:21.154000,2023-11-04 14:03:37.622,1,,False,,False,True,103.798,103.798
3,0 days 00:18:16.949000,VER,1,0 days 00:01:11.997000,4.0,1.0,,,18.734,36.599,16.664,0 days 00:17:23.686000,0 days 00:18:00.285000,0 days 00:18:16.949000,322.0,263.0,328.0,331.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:17:04.952000,2023-11-04 14:05:21.420,1,,False,,False,True,71.997,71.997
4,0 days 00:19:54.909000,VER,1,0 days 00:01:37.960000,5.0,1.0,,,27.297,50.85,19.813,0 days 00:18:44.246000,0 days 00:19:35.096000,0 days 00:19:54.909000,187.0,183.0,260.0,244.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:18:16.949000,2023-11-04 14:06:33.417,1,,False,,False,True,97.96,97.96000000000001
5,0 days 00:21:36.093000,VER,1,0 days 00:01:41.184000,6.0,1.0,,,27.887,55.863,17.434,0 days 00:20:22.796000,0 days 00:21:18.659000,0 days 00:21:36.093000,242.0,180.0,324.0,223.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:19:54.909000,2023-11-04 14:08:11.377,1,,False,,False,True,101.184,101.184
6,0 days 00:22:53.757000,VER,1,0 days 00:01:17.664000,7.0,1.0,,0 days 00:22:50.570000,18.632,36.685,22.347,0 days 00:21:54.725000,0 days 00:22:31.410000,0 days 00:22:53.757000,322.0,263.0,,329.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:21:36.093000,2023-11-04 14:09:52.561,1,,False,,False,False,77.664,77.66400000000002
7,0 days 00:53:03.444000,VER,1,,8.0,2.0,0 days 00:51:46.352000,,,39.814,17.205,,0 days 00:52:46.272000,0 days 00:53:03.444000,278.0,243.0,323.0,329.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:51:46.352000,2023-11-04 14:40:02.820,1,,False,,False,False,,
8,0 days 00:54:14.893000,VER,1,0 days 00:01:11.449000,9.0,2.0,,,18.524,36.288,16.637,0 days 00:53:21.968000,0 days 00:53:58.256000,0 days 00:54:14.893000,318.0,263.0,324.0,329.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:53:03.444000,2023-11-04 14:41:19.912,1,,False,,False,True,71.449,71.449
9,0 days 00:55:51.380000,VER,1,0 days 00:01:36.487000,10.0,2.0,,0 days 00:55:48.410000,24.053,48.01,24.424,0 days 00:54:38.946000,0 days 00:55:26.956000,0 days 00:55:51.380000,213.0,151.0,,197.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:54:14.893000,2023-11-04 14:42:31.361,1,,False,,False,False,96.487,96.487
