,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:01.997000,VER,1,,1.0,1.0,0 days 00:15:56.201000,,,44.778,49.469,,0 days 00:17:12.544000,0 days 00:18:01.997000,283.0,229.0,239.0,223.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:15:56.201000,2023-07-08 14:00:56.204,1,,False,,False,False,,
1,0 days 00:19:35.532000,VER,1,0 days 00:01:33.535000,2.0,1.0,,,28.534,36.657,28.344,0 days 00:18:30.531000,0 days 00:19:07.188000,0 days 00:19:35.532000,302.0,261.0,246.0,301.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:18:01.997000,2023-07-08 14:03:02.000,12,,True,TRACK LIMITS AT TURN 15 LAP 3 ,False,True,93.535,93.535
2,0 days 00:21:07.677000,VER,1,0 days 00:01:32.145000,3.0,1.0,,,28.441,36.572,27.132,0 days 00:20:03.973000,0 days 00:20:40.545000,0 days 00:21:07.677000,305.0,259.0,245.0,300.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:19:35.532000,2023-07-08 14:04:35.535,1,,False,,False,True,92.145,92.14500000000001
3,0 days 00:23:45.559000,VER,1,,4.0,1.0,,,48.387,69.69,39.787,0 days 00:21:56.213000,0 days 00:23:05.775000,0 days 00:23:45.696000,125.0,215.0,244.0,138.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:21:07.677000,2023-07-08 14:06:07.680,1,,False,,False,False,,157.864
4,0 days 00:25:16.278000,VER,1,0 days 00:01:30.719000,5.0,1.0,,,28.109,36.109,26.501,0 days 00:24:13.668000,0 days 00:24:49.777000,0 days 00:25:16.278000,304.0,261.0,247.0,300.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:23:45.559000,2023-07-08 14:08:45.562,1,,False,,False,True,90.719,90.71900000000001
5,0 days 00:27:45.321000,VER,1,0 days 00:02:29.043000,6.0,1.0,,,52.587,63.778,32.678,0 days 00:26:08.865000,0 days 00:27:12.643000,0 days 00:27:45.321000,149.0,197.0,246.0,206.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:25:16.278000,2023-07-08 14:10:16.281,1,,False,,False,True,149.043,149.043
6,0 days 00:29:25.020000,VER,1,0 days 00:01:39.699000,7.0,1.0,,,28.238,36.165,35.296,0 days 00:28:13.559000,0 days 00:28:49.724000,0 days 00:29:25.020000,303.0,258.0,133.0,300.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:27:45.321000,2023-07-08 14:12:45.324,12,,False,,False,True,99.699,99.69899999999998
7,0 days 00:41:14.200000,VER,1,,8.0,1.0,,0 days 00:31:39.410000,,,,,,,,,,,False,SOFT,8.0,True,Red Bull Racing,0 days 00:29:25.020000,2023-07-08 14:14:25.023,251,,False,,False,False,,
8,0 days 00:42:59.801000,VER,1,,9.0,2.0,0 days 00:41:14.200000,,,38.973,33.284,,0 days 00:42:26.558000,0 days 00:43:00.027000,298.0,243.0,247.0,272.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:41:14.200000,2023-07-08 14:26:14.203,1,,False,,False,False,,
9,0 days 00:44:29.229000,VER,1,0 days 00:01:29.428000,10.0,2.0,,,28.129,35.691,25.608,0 days 00:43:27.930000,0 days 00:44:03.621000,0 days 00:44:29.229000,305.0,263.0,246.0,302.0,True,SOFT,10.0,False,Red Bull Racing,0 days 00:42:59.801000,2023-07-08 14:27:59.804,1,,False,,False,True,89.428,89.42800000000001
10,0 days 00:46:21.751000,VER,1,0 days 00:01:52.522000,11.0,2.0,,0 days 00:46:15.259000,35.534,48.057,28.931,0 days 00:45:04.763000,0 days 00:45:52.820000,0 days 00:46:21.751000,205.0,229.0,,271.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:44:29.229000,2023-07-08 14:29:29.232,12,,False,,False,False,112.522,112.522
11,0 days 00:57:33.886000,VER,1,,12.0,3.0,0 days 00:55:53.221000,,,40.233,30.628,,0 days 00:57:03.314000,0 days 00:57:33.923000,284.0,239.0,250.0,252.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:46:21.751000,2023-07-08 14:31:21.754,21,,False,,False,False,,
12,0 days 00:59:03.391000,VER,1,0 days 00:01:29.505000,13.0,3.0,,,28.346,36.044,25.115,0 days 00:58:02.232000,0 days 00:58:38.276000,0 days 00:59:03.391000,304.0,263.0,250.0,302.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:57:33.886000,2023-07-08 14:42:33.889,1,,False,,False,True,89.505,89.505
13,0 days 01:01:25.160000,VER,1,0 days 00:02:21.769000,14.0,3.0,,,46.138,60.428,35.203,0 days 00:59:49.529000,0 days 01:00:49.957000,0 days 01:01:25.160000,150.0,166.0,195.0,215.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:59:03.391000,2023-07-08 14:44:03.394,1,,False,,False,True,141.769,141.769
14,0 days 01:03:13.585000,VER,1,0 days 00:01:48.425000,15.0,3.0,,,35.875,45.301,27.249,0 days 01:02:01.035000,0 days 01:02:46.336000,0 days 01:03:13.585000,249.0,240.0,253.0,277.0,False,SOFT,4.0,True,Red Bull Racing,0 days 01:01:25.160000,2023-07-08 14:46:25.163,1,,False,,False,True,108.425,108.425
15,0 days 01:04:42.155000,VER,1,0 days 00:01:28.570000,16.0,3.0,,,28.107,35.653,24.81,0 days 01:03:41.692000,0 days 01:04:17.345000,0 days 01:04:42.155000,304.0,265.0,252.0,301.0,True,SOFT,5.0,True,Red Bull Racing,0 days 01:03:13.585000,2023-07-08 14:48:13.588,1,,False,,False,True,88.57,88.57
16,0 days 01:06:17.532000,VER,1,0 days 00:01:35.377000,17.0,3.0,,0 days 01:06:11.574000,30.634,38.753,25.99,0 days 01:05:12.789000,0 days 01:05:51.542000,0 days 01:06:17.532000,281.0,248.0,,281.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:04:42.155000,2023-07-08 14:49:42.158,1,,False,,False,False,95.377,95.377
17,0 days 01:08:27.418000,VER,1,0 days 00:02:09.886000,18.0,4.0,0 days 01:06:41.745000,,56.641,46.505,26.74,0 days 01:07:14.173000,0 days 01:08:00.678000,0 days 01:08:27.418000,272.0,216.0,255.0,275.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:06:17.532000,2023-07-08 14:51:17.535,1,,False,,False,False,129.886,129.886
18,0 days 01:09:55.120000,VER,1,0 days 00:01:27.702000,19.0,4.0,,,27.82,35.298,24.584,0 days 01:08:55.238000,0 days 01:09:30.536000,0 days 01:09:55.120000,305.0,267.0,252.0,303.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:08:27.418000,2023-07-08 14:53:27.421,1,,False,,False,True,87.702,87.702
19,0 days 01:11:37.160000,VER,1,0 days 00:01:42.040000,20.0,4.0,,0 days 01:11:31.179000,32.543,42.267,27.23,0 days 01:10:27.663000,0 days 01:11:09.930000,0 days 01:11:37.160000,259.0,233.0,,271.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:09:55.120000,2023-07-08 14:54:55.123,1,,False,,False,False,102.04,102.04
20,0 days 01:20:54.604000,VER,1,,21.0,5.0,0 days 01:18:55.596000,,,47.485,36.082,,0 days 01:20:18.548000,0 days 01:20:54.611000,243.0,241.0,253.0,118.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:11:37.160000,2023-07-08 14:56:37.163,1,,False,,False,False,,
21,0 days 01:22:21.688000,VER,1,0 days 00:01:27.084000,22.0,5.0,,,27.645,35.201,24.238,0 days 01:21:22.249000,0 days 01:21:57.450000,0 days 01:22:21.688000,324.0,269.0,251.0,322.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:20:54.604000,2023-07-08 15:05:54.607,1,,False,,False,True,87.084,87.084
22,0 days 01:24:00.830000,VER,1,0 days 00:01:39.142000,23.0,5.0,,0 days 01:23:54.843000,31.335,39.095,28.712,0 days 01:22:53.023000,0 days 01:23:32.118000,0 days 01:24:00.830000,274.0,248.0,,252.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:22:21.688000,2023-07-08 15:07:21.691,1,,False,,False,False,99.142,99.14200000000001
23,0 days 01:29:14.716000,VER,1,,24.0,6.0,0 days 01:27:24.262000,,,46.398,31.968,,0 days 01:28:42.762000,0 days 01:29:14.871000,292.0,236.0,256.0,185.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:24:00.830000,2023-07-08 15:09:00.833,1,,False,,False,False,,
24,0 days 01:30:41.436000,VER,1,0 days 00:01:26.720000,25.0,6.0,,,27.482,35.234,24.004,0 days 01:29:42.198000,0 days 01:30:17.432000,0 days 01:30:41.436000,326.0,270.0,252.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:29:14.716000,2023-07-08 15:14:14.719,1,,False,,False,True,86.72,86.72
25,0 days 01:32:24.572000,VER,1,,26.0,6.0,,0 days 01:32:24.572000,35.006,44.79,,0 days 01:31:16.525000,0 days 01:32:01.259000,,210.0,234.0,,250.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:30:41.436000,2023-07-08 15:15:41.439,1,,False,,False,False,,
26,0 days 00:17:14.050000,NOR,4,,1.0,1.0,0 days 00:15:19.874000,,,42.5,34.285,,0 days 00:16:39.826000,0 days 00:17:14.060000,272.0,241.0,229.0,284.0,False,SOFT,1.0,True,McLaren,0 days 00:15:19.874000,2023-07-08 14:00:19.877,1,,False,,False,False,,
27,0 days 00:18:51.699000,NOR,4,0 days 00:01:37.649000,2.0,1.0,,,29.125,37.624,30.9,0 days 00:17:43.175000,0 days 00:18:20.799000,0 days 00:18:51.699000,301.0,260.0,211.0,273.0,True,SOFT,2.0,True,McLaren,0 days 00:17:14.050000,2023-07-08 14:02:14.053,12,,False,,False,True,97.649,97.649
28,0 days 00:20:52.380000,NOR,4,0 days 00:02:00.681000,3.0,1.0,,,37.406,48.178,35.097,0 days 00:19:29.105000,0 days 00:20:17.283000,0 days 00:20:52.380000,235.0,221.0,234.0,283.0,False,SOFT,3.0,True,McLaren,0 days 00:18:51.699000,2023-07-08 14:03:51.702,1,,True,TRACK LIMITS AT TURN 15 LAP 4 ,False,True,120.681,120.68100000000001
