,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:19:48.242000,VER,1,,1.0,1.0,0 days 00:17:43.769000,,,54.627,23.035,,0 days 00:19:25.237000,0 days 00:19:48.408000,258.0,178.0,270.0,206.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:43.769000,2023-09-23 06:03:17.588,1,,False,,False,False,,
1,0 days 00:21:18.120000,VER,1,0 days 00:01:29.878000,2.0,1.0,,,31.228,40.656,17.994,0 days 00:20:19.470000,0 days 00:21:00.126000,0 days 00:21:18.120000,282.0,306.0,266.0,306.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:19:48.242000,2023-09-23 06:05:22.061,1,,False,,False,True,89.878,89.878
2,0 days 00:53:32.276000,VER,1,,3.0,1.0,,0 days 00:23:26.687000,52.151,51.748,,0 days 00:22:10.266000,0 days 00:23:01.984000,,247.0,275.0,,227.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:21:18.120000,2023-09-23 06:06:51.939,125,,False,,False,False,,
3,0 days 00:55:32.636000,VER,1,,4.0,2.0,0 days 00:53:32.276000,,,52.855,20.955,,0 days 00:55:11.681000,0 days 00:55:32.853000,219.0,204.0,270.0,262.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:53:32.276000,2023-09-23 06:39:06.095,1,,False,,False,False,,
4,0 days 00:57:02.600000,VER,1,0 days 00:01:29.964000,5.0,2.0,,,31.264,40.689,18.011,0 days 00:56:03.900000,0 days 00:56:44.589000,0 days 00:57:02.600000,282.0,304.0,266.0,305.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:55:32.636000,2023-09-23 06:41:06.455,1,,False,,False,True,89.964,89.964
5,0 days 00:58:48.119000,VER,1,0 days 00:01:45.519000,6.0,2.0,,0 days 00:58:46.804000,36.43,46.11,22.979,0 days 00:57:39.030000,0 days 00:58:25.140000,0 days 00:58:48.119000,253.0,275.0,,268.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:57:02.600000,2023-09-23 06:42:36.419,1,,False,,False,False,105.519,105.51899999999999
6,0 days 01:18:33.730000,VER,1,,7.0,3.0,0 days 01:16:28.948000,,,54.922,21.439,,0 days 01:18:12.291000,0 days 01:18:33.947000,226.0,182.0,271.0,229.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:58:48.119000,2023-09-23 06:44:21.938,1,,False,,False,False,,
7,0 days 01:20:02.742000,VER,1,0 days 00:01:29.012000,8.0,3.0,,,30.825,40.316,17.871,0 days 01:19:04.555000,0 days 01:19:44.871000,0 days 01:20:02.742000,282.0,306.0,267.0,305.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:18:33.730000,2023-09-23 07:04:07.549,1,,False,,False,True,89.012,89.012
8,0 days 01:21:51.507000,VER,1,0 days 00:01:48.765000,9.0,3.0,,0 days 01:21:50.179000,36.999,47.528,24.238,0 days 01:20:39.741000,0 days 01:21:27.269000,0 days 01:21:51.507000,253.0,274.0,,237.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:20:02.742000,2023-09-23 07:05:36.561,1,,False,,False,False,108.765,108.765
9,0 days 01:26:22.155000,VER,1,,10.0,4.0,0 days 01:24:20.037000,,,55.621,21.194,,0 days 01:26:00.973000,0 days 01:26:22.363000,219.0,171.0,271.0,236.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:21:51.507000,2023-09-23 07:07:25.326,1,,False,,False,False,,
