,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:04.090000,LEC,16,,1.0,1.0,0 days 00:16:09.436000,,,35.396,46.181,,0 days 00:17:18.013000,0 days 00:18:04.090000,161.0,192.0,314.0,137.0,False,SOFT,1.0,True,Ferrari,0 days 00:16:09.436000,2023-11-18 08:01:10.632,1,,False,,False,False,,
1,0 days 00:19:38.988000,LEC,16,0 days 00:01:34.898000,2.0,1.0,,,27.111,31.481,36.306,0 days 00:18:31.201000,0 days 00:19:02.682000,0 days 00:19:38.988000,184.0,214.0,320.0,342.0,True,SOFT,2.0,True,Ferrari,0 days 00:18:04.090000,2023-11-18 08:03:05.286,1,,False,,False,True,94.898,94.898
2,0 days 00:21:42.800000,LEC,16,0 days 00:02:03.812000,3.0,1.0,,,35.688,39.25,48.874,0 days 00:20:14.676000,0 days 00:20:53.926000,0 days 00:21:42.800000,154.0,190.0,313.0,170.0,False,SOFT,3.0,True,Ferrari,0 days 00:19:38.988000,2023-11-18 08:04:40.184,1,,False,,False,True,123.812,123.81200000000001
3,0 days 00:23:16.872000,LEC,16,0 days 00:01:34.072000,4.0,1.0,,,26.743,31.193,36.136,0 days 00:22:09.543000,0 days 00:22:40.736000,0 days 00:23:16.872000,187.0,213.0,319.0,342.0,True,SOFT,4.0,True,Ferrari,0 days 00:21:42.800000,2023-11-18 08:06:43.996,1,,False,,False,True,94.072,94.072
4,0 days 00:25:25.490000,LEC,16,0 days 00:02:08.618000,5.0,1.0,,,39.095,39.481,50.042,0 days 00:23:55.967000,0 days 00:24:35.448000,0 days 00:25:25.490000,151.0,112.0,164.0,230.0,False,SOFT,5.0,True,Ferrari,0 days 00:23:16.872000,2023-11-18 08:08:18.068,1,,False,,False,True,128.618,128.618
5,0 days 00:27:32.120000,LEC,16,0 days 00:02:06.630000,6.0,1.0,,,41.902,41.743,42.985,0 days 00:26:07.392000,0 days 00:26:49.135000,0 days 00:27:32.120000,154.0,164.0,315.0,231.0,False,SOFT,6.0,True,Ferrari,0 days 00:25:25.490000,2023-11-18 08:10:26.686,1,,False,,False,True,126.63,126.63000000000001
6,0 days 00:29:05.737000,LEC,16,0 days 00:01:33.617000,7.0,1.0,,,26.578,31.046,35.993,0 days 00:27:58.698000,0 days 00:28:29.744000,0 days 00:29:05.737000,184.0,214.0,319.0,343.0,True,SOFT,7.0,True,Ferrari,0 days 00:27:32.120000,2023-11-18 08:12:33.316,1,,False,,False,True,93.617,93.61699999999999
7,0 days 00:31:07.243000,LEC,16,0 days 00:02:01.506000,8.0,1.0,,0 days 00:31:04.232000,33.676,39.258,48.572,0 days 00:29:39.413000,0 days 00:30:18.671000,0 days 00:31:07.243000,142.0,189.0,,226.0,False,SOFT,8.0,True,Ferrari,0 days 00:29:05.737000,2023-11-18 08:14:06.933,1,,False,,False,False,121.506,121.506
8,0 days 00:42:40.876000,LEC,16,,9.0,2.0,0 days 00:40:43.675000,,,37.183,43.689,,0 days 00:41:57.393000,0 days 00:42:40.876000,169.0,191.0,314.0,286.0,False,SOFT,9.0,False,Ferrari,0 days 00:31:07.243000,2023-11-18 08:16:08.439,12,,False,,False,False,,
9,0 days 00:44:14.842000,LEC,16,0 days 00:01:33.966000,10.0,2.0,,,26.757,31.041,36.168,0 days 00:43:07.633000,0 days 00:43:38.674000,0 days 00:44:14.842000,187.0,214.0,317.0,343.0,True,SOFT,10.0,False,Ferrari,0 days 00:42:40.876000,2023-11-18 08:27:42.072,1,,False,,False,True,93.966,93.96600000000001
