,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:29.266000,28.4,53.0,1016.7,False,39.3,132,3.5
1,0 days 00:01:29.265000,28.3,53.0,1016.7,False,39.4,133,3.0
2,0 days 00:02:29.264000,28.3,53.0,1016.7,False,40.3,111,2.2
3,0 days 00:03:29.264000,28.4,52.0,1016.5,False,41.2,135,3.2
4,0 days 00:04:29.263000,28.5,52.0,1016.7,False,41.5,150,3.7
5,0 days 00:05:29.278000,28.5,51.0,1016.7,False,41.8,113,3.2
6,0 days 00:06:29.277000,28.5,51.0,1016.7,False,41.8,142,4.0
7,0 days 00:07:29.276000,28.5,51.0,1016.7,False,41.1,114,4.0
8,0 days 00:08:29.291000,28.5,51.0,1016.7,False,40.9,114,3.7
9,0 days 00:09:29.306000,28.4,51.0,1016.7,False,40.8,146,2.9
10,0 days 00:10:29.306000,28.5,51.0,1016.7,False,40.8,144,2.7
11,0 days 00:11:29.321000,28.5,50.0,1016.7,False,41.4,123,2.0
12,0 days 00:12:29.351000,28.6,50.0,1016.7,False,41.5,137,2.9
13,0 days 00:13:29.351000,28.5,50.0,1016.7,False,41.5,110,3.0
14,0 days 00:14:29.350000,28.5,51.0,1016.9,False,41.2,141,2.5
15,0 days 00:15:29.349000,28.5,51.0,1016.7,False,41.3,151,4.5
16,0 days 00:16:29.364000,28.6,52.0,1016.7,False,41.3,137,4.3
17,0 days 00:17:29.363000,28.5,53.0,1016.7,False,40.6,163,3.4
18,0 days 00:18:29.394000,28.5,53.0,1016.7,False,40.6,79,3.7
19,0 days 00:19:29.393000,28.6,54.0,1016.9,False,40.8,135,1.3
20,0 days 00:20:29.424000,28.6,52.0,1016.9,False,40.9,140,3.2
21,0 days 00:21:29.392000,28.7,53.0,1016.9,False,40.6,121,3.2
22,0 days 00:22:29.391000,28.7,53.0,1016.9,False,40.6,128,2.2
23,0 days 00:23:29.390000,28.6,53.0,1016.9,False,40.8,159,2.7
24,0 days 00:24:29.390000,28.7,53.0,1016.9,False,40.8,144,2.7
25,0 days 00:25:29.389000,28.7,52.0,1016.9,False,40.8,125,3.5
26,0 days 00:26:29.389000,28.5,52.0,1016.9,False,40.1,153,3.5
27,0 days 00:27:29.388000,28.5,54.0,1017.0,False,39.7,143,2.5
28,0 days 00:28:29.387000,28.4,56.0,1017.0,False,39.9,98,3.0
29,0 days 00:29:29.402000,28.4,55.0,1017.0,False,39.9,130,1.7
30,0 days 00:30:29.386000,28.5,54.0,1017.0,False,40.5,138,1.2
31,0 days 00:31:29.401000,28.6,53.0,1017.0,False,41.1,112,2.7
32,0 days 00:32:29.384000,28.5,53.0,1017.0,False,41.0,129,2.7
33,0 days 00:33:29.399000,28.6,53.0,1017.0,False,40.5,119,3.7
34,0 days 00:34:29.399000,28.6,53.0,1017.0,False,40.5,133,3.2
35,0 days 00:35:29.382000,28.5,54.0,1017.0,False,40.1,193,3.0
36,0 days 00:36:29.991000,28.4,55.0,1016.9,False,39.2,150,2.4
37,0 days 00:37:29.397000,28.3,57.0,1017.0,False,39.1,123,2.7
38,0 days 00:38:29.380000,28.3,57.0,1016.9,False,39.4,138,3.5
39,0 days 00:39:29.395000,28.1,58.0,1017.0,False,39.6,143,1.7
40,0 days 00:40:29.395000,28.2,57.0,1016.9,False,39.0,163,4.4
41,0 days 00:41:29.394000,28.1,57.0,1016.9,False,39.0,141,3.7
42,0 days 00:42:29.393000,28.0,57.0,1017.0,False,39.2,107,2.9
43,0 days 00:43:29.392000,28.0,56.0,1016.9,False,39.4,161,3.2
44,0 days 00:44:29.392000,27.9,57.0,1016.7,False,39.1,107,2.5
45,0 days 00:45:29.407000,27.8,56.0,1016.7,False,39.1,94,1.8
46,0 days 00:46:29.406000,27.9,56.0,1016.9,False,39.1,184,3.4
47,0 days 00:47:29.421000,27.8,57.0,1016.9,False,38.9,163,3.9
48,0 days 00:48:29.420000,27.8,59.0,1016.9,False,37.6,146,3.4
49,0 days 00:49:29.435000,27.7,59.0,1016.7,False,38.0,154,3.5
50,0 days 00:50:29.435000,27.8,59.0,1016.9,False,37.1,152,4.5
51,0 days 00:51:29.434000,27.9,59.0,1016.9,False,37.0,72,3.0
52,0 days 00:52:29.464000,27.8,59.0,1016.7,False,37.0,182,2.0
53,0 days 00:53:29.464000,27.8,59.0,1016.9,False,37.0,140,1.7
54,0 days 00:54:29.463000,27.8,58.0,1016.7,False,36.6,142,3.5
55,0 days 00:55:29.478000,27.8,57.0,1016.7,False,36.6,132,5.0
56,0 days 00:56:29.493000,27.7,58.0,1016.7,False,36.7,151,4.1
57,0 days 00:57:29.508000,27.7,58.0,1016.7,False,36.5,140,4.0
58,0 days 00:58:29.523000,27.6,59.0,1016.7,False,36.3,144,3.7
59,0 days 00:59:29.522000,27.5,59.0,1016.7,False,36.3,169,3.7
60,0 days 01:00:29.522000,27.6,59.0,1016.7,False,36.5,151,3.2
61,0 days 01:01:29.521000,27.7,59.0,1016.7,False,36.5,149,4.5
62,0 days 01:02:29.520000,27.7,59.0,1016.7,False,36.4,144,3.4
63,0 days 01:03:29.519000,27.7,59.0,1016.7,False,36.6,131,2.9
64,0 days 01:04:29.519000,27.8,59.0,1016.7,False,36.8,138,2.0
65,0 days 01:05:29.518000,27.7,58.0,1016.7,False,37.0,230,2.7
66,0 days 01:06:29.517000,27.6,58.0,1016.7,False,36.8,139,2.7
67,0 days 01:07:29.517000,27.7,58.0,1016.7,False,36.5,91,2.2
68,0 days 01:08:29.516000,27.7,58.0,1016.7,False,36.8,147,4.1
69,0 days 01:09:29.515000,27.7,58.0,1016.7,False,36.8,168,5.0
70,0 days 01:10:29.530000,27.6,59.0,1016.7,False,36.1,152,3.5
71,0 days 01:11:29.514000,27.5,59.0,1016.7,False,36.2,151,4.0
72,0 days 01:12:29.514000,27.5,59.0,1016.7,False,36.1,152,3.5
73,0 days 01:13:29.513000,27.5,60.0,1016.7,False,36.3,132,2.2
74,0 days 01:14:29.528000,27.5,59.0,1016.7,False,36.5,150,3.4
75,0 days 01:15:29.511000,27.5,59.0,1016.7,False,36.5,144,3.5
76,0 days 01:16:29.511000,27.6,58.0,1016.7,False,36.0,125,4.5
77,0 days 01:17:29.526000,27.6,58.0,1016.5,False,35.9,110,2.7
78,0 days 01:18:29.525000,27.6,58.0,1016.7,False,35.8,53,1.7
79,0 days 01:19:29.509000,27.6,58.0,1016.7,False,36.2,159,3.0
80,0 days 01:20:29.508000,27.6,58.0,1016.5,False,35.8,113,3.7
81,0 days 01:21:29.523000,27.6,58.0,1016.5,False,35.8,151,1.3
