,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:31.864000,VER,1,,1.0,1.0,0 days 00:16:40.791000,,,35.133,39.957,,0 days 00:17:52.102000,0 days 00:18:32.007000,202.0,270.0,274.0,156.0,False,HARD,1.0,True,Red Bull Racing,0 days 00:16:40.791000,2023-10-06 13:31:41.985,1,,False,,False,False,,
1,0 days 00:20:06.777000,VER,1,0 days 00:01:34.913000,2.0,1.0,,,35.03,32.046,27.837,0 days 00:19:06.894000,0 days 00:19:38.940000,0 days 00:20:06.777000,227.0,282.0,277.0,312.0,True,HARD,2.0,True,Red Bull Racing,0 days 00:18:31.864000,2023-10-06 13:33:33.058,1,,False,,False,True,94.913,94.913
2,0 days 00:22:02.177000,VER,1,0 days 00:01:55.400000,3.0,1.0,,,47.203,38.366,29.831,0 days 00:20:53.980000,0 days 00:21:32.346000,0 days 00:22:02.177000,135.0,259.0,281.0,241.0,False,HARD,3.0,True,Red Bull Racing,0 days 00:20:06.777000,2023-10-06 13:35:07.971,1,,False,,False,True,115.4,115.4
3,0 days 00:23:35.415000,VER,1,0 days 00:01:33.238000,4.0,1.0,,,33.809,32.003,27.426,0 days 00:22:35.986000,0 days 00:23:07.989000,0 days 00:23:35.415000,230.0,283.0,276.0,315.0,True,HARD,4.0,True,Red Bull Racing,0 days 00:22:02.177000,2023-10-06 13:37:03.371,1,,False,,False,True,93.238,93.238
4,0 days 00:25:21.908000,VER,1,0 days 00:01:46.493000,5.0,1.0,,,42.684,34.193,29.616,0 days 00:24:18.099000,0 days 00:24:52.292000,0 days 00:25:21.908000,187.0,274.0,282.0,187.0,False,HARD,5.0,True,Red Bull Racing,0 days 00:23:35.415000,2023-10-06 13:38:36.609,1,,False,,False,True,106.493,106.493
5,0 days 00:26:56.971000,VER,1,0 days 00:01:35.063000,6.0,1.0,,,34.738,32.778,27.547,0 days 00:25:56.646000,0 days 00:26:29.424000,0 days 00:26:56.971000,201.0,264.0,283.0,315.0,False,HARD,6.0,True,Red Bull Racing,0 days 00:25:21.908000,2023-10-06 13:40:23.102,1,,False,,False,True,95.063,95.06299999999999
6,0 days 00:28:27.731000,VER,1,0 days 00:01:30.760000,7.0,1.0,,,33.317,31.159,26.284,0 days 00:27:30.288000,0 days 00:28:01.447000,0 days 00:28:27.731000,202.0,287.0,283.0,318.0,True,HARD,7.0,True,Red Bull Racing,0 days 00:26:56.971000,2023-10-06 13:41:58.165,1,,False,,False,True,90.76,90.75999999999999
7,0 days 00:30:21.461000,VER,1,0 days 00:01:53.730000,8.0,1.0,,,44.883,36.16,32.687,0 days 00:29:12.614000,0 days 00:29:48.774000,0 days 00:30:21.461000,178.0,180.0,283.0,178.0,False,HARD,8.0,True,Red Bull Racing,0 days 00:28:27.731000,2023-10-06 13:43:28.925,1,,False,,False,True,113.73,113.73
8,0 days 00:31:51.344000,VER,1,0 days 00:01:29.883000,9.0,1.0,,,33.309,30.671,25.903,0 days 00:30:54.770000,0 days 00:31:25.441000,0 days 00:31:51.344000,230.0,286.0,280.0,316.0,True,HARD,9.0,True,Red Bull Racing,0 days 00:30:21.461000,2023-10-06 13:45:22.655,1,,False,,False,True,89.883,89.883
9,0 days 00:34:08.874000,VER,1,0 days 00:02:17.530000,10.0,1.0,,,53.719,44.552,39.259,0 days 00:32:45.063000,0 days 00:33:29.615000,0 days 00:34:08.874000,161.0,171.0,278.0,210.0,False,HARD,10.0,True,Red Bull Racing,0 days 00:31:51.344000,2023-10-06 13:46:52.538,1,,False,,False,True,137.53,137.53
