,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:16.381000,35.8,38.0,1005.7,False,42.9,315,3.5
1,0 days 00:01:16.380000,35.7,38.0,1005.9,False,42.9,305,3.2
2,0 days 00:02:16.378000,35.7,38.0,1005.9,False,43.0,324,2.7
3,0 days 00:03:16.377000,35.7,37.0,1006.0,False,43.3,296,2.4
4,0 days 00:04:16.392000,35.7,37.0,1005.9,False,43.3,309,2.2
5,0 days 00:05:16.375000,35.7,37.0,1005.9,False,43.1,271,2.4
6,0 days 00:06:16.374000,35.7,37.0,1006.0,False,43.1,287,2.0
7,0 days 00:07:16.373000,35.7,37.0,1005.7,False,43.1,301,2.4
8,0 days 00:08:16.388000,35.7,37.0,1005.9,False,43.0,292,2.0
9,0 days 00:09:16.402000,35.7,37.0,1006.0,False,42.7,304,2.0
10,0 days 00:10:16.386000,35.7,38.0,1005.9,False,42.3,320,2.5
11,0 days 00:11:16.369000,35.6,37.0,1006.0,False,42.3,308,2.2
12,0 days 00:12:16.384000,35.5,38.0,1005.9,False,42.3,308,3.2
13,0 days 00:13:16.383000,35.5,38.0,1006.0,False,42.1,309,2.5
14,0 days 00:14:16.382000,35.5,38.0,1005.9,False,42.0,305,3.5
15,0 days 00:15:16.396000,35.5,38.0,1006.0,False,41.8,321,3.2
16,0 days 00:16:16.379000,35.3,38.0,1006.0,False,41.9,300,3.5
17,0 days 00:17:16.394000,35.4,39.0,1006.0,False,41.8,301,3.5
18,0 days 00:18:16.393000,35.4,39.0,1006.0,False,41.8,302,3.5
19,0 days 00:19:16.392000,35.3,39.0,1006.0,False,41.8,298,3.4
20,0 days 00:20:16.391000,35.3,39.0,1006.0,False,41.9,293,1.8
21,0 days 00:21:16.390000,35.3,39.0,1006.0,False,41.9,309,1.8
22,0 days 00:22:16.389000,35.3,38.0,1005.9,False,42.2,310,2.7
23,0 days 00:23:16.388000,35.3,38.0,1006.0,False,42.0,314,2.0
24,0 days 00:24:16.387000,35.3,38.0,1006.0,False,42.1,300,2.9
25,0 days 00:25:16.386000,35.3,38.0,1006.0,False,42.1,286,2.7
26,0 days 00:26:16.385000,35.2,38.0,1006.0,False,41.9,300,2.2
27,0 days 00:27:16.399000,35.2,38.0,1006.0,False,42.0,319,2.2
28,0 days 00:28:16.398000,35.2,39.0,1006.0,False,42.0,307,3.0
29,0 days 00:29:16.397000,35.1,39.0,1006.0,False,41.7,303,3.2
30,0 days 00:30:16.396000,35.1,38.0,1006.0,False,41.5,304,3.0
31,0 days 00:31:16.395000,35.1,38.0,1006.0,False,41.6,320,3.2
32,0 days 00:32:16.394000,35.1,38.0,1006.0,False,41.5,307,2.9
33,0 days 00:33:16.393000,35.0,38.0,1006.0,False,41.4,322,3.0
34,0 days 00:34:16.392000,35.0,39.0,1006.0,False,41.2,311,3.7
35,0 days 00:35:16.391000,35.0,39.0,1006.0,False,41.2,312,4.1
36,0 days 00:36:16.405000,34.9,39.0,1006.0,False,41.2,300,2.7
37,0 days 00:37:16.404000,34.9,38.0,1006.2,False,41.1,318,3.7
38,0 days 00:38:16.388000,34.8,38.0,1006.2,False,41.1,302,2.7
39,0 days 00:39:16.402000,34.8,39.0,1006.0,False,41.0,303,4.0
40,0 days 00:40:16.401000,34.8,39.0,1006.2,False,40.8,315,3.4
41,0 days 00:41:16.400000,34.8,39.0,1006.0,False,40.9,296,2.9
42,0 days 00:42:16.399000,34.8,39.0,1006.0,False,40.9,303,3.0
43,0 days 00:43:16.398000,34.8,39.0,1006.0,False,40.9,301,3.2
