,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:12.218000,32.0,60.0,1007.7,False,45.7,161,2.0
1,0 days 00:01:12.217000,32.0,61.0,1007.7,False,45.5,168,2.4
2,0 days 00:02:12.215000,32.0,60.0,1007.7,False,45.1,163,2.9
3,0 days 00:03:12.214000,32.1,60.0,1007.7,False,45.1,163,3.2
4,0 days 00:04:12.213000,32.0,61.0,1007.7,False,45.2,157,3.0
5,0 days 00:05:12.212000,32.0,61.0,1007.7,False,45.2,186,2.2
6,0 days 00:06:12.211000,32.0,61.0,1007.7,False,44.8,198,2.5
7,0 days 00:07:12.210000,32.0,61.0,1007.7,False,44.8,189,1.7
8,0 days 00:08:12.209000,32.0,61.0,1007.7,False,45.5,184,2.0
9,0 days 00:09:12.224000,32.1,61.0,1007.7,False,45.5,166,1.8
10,0 days 00:10:12.207000,32.1,61.0,1007.7,False,45.4,163,1.7
11,0 days 00:11:12.222000,32.1,61.0,1007.7,False,45.3,183,2.2
12,0 days 00:12:12.221000,32.1,61.0,1007.7,False,45.2,163,1.8
13,0 days 00:13:12.219000,32.1,61.0,1007.9,False,45.1,187,2.2
14,0 days 00:14:12.218000,32.0,61.0,1007.7,False,45.0,151,2.5
15,0 days 00:15:12.217000,32.0,62.0,1007.7,False,44.4,165,2.4
16,0 days 00:16:12.216000,32.0,62.0,1007.7,False,44.3,184,1.7
17,0 days 00:17:12.231000,31.9,62.0,1007.7,False,44.3,178,1.7
18,0 days 00:18:12.230000,31.9,62.0,1007.7,False,44.4,166,1.7
19,0 days 00:19:12.229000,32.0,63.0,1007.7,False,44.2,157,2.0
20,0 days 00:20:12.228000,31.9,62.0,1007.7,False,43.8,164,2.2
21,0 days 00:21:12.227000,31.9,63.0,1007.7,False,43.9,179,2.5
22,0 days 00:22:12.226000,31.9,63.0,1007.7,False,43.9,177,2.0
23,0 days 00:23:12.240000,31.9,63.0,1007.7,False,44.0,112,2.0
24,0 days 00:24:12.239000,32.0,63.0,1007.7,False,44.0,173,1.6
25,0 days 00:25:12.222000,31.9,62.0,1007.7,False,43.5,182,2.5
26,0 days 00:26:12.221000,31.9,63.0,1007.7,False,43.5,184,3.0
27,0 days 00:27:12.236000,31.9,63.0,1007.7,False,43.5,180,2.5
28,0 days 00:28:12.235000,31.8,63.0,1007.7,False,43.3,180,3.2
29,0 days 00:29:12.234000,31.7,64.0,1007.7,False,42.9,185,2.7
30,0 days 00:30:12.233000,31.6,64.0,1007.7,False,43.3,182,3.0
31,0 days 00:31:12.247000,31.5,64.0,1007.7,False,43.3,180,2.5
32,0 days 00:32:12.231000,31.6,64.0,1007.7,False,43.3,172,2.5
33,0 days 00:33:12.230000,31.5,64.0,1007.9,False,43.1,170,2.5
34,0 days 00:34:12.229000,31.6,64.0,1007.9,False,43.0,177,2.7
35,0 days 00:35:12.228000,31.5,64.0,1007.9,False,42.4,177,3.0
36,0 days 00:36:12.227000,31.4,64.0,1007.9,False,42.4,174,3.0
37,0 days 00:37:12.241000,31.4,64.0,1007.9,False,42.6,177,2.5
38,0 days 00:38:12.240000,31.4,65.0,1008.0,False,42.6,169,2.0
39,0 days 00:39:12.239000,31.3,64.0,1007.9,False,42.8,195,2.2
40,0 days 00:40:12.238000,31.3,64.0,1008.0,False,42.8,172,2.5
41,0 days 00:41:12.237000,31.3,65.0,1008.0,False,42.8,160,2.2
42,0 days 00:42:12.236000,31.3,65.0,1007.9,False,42.6,177,2.0
43,0 days 00:43:12.235000,31.3,65.0,1008.0,False,42.6,165,2.5
44,0 days 00:44:12.234000,31.2,65.0,1008.0,False,42.6,177,1.8
45,0 days 00:45:12.233000,31.1,65.0,1008.0,False,42.6,180,2.4
46,0 days 00:46:12.247000,31.1,65.0,1008.0,False,42.6,176,1.7
47,0 days 00:47:12.246000,31.1,64.0,1008.0,False,42.3,164,1.8
48,0 days 00:48:12.245000,31.0,64.0,1008.0,False,42.3,195,2.7
49,0 days 00:49:12.244000,31.0,65.0,1008.0,False,42.3,161,1.7
50,0 days 00:50:12.243000,31.0,65.0,1008.0,False,42.3,170,2.0
51,0 days 00:51:12.258000,31.1,64.0,1008.0,False,42.2,183,2.5
52,0 days 00:52:12.241000,31.1,65.0,1008.2,False,42.0,163,2.2
53,0 days 00:53:12.240000,31.1,64.0,1008.2,False,42.2,175,2.2
54,0 days 00:54:12.254000,31.1,65.0,1008.2,False,42.3,173,2.7
55,0 days 00:55:12.253000,31.1,65.0,1008.2,False,42.3,182,2.0
56,0 days 00:56:12.252000,31.1,65.0,1008.2,False,41.8,175,2.2
57,0 days 00:57:12.251000,31.1,64.0,1008.2,False,42.1,185,2.2
58,0 days 00:58:12.235000,31.1,64.0,1008.2,False,42.1,178,3.0
59,0 days 00:59:12.249000,31.1,64.0,1008.2,False,41.9,185,2.2
60,0 days 01:00:12.248000,31.0,64.0,1008.2,False,41.9,168,3.0
61,0 days 01:01:12.247000,31.1,64.0,1008.2,False,41.7,170,2.4
62,0 days 01:02:12.246000,31.0,64.0,1008.2,False,41.7,175,1.6
63,0 days 01:03:12.261000,31.0,64.0,1008.2,False,41.7,183,2.2
64,0 days 01:04:12.259000,31.0,65.0,1008.2,False,41.5,172,2.5
65,0 days 01:05:12.258000,31.0,65.0,1008.2,False,41.4,190,2.2
66,0 days 01:06:12.257000,31.0,65.0,1008.2,False,41.4,190,2.2
67,0 days 01:07:12.256000,31.0,65.0,1008.2,False,41.4,171,2.5
68,0 days 01:08:12.255000,31.0,65.0,1008.2,False,41.4,188,2.4
69,0 days 01:09:12.254000,31.0,65.0,1008.2,False,41.5,184,2.2
70,0 days 01:10:12.253000,31.0,65.0,1008.2,False,41.7,182,1.7
71,0 days 01:11:12.268000,31.0,65.0,1008.2,False,41.8,184,2.4
72,0 days 01:12:12.251000,31.0,65.0,1008.2,False,41.5,185,2.5
73,0 days 01:13:12.266000,31.0,65.0,1008.2,False,41.5,179,2.4
74,0 days 01:14:12.265000,31.0,66.0,1008.2,False,41.6,179,2.2
75,0 days 01:15:12.263000,31.0,66.0,1008.2,False,41.6,178,2.2
76,0 days 01:16:12.262000,31.0,66.0,1008.2,False,41.7,166,2.0
77,0 days 01:17:12.261000,31.0,65.0,1008.4,False,41.6,173,2.2
78,0 days 01:18:12.260000,31.0,66.0,1008.2,False,41.4,184,2.4
79,0 days 01:19:12.259000,31.0,66.0,1008.2,False,41.4,165,2.2
80,0 days 01:20:12.258000,31.0,65.0,1008.2,False,41.4,172,2.2
81,0 days 01:21:12.257000,31.0,65.0,1008.4,False,41.3,173,2.0
