,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:10.332000,LEC,16,,1.0,1.0,0 days 00:15:54.818000,,,47.485,45.354,,0 days 00:17:25.035000,0 days 00:18:10.332000,178.0,149.0,213.0,247.0,False,SOFT,8.0,False,Ferrari,0 days 00:15:54.818000,2023-10-20 21:00:54.839,1,,False,,False,False,,
1,0 days 00:19:46.954000,LEC,16,0 days 00:01:36.622000,2.0,1.0,,,25.829,38.843,31.95,0 days 00:18:36.161000,0 days 00:19:15.004000,0 days 00:19:46.954000,233.0,190.0,206.0,323.0,True,SOFT,9.0,False,Ferrari,0 days 00:18:10.332000,2023-10-20 21:03:10.353,1,,False,,False,True,96.622,96.622
2,0 days 00:21:41.729000,LEC,16,0 days 00:01:54.775000,3.0,1.0,,0 days 00:21:39.845000,31.595,43.785,39.395,0 days 00:20:18.549000,0 days 00:21:02.334000,0 days 00:21:41.729000,191.0,142.0,,263.0,False,SOFT,10.0,False,Ferrari,0 days 00:19:46.954000,2023-10-20 21:04:46.975,1,,False,,False,False,114.775,114.775
3,0 days 00:26:03.618000,LEC,16,,4.0,2.0,0 days 00:23:55.156000,,,45.638,47.959,,0 days 00:25:15.702000,0 days 00:26:03.811000,186.0,129.0,212.0,279.0,False,SOFT,1.0,True,Ferrari,0 days 00:21:41.729000,2023-10-20 21:06:41.750,1,,False,,False,False,,
4,0 days 00:27:39.737000,LEC,16,0 days 00:01:36.119000,5.0,2.0,,,25.976,38.602,31.541,0 days 00:26:29.594000,0 days 00:27:08.196000,0 days 00:27:39.737000,232.0,180.0,207.0,325.0,True,SOFT,2.0,True,Ferrari,0 days 00:26:03.618000,2023-10-20 21:11:03.639,1,,False,,False,True,96.119,96.119
5,0 days 00:29:49.764000,LEC,16,0 days 00:02:10.027000,6.0,2.0,,,37.207,50.001,42.819,0 days 00:28:16.944000,0 days 00:29:06.945000,0 days 00:29:49.764000,157.0,135.0,182.0,198.0,False,SOFT,3.0,True,Ferrari,0 days 00:27:39.737000,2023-10-20 21:12:39.758,1,,False,,False,True,130.027,130.027
6,0 days 00:32:05.385000,LEC,16,0 days 00:02:15.621000,7.0,2.0,,,44.163,48.409,43.049,0 days 00:30:33.927000,0 days 00:31:22.336000,0 days 00:32:05.385000,183.0,148.0,212.0,253.0,False,SOFT,4.0,True,Ferrari,0 days 00:29:49.764000,2023-10-20 21:14:49.785,1,,False,,False,True,135.621,135.621
7,0 days 00:33:41.446000,LEC,16,0 days 00:01:36.061000,8.0,2.0,,,25.622,38.765,31.674,0 days 00:32:31.007000,0 days 00:33:09.772000,0 days 00:33:41.446000,228.0,191.0,208.0,327.0,True,SOFT,5.0,True,Ferrari,0 days 00:32:05.385000,2023-10-20 21:17:05.406,1,,False,,False,True,96.061,96.061
8,0 days 00:35:51.630000,LEC,16,0 days 00:02:10.184000,9.0,2.0,,0 days 00:35:50.585000,33.236,51.845,45.103,0 days 00:34:14.682000,0 days 00:35:06.527000,0 days 00:35:51.630000,162.0,118.0,,177.0,False,SOFT,6.0,True,Ferrari,0 days 00:33:41.446000,2023-10-20 21:18:41.467,1,,False,,False,False,130.184,130.184
9,0 days 00:42:35.909000,LEC,16,,10.0,3.0,0 days 00:40:28.426000,,,49.848,42.011,,0 days 00:41:53.941000,0 days 00:42:35.909000,174.0,137.0,210.0,175.0,False,SOFT,7.0,False,Ferrari,0 days 00:35:51.630000,2023-10-20 21:20:51.651,1,,False,,False,False,,
10,0 days 00:44:11.797000,LEC,16,0 days 00:01:35.888000,11.0,3.0,,,25.724,38.425,31.739,0 days 00:43:01.633000,0 days 00:43:40.058000,0 days 00:44:11.797000,229.0,190.0,207.0,324.0,True,SOFT,8.0,False,Ferrari,0 days 00:42:35.909000,2023-10-20 21:27:35.930,1,,False,,False,True,95.888,95.888
11,0 days 00:46:02.858000,LEC,16,0 days 00:01:51.061000,12.0,3.0,,0 days 00:46:01.797000,33.694,41.815,35.552,0 days 00:44:45.491000,0 days 00:45:27.306000,0 days 00:46:02.858000,202.0,174.0,,291.0,False,SOFT,9.0,False,Ferrari,0 days 00:44:11.797000,2023-10-20 21:29:11.818,1,,False,,False,False,111.061,111.061
12,0 days 00:51:44.564000,LEC,16,,13.0,4.0,0 days 00:49:36.076000,,,52.856,40.255,,0 days 00:51:04.309000,0 days 00:51:44.715000,159.0,140.0,213.0,175.0,False,SOFT,1.0,True,Ferrari,0 days 00:46:02.858000,2023-10-20 21:31:02.879,1,,False,,False,False,,
13,0 days 00:53:19.568000,LEC,16,0 days 00:01:35.004000,14.0,4.0,,,25.503,38.232,31.269,0 days 00:52:10.067000,0 days 00:52:48.299000,0 days 00:53:19.568000,230.0,192.0,209.0,326.0,True,SOFT,2.0,True,Ferrari,0 days 00:51:44.564000,2023-10-20 21:36:44.585,1,,False,,False,True,95.004,95.00399999999999
