,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:39.712000,32.0,24.0,994.9,False,37.0,19,0.8
1,0 days 00:01:39.711000,32.1,24.0,995.0,False,36.6,101,0.8
2,0 days 00:02:39.710000,32.1,24.0,995.0,False,36.6,0,1.0
3,0 days 00:03:39.709000,32.1,24.0,995.0,False,36.6,308,0.4
4,0 days 00:04:39.708000,32.1,24.0,994.9,False,36.8,289,1.7
5,0 days 00:05:39.707000,32.0,24.0,994.7,False,36.8,326,2.2
6,0 days 00:06:39.721000,32.0,24.0,994.9,False,36.6,294,1.8
7,0 days 00:07:39.720000,32.0,24.0,994.9,False,36.6,358,1.5
8,0 days 00:08:39.719000,31.9,24.0,994.7,False,36.6,34,1.0
9,0 days 00:09:39.718000,31.9,24.0,994.7,False,36.7,24,0.8
10,0 days 00:10:39.717000,32.0,24.0,994.7,False,36.8,95,1.7
11,0 days 00:11:39.716000,32.0,24.0,994.7,False,37.1,87,3.5
12,0 days 00:12:39.715000,31.9,24.0,994.7,False,37.3,89,3.4
13,0 days 00:13:39.714000,31.8,24.0,994.7,False,37.6,84,3.7
14,0 days 00:14:39.713000,31.8,24.0,994.7,False,37.8,68,3.5
15,0 days 00:15:39.727000,31.9,24.0,994.7,False,37.8,40,1.7
16,0 days 00:16:39.726000,32.0,24.0,994.7,False,37.9,68,1.6
17,0 days 00:17:39.725000,32.0,24.0,994.7,False,37.9,51,1.1
18,0 days 00:18:39.724000,32.0,23.0,994.5,False,38.3,79,1.7
19,0 days 00:19:39.723000,32.0,23.0,994.5,False,38.3,98,2.2
20,0 days 00:20:39.722000,32.1,23.0,994.5,False,38.4,81,1.8
21,0 days 00:21:39.721000,32.2,23.0,994.5,False,38.8,139,1.7
22,0 days 00:22:39.720000,32.4,23.0,994.7,False,38.9,257,2.0
23,0 days 00:23:39.719000,32.5,23.0,994.7,False,38.9,326,2.0
24,0 days 00:24:39.718000,32.5,23.0,994.5,False,38.8,1,1.0
25,0 days 00:25:39.732000,32.6,23.0,994.5,False,38.7,295,1.5
26,0 days 00:26:39.731000,32.6,23.0,994.7,False,38.7,330,1.6
27,0 days 00:27:39.730000,32.5,23.0,994.7,False,38.8,76,0.8
28,0 days 00:28:39.729000,32.5,22.0,994.5,False,38.9,273,1.0
29,0 days 00:29:39.728000,32.6,22.0,994.5,False,39.1,3,0.4
30,0 days 00:30:39.727000,32.5,22.0,994.5,False,39.0,327,1.1
31,0 days 00:31:39.726000,32.5,23.0,994.5,False,38.8,299,0.8
32,0 days 00:32:39.725000,32.6,23.0,994.5,False,38.8,302,1.0
33,0 days 00:33:39.740000,32.5,23.0,994.5,False,38.4,281,1.7
34,0 days 00:34:39.723000,32.4,23.0,994.4,False,38.0,232,0.6
35,0 days 00:35:39.737000,32.5,23.0,994.5,False,38.0,143,1.2
36,0 days 00:36:39.736000,32.5,22.0,994.5,False,38.5,105,1.7
37,0 days 00:37:39.751000,32.4,23.0,994.5,False,38.5,15,2.5
38,0 days 00:38:39.734000,32.3,23.0,994.5,False,38.7,107,1.2
39,0 days 00:39:39.749000,32.3,23.0,994.4,False,38.3,87,2.0
40,0 days 00:40:39.732000,32.3,24.0,994.4,False,38.2,84,1.7
41,0 days 00:41:39.731000,32.3,24.0,994.5,False,38.3,100,1.6
42,0 days 00:42:39.730000,32.4,24.0,994.2,False,38.4,97,1.8
43,0 days 00:43:39.745000,32.5,23.0,994.4,False,39.1,105,2.2
44,0 days 00:44:39.743000,32.5,23.0,994.4,False,39.4,281,2.0
45,0 days 00:45:39.742000,32.6,22.0,994.2,False,39.4,80,1.0
46,0 days 00:46:39.741000,32.7,23.0,994.4,False,39.4,67,2.4
47,0 days 00:47:39.740000,32.7,22.0,994.4,False,39.4,12,0.6
48,0 days 00:48:39.739000,32.7,22.0,994.4,False,39.4,138,0.8
49,0 days 00:49:39.738000,32.7,21.0,994.2,False,39.4,85,1.0
50,0 days 00:50:39.737000,32.7,21.0,994.2,False,39.5,173,1.7
51,0 days 00:51:39.752000,32.8,22.0,994.2,False,39.7,76,0.8
52,0 days 00:52:39.751000,32.8,22.0,994.2,False,39.3,32,0.4
53,0 days 00:53:39.750000,32.8,22.0,994.2,False,39.2,107,1.2
54,0 days 00:54:39.748000,32.8,22.0,994.2,False,39.3,83,1.5
55,0 days 00:55:39.747000,32.8,22.0,994.2,False,39.4,92,1.1
56,0 days 00:56:39.746000,32.9,22.0,994.2,False,39.9,82,1.0
57,0 days 00:57:39.745000,33.0,23.0,994.2,False,39.9,56,2.5
58,0 days 00:58:39.744000,33.0,23.0,994.2,False,39.9,81,1.5
59,0 days 00:59:39.743000,32.9,23.0,994.0,False,39.9,67,1.7
60,0 days 01:00:39.758000,33.0,23.0,994.0,False,39.8,69,2.0
61,0 days 01:01:39.757000,32.8,23.0,994.0,False,39.9,206,1.3
