,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:20:46.022000,VER,1,,1.0,1.0,0 days 00:18:42.177000,,,47.724,43.065,,0 days 00:20:02.957000,0 days 00:20:46.081000,188.0,176.0,212.0,290.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:18:42.177000,2023-10-21 17:33:43.984,1,,False,,False,False,,
1,0 days 00:22:22.019000,VER,1,0 days 00:01:35.997000,2.0,1.0,,,25.742,38.648,31.607,0 days 00:21:11.764000,0 days 00:21:50.412000,0 days 00:22:22.019000,231.0,184.0,207.0,322.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:20:46.022000,2023-10-21 17:35:47.829,1,,False,,False,True,95.997,95.997
2,0 days 00:24:31.923000,VER,1,0 days 00:02:09.904000,3.0,1.0,,0 days 00:24:30.859000,39.524,51.445,38.935,0 days 00:23:01.543000,0 days 00:23:52.988000,0 days 00:24:31.923000,152.0,169.0,,245.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:22:22.019000,2023-10-21 17:37:23.826,1,,False,,False,False,129.904,129.904
3,0 days 00:35:53.014000,VER,1,,4.0,2.0,0 days 00:34:02.911000,,,43.771,36.886,,0 days 00:35:16.128000,0 days 00:35:53.206000,188.0,153.0,213.0,277.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:24:31.923000,2023-10-21 17:39:33.730,1,,False,,False,False,,
4,0 days 00:37:28.195000,VER,1,0 days 00:01:35.181000,5.0,2.0,,,25.507,38.352,31.322,0 days 00:36:18.521000,0 days 00:36:56.873000,0 days 00:37:28.195000,231.0,186.0,209.0,320.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:35:53.014000,2023-10-21 17:50:54.821,1,,False,,False,True,95.181,95.181
5,0 days 00:39:39.795000,VER,1,0 days 00:02:11.600000,6.0,2.0,,,38.445,54.148,39.007,0 days 00:38:06.640000,0 days 00:39:00.788000,0 days 00:39:39.795000,126.0,130.0,184.0,209.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:37:28.195000,2023-10-21 17:52:30.002,1,,False,,False,True,131.6,131.6
6,0 days 00:41:45.345000,VER,1,0 days 00:02:05.550000,7.0,2.0,,,35.259,53.482,36.809,0 days 00:40:15.054000,0 days 00:41:08.536000,0 days 00:41:45.345000,147.0,153.0,214.0,193.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:39:39.795000,2023-10-21 17:54:41.602,1,,False,,False,True,125.55,125.55
7,0 days 00:43:43.638000,VER,1,0 days 00:01:58.293000,8.0,2.0,,0 days 00:43:41.698000,25.667,52.285,40.341,0 days 00:42:11.012000,0 days 00:43:03.297000,0 days 00:43:43.638000,230.0,146.0,,224.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:41:45.345000,2023-10-21 17:56:47.152,1,,False,,False,False,118.293,118.293
8,0 days 00:56:21.551000,VER,1,,9.0,3.0,0 days 00:54:23.311000,,,47.283,39.44,,0 days 00:55:42.122000,0 days 00:56:21.747000,172.0,153.0,215.0,283.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:43:43.638000,2023-10-21 17:58:45.445,1,,False,,False,False,,
9,0 days 00:57:56.089000,VER,1,0 days 00:01:34.538000,10.0,3.0,,,25.461,38.16,30.917,0 days 00:56:47.012000,0 days 00:57:25.172000,0 days 00:57:56.089000,238.0,186.0,210.0,321.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:56:21.551000,2023-10-21 18:11:23.358,1,,False,,False,True,94.538,94.538
10,0 days 01:00:00.459000,VER,1,0 days 00:02:04.370000,11.0,3.0,,0 days 00:59:58.540000,33.869,50.43,40.071,0 days 00:58:29.958000,0 days 00:59:20.388000,0 days 01:00:00.459000,179.0,162.0,,239.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:57:56.089000,2023-10-21 18:12:57.896,1,,False,,False,False,124.37,124.37
11,0 days 00:19:03.686000,LEC,16,,1.0,1.0,0 days 00:16:49.398000,,,46.715,46.938,,0 days 00:18:16.803000,0 days 00:19:03.693000,185.0,152.0,209.0,274.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:16:49.398000,2023-10-21 17:31:51.205,1,,False,,False,False,,
12,0 days 00:20:39.988000,LEC,16,0 days 00:01:36.302000,2.0,1.0,,,25.967,38.72,31.615,0 days 00:19:29.653000,0 days 00:20:08.373000,0 days 00:20:39.988000,231.0,190.0,211.0,325.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:19:03.686000,2023-10-21 17:34:05.493,1,,False,,False,True,96.302,96.30199999999999
13,0 days 00:22:55.199000,LEC,16,0 days 00:02:15.211000,3.0,1.0,,,47.492,46.953,40.766,0 days 00:21:27.480000,0 days 00:22:14.433000,0 days 00:22:55.199000,173.0,135.0,173.0,221.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:20:39.988000,2023-10-21 17:35:41.795,1,,False,,False,True,135.211,135.21099999999998
14,0 days 00:25:08.785000,LEC,16,0 days 00:02:13.586000,4.0,1.0,,,42.347,51.364,39.875,0 days 00:23:37.546000,0 days 00:24:28.910000,0 days 00:25:08.785000,153.0,141.0,213.0,195.0,False,MEDIUM,4.0,True,Ferrari,0 days 00:22:55.199000,2023-10-21 17:37:57.006,1,,False,,False,True,133.586,133.586
15,0 days 00:26:44.784000,LEC,16,0 days 00:01:35.999000,5.0,1.0,,,25.751,38.51,31.738,0 days 00:25:34.536000,0 days 00:26:13.046000,0 days 00:26:44.784000,229.0,190.0,209.0,323.0,True,MEDIUM,5.0,True,Ferrari,0 days 00:25:08.785000,2023-10-21 17:40:10.592,1,,False,,False,True,95.999,95.999
16,0 days 00:28:53.706000,LEC,16,0 days 00:02:08.922000,6.0,1.0,,0 days 00:28:52.588000,44.405,44.456,40.061,0 days 00:27:29.189000,0 days 00:28:13.645000,0 days 00:28:53.706000,191.0,152.0,,226.0,False,MEDIUM,6.0,True,Ferrari,0 days 00:26:44.784000,2023-10-21 17:41:46.591,1,,False,,False,False,128.922,128.922
17,0 days 00:36:26.006000,LEC,16,,7.0,2.0,0 days 00:34:16.083000,,,49.08,41.074,,0 days 00:35:44.972000,0 days 00:36:26.018000,162.0,152.0,211.0,202.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:28:53.706000,2023-10-21 17:43:55.513,1,,False,,False,False,,
18,0 days 00:38:01.392000,LEC,16,0 days 00:01:35.386000,8.0,2.0,,,25.704,38.358,31.324,0 days 00:36:51.710000,0 days 00:37:30.068000,0 days 00:38:01.392000,234.0,191.0,206.0,321.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:36:26.006000,2023-10-21 17:51:27.813,1,,False,,False,True,95.386,95.386
19,0 days 00:40:12.740000,LEC,16,0 days 00:02:11.348000,9.0,2.0,,0 days 00:40:11.342000,37.983,51.703,41.662,0 days 00:38:39.375000,0 days 00:39:31.078000,0 days 00:40:12.740000,150.0,140.0,,190.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:38:01.392000,2023-10-21 17:53:03.199,1,,False,,False,False,131.348,131.348
20,0 days 00:43:09.582000,LEC,16,,10.0,3.0,0 days 00:40:50.544000,,78.111,50.436,48.305,0 days 00:41:30.841000,0 days 00:42:21.340000,0 days 00:43:09.776000,151.0,146.0,202.0,197.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:40:12.740000,2023-10-21 17:55:14.547,1,,False,,False,False,,176.852
21,0 days 00:45:03.508000,LEC,16,0 days 00:01:53.926000,11.0,3.0,,0 days 00:45:02.477000,25.688,39.777,48.461,0 days 00:43:35.270000,0 days 00:44:15.047000,0 days 00:45:03.508000,231.0,154.0,,267.0,False,MEDIUM,5.0,False,Ferrari,0 days 00:43:09.582000,2023-10-21 17:58:11.389,1,,False,,False,False,113.926,113.926
