,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:17:56.176000,VER,1,0 days 00:01:40.765000,1.0,1.0,0 days 00:16:20.464000,,46.124,19.167,35.474,0 days 00:17:01.692000,0 days 00:17:20.715000,0 days 00:17:56.176000,271.0,275.0,309.0,156.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:16:20.464000,2024-03-23 05:01:21.852,1,,False,,False,False,100.765,100.76499999999999
1,0 days 00:19:13.654000,VER,1,0 days 00:01:17.478000,2.0,1.0,,,26.827,17.5,33.151,0 days 00:18:23.003000,0 days 00:18:40.503000,0 days 00:19:13.654000,286.0,322.0,306.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:17:56.176000,2024-03-23 05:02:57.564,1,,False,,False,True,77.478,77.47800000000001
2,0 days 00:21:48.125000,VER,1,,3.0,1.0,,0 days 00:20:59.534000,37.806,26.028,90.652,0 days 00:19:51.605000,0 days 00:20:17.513000,0 days 00:21:48.412000,171.0,233.0,,257.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:13.654000,2024-03-23 05:04:15.042,1,,False,,False,False,,154.486
3,0 days 00:23:28.134000,VER,1,0 days 00:01:40.009000,4.0,2.0,0 days 00:21:50.135000,,38.811,23.459,37.739,0 days 00:22:26.936000,0 days 00:22:50.395000,0 days 00:23:28.134000,233.0,259.0,309.0,166.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:21:48.125000,2024-03-23 05:06:49.513,1,,False,,False,False,100.009,100.00899999999999
4,0 days 00:24:45.363000,VER,1,0 days 00:01:17.229000,5.0,2.0,,,26.591,17.522,33.116,0 days 00:23:54.725000,0 days 00:24:12.247000,0 days 00:24:45.363000,287.0,320.0,302.0,327.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:23:28.134000,2024-03-23 05:08:29.522,1,,False,,False,True,77.229,77.229
5,0 days 00:26:47.537000,VER,1,0 days 00:02:02.174000,6.0,2.0,,0 days 00:26:29.040000,40.614,23.071,58.489,0 days 00:25:25.977000,0 days 00:25:49.048000,0 days 00:26:47.537000,228.0,276.0,,234.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:24:45.363000,2024-03-23 05:09:46.751,1,,False,,False,False,122.174,122.174
6,0 days 00:28:41.636000,VER,1,0 days 00:01:54.099000,7.0,3.0,0 days 00:26:52.573000,,49.307,27.059,37.733,0 days 00:27:36.844000,0 days 00:28:03.903000,0 days 00:28:41.636000,213.0,238.0,309.0,107.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:26:47.537000,2024-03-23 05:11:48.925,1,,False,,False,False,114.099,114.09899999999999
7,0 days 00:29:58.455000,VER,1,0 days 00:01:16.819000,8.0,3.0,,,26.545,17.504,32.77,0 days 00:29:08.181000,0 days 00:29:25.685000,0 days 00:29:58.455000,287.0,319.0,306.0,326.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:28:41.636000,2024-03-23 05:13:43.024,1,,False,,False,True,76.819,76.81900000000002
8,0 days 00:40:07.938000,VER,1,,9.0,3.0,,0 days 00:31:38.906000,34.827,23.024,,0 days 00:30:33.457000,0 days 00:30:56.372000,,200.0,229.0,,238.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:29:58.455000,2024-03-23 05:14:59.843,1,,False,,False,False,,
9,0 days 00:41:59.846000,VER,1,0 days 00:01:51.908000,10.0,4.0,0 days 00:40:12.738000,,53.277,19.875,38.756,0 days 00:41:01.215000,0 days 00:41:21.090000,0 days 00:41:59.846000,265.0,280.0,311.0,99.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:40:07.938000,2024-03-23 05:25:09.326,1,,False,,False,False,111.908,111.908
10,0 days 00:43:16.233000,VER,1,0 days 00:01:16.387000,11.0,4.0,,,26.477,17.428,32.482,0 days 00:42:26.323000,0 days 00:42:43.751000,0 days 00:43:16.233000,289.0,321.0,308.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:41:59.846000,2024-03-23 05:27:01.234,1,,False,,False,True,76.387,76.387
11,0 days 00:45:11.119000,VER,1,0 days 00:01:54.886000,12.0,4.0,,0 days 00:45:00.592000,44.116,20.521,50.249,0 days 00:44:00.349000,0 days 00:44:20.870000,0 days 00:45:11.119000,245.0,282.0,,245.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:43:16.233000,2024-03-23 05:28:17.621,1,,False,,False,False,114.886,114.886
12,0 days 00:46:56.436000,VER,1,0 days 00:01:45.317000,13.0,5.0,0 days 00:45:13.093000,,41.262,23.856,40.199,0 days 00:45:52.381000,0 days 00:46:16.237000,0 days 00:46:56.436000,213.0,249.0,309.0,166.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:45:11.119000,2024-03-23 05:30:12.507,1,,False,,False,False,105.317,105.317
13,0 days 00:48:16.465000,VER,1,0 days 00:01:20.029000,14.0,5.0,,,26.505,17.456,36.068,0 days 00:47:22.941000,0 days 00:47:40.397000,0 days 00:48:16.465000,288.0,319.0,199.0,325.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:46:56.436000,2024-03-23 05:31:57.824,1,,False,,False,True,80.029,80.029
14,0 days 01:04:08.071000,VER,1,,15.0,5.0,,0 days 00:49:55.411000,36.285,23.362,,0 days 00:48:52.760000,0 days 00:49:16.156000,,171.0,268.0,,144.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:48:16.465000,2024-03-23 05:33:17.853,1,,False,,False,False,,
15,0 days 01:05:56.871000,VER,1,0 days 00:01:48.800000,16.0,6.0,0 days 01:04:13.160000,,48.78,22.169,37.851,0 days 01:04:56.851000,0 days 01:05:19.020000,0 days 01:05:56.871000,254.0,254.0,310.0,122.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:04:08.071000,2024-03-23 05:49:09.459,1,,False,,False,False,108.8,108.8
16,0 days 01:07:12.919000,VER,1,0 days 00:01:16.048000,17.0,6.0,,,26.278,17.361,32.409,0 days 01:06:23.149000,0 days 01:06:40.510000,0 days 01:07:12.919000,288.0,320.0,306.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:05:56.871000,2024-03-23 05:50:58.259,1,,False,,False,True,76.048,76.048
17,0 days 01:11:32.145000,VER,1,,18.0,6.0,,0 days 01:08:40.606000,31.065,20.001,,0 days 01:07:44.025000,0 days 01:08:04.065000,,257.0,277.0,,239.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:07:12.919000,2024-03-23 05:52:14.307,1,,False,,False,False,,
18,0 days 01:13:14.458000,VER,1,0 days 00:01:42.313000,19.0,7.0,0 days 01:11:34.369000,,39.867,22.789,39.657,0 days 01:12:12.012000,0 days 01:12:34.801000,0 days 01:13:14.458000,263.0,240.0,310.0,175.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:11:32.145000,2024-03-23 05:56:33.533,1,,False,,False,False,102.313,102.31299999999999
19,0 days 01:14:30.373000,VER,1,0 days 00:01:15.915000,20.0,7.0,,,26.262,17.315,32.338,0 days 01:13:40.720000,0 days 01:13:58.035000,0 days 01:14:30.373000,288.0,320.0,305.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:14.458000,2024-03-23 05:58:15.846,1,,False,,False,True,75.915,75.91499999999999
20,0 days 01:16:14.408000,VER,1,,21.0,7.0,,0 days 01:16:14.408000,35.851,22.759,,0 days 01:15:06.408000,0 days 01:15:29.043000,,215.0,253.0,,239.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:14:30.373000,2024-03-23 05:59:31.761,1,,False,,False,False,,
21,0 days 00:19:17.216000,SAI,55,0 days 00:01:47.981000,1.0,1.0,0 days 00:17:32.857000,,45.713,19.54,42.728,0 days 00:18:15.112000,0 days 00:18:34.573000,0 days 00:19:17.216000,193.0,298.0,305.0,104.0,False,SOFT,1.0,True,Ferrari,0 days 00:17:32.857000,2024-03-23 05:02:34.245,1,,False,,False,False,107.981,107.981
22,0 days 00:20:34.505000,SAI,55,0 days 00:01:17.289000,2.0,1.0,,,26.948,17.648,32.693,0 days 00:19:44.164000,0 days 00:20:01.812000,0 days 00:20:34.505000,286.0,317.0,299.0,322.0,True,SOFT,2.0,True,Ferrari,0 days 00:19:17.216000,2024-03-23 05:04:18.604,1,,False,,False,True,77.289,77.289
23,0 days 00:22:22.896000,SAI,55,0 days 00:01:48.391000,3.0,1.0,,,39.444,23.607,45.34,0 days 00:21:13.949000,0 days 00:21:37.556000,0 days 00:22:22.896000,225.0,230.0,165.0,189.0,False,SOFT,3.0,True,Ferrari,0 days 00:20:34.505000,2024-03-23 05:05:35.893,1,,False,,False,True,108.391,108.391
24,0 days 00:24:06.765000,SAI,55,0 days 00:01:43.869000,4.0,1.0,,,40.544,23.097,40.228,0 days 00:23:03.440000,0 days 00:23:26.537000,0 days 00:24:06.765000,247.0,262.0,305.0,192.0,False,SOFT,4.0,True,Ferrari,0 days 00:22:22.896000,2024-03-23 05:07:24.284,1,,False,,False,True,103.869,103.869
25,0 days 00:25:23.496000,SAI,55,0 days 00:01:16.731000,5.0,1.0,,,26.704,17.56,32.467,0 days 00:24:33.469000,0 days 00:24:51.029000,0 days 00:25:23.496000,286.0,318.0,306.0,322.0,True,SOFT,5.0,True,Ferrari,0 days 00:24:06.765000,2024-03-23 05:09:08.153,1,,False,,False,True,76.731,76.731
26,0 days 00:40:03.539000,SAI,55,,6.0,1.0,,0 days 00:27:01.706000,34.385,22.031,,0 days 00:25:58.573000,0 days 00:26:20.073000,,225.0,243.0,,233.0,False,SOFT,6.0,True,Ferrari,0 days 00:25:23.496000,2024-03-23 05:10:24.884,1,,False,,False,False,,
27,0 days 00:41:46.157000,SAI,55,0 days 00:01:42.618000,7.0,2.0,0 days 00:40:05.604000,,40.613,20.202,41.803,0 days 00:40:44.152000,0 days 00:41:04.354000,0 days 00:41:46.157000,256.0,292.0,304.0,139.0,False,SOFT,6.0,False,Ferrari,0 days 00:40:03.539000,2024-03-23 05:25:04.927,1,,False,,False,False,102.618,102.618
28,0 days 00:43:02.828000,SAI,55,0 days 00:01:16.671000,8.0,2.0,,,26.558,17.568,32.545,0 days 00:42:12.715000,0 days 00:42:30.283000,0 days 00:43:02.828000,287.0,315.0,306.0,320.0,True,SOFT,7.0,False,Ferrari,0 days 00:41:46.157000,2024-03-23 05:26:47.545,1,,False,,False,True,76.671,76.671
29,0 days 00:46:00.446000,SAI,55,,9.0,2.0,,0 days 00:44:35.973000,34.045,20.727,,0 days 00:43:37.006000,0 days 00:43:57.762000,,245.0,265.0,,266.0,False,SOFT,8.0,False,Ferrari,0 days 00:43:02.828000,2024-03-23 05:28:04.216,1,,False,,False,False,,
30,0 days 00:47:41.528000,SAI,55,0 days 00:01:41.082000,10.0,3.0,0 days 00:46:02.819000,,40.1,18.926,42.056,0 days 00:46:40.546000,0 days 00:46:59.472000,0 days 00:47:41.528000,261.0,296.0,306.0,180.0,False,SOFT,1.0,True,Ferrari,0 days 00:46:00.446000,2024-03-23 05:31:01.834,1,,False,,False,False,101.082,101.082
31,0 days 00:48:57.717000,SAI,55,0 days 00:01:16.189000,11.0,3.0,,,26.301,17.535,32.353,0 days 00:48:07.829000,0 days 00:48:25.364000,0 days 00:48:57.717000,287.0,316.0,306.0,322.0,True,SOFT,2.0,True,Ferrari,0 days 00:47:41.528000,2024-03-23 05:32:42.916,1,,False,,False,True,76.189,76.189
32,0 days 01:03:12.197000,SAI,55,,12.0,3.0,,0 days 00:50:34.081000,33.676,21.633,,0 days 00:49:31.505000,0 days 00:49:53.126000,,226.0,253.0,,263.0,False,SOFT,3.0,True,Ferrari,0 days 00:48:57.717000,2024-03-23 05:33:59.105,1,,False,,False,False,,
33,0 days 01:04:55.598000,SAI,55,0 days 00:01:43.401000,13.0,4.0,0 days 01:03:15.734000,,43.868,19.275,40.258,0 days 01:03:56.065000,0 days 01:04:15.340000,0 days 01:04:55.598000,255.0,292.0,306.0,120.0,False,SOFT,1.0,True,Ferrari,0 days 01:03:12.197000,2024-03-23 05:48:13.585,1,,False,,False,False,103.401,103.40100000000001
34,0 days 01:06:11.929000,SAI,55,0 days 00:01:16.331000,14.0,4.0,,,26.396,17.494,32.441,0 days 01:05:21.994000,0 days 01:05:39.488000,0 days 01:06:11.929000,286.0,316.0,305.0,322.0,True,SOFT,2.0,True,Ferrari,0 days 01:04:55.598000,2024-03-23 05:49:56.986,1,,False,,False,True,76.331,76.331
35,0 days 01:11:39.040000,SAI,55,,15.0,4.0,,0 days 01:07:48.426000,35.381,21.817,,0 days 01:06:47.334000,0 days 01:07:09.239000,,231.0,258.0,,242.0,False,SOFT,3.0,True,Ferrari,0 days 01:06:11.929000,2024-03-23 05:51:13.317,1,,False,,False,False,,
36,0 days 01:13:26.906000,SAI,55,0 days 00:01:47.866000,16.0,5.0,0 days 01:11:43.780000,,48.057,19.157,40.652,0 days 01:12:27.097000,0 days 01:12:46.254000,0 days 01:13:26.906000,261.0,295.0,306.0,158.0,False,SOFT,1.0,True,Ferrari,0 days 01:11:39.040000,2024-03-23 05:56:40.428,1,,False,,False,False,107.866,107.866
37,0 days 01:14:43.091000,SAI,55,0 days 00:01:16.185000,17.0,5.0,,,26.222,17.434,32.529,0 days 01:13:53.128000,0 days 01:14:10.562000,0 days 01:14:43.091000,288.0,318.0,306.0,323.0,True,SOFT,2.0,True,Ferrari,0 days 01:13:26.906000,2024-03-23 05:58:28.294,1,,False,,False,True,76.185,76.185
38,0 days 01:16:29.635000,SAI,55,,18.0,5.0,,0 days 01:16:29.635000,35.886,24.321,,0 days 01:15:19.100000,0 days 01:15:43.368000,,237.0,208.0,,251.0,False,SOFT,3.0,True,Ferrari,0 days 01:14:43.091000,2024-03-23 05:59:44.479,1,,False,,False,False,,
39,0 days 00:18:21.838000,PER,11,0 days 00:02:00.726000,1.0,1.0,0 days 00:16:29.990000,,60.287,19.893,40.546,0 days 00:17:21.720000,0 days 00:17:41.555000,0 days 00:18:21.838000,195.0,301.0,309.0,140.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:16:29.990000,2024-03-23 05:01:31.378,1,,False,,False,False,120.726,120.726
40,0 days 00:19:39.508000,PER,11,0 days 00:01:17.670000,2.0,1.0,,,27.032,17.567,33.071,0 days 00:18:48.870000,0 days 00:19:06.437000,0 days 00:19:39.508000,288.0,320.0,308.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:18:21.838000,2024-03-23 05:03:23.226,1,,False,,False,True,77.67,77.67
41,0 days 00:21:29.939000,PER,11,0 days 00:01:50.431000,3.0,1.0,,,43.903,22.196,44.332,0 days 00:20:23.411000,0 days 00:20:45.607000,0 days 00:21:29.939000,241.0,251.0,274.0,268.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:19:39.508000,2024-03-23 05:04:40.896,1,,False,,False,True,110.431,110.43100000000001
42,0 days 00:23:07.712000,PER,11,0 days 00:01:37.773000,4.0,1.0,,,31.811,20.681,45.281,0 days 00:22:01.750000,0 days 00:22:22.431000,0 days 00:23:07.712000,260.0,273.0,308.0,283.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:21:29.939000,2024-03-23 05:06:31.327,1,,False,,False,True,97.773,97.773
43,0 days 00:24:24.987000,PER,11,0 days 00:01:17.275000,5.0,1.0,,,26.724,17.573,32.978,0 days 00:23:34.436000,0 days 00:23:52.009000,0 days 00:24:24.987000,288.0,321.0,308.0,327.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:23:07.712000,2024-03-23 05:08:09.100,1,,False,,False,True,77.275,77.275
