,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:14:48.685000,VER,1,,1.0,1.0,0 days 00:13:22.886000,,,41.204,23.217,,0 days 00:14:25.537000,0 days 00:14:49.474000,169.0,199.0,284.0,205.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:13:22.886000,2024-06-29 14:00:04.014,1,,False,,False,False,,
1,0 days 00:15:54.739000,VER,1,0 days 00:01:06.054000,2.0,1.0,,,16.579,29.671,19.804,0 days 00:15:05.264000,0 days 00:15:34.935000,0 days 00:15:54.739000,320.0,242.0,287.0,316.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:14:48.685000,2024-06-29 14:01:29.813,1,,False,,False,True,66.054,66.054
2,0 days 00:17:36.828000,VER,1,0 days 00:01:42.089000,3.0,1.0,,0 days 00:17:13.602000,20.547,34.725,46.817,0 days 00:16:15.286000,0 days 00:16:50.011000,0 days 00:17:36.828000,172.0,225.0,,253.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:15:54.739000,2024-06-29 14:02:35.867,1,,False,,False,False,102.089,102.089
3,0 days 00:21:16.857000,VER,1,,4.0,2.0,0 days 00:19:53.125000,,,40.276,23.685,,0 days 00:20:53.213000,0 days 00:21:16.998000,215.0,182.0,286.0,220.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:17:36.828000,2024-06-29 14:04:17.956,1,,False,,False,False,,
4,0 days 00:22:22.193000,VER,1,0 days 00:01:05.336000,5.0,2.0,,,16.421,29.316,19.599,0 days 00:21:33.278000,0 days 00:22:02.594000,0 days 00:22:22.193000,322.0,244.0,285.0,316.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:21:16.857000,2024-06-29 14:07:57.985,1,,False,,False,True,65.336,65.336
5,0 days 00:23:46.169000,VER,1,0 days 00:01:23.976000,6.0,2.0,,0 days 00:23:42.831000,19.789,35.606,28.581,0 days 00:22:41.982000,0 days 00:23:17.588000,0 days 00:23:46.169000,190.0,209.0,,229.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:22:22.193000,2024-06-29 14:09:03.321,1,,False,,False,False,83.976,83.976
6,0 days 00:43:19.391000,VER,1,,7.0,3.0,0 days 00:41:53.789000,,,40.122,22.728,,0 days 00:42:56.671000,0 days 00:43:19.391000,228.0,164.0,289.0,215.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:23:46.169000,2024-06-29 14:10:27.297,1,,False,,False,False,,
7,0 days 00:44:23.968000,VER,1,0 days 00:01:04.577000,8.0,3.0,,,16.266,28.931,19.38,0 days 00:43:35.657000,0 days 00:44:04.588000,0 days 00:44:23.968000,322.0,251.0,287.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:19.391000,2024-06-29 14:30:00.519,1,,False,,False,True,64.577,64.577
8,0 days 00:45:52.242000,VER,1,0 days 00:01:28.274000,9.0,3.0,,0 days 00:45:48.985000,22.813,37.522,27.939,0 days 00:44:46.781000,0 days 00:45:24.303000,0 days 00:45:52.242000,235.0,226.0,,235.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:44:23.968000,2024-06-29 14:31:05.096,1,,False,,False,False,88.274,88.274
9,0 days 00:52:05.394000,VER,1,,10.0,4.0,0 days 00:50:24.403000,,,39.58,23.182,,0 days 00:51:42.232000,0 days 00:52:05.664000,234.0,198.0,289.0,227.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:45:52.242000,2024-06-29 14:32:33.370,1,,False,,False,False,,
10,0 days 00:53:09.863000,VER,1,0 days 00:01:04.469000,11.0,4.0,,,16.262,28.852,19.355,0 days 00:52:21.656000,0 days 00:52:50.508000,0 days 00:53:09.863000,322.0,249.0,288.0,318.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:52:05.394000,2024-06-29 14:38:46.522,1,,False,,False,True,64.469,64.46900000000001
11,0 days 00:54:35.153000,VER,1,0 days 00:01:25.290000,12.0,4.0,,0 days 00:54:32.327000,20.245,35.521,29.524,0 days 00:53:30.108000,0 days 00:54:05.629000,0 days 00:54:35.153000,226.0,201.0,,241.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:53:09.863000,2024-06-29 14:39:50.991,1,,False,,False,False,85.29,85.29
12,0 days 01:04:51.267000,VER,1,,13.0,5.0,0 days 01:03:12.193000,,,39.236,25.959,,0 days 01:04:25.399000,0 days 01:04:51.267000,251.0,210.0,291.0,243.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:54:35.153000,2024-06-29 14:41:16.281,1,,False,,False,False,,
