,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:22:20.980000,VER,1,,1.0,1.0,0 days 00:20:10.428000,,,46.454,27.668,,0 days 00:21:53.374000,0 days 00:22:21.019000,226.0,256.0,291.0,110.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:20:10.428000,2024-03-01 16:06:46.101,1,,False,,False,False,,
1,0 days 00:23:51.011000,VER,1,0 days 00:01:30.031000,2.0,1.0,,,28.787,38.58,22.664,0 days 00:22:49.767000,0 days 00:23:28.347000,0 days 00:23:51.011000,242.0,270.0,288.0,316.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:22:20.980000,2024-03-01 16:08:56.653,1,,False,,False,True,90.031,90.03099999999999
2,0 days 00:25:59.737000,VER,1,0 days 00:02:08.726000,3.0,1.0,,0 days 00:25:58.003000,37.524,56.168,35.034,0 days 00:24:28.535000,0 days 00:25:24.703000,0 days 00:25:59.737000,153.0,168.0,,207.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:23:51.011000,2024-03-01 16:10:26.684,1,,False,,False,False,128.726,128.726
3,0 days 00:31:09.934000,VER,1,,4.0,2.0,0 days 00:29:18.091000,,,46.144,29.156,,0 days 00:30:40.828000,0 days 00:31:10.171000,174.0,238.0,288.0,139.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:25:59.737000,2024-03-01 16:12:35.410,1,,False,,False,False,,
4,0 days 00:32:40.094000,VER,1,0 days 00:01:30.160000,5.0,2.0,,,28.822,38.767,22.571,0 days 00:31:38.756000,0 days 00:32:17.523000,0 days 00:32:40.094000,241.0,271.0,286.0,317.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:31:09.934000,2024-03-01 16:17:45.607,1,,False,,False,True,90.16,90.16
5,0 days 00:34:22.949000,VER,1,0 days 00:01:42.855000,6.0,2.0,,0 days 00:34:21.124000,32.8,42.21,27.845,0 days 00:33:12.894000,0 days 00:33:55.104000,0 days 00:34:22.949000,217.0,252.0,,224.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:32:40.094000,2024-03-01 16:19:15.767,1,,False,,False,False,102.855,102.85499999999999
6,0 days 00:43:40.016000,VER,1,,7.0,3.0,0 days 00:41:42.542000,,,47.747,26.83,,0 days 00:43:13.186000,0 days 00:43:40.109000,231.0,229.0,293.0,91.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:34:22.949000,2024-03-01 16:20:58.622,1,,False,,False,False,,
7,0 days 00:45:09.390000,VER,1,0 days 00:01:29.374000,8.0,3.0,,,28.509,38.387,22.478,0 days 00:44:08.525000,0 days 00:44:46.912000,0 days 00:45:09.390000,242.0,271.0,287.0,327.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:43:40.016000,2024-03-01 16:30:15.689,1,,False,,False,True,89.374,89.374
8,0 days 00:47:06.263000,VER,1,0 days 00:01:56.873000,9.0,3.0,,0 days 00:47:05.349000,35.265,49.962,31.646,0 days 00:45:44.655000,0 days 00:46:34.617000,0 days 00:47:06.263000,210.0,187.0,,212.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:45:09.390000,2024-03-01 16:31:45.063,1,,False,,False,False,116.873,116.873
9,0 days 00:52:16.553000,VER,1,,10.0,4.0,0 days 00:50:08.844000,,,46.574,24.652,,0 days 00:51:51.938000,0 days 00:52:16.589000,227.0,233.0,289.0,51.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:47:06.263000,2024-03-01 16:33:41.936,1,,False,,False,False,,
10,0 days 00:53:54.340000,VER,1,0 days 00:01:37.787000,11.0,4.0,,0 days 00:53:52.588000,28.759,39.048,29.98,0 days 00:52:45.312000,0 days 00:53:24.360000,0 days 00:53:54.340000,240.0,207.0,,321.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:52:16.553000,2024-03-01 16:38:52.226,1,,False,,False,False,97.787,97.787
11,0 days 01:03:53.741000,VER,1,,12.0,5.0,0 days 01:02:05.966000,,,47.589,24.603,,0 days 01:03:29.229000,0 days 01:03:53.889000,212.0,214.0,289.0,171.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:53:54.340000,2024-03-01 16:40:30.013,1,,False,,False,False,,
12,0 days 01:05:23.162000,VER,1,0 days 00:01:29.421000,13.0,5.0,,,28.686,38.361,22.374,0 days 01:04:22.427000,0 days 01:05:00.788000,0 days 01:05:23.162000,241.0,272.0,286.0,320.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:53.741000,2024-03-01 16:50:29.414,1,,False,,False,True,89.421,89.42099999999999
13,0 days 01:07:15.907000,VER,1,0 days 00:01:52.745000,14.0,5.0,,0 days 01:07:14.256000,33.465,48.172,31.108,0 days 01:05:56.627000,0 days 01:06:44.799000,0 days 01:07:15.907000,208.0,200.0,,217.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:05:23.162000,2024-03-01 16:51:58.835,1,,False,,False,False,112.745,112.745
14,0 days 01:12:34.125000,VER,1,,15.0,6.0,0 days 01:10:42.410000,,,46.277,32.772,,0 days 01:12:01.357000,0 days 01:12:35.939000,229.0,241.0,292.0,173.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:07:15.907000,2024-03-01 16:53:51.580,1,,False,,False,False,,
15,0 days 01:14:03.304000,VER,1,0 days 00:01:29.179000,16.0,6.0,,,28.535,38.269,22.375,0 days 01:13:02.660000,0 days 01:13:40.929000,0 days 01:14:03.304000,242.0,271.0,288.0,320.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:12:34.125000,2024-03-01 16:59:09.798,1,,False,,False,True,89.179,89.179
16,0 days 01:16:02.987000,VER,1,0 days 00:01:59.683000,17.0,6.0,,0 days 01:16:00.132000,36.239,46.101,37.343,0 days 01:14:39.543000,0 days 01:15:25.644000,0 days 01:16:02.987000,214.0,174.0,,202.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:14:03.304000,2024-03-01 17:00:38.977,1,,False,,False,False,119.683,119.683
17,0 days 00:15:36.837000,LEC,16,,1.0,1.0,0 days 00:13:41.044000,,,45.475,27.582,,0 days 00:15:09.266000,0 days 00:15:37.019000,219.0,240.0,285.0,73.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:13:41.044000,2024-03-01 16:00:16.717,1,,False,,False,False,,
18,0 days 00:17:08.097000,LEC,16,0 days 00:01:31.260000,2.0,1.0,,,29.522,39.009,22.729,0 days 00:16:06.359000,0 days 00:16:45.368000,0 days 00:17:08.097000,240.0,273.0,283.0,313.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:15:36.837000,2024-03-01 16:02:12.510,1,,False,,False,True,91.26,91.26
19,0 days 00:19:00.023000,LEC,16,0 days 00:01:51.926000,3.0,1.0,,0 days 00:18:58.523000,35.914,47.096,28.916,0 days 00:17:44.011000,0 days 00:18:31.107000,0 days 00:19:00.023000,177.0,220.0,,235.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:17:08.097000,2024-03-01 16:03:43.770,1,,False,,False,False,111.926,111.92599999999999
20,0 days 00:23:16.225000,LEC,16,,4.0,2.0,0 days 00:21:11.035000,,,48.77,25.253,,0 days 00:22:50.972000,0 days 00:23:16.566000,192.0,214.0,287.0,63.0,False,SOFT,1.0,True,Ferrari,0 days 00:19:00.023000,2024-03-01 16:05:35.696,1,,False,,False,False,,
21,0 days 00:24:46.468000,LEC,16,0 days 00:01:30.243000,5.0,2.0,,,29.067,38.589,22.587,0 days 00:23:45.292000,0 days 00:24:23.881000,0 days 00:24:46.468000,243.0,272.0,286.0,316.0,True,SOFT,2.0,True,Ferrari,0 days 00:23:16.225000,2024-03-01 16:09:51.898,1,,False,,False,True,90.243,90.24300000000001
22,0 days 00:26:35.006000,LEC,16,0 days 00:01:48.538000,6.0,2.0,,0 days 00:26:33.322000,34.753,45.574,28.211,0 days 00:25:21.221000,0 days 00:26:06.795000,0 days 00:26:35.006000,211.0,226.0,,263.0,False,SOFT,3.0,True,Ferrari,0 days 00:24:46.468000,2024-03-01 16:11:22.141,1,,False,,False,False,108.538,108.538
23,0 days 00:31:10.595000,LEC,16,,7.0,3.0,0 days 00:29:02.879000,0 days 00:31:08.803000,,48.255,36.81,,0 days 00:30:33.785000,0 days 00:31:10.674000,222.0,128.0,,66.0,False,SOFT,1.0,True,Ferrari,0 days 00:26:35.006000,2024-03-01 16:13:10.679,1,,False,,False,False,,
24,0 days 00:43:27.187000,LEC,16,,8.0,4.0,0 days 00:41:13.333000,,,45.134,26.521,,0 days 00:43:00.787000,0 days 00:43:27.187000,219.0,231.0,286.0,43.0,False,SOFT,4.0,False,Ferrari,0 days 00:31:10.595000,2024-03-01 16:17:46.268,1,,False,,False,False,,
25,0 days 00:44:57.281000,LEC,16,0 days 00:01:30.094000,9.0,4.0,,,29.014,38.507,22.573,0 days 00:43:56.201000,0 days 00:44:34.708000,0 days 00:44:57.281000,242.0,273.0,287.0,316.0,True,SOFT,5.0,False,Ferrari,0 days 00:43:27.187000,2024-03-01 16:30:02.860,1,,False,,False,True,90.094,90.094
26,0 days 00:46:44.511000,LEC,16,0 days 00:01:47.230000,10.0,4.0,,0 days 00:46:42.798000,33.625,45.185,28.42,0 days 00:45:30.906000,0 days 00:46:16.091000,0 days 00:46:44.511000,217.0,229.0,,251.0,False,SOFT,6.0,False,Ferrari,0 days 00:44:57.281000,2024-03-01 16:31:32.954,1,,False,,False,False,107.23,107.23
27,0 days 00:52:03.177000,LEC,16,,11.0,5.0,0 days 00:49:52.962000,,,45.592,24.639,,0 days 00:51:38.538000,0 days 00:52:03.338000,220.0,232.0,287.0,38.0,False,SOFT,1.0,True,Ferrari,0 days 00:46:44.511000,2024-03-01 16:33:20.184,1,,False,,False,False,,
28,0 days 00:53:32.342000,LEC,16,0 days 00:01:29.165000,12.0,5.0,,,28.843,38.059,22.263,0 days 00:52:32.020000,0 days 00:53:10.079000,0 days 00:53:32.342000,243.0,274.0,288.0,317.0,True,SOFT,2.0,True,Ferrari,0 days 00:52:03.177000,2024-03-01 16:38:38.850,1,,False,,False,True,89.165,89.165
29,0 days 00:55:34.947000,LEC,16,0 days 00:02:02.605000,13.0,5.0,,0 days 00:55:33.277000,41.811,49.624,31.17,0 days 00:54:14.153000,0 days 00:55:03.777000,0 days 00:55:34.947000,186.0,209.0,,184.0,False,SOFT,3.0,True,Ferrari,0 days 00:53:32.342000,2024-03-01 16:40:08.015,1,,False,,False,False,122.605,122.605
30,0 days 01:04:37.320000,LEC,16,,14.0,6.0,0 days 01:02:43.837000,,,45.904,27.873,,0 days 01:04:09.447000,0 days 01:04:37.374000,219.0,235.0,288.0,97.0,False,SOFT,2.0,False,Ferrari,0 days 00:55:34.947000,2024-03-01 16:42:10.620,1,,False,,False,False,,
31,0 days 01:06:06.800000,LEC,16,0 days 00:01:29.480000,15.0,6.0,,,28.863,38.344,22.273,0 days 01:05:06.183000,0 days 01:05:44.527000,0 days 01:06:06.800000,243.0,273.0,288.0,317.0,True,SOFT,3.0,False,Ferrari,0 days 01:04:37.320000,2024-03-01 16:51:12.993,1,,False,,False,True,89.48,89.47999999999999
