,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:13.564000,22.0,62.0,965.0,False,36.7,8,1.9
1,0 days 00:01:13.569000,22.1,62.0,965.0,False,36.6,14,2.0
2,0 days 00:02:13.557000,22.0,63.0,965.0,False,36.2,47,1.1
3,0 days 00:03:13.562000,22.1,62.0,965.1,False,36.2,318,0.6
4,0 days 00:04:13.561000,22.1,62.0,965.0,False,36.6,32,0.7
5,0 days 00:05:13.566000,22.1,62.0,965.0,False,36.6,96,0.7
6,0 days 00:06:13.574000,22.1,62.0,964.9,False,36.6,104,0.8
7,0 days 00:07:13.566000,22.1,63.0,964.9,False,36.3,15,0.5
8,0 days 00:08:13.561000,22.1,63.0,965.0,False,36.0,294,0.5
9,0 days 00:09:13.569000,22.1,62.0,965.0,False,35.9,279,1.5
10,0 days 00:10:13.567000,22.0,64.0,965.1,False,35.7,259,1.4
11,0 days 00:11:13.570000,22.0,65.0,965.0,False,35.9,351,0.6
12,0 days 00:12:13.568000,21.9,64.0,965.0,False,35.9,332,1.4
13,0 days 00:13:13.572000,21.9,65.0,965.0,False,35.7,94,0.7
14,0 days 00:14:13.572000,21.8,64.0,965.0,False,36.0,32,1.9
15,0 days 00:15:13.570000,21.8,64.0,965.1,False,36.2,13,2.3
16,0 days 00:16:13.582000,21.8,64.0,965.1,False,35.9,339,2.4
17,0 days 00:17:13.574000,21.8,65.0,965.1,False,35.5,272,1.4
18,0 days 00:18:13.603000,21.8,65.0,965.1,False,35.6,10,0.9
19,0 days 00:19:13.571000,21.9,64.0,965.0,False,35.9,29,0.9
20,0 days 00:20:13.575000,21.9,63.0,964.9,False,36.2,42,2.0
21,0 days 00:21:13.581000,22.0,65.0,965.0,False,36.2,0,1.9
22,0 days 00:22:13.574000,22.0,64.0,965.0,False,36.1,0,0.5
23,0 days 00:23:13.579000,22.1,64.0,965.0,False,36.2,52,0.7
24,0 days 00:24:13.575000,22.1,64.0,965.0,False,36.4,50,1.6
25,0 days 00:25:13.579000,22.1,64.0,965.0,False,36.7,349,1.4
26,0 days 00:26:13.596000,22.2,64.0,964.8,False,36.9,31,1.6
27,0 days 00:27:13.583000,22.1,63.0,964.9,False,36.9,13,1.7
28,0 days 00:28:13.583000,22.2,63.0,964.9,False,36.4,358,2.2
29,0 days 00:29:13.576000,22.1,65.0,964.9,False,36.4,32,2.0
30,0 days 00:30:13.733000,22.1,64.0,965.0,False,35.7,248,1.1
31,0 days 00:31:13.715000,22.0,63.0,965.0,False,35.5,18,1.4
32,0 days 00:32:13.714000,22.0,64.0,965.0,False,35.7,25,2.0
33,0 days 00:33:13.710000,21.8,65.0,965.0,False,35.7,0,1.1
34,0 days 00:34:13.709000,21.8,64.0,965.0,False,35.4,1,0.7
35,0 days 00:35:13.712000,21.8,64.0,965.0,False,35.3,76,0.8
36,0 days 00:36:13.707000,21.8,64.0,965.0,False,35.2,73,1.3
37,0 days 00:37:13.709000,21.6,64.0,965.1,False,35.3,345,0.7
38,0 days 00:38:13.712000,21.6,64.0,965.0,False,35.8,19,1.9
39,0 days 00:39:13.710000,21.7,64.0,965.0,False,35.8,36,1.8
40,0 days 00:40:13.720000,21.7,64.0,965.0,False,35.8,13,2.0
41,0 days 00:41:13.716000,21.8,64.0,965.0,False,35.8,17,2.7
42,0 days 00:42:13.796000,21.8,64.0,964.9,False,35.7,29,1.8
43,0 days 00:43:13.744000,21.9,64.0,964.9,False,35.4,16,1.5
44,0 days 00:44:13.766000,22.0,64.0,964.9,False,35.6,342,0.7
45,0 days 00:45:13.774000,22.0,64.0,964.9,False,35.6,0,1.1
46,0 days 00:46:13.779000,22.0,63.0,964.9,False,35.6,322,1.1
47,0 days 00:47:13.796000,22.0,65.0,964.9,False,35.0,25,1.7
48,0 days 00:48:13.801000,21.9,64.0,964.9,False,35.1,334,1.1
49,0 days 00:49:13.811000,21.7,64.0,964.9,False,35.4,1,1.1
50,0 days 00:50:13.820000,21.6,64.0,965.0,False,35.3,0,1.5
51,0 days 00:51:13.816000,21.6,64.0,964.9,False,34.9,0,0.4
52,0 days 00:52:13.820000,21.6,63.0,965.0,False,34.6,298,0.7
53,0 days 00:53:13.825000,21.6,63.0,965.0,False,34.7,22,0.5
54,0 days 00:54:13.819000,21.6,64.0,965.0,False,34.5,25,1.0
55,0 days 00:55:13.820000,21.6,64.0,965.0,False,34.3,67,0.6
56,0 days 00:56:13.817000,21.5,65.0,965.1,False,34.5,115,0.6
57,0 days 00:57:13.829000,21.5,64.0,965.0,False,34.6,192,1.4
58,0 days 00:58:13.816000,21.6,63.0,965.0,False,34.6,210,1.0
59,0 days 00:59:13.823000,21.6,64.0,965.1,False,34.4,123,0.7
60,0 days 01:00:13.836000,21.5,64.0,965.0,False,34.4,69,0.7
61,0 days 01:01:13.851000,21.6,64.0,965.0,False,34.6,80,0.6
62,0 days 01:02:13.850000,21.7,64.0,965.0,False,34.8,148,0.8
63,0 days 01:03:13.859000,21.8,64.0,965.0,False,34.6,153,1.4
64,0 days 01:04:13.854000,21.7,64.0,965.1,False,34.3,0,1.8
65,0 days 01:05:13.861000,21.7,64.0,965.1,False,34.1,312,0.8
66,0 days 01:06:13.865000,21.6,65.0,965.1,False,33.8,265,1.3
67,0 days 01:07:13.849000,21.6,65.0,965.1,False,33.8,250,1.6
68,0 days 01:08:13.859000,21.6,66.0,965.1,False,33.5,0,1.2
69,0 days 01:09:13.852000,21.5,67.0,965.1,False,33.6,47,0.5
70,0 days 01:10:13.864000,21.5,66.0,965.1,False,33.3,330,0.8
71,0 days 01:11:13.862000,21.5,66.0,965.1,False,33.3,330,0.8
72,0 days 01:12:13.856000,21.5,67.0,965.1,False,33.4,234,1.7
73,0 days 01:13:13.863000,21.5,67.0,965.1,False,33.4,237,1.4
74,0 days 01:14:13.883000,21.5,67.0,965.2,False,33.4,13,0.8
75,0 days 01:15:13.879000,21.4,67.0,965.2,False,33.3,349,0.8
76,0 days 01:16:13.880000,21.4,67.0,965.1,False,33.4,4,2.5
77,0 days 01:17:13.882000,21.4,67.0,965.1,False,33.5,20,2.4
78,0 days 01:18:13.896000,21.3,67.0,965.1,False,33.5,353,1.1
79,0 days 01:19:13.913000,21.2,67.0,965.2,False,33.5,332,1.1
80,0 days 01:20:13.919000,21.2,67.0,965.1,False,33.5,325,1.1
81,0 days 01:21:13.943000,21.3,67.0,965.2,False,33.4,354,0.5
