,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:16.152000,18.1,93.0,966.4,False,22.7,326,0.0
1,0 days 00:01:16.160000,18.2,92.0,966.3,False,22.3,243,0.9
2,0 days 00:02:16.178000,18.1,92.0,966.3,False,22.3,0,0.3
3,0 days 00:03:16.183000,18.1,92.0,966.4,False,22.3,234,0.4
4,0 days 00:04:16.201000,18.1,93.0,966.4,False,22.3,311,0.8
5,0 days 00:05:16.215000,18.1,92.0,966.4,False,22.2,0,0.7
6,0 days 00:06:16.251000,18.2,92.0,966.4,False,22.3,38,0.6
7,0 days 00:07:16.247000,18.2,92.0,966.4,False,22.4,306,1.1
8,0 days 00:08:16.213000,18.2,92.0,966.4,False,22.1,276,0.6
9,0 days 00:09:16.212000,18.2,92.0,966.4,False,21.9,0,1.5
10,0 days 00:10:16.215000,18.1,93.0,966.4,False,22.0,129,0.7
11,0 days 00:11:16.217000,18.2,92.0,966.4,False,22.0,233,1.1
12,0 days 00:12:16.228000,18.2,92.0,966.4,False,22.0,207,0.7
13,0 days 00:13:16.247000,18.1,92.0,966.4,False,22.1,176,0.7
14,0 days 00:14:16.249000,18.1,92.0,966.5,False,22.0,0,0.9
15,0 days 00:15:16.252000,18.0,93.0,966.3,False,22.1,28,0.4
16,0 days 00:16:16.251000,18.0,92.0,966.3,False,22.3,81,1.4
17,0 days 00:17:16.257000,18.0,92.0,966.3,False,22.3,141,0.6
18,0 days 00:18:16.254000,18.0,92.0,966.3,False,22.3,138,0.3
19,0 days 00:19:16.263000,18.0,91.0,966.3,False,22.2,137,0.9
20,0 days 00:20:16.247000,18.1,92.0,966.2,False,21.9,110,1.4
21,0 days 00:21:16.260000,18.1,92.0,966.3,False,21.8,169,2.2
22,0 days 00:22:16.254000,18.0,92.0,966.4,False,21.7,184,2.2
23,0 days 00:23:16.262000,18.0,92.0,966.4,False,21.6,203,1.7
24,0 days 00:24:16.253000,18.0,92.0,966.4,False,21.7,54,1.2
25,0 days 00:25:16.251000,18.0,92.0,966.4,False,21.9,173,0.8
26,0 days 00:26:16.252000,17.9,92.0,966.4,False,22.0,144,1.5
27,0 days 00:27:16.276000,17.9,92.0,966.4,False,22.1,155,1.9
28,0 days 00:28:16.261000,18.0,93.0,966.4,False,22.1,168,1.6
29,0 days 00:29:16.259000,18.0,93.0,966.4,False,22.2,0,0.7
30,0 days 00:30:16.253000,18.0,92.0,966.4,False,22.2,219,0.9
31,0 days 00:31:16.256000,18.0,93.0,966.6,False,22.2,194,0.9
32,0 days 00:32:16.265000,18.0,93.0,966.4,False,22.3,123,1.2
33,0 days 00:33:16.263000,18.0,92.0,966.5,False,22.3,109,1.4
34,0 days 00:34:16.261000,18.0,93.0,966.5,False,22.4,153,1.6
35,0 days 00:35:16.266000,18.1,92.0,966.5,False,22.0,136,2.1
36,0 days 00:36:16.274000,18.0,92.0,966.6,False,21.9,176,1.4
37,0 days 00:37:16.261000,18.0,92.0,966.6,False,21.8,136,1.1
38,0 days 00:38:16.264000,18.0,92.0,966.5,False,21.7,104,1.6
39,0 days 00:39:16.315000,17.9,92.0,966.6,False,21.8,185,1.0
40,0 days 00:40:16.276000,18.0,92.0,966.6,False,21.7,152,0.6
