,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:47:23.159000,VER,1,,1.0,1.0,,,,30.958,43.532,,0 days 00:46:39.762000,0 days 00:47:23.314000,278.0,271.0,256.0,310.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:45:38.934000,2024-04-20 03:04:02.541,1,3.0,False,,False,False,,
1,0 days 00:49:04.659000,VER,1,0 days 00:01:41.500000,2.0,1.0,,,26.958,30.34,44.202,0 days 00:47:50.148000,0 days 00:48:20.488000,0 days 00:49:04.690000,267.0,259.0,258.0,296.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:47:23.159000,2024-04-20 03:05:46.766,1,3.0,False,,False,True,101.5,101.5
2,0 days 00:50:44.990000,VER,1,0 days 00:01:40.331000,3.0,1.0,,,26.925,30.256,43.15,0 days 00:49:31.615000,0 days 00:50:01.871000,0 days 00:50:45.021000,265.0,262.0,257.0,315.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:49:04.659000,2024-04-20 03:07:28.266,1,3.0,False,,False,True,100.331,100.33099999999999
3,0 days 00:52:25.738000,VER,1,0 days 00:01:40.748000,4.0,1.0,,,26.874,30.532,43.342,0 days 00:51:11.895000,0 days 00:51:42.427000,0 days 00:52:25.769000,276.0,261.0,257.0,311.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:50:44.990000,2024-04-20 03:09:08.597,1,3.0,False,,False,True,100.748,100.74799999999999
4,0 days 00:54:06.960000,VER,1,0 days 00:01:41.222000,5.0,1.0,,,27.098,30.817,43.307,0 days 00:52:52.867000,0 days 00:53:23.684000,0 days 00:54:06.991000,274.0,260.0,258.0,313.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:52:25.738000,2024-04-20 03:10:49.345,1,3.0,False,,False,True,101.222,101.22200000000001
5,0 days 00:55:47.988000,VER,1,0 days 00:01:41.028000,6.0,1.0,,,27.169,30.631,43.228,0 days 00:54:34.160000,0 days 00:55:04.791000,0 days 00:55:48.019000,275.0,264.0,262.0,315.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:06.960000,2024-04-20 03:12:30.567,1,3.0,False,,False,True,101.028,101.02799999999999
6,0 days 00:57:29.215000,VER,1,0 days 00:01:41.227000,7.0,1.0,,,26.972,31.143,43.112,0 days 00:56:14.991000,0 days 00:56:46.134000,0 days 00:57:29.246000,276.0,269.0,256.0,335.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:55:47.988000,2024-04-20 03:14:11.595,1,2.0,False,,False,True,101.227,101.227
7,0 days 00:59:10.306000,VER,1,0 days 00:01:41.091000,8.0,1.0,,,27.064,30.655,43.372,0 days 00:57:56.310000,0 days 00:58:26.965000,0 days 00:59:10.337000,275.0,263.0,263.0,314.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:57:29.215000,2024-04-20 03:15:52.822,1,2.0,False,,False,True,101.091,101.09100000000001
8,0 days 01:00:51.507000,VER,1,0 days 00:01:41.201000,9.0,1.0,,,26.952,31.011,43.238,0 days 00:59:37.289000,0 days 01:00:08.300000,0 days 01:00:51.538000,277.0,269.0,257.0,336.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:59:10.306000,2024-04-20 03:17:33.913,1,1.0,False,,False,True,101.201,101.201
9,0 days 01:02:32.258000,VER,1,0 days 00:01:40.751000,10.0,1.0,,,27.079,30.408,43.264,0 days 01:01:18.617000,0 days 01:01:49.025000,0 days 01:02:32.289000,272.0,262.0,257.0,312.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:00:51.507000,2024-04-20 03:19:15.114,1,1.0,False,,False,True,100.751,100.751
10,0 days 01:04:13.486000,VER,1,0 days 00:01:41.228000,11.0,1.0,,,27.411,30.708,43.109,0 days 01:02:59.700000,0 days 01:03:30.408000,0 days 01:04:13.517000,273.0,266.0,258.0,313.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:02:32.258000,2024-04-20 03:20:55.865,1,1.0,False,,False,True,101.228,101.22800000000001
11,0 days 01:05:54.709000,VER,1,0 days 00:01:41.223000,12.0,1.0,,,27.243,30.578,43.402,0 days 01:04:40.760000,0 days 01:05:11.338000,0 days 01:05:54.740000,273.0,265.0,257.0,312.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:04:13.486000,2024-04-20 03:22:37.093,1,1.0,False,,False,True,101.223,101.223
12,0 days 01:07:35.689000,VER,1,0 days 00:01:40.980000,13.0,1.0,,,27.226,30.544,43.21,0 days 01:06:21.966000,0 days 01:06:52.510000,0 days 01:07:35.720000,275.0,266.0,257.0,314.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:05:54.709000,2024-04-20 03:24:18.316,1,1.0,False,,False,True,100.98,100.97999999999999
13,0 days 01:09:16.918000,VER,1,0 days 00:01:41.229000,14.0,1.0,,,27.394,30.647,43.188,0 days 01:08:03.114000,0 days 01:08:33.761000,0 days 01:09:16.949000,274.0,265.0,256.0,313.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:07:35.689000,2024-04-20 03:25:59.296,1,1.0,False,,False,True,101.229,101.229
14,0 days 01:10:58.587000,VER,1,0 days 00:01:41.669000,15.0,1.0,,,27.254,30.804,43.611,0 days 01:09:44.203000,0 days 01:10:15.007000,0 days 01:10:58.618000,273.0,264.0,257.0,314.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:09:16.918000,2024-04-20 03:27:40.525,1,1.0,False,,False,True,101.669,101.669
15,0 days 01:12:39.624000,VER,1,0 days 00:01:41.037000,16.0,1.0,,,27.273,30.473,43.291,0 days 01:11:25.891000,0 days 01:11:56.364000,0 days 01:12:39.655000,275.0,267.0,258.0,315.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:10:58.587000,2024-04-20 03:29:22.194,1,1.0,False,,False,True,101.037,101.03699999999999
16,0 days 01:14:21.024000,VER,1,0 days 00:01:41.400000,17.0,1.0,,,27.271,30.842,43.287,0 days 01:13:06.926000,0 days 01:13:37.768000,0 days 01:14:21.055000,275.0,264.0,257.0,316.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:12:39.624000,2024-04-20 03:31:03.231,1,1.0,False,,False,True,101.4,101.4
17,0 days 01:16:02.414000,VER,1,0 days 00:01:41.390000,18.0,1.0,,,27.383,30.901,43.106,0 days 01:14:48.438000,0 days 01:15:19.339000,0 days 01:16:02.445000,274.0,266.0,258.0,316.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:14:21.024000,2024-04-20 03:32:44.631,1,1.0,False,,False,True,101.39,101.39
18,0 days 01:17:43.859000,VER,1,0 days 00:01:41.445000,19.0,1.0,,,27.221,30.815,43.409,0 days 01:16:29.666000,0 days 01:17:00.481000,0 days 01:17:43.890000,274.0,266.0,258.0,315.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 01:16:02.414000,2024-04-20 03:34:26.021,1,1.0,False,,False,True,101.445,101.445
19,0 days 00:47:21.464000,HAM,44,,1.0,1.0,,,,29.894,43.468,,0 days 00:46:38.077000,0 days 00:47:21.632000,275.0,269.0,252.0,308.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:45:38.934000,2024-04-20 03:04:02.541,1,1.0,False,,False,False,,
20,0 days 00:49:02.090000,HAM,44,0 days 00:01:40.626000,2.0,1.0,,,26.936,30.305,43.385,0 days 00:47:48.442000,0 days 00:48:18.747000,0 days 00:49:02.132000,274.0,268.0,254.0,309.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:47:21.464000,2024-04-20 03:05:45.071,1,1.0,False,,False,True,100.626,100.626
21,0 days 00:50:42.510000,HAM,44,0 days 00:01:40.420000,3.0,1.0,,,26.967,30.232,43.221,0 days 00:49:29.099000,0 days 00:49:59.331000,0 days 00:50:42.552000,272.0,269.0,253.0,312.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:49:02.090000,2024-04-20 03:07:25.697,1,1.0,False,,False,True,100.42,100.41999999999999
22,0 days 00:52:22.991000,HAM,44,0 days 00:01:40.481000,4.0,1.0,,,26.989,30.192,43.3,0 days 00:51:09.541000,0 days 00:51:39.733000,0 days 00:52:23.033000,271.0,268.0,256.0,311.0,False,MEDIUM,4.0,True,Mercedes,0 days 00:50:42.510000,2024-04-20 03:09:06.117,1,1.0,False,,False,True,100.481,100.481
23,0 days 00:54:04.247000,HAM,44,0 days 00:01:41.256000,5.0,1.0,,,27.207,30.656,43.393,0 days 00:52:50.240000,0 days 00:53:20.896000,0 days 00:54:04.289000,271.0,266.0,256.0,311.0,False,MEDIUM,5.0,True,Mercedes,0 days 00:52:22.991000,2024-04-20 03:10:46.598,1,1.0,False,,False,True,101.256,101.256
24,0 days 00:55:45.706000,HAM,44,0 days 00:01:41.459000,6.0,1.0,,,27.173,30.61,43.676,0 days 00:54:31.462000,0 days 00:55:02.072000,0 days 00:55:45.748000,270.0,267.0,255.0,311.0,False,MEDIUM,6.0,True,Mercedes,0 days 00:54:04.247000,2024-04-20 03:12:27.854,1,1.0,False,,False,True,101.459,101.459
25,0 days 00:57:27.367000,HAM,44,0 days 00:01:41.661000,7.0,1.0,,,27.375,30.68,43.606,0 days 00:56:13.123000,0 days 00:56:43.803000,0 days 00:57:27.409000,268.0,268.0,256.0,312.0,False,MEDIUM,7.0,True,Mercedes,0 days 00:55:45.706000,2024-04-20 03:14:09.313,1,1.0,False,,False,True,101.661,101.661
26,0 days 00:59:09.563000,HAM,44,0 days 00:01:42.196000,8.0,1.0,,,27.257,30.655,44.284,0 days 00:57:54.666000,0 days 00:58:25.321000,0 days 00:59:09.605000,269.0,269.0,257.0,312.0,False,MEDIUM,8.0,True,Mercedes,0 days 00:57:27.367000,2024-04-20 03:15:50.974,1,1.0,False,,False,True,102.196,102.196
27,0 days 01:00:52.079000,HAM,44,0 days 00:01:42.516000,9.0,1.0,,,27.361,30.864,44.291,0 days 00:59:36.966000,0 days 01:00:07.830000,0 days 01:00:52.121000,271.0,268.0,262.0,312.0,False,MEDIUM,9.0,True,Mercedes,0 days 00:59:09.563000,2024-04-20 03:17:33.170,1,2.0,False,,False,True,102.516,102.51599999999999
28,0 days 01:02:34.411000,HAM,44,0 days 00:01:42.332000,10.0,1.0,,,27.272,31.135,43.925,0 days 01:01:19.393000,0 days 01:01:50.528000,0 days 01:02:34.453000,274.0,268.0,257.0,312.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:00:52.079000,2024-04-20 03:19:15.686,1,2.0,False,,False,True,102.332,102.332
29,0 days 01:04:16.716000,HAM,44,0 days 00:01:42.305000,11.0,1.0,,,27.512,30.992,43.801,0 days 01:03:01.965000,0 days 01:03:32.957000,0 days 01:04:16.758000,272.0,269.0,257.0,312.0,False,MEDIUM,11.0,True,Mercedes,0 days 01:02:34.411000,2024-04-20 03:20:58.018,1,2.0,False,,False,True,102.305,102.305
30,0 days 01:05:59.090000,HAM,44,0 days 00:01:42.374000,12.0,1.0,,,27.472,31.032,43.87,0 days 01:04:44.230000,0 days 01:05:15.262000,0 days 01:05:59.132000,272.0,268.0,258.0,311.0,False,MEDIUM,12.0,True,Mercedes,0 days 01:04:16.716000,2024-04-20 03:22:40.323,1,2.0,False,,False,True,102.374,102.374
31,0 days 01:07:41.539000,HAM,44,0 days 00:01:42.449000,13.0,1.0,,,27.473,31.172,43.804,0 days 01:06:26.605000,0 days 01:06:57.777000,0 days 01:07:41.581000,271.0,268.0,256.0,312.0,False,MEDIUM,13.0,True,Mercedes,0 days 01:05:59.090000,2024-04-20 03:24:22.697,1,2.0,False,,False,True,102.449,102.449
32,0 days 01:09:23.886000,HAM,44,0 days 00:01:42.347000,14.0,1.0,,,27.561,31.066,43.72,0 days 01:08:09.142000,0 days 01:08:40.208000,0 days 01:09:23.928000,272.0,267.0,256.0,312.0,False,MEDIUM,14.0,True,Mercedes,0 days 01:07:41.539000,2024-04-20 03:26:05.146,1,2.0,False,,False,True,102.347,102.347
33,0 days 01:11:06.482000,HAM,44,0 days 00:01:42.596000,15.0,1.0,,,27.493,31.264,43.839,0 days 01:09:51.421000,0 days 01:10:22.685000,0 days 01:11:06.524000,271.0,266.0,257.0,312.0,False,MEDIUM,15.0,True,Mercedes,0 days 01:09:23.886000,2024-04-20 03:27:47.493,1,2.0,False,,False,True,102.596,102.596
34,0 days 01:12:48.920000,HAM,44,0 days 00:01:42.438000,16.0,1.0,,,27.429,31.083,43.926,0 days 01:11:33.953000,0 days 01:12:05.036000,0 days 01:12:48.962000,273.0,268.0,257.0,313.0,False,MEDIUM,16.0,True,Mercedes,0 days 01:11:06.482000,2024-04-20 03:29:30.089,1,2.0,False,,False,True,102.438,102.438
35,0 days 01:14:31.360000,HAM,44,0 days 00:01:42.440000,17.0,1.0,,,27.425,31.187,43.828,0 days 01:13:16.387000,0 days 01:13:47.574000,0 days 01:14:31.402000,276.0,267.0,256.0,314.0,False,MEDIUM,17.0,True,Mercedes,0 days 01:12:48.920000,2024-04-20 03:31:12.527,1,2.0,False,,False,True,102.44,102.44
36,0 days 01:16:13.996000,HAM,44,0 days 00:01:42.636000,18.0,1.0,,,27.654,31.18,43.802,0 days 01:14:59.056000,0 days 01:15:30.236000,0 days 01:16:14.038000,275.0,268.0,257.0,314.0,False,MEDIUM,18.0,True,Mercedes,0 days 01:14:31.360000,2024-04-20 03:32:54.967,1,2.0,False,,False,True,102.636,102.636
37,0 days 01:17:56.902000,HAM,44,0 days 00:01:42.906000,19.0,1.0,,,27.696,31.236,43.974,0 days 01:16:41.734000,0 days 01:17:12.970000,0 days 01:17:56.944000,274.0,267.0,257.0,313.0,False,MEDIUM,19.0,True,Mercedes,0 days 01:16:13.996000,2024-04-20 03:34:37.603,1,2.0,False,,False,True,102.906,102.906
38,0 days 00:47:24.284000,PER,11,,1.0,1.0,,,,31.597,43.771,,0 days 00:46:40.830000,0 days 00:47:24.505000,280.0,271.0,252.0,314.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:45:38.934000,2024-04-20 03:04:02.541,1,5.0,False,,False,False,,
39,0 days 00:49:05.774000,PER,11,0 days 00:01:41.490000,2.0,1.0,,,27.124,30.745,43.621,0 days 00:47:51.441000,0 days 00:48:22.186000,0 days 00:49:05.807000,274.0,269.0,256.0,313.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:47:24.284000,2024-04-20 03:05:47.891,1,5.0,False,,False,True,101.49,101.49000000000001
40,0 days 00:50:47.012000,PER,11,0 days 00:01:41.238000,3.0,1.0,,,27.162,30.626,43.45,0 days 00:49:32.969000,0 days 00:50:03.595000,0 days 00:50:47.045000,267.0,261.0,257.0,332.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:49:05.774000,2024-04-20 03:07:29.381,1,5.0,False,,False,True,101.238,101.238
41,0 days 00:52:28.077000,PER,11,0 days 00:01:41.065000,4.0,1.0,,,27.016,30.603,43.446,0 days 00:51:14.061000,0 days 00:51:44.664000,0 days 00:52:28.110000,267.0,268.0,257.0,313.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:50:47.012000,2024-04-20 03:09:10.619,1,5.0,False,,False,True,101.065,101.065
42,0 days 00:54:09.184000,PER,11,0 days 00:01:41.107000,5.0,1.0,,,27.107,30.789,43.211,0 days 00:52:55.217000,0 days 00:53:26.006000,0 days 00:54:09.217000,266.0,269.0,263.0,329.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:52:28.077000,2024-04-20 03:10:51.684,1,5.0,False,,False,True,101.107,101.107
43,0 days 00:55:50.495000,PER,11,0 days 00:01:41.311000,6.0,1.0,,,27.072,30.904,43.335,0 days 00:54:36.289000,0 days 00:55:07.193000,0 days 00:55:50.528000,265.0,267.0,263.0,313.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 00:54:09.184000,2024-04-20 03:12:32.791,1,5.0,False,,False,True,101.311,101.311
44,0 days 00:57:31.863000,PER,11,0 days 00:01:41.368000,7.0,1.0,,,26.985,30.967,43.416,0 days 00:56:17.513000,0 days 00:56:48.480000,0 days 00:57:31.896000,268.0,269.0,263.0,332.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:55:50.495000,2024-04-20 03:14:14.102,1,5.0,False,,False,True,101.368,101.368
45,0 days 00:59:13.613000,PER,11,0 days 00:01:41.750000,8.0,1.0,,,26.891,31.166,43.693,0 days 00:57:58.787000,0 days 00:58:29.953000,0 days 00:59:13.646000,271.0,270.0,264.0,338.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:57:31.863000,2024-04-20 03:15:55.470,1,5.0,False,,False,True,101.75,101.75
46,0 days 01:00:55.556000,PER,11,0 days 00:01:41.943000,9.0,1.0,,,26.973,31.279,43.691,0 days 00:59:40.619000,0 days 01:00:11.898000,0 days 01:00:55.589000,279.0,271.0,264.0,337.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:59:13.613000,2024-04-20 03:17:37.220,1,5.0,False,,False,True,101.943,101.943
47,0 days 01:02:37.953000,PER,11,0 days 00:01:42.397000,10.0,1.0,,,27.043,31.556,43.798,0 days 01:01:22.632000,0 days 01:01:54.188000,0 days 01:02:37.986000,280.0,269.0,264.0,340.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:00:55.556000,2024-04-20 03:19:19.163,1,5.0,False,,False,True,102.397,102.397
48,0 days 01:04:20.313000,PER,11,0 days 00:01:42.360000,11.0,1.0,,,27.121,31.558,43.681,0 days 01:03:05.107000,0 days 01:03:36.665000,0 days 01:04:20.346000,276.0,271.0,264.0,340.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:02:37.953000,2024-04-20 03:21:01.560,1,5.0,False,,False,True,102.36,102.36
