,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:10.909000,24.2,68.0,1002.4,False,30.8,206,4.4
1,0 days 00:01:10.905000,24.4,67.0,1002.4,False,30.8,206,4.4
2,0 days 00:02:10.895000,24.4,68.0,1002.4,False,31.3,209,4.0
3,0 days 00:03:10.905000,24.3,67.0,1002.4,False,31.3,218,4.4
4,0 days 00:04:10.902000,24.4,68.0,1002.3,False,31.1,210,4.6
5,0 days 00:05:10.910000,24.4,68.0,1002.3,False,31.1,217,3.8
6,0 days 00:06:10.909000,24.4,67.0,1002.4,False,31.3,202,3.5
7,0 days 00:07:10.916000,24.5,67.0,1002.4,False,31.3,219,4.4
8,0 days 00:08:10.926000,24.5,67.0,1002.4,False,31.2,206,4.5
9,0 days 00:09:10.944000,24.6,67.0,1002.4,False,31.4,214,4.6
10,0 days 00:10:10.953000,24.6,67.0,1002.3,False,31.4,208,4.4
11,0 days 00:11:10.962000,24.6,67.0,1002.3,False,31.3,216,4.5
12,0 days 00:12:10.976000,24.6,67.0,1002.4,False,31.2,182,3.9
13,0 days 00:13:10.980000,24.6,66.0,1002.4,False,31.2,206,4.4
14,0 days 00:14:10.997000,24.6,66.0,1002.4,False,31.2,204,4.4
15,0 days 00:15:10.991000,24.7,66.0,1002.3,False,31.1,202,4.7
16,0 days 00:16:11.009000,24.7,67.0,1002.4,False,30.8,202,4.7
17,0 days 00:17:11.022000,24.6,67.0,1002.4,False,30.8,208,4.9
18,0 days 00:18:11.037000,24.7,66.0,1002.3,False,30.6,216,4.1
19,0 days 00:19:11.042000,24.7,67.0,1002.3,False,31.3,210,3.8
20,0 days 00:20:11.031000,24.7,65.0,1002.3,False,31.5,199,6.0
21,0 days 00:21:11.057000,24.9,65.0,1002.4,False,31.7,201,5.5
22,0 days 00:22:11.075000,25.0,65.0,1002.4,False,31.8,199,4.5
23,0 days 00:23:11.087000,25.0,65.0,1002.5,False,32.4,196,4.6
24,0 days 00:24:11.097000,25.0,65.0,1002.4,False,32.3,208,4.4
25,0 days 00:25:11.090000,25.0,64.0,1002.4,False,32.2,210,4.5
26,0 days 00:26:11.092000,25.0,65.0,1002.4,False,31.7,217,4.3
27,0 days 00:27:11.097000,25.0,65.0,1002.4,False,31.7,215,4.0
28,0 days 00:28:11.098000,24.9,64.0,1002.4,False,31.8,210,5.7
29,0 days 00:29:11.123000,24.9,64.0,1002.4,False,31.9,203,5.1
30,0 days 00:30:11.135000,24.8,65.0,1002.4,False,31.9,197,4.6
31,0 days 00:31:11.129000,24.8,64.0,1002.4,False,31.8,200,5.4
32,0 days 00:32:11.135000,24.7,64.0,1002.4,False,31.5,221,4.3
33,0 days 00:33:11.182000,24.7,64.0,1002.4,False,31.2,220,4.5
34,0 days 00:34:11.142000,24.8,65.0,1002.3,False,30.9,226,4.7
35,0 days 00:35:11.137000,24.8,65.0,1002.2,False,30.8,198,4.5
36,0 days 00:36:11.133000,24.8,64.0,1002.4,False,30.7,219,4.1
37,0 days 00:37:11.126000,24.7,65.0,1002.4,False,30.6,191,4.2
38,0 days 00:38:11.147000,24.6,65.0,1002.4,False,30.5,204,3.7
39,0 days 00:39:11.149000,24.5,66.0,1002.5,False,29.8,199,3.6
40,0 days 00:40:11.150000,24.4,66.0,1002.5,False,30.0,207,3.5
41,0 days 00:41:11.156000,24.4,66.0,1002.5,False,30.2,214,3.5
42,0 days 00:42:11.167000,24.4,66.0,1002.5,False,30.1,224,4.0
43,0 days 00:43:11.179000,24.4,66.0,1002.5,False,29.9,195,4.8
44,0 days 00:44:11.179000,24.3,67.0,1002.4,False,29.7,203,4.1
45,0 days 00:45:11.198000,24.3,67.0,1002.5,False,29.7,207,4.0
46,0 days 00:46:11.210000,24.2,67.0,1002.5,False,29.1,211,4.2
47,0 days 00:47:11.215000,24.2,67.0,1002.5,False,29.0,213,4.3
48,0 days 00:48:11.236000,24.2,67.0,1002.5,False,29.0,196,4.3
49,0 days 00:49:11.254000,24.2,67.0,1002.5,False,29.0,207,4.6
50,0 days 00:50:11.265000,24.2,67.0,1002.6,False,29.0,213,5.0
51,0 days 00:51:11.264000,24.1,67.0,1002.6,False,28.4,210,4.8
52,0 days 00:52:11.270000,24.1,67.0,1002.7,False,28.4,221,4.9
53,0 days 00:53:11.272000,24.0,67.0,1002.5,False,28.6,198,4.5
54,0 days 00:54:11.273000,24.1,68.0,1002.5,False,29.0,211,4.2
55,0 days 00:55:11.277000,24.1,67.0,1002.7,False,29.0,201,3.3
56,0 days 00:56:11.267000,24.2,67.0,1002.6,False,29.0,180,4.6
57,0 days 00:57:11.273000,24.2,67.0,1002.6,False,28.7,216,4.2
58,0 days 00:58:11.275000,24.2,67.0,1002.6,False,28.7,201,4.6
59,0 days 00:59:11.267000,24.3,67.0,1002.5,False,28.6,206,5.1
60,0 days 01:00:11.265000,24.3,68.0,1002.5,False,28.8,201,3.8
61,0 days 01:01:11.264000,24.2,68.0,1002.5,False,28.9,197,2.2
62,0 days 01:02:11.286000,24.3,68.0,1002.5,False,29.3,200,3.1
63,0 days 01:03:11.278000,24.3,67.0,1002.5,False,29.2,214,3.1
64,0 days 01:04:11.274000,24.3,67.0,1002.4,False,29.0,203,3.2
65,0 days 01:05:11.275000,24.3,66.0,1002.5,False,28.9,200,3.9
66,0 days 01:06:11.280000,24.3,67.0,1002.4,False,28.9,211,2.7
67,0 days 01:07:11.276000,24.3,67.0,1002.5,False,29.0,215,3.2
68,0 days 01:08:11.287000,24.3,67.0,1002.6,False,28.9,190,2.8
69,0 days 01:09:11.280000,24.4,66.0,1002.5,False,28.7,204,4.0
70,0 days 01:10:11.282000,24.4,66.0,1002.5,False,28.6,214,3.1
71,0 days 01:11:11.287000,24.4,67.0,1002.5,False,28.7,213,3.7
72,0 days 01:12:11.275000,24.4,66.0,1002.5,False,28.5,216,3.2
73,0 days 01:13:11.294000,24.3,67.0,1002.6,False,28.5,192,3.6
74,0 days 01:14:11.288000,24.4,67.0,1002.5,False,28.3,205,2.8
75,0 days 01:15:11.283000,24.3,66.0,1002.5,False,28.7,198,3.1
76,0 days 01:16:11.285000,24.4,66.0,1002.4,False,28.7,216,2.9
77,0 days 01:17:11.282000,24.4,66.0,1002.4,False,28.7,204,4.3
78,0 days 01:18:11.275000,24.4,67.0,1002.5,False,28.5,210,3.1
