,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:05.675000,11.0,24.0,947.9,False,13.2,256,0.5
1,0 days 00:01:05.676000,11.0,24.0,948.0,False,13.2,233,0.5
2,0 days 00:02:05.673000,11.0,24.0,947.9,False,13.2,229,0.5
3,0 days 00:03:05.675000,10.9,25.0,948.0,False,13.1,221,0.6
4,0 days 00:04:05.681000,11.0,25.0,948.0,False,13.1,211,0.5
5,0 days 00:04:05.681000,11.0,25.0,948.0,False,13.1,211,0.5
6,0 days 00:05:05.676000,10.9,25.0,947.9,False,13.1,224,1.0
7,0 days 00:05:05.676000,10.9,25.0,947.9,False,13.1,224,1.0
8,0 days 00:06:05.685000,10.9,25.0,948.0,False,13.2,207,1.1
9,0 days 00:06:05.685000,10.9,25.0,948.0,False,13.2,207,1.1
10,0 days 00:07:05.677000,10.9,24.0,948.0,False,13.1,219,1.1
11,0 days 00:07:05.677000,10.9,24.0,948.0,False,13.1,219,1.1
12,0 days 00:08:05.680000,10.9,24.0,947.9,False,13.1,214,0.8
13,0 days 00:08:05.680000,10.9,24.0,947.9,False,13.1,214,0.8
14,0 days 00:09:05.683000,10.9,24.0,947.9,False,13.1,201,1.0
15,0 days 00:09:05.683000,10.9,24.0,947.9,False,13.1,201,1.0
16,0 days 00:10:05.678000,11.0,24.0,948.0,False,13.1,207,1.3
17,0 days 00:10:05.678000,11.0,24.0,948.0,False,13.1,207,1.3
18,0 days 00:11:05.681000,10.9,24.0,947.9,False,13.0,201,1.4
19,0 days 00:11:05.681000,10.9,24.0,947.9,False,13.0,201,1.4
20,0 days 00:12:05.681000,11.0,24.0,947.9,False,13.1,226,1.1
21,0 days 00:12:05.682000,11.0,24.0,947.9,False,13.1,226,1.1
22,0 days 00:13:05.687000,10.9,24.0,948.0,False,13.1,234,0.7
23,0 days 00:13:05.688000,10.9,24.0,948.0,False,13.1,234,0.7
24,0 days 00:14:05.681000,10.9,24.0,947.9,False,13.1,235,0.5
25,0 days 00:14:05.682000,10.9,24.0,947.9,False,13.1,235,0.5
26,0 days 00:15:05.681000,10.9,24.0,947.9,False,13.0,225,0.4
27,0 days 00:15:05.683000,10.9,24.0,947.9,False,13.0,225,0.4
28,0 days 00:16:05.684000,10.9,25.0,947.8,False,13.0,214,0.5
29,0 days 00:16:05.684000,10.9,25.0,947.8,False,13.0,214,0.5
30,0 days 00:17:05.699000,11.0,25.0,947.9,False,13.0,223,0.6
31,0 days 00:17:05.699000,11.0,25.0,947.9,False,13.0,223,0.6
32,0 days 00:18:05.677000,10.9,25.0,947.8,False,13.0,213,0.8
33,0 days 00:18:05.678000,10.9,25.0,947.8,False,13.0,213,0.8
34,0 days 00:19:05.687000,10.9,25.0,947.9,False,13.0,220,1.0
35,0 days 00:19:05.689000,10.9,25.0,947.9,False,13.0,220,1.0
36,0 days 00:20:05.684000,10.9,25.0,947.9,False,13.1,248,0.8
37,0 days 00:20:05.685000,10.9,25.0,947.9,False,13.1,248,0.8
38,0 days 00:21:05.693000,11.0,25.0,947.9,False,13.1,241,0.8
39,0 days 00:21:05.693000,11.0,25.0,947.9,False,13.1,241,0.8
40,0 days 00:22:05.708000,11.1,25.0,947.8,False,13.1,214,0.6
41,0 days 00:22:05.708000,11.1,25.0,947.8,False,13.1,214,0.6
42,0 days 00:23:05.677000,11.3,25.0,947.9,False,13.1,217,0.7
43,0 days 00:23:05.678000,11.3,25.0,947.9,False,13.1,217,0.7
44,0 days 00:24:05.686000,11.3,25.0,947.8,False,13.1,228,0.7
45,0 days 00:24:05.686000,11.3,25.0,947.8,False,13.1,228,0.7
46,0 days 00:25:05.688000,11.4,25.0,947.8,False,13.2,223,1.0
47,0 days 00:25:05.689000,11.4,25.0,947.8,False,13.2,223,1.0
48,0 days 00:26:05.695000,11.4,25.0,947.8,False,13.2,214,0.7
49,0 days 00:26:05.696000,11.4,25.0,947.8,False,13.2,214,0.7
50,0 days 00:27:05.692000,11.5,24.0,947.7,False,13.1,224,0.8
51,0 days 00:27:05.692000,11.5,24.0,947.7,False,13.1,224,0.8
52,0 days 00:28:05.691000,11.4,25.0,947.8,False,13.0,213,0.8
53,0 days 00:28:05.694000,11.4,25.0,947.8,False,13.0,213,0.8
54,0 days 00:29:05.693000,11.4,24.0,947.7,False,13.0,216,0.9
55,0 days 00:29:05.694000,11.4,24.0,947.7,False,13.0,216,0.9
56,0 days 00:30:05.696000,11.4,24.0,947.8,False,13.0,213,1.2
57,0 days 00:30:05.696000,11.4,24.0,947.8,False,13.0,213,1.2
58,0 days 00:31:05.708000,11.5,24.0,947.7,False,13.0,222,1.3
59,0 days 00:31:05.708000,11.5,24.0,947.7,False,13.0,222,1.3
60,0 days 00:32:05.729000,11.4,24.0,947.8,False,13.0,225,1.2
61,0 days 00:32:05.729000,11.4,24.0,947.8,False,13.0,225,1.2
62,0 days 00:33:05.726000,11.3,24.0,947.7,False,13.0,209,1.4
63,0 days 00:33:05.726000,11.3,24.0,947.7,False,13.0,209,1.4
64,0 days 00:34:05.743000,11.3,24.0,947.6,False,13.0,215,1.1
65,0 days 00:34:05.745000,11.3,24.0,947.6,False,13.0,215,1.1
66,0 days 00:35:05.745000,11.3,24.0,947.8,False,13.0,215,1.1
67,0 days 00:35:05.746000,11.3,24.0,947.8,False,13.0,215,1.1
68,0 days 00:36:05.759000,11.3,24.0,947.8,False,12.9,219,1.3
69,0 days 00:36:05.759000,11.3,24.0,947.8,False,12.9,219,1.3
70,0 days 00:37:05.760000,11.3,24.0,947.7,False,12.9,215,1.3
71,0 days 00:37:05.761000,11.3,24.0,947.7,False,12.9,215,1.3
72,0 days 00:38:05.779000,11.2,24.0,947.7,False,12.9,214,1.2
73,0 days 00:38:05.779000,11.2,24.0,947.7,False,12.9,214,1.2
74,0 days 00:39:05.792000,11.3,24.0,947.8,False,13.0,204,1.1
75,0 days 00:39:05.794000,11.3,24.0,947.8,False,13.0,204,1.1
76,0 days 00:40:05.792000,11.1,24.0,947.7,False,12.9,229,1.0
77,0 days 00:40:05.792000,11.1,24.0,947.7,False,12.9,229,1.0
78,0 days 00:41:05.794000,11.2,24.0,947.8,False,12.9,222,1.1
79,0 days 00:41:05.794000,11.2,24.0,947.8,False,12.9,222,1.1
80,0 days 00:42:05.813000,11.2,24.0,947.8,False,12.9,221,1.0
81,0 days 00:42:05.814000,11.2,24.0,947.8,False,12.9,221,1.0
82,0 days 00:43:05.829000,11.2,23.0,947.8,False,12.9,207,0.9
83,0 days 00:43:05.829000,11.2,23.0,947.8,False,12.9,207,0.9
84,0 days 00:44:05.834000,11.2,24.0,947.7,False,12.9,186,0.9
85,0 days 00:44:05.835000,11.2,24.0,947.7,False,12.9,186,0.9
