,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:45.918000,21.9,40.0,784.9,False,44.7,207,1.4
1,0 days 00:01:45.941000,22.0,41.0,784.8,False,44.3,274,1.0
2,0 days 00:02:45.940000,22.2,40.0,784.9,False,44.4,277,3.2
3,0 days 00:03:45.960000,22.2,41.0,784.8,False,44.9,280,3.5
4,0 days 00:04:45.957000,22.3,41.0,784.8,False,44.8,6,2.2
5,0 days 00:05:45.973000,22.3,40.0,784.8,False,44.6,285,1.2
6,0 days 00:06:45.982000,22.4,40.0,784.8,False,44.4,303,2.5
7,0 days 00:07:45.985000,22.4,41.0,784.9,False,44.4,288,2.4
8,0 days 00:08:45.981000,22.3,41.0,784.8,False,44.4,290,1.3
9,0 days 00:09:45.990000,22.4,41.0,784.7,False,44.3,325,0.6
10,0 days 00:10:45.997000,22.3,40.0,784.8,False,43.9,300,0.7
11,0 days 00:11:45.984000,22.3,41.0,784.8,False,43.4,290,2.4
12,0 days 00:12:45.997000,22.2,41.0,784.8,False,43.1,292,2.2
13,0 days 00:13:46.006000,22.2,41.0,784.8,False,43.1,317,2.2
14,0 days 00:14:45.989000,22.2,41.0,784.8,False,43.4,11,1.8
15,0 days 00:15:46.003000,22.2,41.0,784.8,False,43.5,269,0.7
16,0 days 00:16:45.999000,22.3,40.0,784.8,False,43.7,270,0.9
17,0 days 00:17:45.999000,22.3,40.0,784.8,False,43.7,263,1.2
18,0 days 00:18:46.002000,22.4,40.0,784.8,False,43.7,205,1.3
19,0 days 00:19:46.001000,22.3,40.0,784.7,False,42.8,191,1.7
20,0 days 00:20:46.001000,22.2,40.0,784.8,False,42.5,235,0.9
21,0 days 00:21:46.003000,22.2,40.0,784.8,False,42.2,281,0.9
22,0 days 00:22:46.003000,22.3,39.0,784.7,False,41.5,309,1.4
23,0 days 00:23:46.002000,22.3,40.0,784.9,False,41.1,314,2.2
24,0 days 00:24:46.003000,22.3,40.0,784.9,False,41.2,297,1.7
25,0 days 00:25:46.002000,22.3,40.0,784.9,False,41.8,315,2.0
26,0 days 00:26:46.003000,22.3,40.0,784.9,False,41.8,290,1.7
27,0 days 00:27:46.003000,22.1,40.0,784.9,False,41.5,247,2.0
28,0 days 00:28:46.005000,22.1,41.0,784.9,False,41.3,312,1.1
29,0 days 00:29:46.007000,22.2,41.0,784.8,False,41.3,292,2.2
30,0 days 00:30:46.011000,22.3,40.0,784.9,False,41.9,264,1.4
31,0 days 00:31:46.020000,22.3,40.0,784.8,False,41.9,283,1.5
