,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:15:40.717000,SAI,55,,1.0,1.0,0 days 00:13:56.682000,,,37.666,22.687,,0 days 00:15:18.186000,0 days 00:15:40.846000,274.0,275.0,255.0,275.0,False,MEDIUM,1.0,True,Ferrari,0 days 00:13:56.682000,2024-10-26 21:01:28.446,1,,False,,False,False,,
1,0 days 00:16:58.161000,SAI,55,0 days 00:01:17.444000,2.0,1.0,,,27.479,29.904,20.061,0 days 00:16:08.196000,0 days 00:16:38.100000,0 days 00:16:58.161000,317.0,295.0,253.0,347.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:15:40.717000,2024-10-26 21:03:12.481,1,,False,,False,True,77.444,77.44399999999999
2,0 days 00:18:49.582000,SAI,55,0 days 00:01:51.421000,3.0,1.0,,0 days 00:18:46.859000,40.418,42.63,28.373,0 days 00:17:38.579000,0 days 00:18:21.209000,0 days 00:18:49.582000,194.0,258.0,,214.0,False,MEDIUM,3.0,True,Ferrari,0 days 00:16:58.161000,2024-10-26 21:04:29.925,1,,False,,False,False,111.421,111.421
3,0 days 00:20:56.473000,SAI,55,0 days 00:02:06.891000,4.0,2.0,0 days 00:19:10.231000,,66.924,36.98,22.987,0 days 00:19:56.506000,0 days 00:20:33.486000,0 days 00:20:56.473000,280.0,265.0,255.0,248.0,False,MEDIUM,4.0,False,Ferrari,0 days 00:18:49.582000,2024-10-26 21:06:21.346,1,,False,,False,False,126.891,126.89099999999999
4,0 days 00:22:13.714000,SAI,55,0 days 00:01:17.241000,5.0,2.0,,,27.323,30.078,19.84,0 days 00:21:23.796000,0 days 00:21:53.874000,0 days 00:22:13.714000,318.0,297.0,253.0,349.0,True,MEDIUM,5.0,False,Ferrari,0 days 00:20:56.473000,2024-10-26 21:08:28.237,1,,False,,False,True,77.241,77.241
5,0 days 00:23:56.282000,SAI,55,0 days 00:01:42.568000,6.0,2.0,,0 days 00:23:52.101000,38.815,36.247,27.506,0 days 00:22:52.529000,0 days 00:23:28.776000,0 days 00:23:56.282000,223.0,260.0,,221.0,False,MEDIUM,6.0,False,Ferrari,0 days 00:22:13.714000,2024-10-26 21:09:45.478,1,,False,,False,False,102.568,102.568
6,0 days 00:28:28.752000,SAI,55,,7.0,3.0,0 days 00:26:42.986000,,,36.562,26.541,,0 days 00:28:02.299000,0 days 00:28:29.072000,289.0,277.0,256.0,286.0,False,SOFT,1.0,False,Ferrari,0 days 00:23:56.282000,2024-10-26 21:11:28.046,1,,False,,False,False,,
7,0 days 00:29:45.530000,SAI,55,0 days 00:01:16.778000,8.0,3.0,,,27.239,29.74,19.799,0 days 00:28:55.991000,0 days 00:29:25.731000,0 days 00:29:45.530000,319.0,298.0,254.0,348.0,True,SOFT,2.0,False,Ferrari,0 days 00:28:28.752000,2024-10-26 21:16:00.516,1,,False,,False,True,76.778,76.77799999999999
8,0 days 00:31:30.092000,SAI,55,0 days 00:01:44.562000,9.0,3.0,,0 days 00:31:27.423000,37.053,38.947,28.562,0 days 00:30:22.583000,0 days 00:31:01.530000,0 days 00:31:30.092000,203.0,227.0,,221.0,False,SOFT,3.0,False,Ferrari,0 days 00:29:45.530000,2024-10-26 21:17:17.294,1,,False,,False,False,104.562,104.562
9,0 days 00:40:26.382000,SAI,55,,10.0,4.0,0 days 00:38:48.699000,,,37.167,22.321,,0 days 00:40:04.235000,0 days 00:40:26.531000,251.0,269.0,255.0,285.0,False,SOFT,1.0,False,Ferrari,0 days 00:31:30.092000,2024-10-26 21:19:01.856,1,,False,,False,False,,
10,0 days 00:41:43.409000,SAI,55,0 days 00:01:17.027000,11.0,4.0,,,27.373,29.828,19.826,0 days 00:40:53.755000,0 days 00:41:23.583000,0 days 00:41:43.409000,318.0,296.0,254.0,347.0,True,SOFT,2.0,False,Ferrari,0 days 00:40:26.382000,2024-10-26 21:27:58.146,1,,False,,False,True,77.027,77.027
11,0 days 00:43:23.553000,SAI,55,0 days 00:01:40.144000,12.0,4.0,,0 days 00:43:20.977000,37.394,36.703,26.047,0 days 00:42:20.803000,0 days 00:42:57.506000,0 days 00:43:23.553000,231.0,254.0,,229.0,False,SOFT,3.0,False,Ferrari,0 days 00:41:43.409000,2024-10-26 21:29:15.173,1,,False,,False,False,100.144,100.144
12,0 days 00:49:25.484000,SAI,55,,13.0,5.0,0 days 00:47:50.885000,,,37.989,21.892,,0 days 00:49:03.595000,0 days 00:49:25.716000,289.0,265.0,257.0,291.0,False,SOFT,1.0,False,Ferrari,0 days 00:43:23.553000,2024-10-26 21:30:55.317,1,,False,,False,False,,
13,0 days 00:50:41.999000,SAI,55,0 days 00:01:16.515000,14.0,5.0,,,27.239,29.567,19.709,0 days 00:49:52.723000,0 days 00:50:22.290000,0 days 00:50:41.999000,318.0,299.0,255.0,349.0,True,SOFT,2.0,False,Ferrari,0 days 00:49:25.484000,2024-10-26 21:36:57.248,1,,False,,False,True,76.515,76.515
14,0 days 01:07:00.519000,SAI,55,,15.0,5.0,,0 days 00:52:21.085000,38.227,35.761,,0 days 00:51:20.142000,0 days 00:51:55.970000,,208.0,170.0,,230.0,False,SOFT,3.0,False,Ferrari,0 days 00:50:41.999000,2024-10-26 21:38:13.763,125,,False,,False,False,,
15,0 days 01:08:54.173000,SAI,55,,16.0,6.0,0 days 01:07:00.519000,,,35.85,25.898,,0 days 01:08:28.385000,0 days 01:08:54.186000,260.0,278.0,256.0,278.0,False,SOFT,1.0,False,Ferrari,0 days 01:07:00.519000,2024-10-26 21:54:32.283,1,,False,,False,False,,
16,0 days 01:10:10.228000,SAI,55,0 days 00:01:16.055000,17.0,6.0,,,27.135,29.387,19.533,0 days 01:09:21.308000,0 days 01:09:50.695000,0 days 01:10:10.228000,318.0,299.0,254.0,346.0,True,SOFT,2.0,False,Ferrari,0 days 01:08:54.173000,2024-10-26 21:56:25.937,1,,False,,False,True,76.055,76.055
17,0 days 01:11:44.434000,SAI,55,0 days 00:01:34.206000,18.0,6.0,,0 days 01:11:41.777000,33.141,35.096,25.969,0 days 01:10:43.369000,0 days 01:11:18.465000,0 days 01:11:44.434000,248.0,252.0,,258.0,False,SOFT,3.0,False,Ferrari,0 days 01:10:10.228000,2024-10-26 21:57:41.992,1,,False,,False,False,94.206,94.20599999999999
18,0 days 01:16:22.006000,SAI,55,,19.0,7.0,0 days 01:14:40.020000,,,36.793,22.589,,0 days 01:15:59.500000,0 days 01:16:22.273000,276.0,278.0,257.0,280.0,False,SOFT,1.0,False,Ferrari,0 days 01:11:44.434000,2024-10-26 21:59:16.198,1,,False,,False,False,,
19,0 days 01:17:37.952000,SAI,55,0 days 00:01:15.946000,20.0,7.0,,,27.037,29.296,19.613,0 days 01:16:49.043000,0 days 01:17:18.339000,0 days 01:17:37.952000,319.0,298.0,254.0,347.0,True,SOFT,2.0,False,Ferrari,0 days 01:16:22.006000,2024-10-26 22:03:53.770,1,,False,,False,True,75.946,75.946
20,0 days 01:19:25.500000,SAI,55,0 days 00:01:47.548000,21.0,7.0,,0 days 01:19:21.560000,40.306,37.272,29.97,0 days 01:18:18.258000,0 days 01:18:55.530000,0 days 01:19:25.500000,179.0,179.0,,180.0,False,SOFT,3.0,False,Ferrari,0 days 01:17:37.952000,2024-10-26 22:05:09.716,1,,False,,False,False,107.548,107.548
