,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:50.419000,21.4,58.0,1017.1,False,49.0,339,1.8
1,0 days 00:01:50.416000,21.5,58.0,1017.0,False,49.0,354,1.6
2,0 days 00:02:50.423000,21.5,58.0,1016.9,False,48.9,17,1.4
3,0 days 00:03:50.411000,21.5,58.0,1016.9,False,48.4,351,1.5
4,0 days 00:04:50.421000,21.6,59.0,1017.0,False,48.1,5,1.2
5,0 days 00:05:50.418000,21.6,59.0,1016.9,False,48.7,7,1.2
6,0 days 00:06:50.418000,21.6,59.0,1016.8,False,48.7,11,1.6
7,0 days 00:07:50.413000,21.5,59.0,1016.9,False,47.9,348,2.0
8,0 days 00:08:50.419000,21.4,61.0,1016.9,False,47.7,2,2.1
9,0 days 00:09:50.418000,21.4,60.0,1017.0,False,48.3,352,1.6
10,0 days 00:10:50.432000,21.6,60.0,1017.0,False,48.2,347,1.4
11,0 days 00:11:50.440000,21.5,61.0,1016.9,False,47.8,313,1.4
12,0 days 00:12:50.430000,21.4,62.0,1016.9,False,47.8,328,1.4
13,0 days 00:13:50.411000,21.3,64.0,1016.9,False,47.9,312,1.4
14,0 days 00:14:50.429000,21.3,65.0,1016.9,False,47.9,19,1.0
15,0 days 00:15:50.421000,21.3,64.0,1017.0,False,47.2,236,0.9
16,0 days 00:16:50.422000,21.4,61.0,1017.0,False,46.7,301,0.5
17,0 days 00:17:50.435000,21.4,60.0,1017.0,False,46.7,285,0.7
18,0 days 00:18:50.436000,21.5,61.0,1017.0,False,45.6,192,1.1
19,0 days 00:19:50.422000,21.5,59.0,1016.9,False,45.5,317,1.0
20,0 days 00:20:50.428000,21.5,60.0,1017.0,False,45.5,246,1.2
21,0 days 00:21:50.442000,21.5,60.0,1017.0,False,45.3,215,0.9
22,0 days 00:22:50.451000,21.5,59.0,1016.9,False,44.9,0,1.1
23,0 days 00:23:50.460000,21.5,58.0,1016.9,False,44.9,275,0.4
24,0 days 00:24:50.468000,21.5,58.0,1016.9,False,44.8,0,0.9
