,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:18:45.795000,VER,1,,1.0,1.0,0 days 00:17:10.473000,,,33.93,26.689,,0 days 00:18:19.184000,0 days 00:18:45.795000,227.0,280.0,282.0,149.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:17:10.473000,2024-11-30 18:02:27.119,1,,False,,False,False,,
1,0 days 00:20:07.508000,VER,1,0 days 00:01:21.713000,2.0,1.0,,,30.155,27.687,23.871,0 days 00:19:15.950000,0 days 00:19:43.637000,0 days 00:20:07.508000,252.0,288.0,283.0,323.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:18:45.795000,2024-11-30 18:04:02.441,1,,False,,False,True,81.713,81.713
2,0 days 00:21:45.195000,VER,1,0 days 00:01:37.687000,3.0,1.0,,0 days 00:21:41.142000,38.311,29.246,30.13,0 days 00:20:45.819000,0 days 00:21:15.065000,0 days 00:21:45.195000,236.0,263.0,,252.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:20:07.508000,2024-11-30 18:05:24.154,1,,False,,False,False,97.687,97.687
3,0 days 00:26:40.511000,VER,1,,4.0,2.0,0 days 00:25:07.302000,,,31.36,29.69,,0 days 00:26:10.909000,0 days 00:26:40.766000,221.0,262.0,253.0,160.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:21:45.195000,2024-11-30 18:07:01.841,1,,False,,False,False,,
4,0 days 00:28:17.235000,VER,1,0 days 00:01:36.724000,5.0,2.0,,,36.963,31.862,27.899,0 days 00:27:17.474000,0 days 00:27:49.336000,0 days 00:28:17.235000,236.0,267.0,282.0,294.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:26:40.511000,2024-11-30 18:11:57.157,1,,False,,False,True,96.724,96.724
5,0 days 00:29:38.814000,VER,1,0 days 00:01:21.579000,6.0,2.0,,,29.967,27.798,23.814,0 days 00:28:47.202000,0 days 00:29:15,0 days 00:29:38.814000,250.0,288.0,281.0,320.0,True,SOFT,3.0,True,Red Bull Racing,0 days 00:28:17.235000,2024-11-30 18:13:33.881,1,,False,,False,True,81.579,81.57900000000001
6,0 days 00:32:17.733000,VER,1,0 days 00:02:38.919000,7.0,2.0,,0 days 00:31:46.187000,53.38,37.219,68.32,0 days 00:30:32.194000,0 days 00:31:09.413000,0 days 00:32:17.733000,193.0,240.0,,100.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:29:38.814000,2024-11-30 18:14:55.460,1,,False,,False,False,158.919,158.91899999999998
7,0 days 00:42:15.062000,VER,1,,8.0,3.0,0 days 00:40:42.419000,,,31.792,28.924,,0 days 00:41:46.289000,0 days 00:42:15.062000,231.0,184.0,282.0,151.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:32:17.733000,2024-11-30 18:17:34.379,1,,False,,False,False,,
8,0 days 00:43:36.147000,VER,1,0 days 00:01:21.085000,9.0,3.0,,,29.854,27.475,23.756,0 days 00:42:44.916000,0 days 00:43:12.391000,0 days 00:43:36.147000,251.0,288.0,282.0,321.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:42:15.062000,2024-11-30 18:27:31.708,1,,False,,False,True,81.085,81.08500000000001
9,0 days 00:45:14.397000,VER,1,0 days 00:01:38.250000,10.0,3.0,,0 days 00:45:10.372000,34.862,30.657,32.731,0 days 00:44:11.009000,0 days 00:44:41.666000,0 days 00:45:14.397000,233.0,168.0,,218.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:43:36.147000,2024-11-30 18:28:52.793,1,,False,,False,False,98.25,98.25
