,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:32.394000,26.0,50.0,1008.4,False,41.2,99,1.2
1,0 days 00:01:32.404000,26.0,49.0,1008.3,False,41.2,183,1.0
2,0 days 00:02:32.392000,26.1,49.0,1008.4,False,41.1,169,1.7
3,0 days 00:03:32.385000,26.2,49.0,1008.4,False,40.8,184,2.1
4,0 days 00:04:32.398000,26.4,50.0,1008.3,False,40.8,185,1.1
5,0 days 00:05:32.399000,26.4,50.0,1008.4,False,40.8,164,1.9
6,0 days 00:06:32.399000,26.3,49.0,1008.2,False,41.1,174,2.5
7,0 days 00:07:32.415000,26.3,49.0,1008.3,False,41.2,161,2.1
8,0 days 00:08:32.432000,26.1,49.0,1008.2,False,41.6,164,1.6
9,0 days 00:09:32.435000,26.1,49.0,1008.3,False,41.7,181,1.2
10,0 days 00:10:32.450000,26.1,49.0,1008.2,False,41.3,168,1.7
11,0 days 00:11:32.468000,26.1,49.0,1008.1,False,41.2,219,1.2
12,0 days 00:12:32.478000,26.2,49.0,1008.2,False,41.3,278,0.7
13,0 days 00:13:32.482000,26.4,49.0,1008.1,False,41.3,338,0.5
14,0 days 00:14:32.485000,26.5,48.0,1008.1,False,41.6,307,0.9
15,0 days 00:15:32.482000,26.5,48.0,1008.1,False,41.6,170,1.0
16,0 days 00:16:32.502000,26.5,49.0,1008.1,False,42.2,174,2.0
17,0 days 00:17:32.517000,26.6,49.0,1008.0,False,42.5,172,1.8
18,0 days 00:18:32.533000,26.6,48.0,1008.0,False,42.6,289,0.7
19,0 days 00:19:32.536000,26.6,49.0,1008.0,False,42.6,224,0.6
20,0 days 00:20:32.532000,26.7,50.0,1008.0,False,42.5,260,2.1
21,0 days 00:21:32.535000,26.6,50.0,1007.9,False,42.3,0,0.9
22,0 days 00:22:32.558000,26.6,50.0,1008.0,False,42.3,319,0.9
23,0 days 00:23:32.550000,26.6,49.0,1008.0,False,42.4,200,1.6
24,0 days 00:24:32.551000,26.6,50.0,1007.9,False,42.9,192,2.0
25,0 days 00:25:32.551000,26.7,50.0,1007.9,False,42.9,159,2.1
26,0 days 00:26:32.552000,26.7,50.0,1007.9,False,43.3,172,2.2
27,0 days 00:27:32.552000,26.6,48.0,1007.9,False,43.4,170,1.8
28,0 days 00:28:32.571000,26.8,49.0,1007.8,False,43.5,171,3.4
29,0 days 00:29:32.587000,26.9,48.0,1007.8,False,43.3,153,2.7
30,0 days 00:30:32.587000,27.1,48.0,1007.8,False,43.9,169,3.9
31,0 days 00:31:32.586000,27.1,48.0,1007.9,False,43.3,186,3.7
32,0 days 00:32:32.580000,27.1,49.0,1007.9,False,43.1,179,2.4
33,0 days 00:33:32.607000,27.1,49.0,1007.7,False,43.4,160,2.7
34,0 days 00:34:32.625000,27.0,48.0,1007.8,False,43.6,138,2.3
35,0 days 00:35:32.621000,26.9,47.0,1007.8,False,44.1,158,2.5
36,0 days 00:36:32.623000,27.1,47.0,1007.8,False,44.5,170,3.1
37,0 days 00:37:32.624000,27.3,48.0,1007.7,False,44.1,158,1.8
38,0 days 00:38:32.626000,27.2,48.0,1007.8,False,44.2,169,1.5
39,0 days 00:39:32.625000,27.2,48.0,1007.7,False,44.9,151,2.0
40,0 days 00:40:32.626000,27.4,48.0,1007.7,False,44.9,132,2.0
41,0 days 00:41:32.644000,27.4,48.0,1007.8,False,44.6,190,1.6
42,0 days 00:42:32.644000,27.3,49.0,1007.7,False,44.6,0,0.7
43,0 days 00:43:32.644000,27.1,48.0,1007.7,False,45.2,222,1.0
44,0 days 00:44:32.658000,27.1,47.0,1007.7,False,45.3,194,1.2
45,0 days 00:45:32.680000,27.0,47.0,1007.7,False,45.6,206,1.3
46,0 days 00:46:32.676000,27.0,47.0,1007.6,False,46.1,193,2.1
47,0 days 00:47:32.677000,27.0,47.0,1007.5,False,46.1,220,0.9
48,0 days 00:48:32.678000,27.1,47.0,1007.5,False,44.7,132,1.5
49,0 days 00:49:32.693000,27.1,45.0,1007.6,False,44.4,189,1.2
50,0 days 00:50:32.710000,27.0,45.0,1007.5,False,43.3,170,1.9
51,0 days 00:51:32.728000,27.2,45.0,1007.5,False,42.9,194,1.6
52,0 days 00:52:32.735000,27.2,46.0,1007.6,False,43.3,177,1.5
53,0 days 00:53:32.759000,27.2,46.0,1007.4,False,44.1,187,1.1
54,0 days 00:54:32.761000,27.1,46.0,1007.4,False,44.1,218,1.6
55,0 days 00:55:32.764000,27.1,47.0,1007.4,False,44.1,92,1.7
56,0 days 00:56:32.762000,27.2,47.0,1007.4,False,45.0,182,2.0
57,0 days 00:57:32.760000,27.2,47.0,1007.3,False,45.0,192,2.3
58,0 days 00:58:32.765000,27.1,46.0,1007.3,False,45.0,204,2.0
59,0 days 00:59:32.764000,27.0,46.0,1007.3,False,44.9,276,1.5
60,0 days 01:00:32.767000,27.0,46.0,1007.3,False,44.6,206,0.9
61,0 days 01:01:32.757000,27.0,45.0,1007.3,False,44.0,302,0.7
62,0 days 01:02:32.767000,27.0,45.0,1007.3,False,43.4,298,1.2
63,0 days 01:03:32.767000,27.0,45.0,1007.3,False,43.1,225,1.5
64,0 days 01:04:32.772000,27.0,45.0,1007.3,False,42.1,271,0.9
65,0 days 01:05:32.771000,27.1,45.0,1007.1,False,42.0,297,0.8
66,0 days 01:06:32.769000,27.1,45.0,1007.1,False,41.6,289,0.6
67,0 days 01:07:32.778000,27.2,46.0,1007.1,False,41.6,285,0.6
68,0 days 01:08:32.778000,27.2,46.0,1007.1,False,41.5,58,0.6
69,0 days 01:09:32.780000,27.1,45.0,1007.0,False,41.5,289,0.7
70,0 days 01:10:32.770000,27.2,45.0,1007.1,False,42.0,179,0.6
71,0 days 01:11:32.776000,27.3,45.0,1007.0,False,43.7,195,1.3
72,0 days 01:12:32.775000,27.4,44.0,1007.1,False,44.1,218,2.0
73,0 days 01:13:32.780000,27.5,44.0,1007.1,False,44.1,121,1.2
74,0 days 01:14:32.779000,27.5,44.0,1007.1,False,44.9,271,0.4
75,0 days 01:15:32.776000,27.5,44.0,1006.9,False,44.9,322,1.3
76,0 days 01:16:32.782000,27.4,45.0,1007.0,False,44.8,319,2.6
77,0 days 01:17:32.777000,27.2,46.0,1007.0,False,44.7,334,1.9
78,0 days 01:18:32.780000,27.1,47.0,1006.9,False,44.1,299,2.2
79,0 days 01:19:32.775000,27.0,46.0,1006.9,False,44.0,163,2.1
80,0 days 01:20:32.780000,27.2,45.0,1007.0,False,44.0,180,2.3
