,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:36.408000,24.7,70.0,1010.6,False,32.8,258,0.8
1,0 days 00:01:36.411000,24.6,70.0,1010.6,False,33.0,12,0.4
2,0 days 00:02:36.418000,24.7,69.0,1010.5,False,33.0,329,0.8
3,0 days 00:03:36.449000,24.7,69.0,1010.5,False,33.2,353,0.4
4,0 days 00:04:36.449000,24.8,69.0,1010.5,False,33.3,227,0.6
5,0 days 00:05:36.465000,24.8,69.0,1010.5,False,33.0,146,0.7
6,0 days 00:06:36.477000,24.8,69.0,1010.5,False,33.0,326,0.6
7,0 days 00:07:36.481000,24.8,69.0,1010.5,False,32.7,303,0.7
8,0 days 00:08:36.488000,24.7,69.0,1010.4,False,32.8,97,0.6
9,0 days 00:09:36.488000,24.6,70.0,1010.4,False,32.8,117,0.0
10,0 days 00:10:36.488000,24.6,69.0,1010.4,False,32.8,75,0.7
11,0 days 00:11:36.510000,24.7,70.0,1010.3,False,33.2,359,0.5
12,0 days 00:12:36.510000,24.9,70.0,1010.4,False,33.9,108,0.0
13,0 days 00:13:36.491000,25.0,69.0,1010.4,False,32.3,176,0.8
14,0 days 00:14:36.527000,25.0,70.0,1010.4,False,32.3,186,0.4
15,0 days 00:15:36.529000,25.0,70.0,1010.4,False,32.4,209,0.5
16,0 days 00:16:36.529000,25.1,71.0,1010.4,False,31.7,0,0.0
17,0 days 00:17:36.529000,25.0,71.0,1010.5,False,32.0,20,0.3
18,0 days 00:18:36.522000,25.0,71.0,1010.3,False,32.9,295,1.3
19,0 days 00:19:36.526000,25.0,71.0,1010.4,False,33.3,353,0.9
20,0 days 00:20:36.536000,25.0,70.0,1010.3,False,33.2,304,0.5
21,0 days 00:21:36.529000,25.0,70.0,1010.2,False,32.9,252,0.7
22,0 days 00:22:36.530000,25.0,71.0,1010.2,False,33.3,255,1.7
23,0 days 00:23:36.535000,25.1,70.0,1010.3,False,33.3,354,1.0
24,0 days 00:24:36.523000,25.2,70.0,1010.3,False,33.5,276,1.0
25,0 days 00:25:36.524000,25.2,70.0,1010.1,False,34.0,259,1.3
26,0 days 00:26:36.537000,25.3,69.0,1010.1,False,34.1,260,1.4
27,0 days 00:27:36.524000,25.3,68.0,1010.2,False,34.5,250,1.0
28,0 days 00:28:36.549000,25.5,68.0,1010.1,False,35.3,296,1.2
29,0 days 00:29:36.537000,25.6,67.0,1010.2,False,35.3,293,1.2
30,0 days 00:30:36.538000,25.6,66.0,1010.1,False,35.3,249,1.2
31,0 days 00:31:36.534000,25.6,66.0,1010.1,False,34.6,256,1.1
32,0 days 00:32:36.528000,25.5,67.0,1010.1,False,34.6,245,1.2
33,0 days 00:33:36.539000,25.5,67.0,1010.1,False,34.5,261,1.0
34,0 days 00:34:36.537000,25.5,67.0,1010.1,False,34.4,262,1.1
35,0 days 00:35:36.538000,25.3,68.0,1010.1,False,33.9,281,1.2
36,0 days 00:36:36.528000,25.1,68.0,1010.1,False,33.9,261,1.0
37,0 days 00:37:36.539000,25.2,68.0,1010.1,False,35.2,221,0.8
38,0 days 00:38:36.545000,25.3,67.0,1010.0,False,35.4,268,0.8
39,0 days 00:39:36.545000,25.4,66.0,1010.1,False,35.6,213,0.3
40,0 days 00:40:36.545000,25.3,65.0,1010.0,False,35.6,270,1.2
41,0 days 00:41:36.545000,25.3,65.0,1010.0,False,35.6,206,0.7
42,0 days 00:42:36.536000,25.3,65.0,1010.0,False,35.9,25,0.7
43,0 days 00:43:36.545000,25.3,64.0,1010.0,False,36.1,69,0.4
44,0 days 00:44:36.545000,25.4,62.0,1009.9,False,36.3,41,0.6
45,0 days 00:45:36.545000,25.4,62.0,1009.9,False,36.7,36,1.1
46,0 days 00:46:36.558000,25.5,62.0,1009.9,False,36.4,58,0.7
47,0 days 00:47:36.571000,25.5,63.0,1010.0,False,36.0,57,1.0
48,0 days 00:48:36.582000,25.6,64.0,1010.0,False,35.5,100,0.8
49,0 days 00:49:36.597000,25.6,65.0,1009.9,False,36.0,32,0.7
50,0 days 00:50:36.597000,25.6,65.0,1009.9,False,36.0,0,1.1
51,0 days 00:51:36.602000,25.6,65.0,1009.9,False,35.9,101,0.0
52,0 days 00:52:36.615000,25.6,66.0,1009.8,False,35.8,0,0.7
53,0 days 00:53:36.631000,25.7,65.0,1009.8,False,35.8,281,0.0
54,0 days 00:54:36.649000,25.8,65.0,1009.9,False,35.9,273,1.0
55,0 days 00:55:36.664000,25.8,66.0,1009.8,False,36.2,150,0.0
56,0 days 00:56:36.666000,25.7,64.0,1009.8,False,36.1,34,0.4
57,0 days 00:57:36.675000,25.7,65.0,1009.7,False,36.1,126,0.5
58,0 days 00:58:36.682000,25.8,62.0,1009.8,False,36.3,0,0.8
59,0 days 00:59:36.682000,25.9,64.0,1009.8,False,36.9,0,0.7
60,0 days 01:00:36.691000,26.0,62.0,1009.8,False,37.1,337,0.7
61,0 days 01:01:36.687000,26.1,62.0,1009.7,False,36.6,347,0.8
62,0 days 01:02:36.701000,26.1,62.0,1009.8,False,36.6,325,0.6
63,0 days 01:03:36.706000,26.1,63.0,1009.7,False,37.2,296,0.8
64,0 days 01:04:36.699000,26.0,61.0,1009.8,False,37.2,48,0.6
65,0 days 01:05:36.692000,26.1,62.0,1009.8,False,37.5,3,0.7
66,0 days 01:06:36.723000,26.0,62.0,1009.7,False,37.3,46,0.9
67,0 days 01:07:36.833000,26.0,63.0,1009.7,False,37.6,26,1.4
68,0 days 01:08:36.843000,26.0,61.0,1009.7,False,37.6,347,0.8
69,0 days 01:09:36.855000,26.1,62.0,1009.7,False,37.5,33,0.8
70,0 days 01:10:36.862000,26.0,64.0,1009.6,False,37.3,262,0.6
71,0 days 01:11:36.865000,25.8,63.0,1009.6,False,37.6,22,0.8
72,0 days 01:12:36.884000,25.7,62.0,1009.5,False,37.7,23,0.6
73,0 days 01:13:36.904000,25.7,63.0,1009.5,False,37.4,0,0.9
74,0 days 01:14:36.894000,25.7,62.0,1009.4,False,37.4,353,0.7
75,0 days 01:15:36.925000,25.6,62.0,1009.5,False,37.4,316,0.7
76,0 days 01:16:36.945000,25.6,63.0,1009.5,False,37.4,323,0.6
77,0 days 01:17:36.956000,25.8,62.0,1009.5,False,37.5,285,0.6
78,0 days 01:18:36.953000,26.0,61.0,1009.5,False,37.4,314,1.2
79,0 days 01:19:36.945000,26.0,61.0,1009.4,False,37.4,179,0.9
80,0 days 01:20:36.953000,26.0,62.0,1009.4,False,37.4,295,0.5
81,0 days 01:21:36.957000,26.0,62.0,1009.4,False,38.1,0,0.5
82,0 days 01:22:36.941000,26.0,62.0,1009.5,False,37.9,108,0.4
83,0 days 01:23:36.955000,26.2,62.0,1009.4,False,37.9,171,0.4
