,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:03.953000,22.4,55.0,968.8,False,37.5,279,2.2
1,0 days 00:01:03.938000,22.4,56.0,968.7,False,37.4,294,1.4
2,0 days 00:02:03.953000,22.3,57.0,968.8,False,36.9,303,2.0
3,0 days 00:03:03.985000,22.3,57.0,968.7,False,36.7,344,1.6
4,0 days 00:04:04.001000,22.3,57.0,968.8,False,36.8,329,1.5
5,0 days 00:05:04.001000,22.3,58.0,968.8,False,36.8,317,1.6
6,0 days 00:06:04.016000,22.3,58.0,968.7,False,36.7,349,1.2
7,0 days 00:07:04.031000,22.2,57.0,968.8,False,36.5,346,2.1
8,0 days 00:08:04.009000,22.1,57.0,968.7,False,36.7,294,2.3
9,0 days 00:09:04.025000,22.1,57.0,968.7,False,36.8,347,2.1
10,0 days 00:10:04.031000,22.0,57.0,968.8,False,37.8,357,1.2
11,0 days 00:11:04.009000,22.0,57.0,968.7,False,38.5,6,1.7
12,0 days 00:12:04.037000,22.0,56.0,968.7,False,38.9,341,1.1
13,0 days 00:13:04.035000,22.0,55.0,968.7,False,38.9,356,1.7
14,0 days 00:14:04.032000,22.0,57.0,968.6,False,39.2,319,2.2
15,0 days 00:15:04.045000,21.9,57.0,968.6,False,39.3,332,2.2
16,0 days 00:16:04.028000,22.0,56.0,968.8,False,39.3,341,1.8
17,0 days 00:17:04.044000,22.0,57.0,968.7,False,39.6,274,1.5
18,0 days 00:18:04.045000,22.2,56.0,968.7,False,40.1,45,1.6
19,0 days 00:19:04.053000,22.3,56.0,968.6,False,40.3,292,1.1
20,0 days 00:20:04.045000,22.5,55.0,968.6,False,40.3,359,2.3
21,0 days 00:21:04.075000,22.5,55.0,968.7,False,40.0,327,3.2
22,0 days 00:22:04.110000,22.5,56.0,968.6,False,40.2,311,2.0
23,0 days 00:23:04.095000,22.8,55.0,968.5,False,40.3,345,3.3
24,0 days 00:24:04.099000,22.9,54.0,968.6,False,39.7,327,3.2
25,0 days 00:25:04.124000,22.9,55.0,968.6,False,39.6,347,3.4
26,0 days 00:26:04.124000,23.0,55.0,968.5,False,39.7,324,2.2
27,0 days 00:27:04.130000,23.0,55.0,968.5,False,39.7,269,1.3
28,0 days 00:28:04.149000,23.0,54.0,968.6,False,39.6,261,2.3
29,0 days 00:29:04.175000,23.2,55.0,968.6,False,39.7,328,1.9
30,0 days 00:30:04.178000,23.4,55.0,968.6,False,40.0,348,2.0
31,0 days 00:31:04.179000,23.4,56.0,968.6,False,39.5,321,2.7
32,0 days 00:32:04.198000,23.3,58.0,968.6,False,39.4,342,2.4
33,0 days 00:33:04.210000,23.3,58.0,968.5,False,39.4,346,2.0
34,0 days 00:34:04.233000,23.2,59.0,968.7,False,39.3,335,1.8
35,0 days 00:35:04.258000,23.1,60.0,968.6,False,39.2,343,1.5
36,0 days 00:36:04.277000,23.0,60.0,968.5,False,39.1,17,1.7
37,0 days 00:37:04.282000,22.9,60.0,968.7,False,39.0,325,1.7
38,0 days 00:38:04.276000,22.8,61.0,968.5,False,38.7,350,1.1
39,0 days 00:39:04.278000,22.6,61.0,968.5,False,38.7,350,1.1
40,0 days 00:40:04.271000,22.7,61.0,968.6,False,39.2,168,0.8
41,0 days 00:41:04.270000,22.7,61.0,968.6,False,39.2,357,0.9
42,0 days 00:42:04.304000,22.8,62.0,968.6,False,39.2,279,1.6
43,0 days 00:43:04.295000,22.8,61.0,968.6,False,39.1,347,1.4
44,0 days 00:44:04.311000,22.8,61.0,968.6,False,38.9,328,0.8
45,0 days 00:45:04.296000,22.9,61.0,968.6,False,38.9,16,1.9
46,0 days 00:46:04.310000,22.8,60.0,968.6,False,38.0,314,1.6
47,0 days 00:47:04.319000,22.5,62.0,968.6,False,37.5,310,2.0
48,0 days 00:48:04.319000,22.5,63.0,968.6,False,37.6,301,2.4
49,0 days 00:49:04.347000,22.4,64.0,968.6,False,37.7,343,2.7
50,0 days 00:50:04.347000,22.4,64.0,968.6,False,37.7,300,2.2
51,0 days 00:51:04.347000,22.3,63.0,968.7,False,37.4,331,2.7
52,0 days 00:52:04.359000,22.2,65.0,968.6,False,36.2,348,3.0
53,0 days 00:53:04.360000,22.1,65.0,968.6,False,36.2,349,2.4
54,0 days 00:54:04.369000,22.1,65.0,968.6,False,37.0,352,1.8
55,0 days 00:55:04.440000,22.1,65.0,968.5,False,37.4,310,1.3
56,0 days 00:56:04.410000,22.2,64.0,968.5,False,37.8,346,1.7
57,0 days 00:57:04.394000,22.2,63.0,968.5,False,38.0,358,2.5
58,0 days 00:58:04.415000,22.1,64.0,968.4,False,37.2,338,1.6
59,0 days 00:59:04.410000,22.0,66.0,968.5,False,37.4,311,1.6
60,0 days 01:00:04.406000,22.0,64.0,968.6,False,37.9,315,2.2
61,0 days 01:01:04.433000,22.1,63.0,968.6,False,37.4,6,1.8
62,0 days 01:02:04.446000,22.1,63.0,968.5,False,37.6,305,2.1
63,0 days 01:03:04.446000,22.2,64.0,968.6,False,37.6,331,2.7
64,0 days 01:04:04.525000,22.2,63.0,968.5,False,37.6,296,2.1
65,0 days 01:05:04.554000,22.1,63.0,968.5,False,37.5,264,0.8
66,0 days 01:06:04.555000,22.2,63.0,968.4,False,38.0,317,1.5
67,0 days 01:07:04.539000,22.1,63.0,968.5,False,36.3,285,2.7
68,0 days 01:08:04.744000,22.0,64.0,968.4,False,36.3,321,2.2
69,0 days 01:09:04.604000,22.0,64.0,968.6,False,36.4,269,2.9
70,0 days 01:10:04.585000,21.9,66.0,968.6,False,36.7,350,3.3
71,0 days 01:11:04.584000,21.9,66.0,968.6,False,37.1,275,2.2
72,0 days 01:12:04.592000,22.0,64.0,968.4,False,37.1,286,1.6
73,0 days 01:13:04.569000,21.9,64.0,968.6,False,36.8,332,1.0
74,0 days 01:14:04.587000,22.0,64.0,968.5,False,36.8,296,1.2
75,0 days 01:15:04.573000,22.0,65.0,968.6,False,36.0,291,2.0
