,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:19:21.823000,PIA,81,,1.0,1.0,0 days 00:17:07.613000,,,58.168,35.573,,0 days 00:18:46.353000,0 days 00:19:21.856000,246.0,187.0,228.0,252.0,False,MEDIUM,1.0,True,McLaren,0 days 00:17:07.613000,2025-07-25 14:32:51.481,1,,False,,False,False,,
1,0 days 00:21:03.592000,PIA,81,0 days 00:01:41.769000,2.0,1.0,,,30.077,43.541,28.151,0 days 00:19:51.900000,0 days 00:20:35.441000,0 days 00:21:03.592000,341.0,216.0,228.0,318.0,True,MEDIUM,2.0,True,McLaren,0 days 00:19:21.823000,2025-07-25 14:35:05.691,1,,False,,False,True,101.769,101.76899999999999
2,0 days 00:23:27.948000,PIA,81,0 days 00:02:24.356000,3.0,1.0,,0 days 00:23:23.772000,44.398,61.274,38.684,0 days 00:21:47.990000,0 days 00:22:49.264000,0 days 00:23:27.948000,241.0,179.0,,211.0,False,MEDIUM,3.0,True,McLaren,0 days 00:21:03.592000,2025-07-25 14:36:47.460,1,,False,,False,False,144.356,144.356
3,0 days 00:42:31.992000,PIA,81,,4.0,2.0,0 days 00:40:26.509000,,,56.6,35.741,,0 days 00:41:56.304000,0 days 00:42:31.992000,330.0,144.0,229.0,265.0,False,MEDIUM,1.0,True,McLaren,0 days 00:23:27.948000,2025-07-25 14:39:11.816,12,,False,,False,False,,
4,0 days 00:44:13.728000,PIA,81,0 days 00:01:41.736000,5.0,2.0,,,30.092,43.514,28.13,0 days 00:43:02.084000,0 days 00:43:45.598000,0 days 00:44:13.728000,341.0,217.0,229.0,315.0,False,MEDIUM,2.0,True,McLaren,0 days 00:42:31.992000,2025-07-25 14:58:15.860,1,,True,TRACK LIMITS AT TURN 4 LAP 6 ,False,True,101.736,101.73599999999999
5,0 days 00:46:31.201000,PIA,81,0 days 00:02:17.473000,6.0,2.0,,,45.516,58.401,33.556,0 days 00:44:59.244000,0 days 00:45:57.645000,0 days 00:46:31.201000,259.0,168.0,229.0,219.0,True,MEDIUM,3.0,True,McLaren,0 days 00:44:13.728000,2025-07-25 14:59:57.596,1,,False,,False,True,137.473,137.473
6,0 days 00:48:13.329000,PIA,81,0 days 00:01:42.128000,7.0,2.0,,,30.076,43.858,28.194,0 days 00:47:01.277000,0 days 00:47:45.135000,0 days 00:48:13.329000,341.0,218.0,228.0,316.0,True,MEDIUM,4.0,True,McLaren,0 days 00:46:31.201000,2025-07-25 15:02:15.069,1,,False,,False,True,102.128,102.128
7,0 days 00:50:29.402000,PIA,81,0 days 00:02:16.073000,8.0,2.0,,0 days 00:50:25.488000,41.302,56.665,38.106,0 days 00:48:54.631000,0 days 00:49:51.296000,0 days 00:50:29.402000,271.0,192.0,,250.0,False,MEDIUM,5.0,True,McLaren,0 days 00:48:13.329000,2025-07-25 15:03:57.197,1,,False,,False,False,136.073,136.073
8,0 days 01:08:51.697000,PIA,81,,9.0,3.0,0 days 01:06:37.914000,,,59.096,35.265,,0 days 01:08:16.432000,0 days 01:08:51.698000,316.0,156.0,230.0,220.0,False,SOFT,1.0,True,McLaren,0 days 00:50:29.402000,2025-07-25 15:06:13.270,12,,False,,False,False,,
9,0 days 01:10:32.207000,PIA,81,0 days 00:01:40.510000,10.0,3.0,,,29.964,42.723,27.823,0 days 01:09:21.661000,0 days 01:10:04.384000,0 days 01:10:32.207000,339.0,219.0,229.0,316.0,True,SOFT,2.0,True,McLaren,0 days 01:08:51.697000,2025-07-25 15:24:35.565,1,,False,,False,True,100.51,100.50999999999999
