,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:21.665000,20.8,62.0,969.2,False,32.8,331,1.8
1,0 days 00:01:21.649000,20.8,63.0,969.0,False,31.9,318,2.3
2,0 days 00:02:21.690000,20.7,63.0,969.1,False,31.8,307,1.3
3,0 days 00:03:21.707000,20.6,63.0,969.1,False,31.6,323,1.8
4,0 days 00:04:21.707000,20.6,63.0,969.0,False,31.5,1,1.4
5,0 days 00:05:21.723000,20.7,64.0,969.1,False,31.0,284,1.0
6,0 days 00:06:21.739000,20.7,64.0,969.0,False,31.0,315,1.4
7,0 days 00:07:21.738000,20.9,64.0,969.0,False,31.0,314,1.8
8,0 days 00:08:21.721000,21.0,64.0,969.1,False,31.1,321,1.9
9,0 days 00:09:21.737000,20.9,64.0,968.9,False,32.0,318,1.3
10,0 days 00:10:21.738000,20.9,64.0,969.0,False,33.1,0,0.5
11,0 days 00:11:21.726000,21.0,64.0,969.1,False,33.2,208,1.2
12,0 days 00:12:21.743000,21.0,64.0,969.0,False,33.9,292,0.9
13,0 days 00:13:21.738000,21.1,64.0,969.0,False,34.6,5,0.5
14,0 days 00:14:21.739000,21.3,62.0,969.0,False,34.6,334,1.4
15,0 days 00:15:21.754000,21.3,61.0,969.0,False,34.8,85,0.5
16,0 days 00:16:21.770000,21.2,61.0,969.0,False,35.2,3,0.5
17,0 days 00:17:21.780000,21.2,61.0,969.1,False,35.4,0,0.4
18,0 days 00:18:21.784000,21.0,58.0,969.0,False,35.8,155,0.7
19,0 days 00:19:21.800000,21.0,58.0,969.0,False,35.8,164,1.1
20,0 days 00:20:21.796000,21.0,60.0,969.1,False,35.8,0,0.5
21,0 days 00:21:21.796000,21.0,58.0,969.0,False,36.1,122,0.7
22,0 days 00:22:21.796000,21.1,57.0,969.0,False,36.6,347,0.6
23,0 days 00:23:21.774000,21.1,57.0,969.0,False,36.4,303,1.3
24,0 days 00:24:21.786000,20.9,58.0,969.1,False,36.4,326,1.3
25,0 days 00:25:21.799000,20.9,57.0,969.0,False,37.0,322,2.1
26,0 days 00:26:21.805000,20.9,59.0,969.1,False,37.0,309,1.6
27,0 days 00:27:21.801000,21.0,58.0,969.1,False,37.4,352,1.2
28,0 days 00:28:21.786000,20.9,58.0,969.0,False,37.4,334,0.7
29,0 days 00:29:21.806000,20.9,58.0,969.0,False,37.0,297,1.0
30,0 days 00:30:21.791000,20.9,58.0,969.0,False,35.7,203,1.1
31,0 days 00:31:21.801000,20.7,60.0,968.9,False,34.7,220,1.3
32,0 days 00:32:21.801000,20.8,62.0,969.0,False,34.6,299,0.7
33,0 days 00:33:21.807000,20.8,63.0,969.0,False,34.2,4,0.7
34,0 days 00:34:21.804000,20.8,63.0,968.9,False,34.2,312,1.4
35,0 days 00:35:21.808000,20.9,63.0,969.0,False,33.8,350,1.5
36,0 days 00:36:21.808000,20.9,63.0,969.0,False,33.8,336,1.8
37,0 days 00:37:21.793000,20.9,63.0,969.0,False,33.5,273,0.9
38,0 days 00:38:21.811000,21.0,64.0,969.0,False,33.9,339,0.7
39,0 days 00:39:21.838000,21.0,65.0,969.1,False,34.5,0,0.9
40,0 days 00:40:21.848000,21.0,63.0,969.1,False,34.9,294,1.2
41,0 days 00:41:21.861000,21.0,63.0,969.1,False,35.0,337,1.6
42,0 days 00:42:21.885000,20.9,63.0,969.0,False,34.7,335,1.0
43,0 days 00:43:21.871000,21.0,63.0,969.0,False,34.2,316,2.3
44,0 days 00:44:21.888000,21.0,63.0,969.1,False,33.5,350,1.8
45,0 days 00:45:21.907000,20.9,64.0,969.0,False,33.4,358,1.4
46,0 days 00:46:21.896000,20.9,64.0,969.1,False,33.4,331,1.3
47,0 days 00:47:21.892000,20.9,64.0,969.1,False,33.4,337,0.9
48,0 days 00:48:21.892000,20.9,63.0,969.0,False,33.5,10,1.2
49,0 days 00:49:21.893000,20.9,64.0,969.1,False,33.5,306,0.6
50,0 days 00:50:21.898000,20.9,64.0,969.1,False,33.0,194,1.0
51,0 days 00:51:21.913000,20.7,64.0,969.1,False,32.8,324,0.9
52,0 days 00:52:21.910000,20.7,64.0,969.1,False,32.8,305,1.0
53,0 days 00:53:21.916000,20.8,64.0,969.1,False,33.5,172,1.0
54,0 days 00:54:21.929000,20.8,63.0,969.0,False,34.8,180,1.2
55,0 days 00:55:21.950000,20.9,63.0,969.1,False,35.2,127,1.2
56,0 days 00:56:21.951000,21.0,63.0,969.0,False,35.5,155,1.3
57,0 days 00:57:21.974000,21.1,62.0,969.0,False,35.8,190,2.1
58,0 days 00:58:21.976000,21.0,63.0,969.0,False,35.9,163,0.8
59,0 days 00:59:21.984000,21.0,62.0,969.0,False,36.2,161,1.6
60,0 days 01:00:21.991000,21.0,62.0,969.0,False,36.5,24,0.7
61,0 days 01:01:22.002000,20.9,62.0,969.0,False,36.5,0,0.5
62,0 days 01:02:21.976000,20.9,62.0,969.1,False,37.1,176,0.6
63,0 days 01:03:22,20.9,60.0,969.0,False,37.2,359,1.7
64,0 days 01:04:21.996000,20.9,59.0,969.0,False,37.6,328,1.1
65,0 days 01:05:22.015000,21.0,59.0,969.0,False,37.9,290,1.3
66,0 days 01:06:22.017000,21.0,60.0,969.0,False,38.3,3,1.8
67,0 days 01:07:22.031000,21.0,58.0,969.0,False,38.3,63,1.1
68,0 days 01:08:22.031000,21.0,59.0,968.9,False,38.1,293,1.2
69,0 days 01:09:22.033000,21.0,59.0,969.0,False,37.9,202,1.8
70,0 days 01:10:22.030000,21.0,59.0,969.0,False,38.3,160,1.5
71,0 days 01:11:22.035000,20.9,57.0,969.0,False,38.3,137,1.3
72,0 days 01:12:22.018000,20.9,56.0,969.0,False,38.3,255,1.3
73,0 days 01:13:22.029000,20.9,57.0,969.0,False,38.5,0,0.0
74,0 days 01:14:22.072000,21.0,58.0,969.0,False,38.5,0,0.0
75,0 days 01:15:22.087000,21.0,58.0,969.0,False,38.5,212,0.6
76,0 days 01:16:22.076000,21.1,56.0,969.0,False,38.5,355,1.3
77,0 days 01:17:22.069000,21.2,56.0,969.0,False,38.0,277,1.4
78,0 days 01:18:22.070000,21.2,57.0,969.0,False,38.8,258,1.1
79,0 days 01:19:22.077000,21.2,55.0,969.1,False,38.9,276,1.3
