,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:49:07.753000,VER,1,,1.0,1.0,,,,46.651,28.562,,0 days 00:48:39.241000,0 days 00:49:07.922000,328.0,212.0,220.0,317.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:47:19.303000,2025-07-26 10:03:51.931,1,1.0,False,,False,False,,
1,0 days 00:50:54.022000,VER,1,0 days 00:01:46.269000,2.0,1.0,,,30.851,46.87,28.548,0 days 00:49:38.630000,0 days 00:50:25.500000,0 days 00:50:54.048000,314.0,213.0,220.0,313.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:49:07.753000,2025-07-26 10:05:40.381,1,1.0,False,,False,True,106.269,106.269
2,0 days 00:52:40.272000,VER,1,0 days 00:01:46.250000,3.0,1.0,,,30.968,46.691,28.591,0 days 00:51:25.016000,0 days 00:52:11.707000,0 days 00:52:40.298000,319.0,210.0,220.0,314.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:50:54.022000,2025-07-26 10:07:26.650,1,1.0,False,,False,True,106.25,106.25
3,0 days 00:54:26.463000,VER,1,0 days 00:01:46.191000,4.0,1.0,,,30.9,46.704,28.587,0 days 00:53:11.198000,0 days 00:53:57.902000,0 days 00:54:26.489000,317.0,211.0,220.0,314.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 00:52:40.272000,2025-07-26 10:09:12.900,1,1.0,False,,False,True,106.191,106.191
4,0 days 00:56:12.885000,VER,1,0 days 00:01:46.422000,5.0,1.0,,,31.078,46.645,28.699,0 days 00:54:57.567000,0 days 00:55:44.212000,0 days 00:56:12.911000,312.0,209.0,220.0,315.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 00:54:26.463000,2025-07-26 10:10:59.091,1,1.0,False,,False,True,106.422,106.422
5,0 days 00:57:58.937000,VER,1,0 days 00:01:46.052000,6.0,1.0,,,30.906,46.538,28.608,0 days 00:56:43.817000,0 days 00:57:30.355000,0 days 00:57:58.963000,319.0,209.0,219.0,315.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:56:12.885000,2025-07-26 10:12:45.513,1,1.0,False,,False,True,106.052,106.05199999999999
6,0 days 00:59:45.316000,VER,1,0 days 00:01:46.379000,7.0,1.0,,,30.971,46.784,28.624,0 days 00:58:29.934000,0 days 00:59:16.718000,0 days 00:59:45.342000,312.0,210.0,219.0,314.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 00:57:58.937000,2025-07-26 10:14:31.565,1,1.0,False,,False,True,106.379,106.37899999999999
7,0 days 01:01:31.710000,VER,1,0 days 00:01:46.394000,8.0,1.0,,,31.031,46.827,28.536,0 days 01:00:16.373000,0 days 01:01:03.200000,0 days 01:01:31.736000,313.0,208.0,220.0,315.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:59:45.316000,2025-07-26 10:16:17.944,1,1.0,False,,False,True,106.394,106.394
8,0 days 01:03:18.216000,VER,1,0 days 00:01:46.506000,9.0,1.0,,,30.976,46.775,28.755,0 days 01:02:02.712000,0 days 01:02:49.487000,0 days 01:03:18.242000,320.0,207.0,219.0,315.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:01:31.710000,2025-07-26 10:18:04.338,1,1.0,False,,False,True,106.506,106.506
9,0 days 01:05:04.867000,VER,1,0 days 00:01:46.651000,10.0,1.0,,,30.949,46.814,28.888,0 days 01:03:49.191000,0 days 01:04:36.005000,0 days 01:05:04.893000,312.0,211.0,219.0,316.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:03:18.216000,2025-07-26 10:19:50.844,1,1.0,False,,False,True,106.651,106.65100000000001
10,0 days 01:06:51.279000,VER,1,0 days 00:01:46.412000,11.0,1.0,,,30.945,46.865,28.602,0 days 01:05:35.838000,0 days 01:06:22.703000,0 days 01:06:51.305000,326.0,210.0,221.0,317.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:05:04.867000,2025-07-26 10:21:37.495,1,1.0,False,,False,True,106.412,106.412
11,0 days 01:08:37.697000,VER,1,0 days 00:01:46.418000,12.0,1.0,,,31.092,46.739,28.587,0 days 01:07:22.397000,0 days 01:08:09.136000,0 days 01:08:37.723000,314.0,209.0,221.0,317.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:06:51.279000,2025-07-26 10:23:23.907,1,1.0,False,,False,True,106.418,106.41799999999999
12,0 days 01:10:24.275000,VER,1,0 days 00:01:46.578000,13.0,1.0,,,31.115,46.799,28.664,0 days 01:09:08.838000,0 days 01:09:55.637000,0 days 01:10:24.301000,313.0,207.0,221.0,317.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:08:37.697000,2025-07-26 10:25:10.325,1,1.0,False,,False,True,106.578,106.578
13,0 days 01:12:10.982000,VER,1,0 days 00:01:46.707000,14.0,1.0,,,31.158,46.866,28.683,0 days 01:10:55.459000,0 days 01:11:42.325000,0 days 01:12:11.008000,312.0,208.0,218.0,317.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:10:24.275000,2025-07-26 10:26:56.903,1,1.0,False,,False,True,106.707,106.707
14,0 days 01:13:57.580000,VER,1,0 days 00:01:46.598000,15.0,1.0,,,31.022,46.915,28.661,0 days 01:12:42.030000,0 days 01:13:28.945000,0 days 01:13:57.606000,319.0,209.0,217.0,316.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 01:12:10.982000,2025-07-26 10:28:43.610,1,1.0,False,,False,True,106.598,106.598
15,0 days 00:49:08.379000,PIA,81,,1.0,1.0,,,,47.204,28.587,,0 days 00:48:39.792000,0 days 00:49:08.550000,317.0,209.0,223.0,308.0,False,MEDIUM,1.0,True,McLaren,0 days 00:47:19.303000,2025-07-26 10:03:51.931,1,2.0,False,,False,False,,
16,0 days 00:50:54.563000,PIA,81,0 days 00:01:46.184000,2.0,1.0,,,30.509,47.141,28.534,0 days 00:49:38.888000,0 days 00:50:26.029000,0 days 00:50:54.563000,330.0,209.0,223.0,317.0,True,MEDIUM,2.0,True,McLaren,0 days 00:49:08.379000,2025-07-26 10:05:41.007,1,2.0,False,,False,True,106.184,106.184
17,0 days 00:52:40.800000,PIA,81,0 days 00:01:46.237000,3.0,1.0,,,30.762,46.83,28.645,0 days 00:51:25.325000,0 days 00:52:12.155000,0 days 00:52:40.800000,332.0,210.0,223.0,316.0,False,MEDIUM,3.0,True,McLaren,0 days 00:50:54.563000,2025-07-26 10:07:27.191,1,2.0,False,,False,True,106.237,106.237
18,0 days 00:54:27.172000,PIA,81,0 days 00:01:46.372000,4.0,1.0,,,30.713,47.016,28.643,0 days 00:53:11.513000,0 days 00:53:58.529000,0 days 00:54:27.172000,332.0,210.0,222.0,316.0,False,MEDIUM,4.0,True,McLaren,0 days 00:52:40.800000,2025-07-26 10:09:13.428,1,2.0,False,,False,True,106.372,106.372
19,0 days 00:56:13.466000,PIA,81,0 days 00:01:46.294000,5.0,1.0,,,30.664,46.989,28.641,0 days 00:54:57.836000,0 days 00:55:44.825000,0 days 00:56:13.466000,333.0,209.0,222.0,316.0,False,MEDIUM,5.0,True,McLaren,0 days 00:54:27.172000,2025-07-26 10:10:59.800,1,2.0,False,,False,True,106.294,106.29399999999998
20,0 days 00:57:59.527000,PIA,81,0 days 00:01:46.061000,6.0,1.0,,,30.686,46.816,28.559,0 days 00:56:44.152000,0 days 00:57:30.968000,0 days 00:57:59.527000,334.0,208.0,222.0,316.0,True,MEDIUM,6.0,True,McLaren,0 days 00:56:13.466000,2025-07-26 10:12:46.094,1,2.0,False,,False,True,106.061,106.061
21,0 days 00:59:46.093000,PIA,81,0 days 00:01:46.566000,7.0,1.0,,,30.822,47.101,28.643,0 days 00:58:30.349000,0 days 00:59:17.450000,0 days 00:59:46.093000,334.0,205.0,223.0,315.0,False,MEDIUM,7.0,True,McLaren,0 days 00:57:59.527000,2025-07-26 10:14:32.155,1,2.0,False,,False,True,106.566,106.566
22,0 days 01:01:32.384000,PIA,81,0 days 00:01:46.291000,8.0,1.0,,,30.734,46.966,28.591,0 days 01:00:16.827000,0 days 01:01:03.793000,0 days 01:01:32.384000,331.0,208.0,222.0,316.0,False,MEDIUM,8.0,True,McLaren,0 days 00:59:46.093000,2025-07-26 10:16:18.721,1,2.0,False,,False,True,106.291,106.291
23,0 days 01:03:18.819000,PIA,81,0 days 00:01:46.435000,9.0,1.0,,,30.531,47.235,28.669,0 days 01:02:02.915000,0 days 01:02:50.150000,0 days 01:03:18.819000,337.0,205.0,222.0,319.0,False,MEDIUM,9.0,True,McLaren,0 days 01:01:32.384000,2025-07-26 10:18:05.012,1,2.0,False,,False,True,106.435,106.43499999999999
24,0 days 01:05:05.355000,PIA,81,0 days 00:01:46.536000,10.0,1.0,,,30.709,47.295,28.532,0 days 01:03:49.528000,0 days 01:04:36.823000,0 days 01:05:05.355000,330.0,207.0,222.0,317.0,False,MEDIUM,10.0,True,McLaren,0 days 01:03:18.819000,2025-07-26 10:19:51.447,1,2.0,False,,False,True,106.536,106.536
25,0 days 01:06:52.018000,PIA,81,0 days 00:01:46.663000,11.0,1.0,,,30.601,47.481,28.581,0 days 01:05:35.956000,0 days 01:06:23.437000,0 days 01:06:52.018000,338.0,209.0,222.0,319.0,False,MEDIUM,11.0,True,McLaren,0 days 01:05:05.355000,2025-07-26 10:21:37.983,1,2.0,False,,False,True,106.663,106.663
26,0 days 01:08:38.549000,PIA,81,0 days 00:01:46.531000,12.0,1.0,,,30.727,47.227,28.577,0 days 01:07:22.745000,0 days 01:08:09.972000,0 days 01:08:38.549000,330.0,204.0,222.0,319.0,False,MEDIUM,12.0,True,McLaren,0 days 01:06:52.018000,2025-07-26 10:23:24.646,1,2.0,False,,False,True,106.531,106.53099999999999
27,0 days 01:10:25.038000,PIA,81,0 days 00:01:46.489000,13.0,1.0,,,30.717,47.037,28.735,0 days 01:09:09.266000,0 days 01:09:56.303000,0 days 01:10:25.038000,330.0,205.0,223.0,319.0,False,MEDIUM,13.0,True,McLaren,0 days 01:08:38.549000,2025-07-26 10:25:11.177,1,2.0,False,,False,True,106.489,106.48899999999999
28,0 days 01:12:11.591000,PIA,81,0 days 00:01:46.553000,14.0,1.0,,,30.731,47.207,28.615,0 days 01:10:55.769000,0 days 01:11:42.976000,0 days 01:12:11.591000,329.0,205.0,223.0,318.0,False,MEDIUM,14.0,True,McLaren,0 days 01:10:25.038000,2025-07-26 10:26:57.666,1,2.0,False,,False,True,106.553,106.553
29,0 days 01:13:58.333000,PIA,81,0 days 00:01:46.742000,15.0,1.0,,,30.708,47.393,28.641,0 days 01:12:42.299000,0 days 01:13:29.692000,0 days 01:13:58.333000,334.0,208.0,223.0,318.0,False,MEDIUM,15.0,True,McLaren,0 days 01:12:11.591000,2025-07-26 10:28:44.219,1,2.0,False,,False,True,106.742,106.74199999999999
30,0 days 00:49:09.704000,NOR,4,,1.0,1.0,,,,48.364,28.605,,0 days 00:48:41.281000,0 days 00:49:09.861000,326.0,213.0,218.0,319.0,False,MEDIUM,1.0,True,McLaren,0 days 00:47:19.303000,2025-07-26 10:03:51.931,1,4.0,False,,False,False,,
31,0 days 00:50:56.228000,NOR,4,0 days 00:01:46.524000,2.0,1.0,,,30.731,47.204,28.589,0 days 00:49:40.444000,0 days 00:50:27.648000,0 days 00:50:56.237000,335.0,213.0,227.0,315.0,True,MEDIUM,2.0,True,McLaren,0 days 00:49:09.704000,2025-07-26 10:05:42.332,1,4.0,False,,False,True,106.524,106.524
32,0 days 00:52:42.649000,NOR,4,0 days 00:01:46.421000,3.0,1.0,,,30.523,47.297,28.601,0 days 00:51:26.760000,0 days 00:52:14.057000,0 days 00:52:42.658000,335.0,208.0,221.0,315.0,True,MEDIUM,3.0,True,McLaren,0 days 00:50:56.228000,2025-07-26 10:07:28.856,1,4.0,False,,False,True,106.421,106.42099999999999
33,0 days 00:54:29.073000,NOR,4,0 days 00:01:46.424000,4.0,1.0,,,30.784,47.031,28.609,0 days 00:53:13.442000,0 days 00:54:00.473000,0 days 00:54:29.082000,326.0,209.0,222.0,321.0,False,MEDIUM,4.0,True,McLaren,0 days 00:52:42.649000,2025-07-26 10:09:15.277,1,3.0,False,,False,True,106.424,106.424
34,0 days 00:56:15.389000,NOR,4,0 days 00:01:46.316000,5.0,1.0,,,31.047,46.601,28.668,0 days 00:55:00.129000,0 days 00:55:46.730000,0 days 00:56:15.398000,318.0,210.0,221.0,313.0,True,MEDIUM,5.0,True,McLaren,0 days 00:54:29.073000,2025-07-26 10:11:01.701,1,3.0,False,,False,True,106.316,106.316
