,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:05.578000,22.5,75.0,919.0,False,25.5,359,1.5
1,0 days 00:01:05.585000,22.5,76.0,919.1,False,24.9,83,1.4
2,0 days 00:02:05.592000,22.5,76.0,919.0,False,24.9,62,1.5
3,0 days 00:03:05.598000,22.5,75.0,919.1,False,24.9,12,2.0
4,0 days 00:04:05.604000,22.5,75.0,919.2,False,24.7,28,2.2
5,0 days 00:05:05.622000,22.5,76.0,919.3,False,24.7,69,2.1
6,0 days 00:06:05.624000,22.4,76.0,919.3,False,24.7,0,1.3
7,0 days 00:07:05.629000,22.4,76.0,919.3,True,24.7,318,0.9
8,0 days 00:08:05.636000,22.4,76.0,919.2,False,24.7,44,0.7
9,0 days 00:09:05.639000,22.4,76.0,919.3,False,24.6,85,1.7
10,0 days 00:10:05.666000,22.4,76.0,919.2,False,24.6,349,1.3
11,0 days 00:11:05.656000,22.4,76.0,919.3,False,24.8,60,1.5
12,0 days 00:12:05.656000,22.4,76.0,919.2,False,24.8,66,1.0
13,0 days 00:13:05.673000,22.4,76.0,919.3,False,24.7,39,3.2
14,0 days 00:14:05.677000,22.4,76.0,919.2,False,24.4,65,3.1
15,0 days 00:15:05.693000,22.4,76.0,919.3,False,24.5,42,2.5
16,0 days 00:16:05.695000,22.4,76.0,919.3,False,24.5,25,1.2
17,0 days 00:17:05.697000,22.4,77.0,919.2,False,24.5,57,2.4
18,0 days 00:18:05.719000,22.4,76.0,919.2,False,24.5,30,1.9
19,0 days 00:19:05.724000,22.4,76.0,919.1,False,24.5,21,2.0
20,0 days 00:20:05.736000,22.4,76.0,919.1,False,24.6,41,3.1
21,0 days 00:21:05.734000,22.4,76.0,919.1,False,24.6,49,2.5
22,0 days 00:22:05.729000,22.4,76.0,919.1,False,24.7,18,1.6
23,0 days 00:23:05.738000,22.4,76.0,919.0,False,24.7,19,1.6
24,0 days 00:24:05.737000,22.4,75.0,919.0,False,25.0,50,1.2
25,0 days 00:25:05.724000,22.4,76.0,919.2,False,25.1,27,2.4
26,0 days 00:26:05.731000,22.5,76.0,919.1,False,25.1,11,2.5
27,0 days 00:27:05.736000,22.5,76.0,919.2,False,25.3,48,1.7
28,0 days 00:28:05.740000,22.5,75.0,919.1,False,25.9,16,2.5
29,0 days 00:29:05.744000,22.5,75.0,919.2,False,25.9,37,1.7
30,0 days 00:30:05.729000,22.6,75.0,919.1,False,25.7,16,3.3
31,0 days 00:31:05.737000,22.6,75.0,919.1,False,25.7,32,2.8
32,0 days 00:32:05.738000,22.6,75.0,919.3,False,25.6,30,3.0
33,0 days 00:33:05.742000,22.6,75.0,919.2,False,25.4,31,3.1
34,0 days 00:34:05.736000,22.6,75.0,919.2,False,25.4,61,3.4
35,0 days 00:35:05.742000,22.6,75.0,919.3,False,25.4,37,2.6
