,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:49:40.075000,VER,1,,1.0,1.0,,,,38.941,16.537,,0 days 00:49:23.651000,0 days 00:49:40.202000,308.0,255.0,317.0,214.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:48:18.207000,2025-11-08 14:03:20.794,12,5.0,False,,False,False,,
1,0 days 00:50:54.812000,VER,1,0 days 00:01:14.737000,2.0,1.0,,,20.23,37.986,16.521,0 days 00:50:00.357000,0 days 00:50:38.343000,0 days 00:50:54.864000,306.0,257.0,315.0,248.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:49:40.075000,2025-11-08 14:04:42.662,1,5.0,False,,False,True,74.737,74.737
2,0 days 00:52:08.582000,VER,1,0 days 00:01:13.770000,3.0,1.0,,,19.656,37.625,16.489,0 days 00:51:14.520000,0 days 00:51:52.145000,0 days 00:52:08.634000,313.0,256.0,319.0,251.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:50:54.812000,2025-11-08 14:05:57.399,1,5.0,False,,False,True,73.77,73.77
3,0 days 00:53:22.267000,VER,1,0 days 00:01:13.685000,4.0,1.0,,,19.524,37.638,16.523,0 days 00:52:28.158000,0 days 00:53:05.796000,0 days 00:53:22.319000,306.0,259.0,317.0,262.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:52:08.582000,2025-11-08 14:07:11.169,1,5.0,False,,False,True,73.685,73.685
4,0 days 00:54:35.919000,VER,1,0 days 00:01:13.652000,5.0,1.0,,,19.411,37.74,16.501,0 days 00:53:41.730000,0 days 00:54:19.470000,0 days 00:54:35.971000,308.0,257.0,319.0,264.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:53:22.267000,2025-11-08 14:08:24.854,1,5.0,False,,False,True,73.652,73.652
5,0 days 00:56:12.262000,VER,1,0 days 00:01:36.343000,6.0,1.0,,,20.571,48.312,27.46,0 days 00:54:56.542000,0 days 00:55:44.854000,0 days 00:56:12.314000,303.0,209.0,267.0,274.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:54:35.919000,2025-11-08 14:09:38.506,124,4.0,False,,False,False,96.343,96.34299999999999
6,0 days 00:58:10.198000,VER,1,0 days 00:01:57.936000,7.0,1.0,,0 days 00:58:06.332000,32.605,49.403,35.928,0 days 00:56:44.919000,0 days 00:57:34.322000,0 days 00:58:10.250000,282.0,151.0,,184.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:56:12.262000,2025-11-08 14:11:14.849,45,4.0,False,,False,False,117.936,117.93599999999999
7,0 days 01:22:17.576000,VER,1,,8.0,2.0,0 days 01:20:17.699000,,,62.487,31.657,,0 days 01:21:46.028000,0 days 01:22:17.729000,133.0,84.0,254.0,184.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:19:57.588000,2025-11-08 14:35:00.175,1,4.0,False,,False,False,,
8,0 days 01:23:33.379000,VER,1,0 days 00:01:15.803000,9.0,2.0,,,21.523,37.881,16.399,0 days 01:22:39.151000,0 days 01:23:17.032000,0 days 01:23:33.431000,306.0,260.0,317.0,255.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:22:17.576000,2025-11-08 14:37:20.163,1,4.0,False,,False,True,75.803,75.803
9,0 days 01:24:46.313000,VER,1,0 days 00:01:12.934000,10.0,2.0,,,19.376,37.109,16.449,0 days 01:23:52.807000,0 days 01:24:29.916000,0 days 01:24:46.365000,311.0,256.0,318.0,281.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 01:23:33.379000,2025-11-08 14:38:35.966,1,4.0,False,,False,True,72.934,72.934
10,0 days 01:25:58.936000,VER,1,0 days 00:01:12.623000,11.0,2.0,,,18.976,37.123,16.524,0 days 01:25:05.341000,0 days 01:25:42.464000,0 days 01:25:58.988000,309.0,258.0,317.0,301.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:24:46.313000,2025-11-08 14:39:48.900,1,4.0,False,,False,True,72.623,72.62299999999999
11,0 days 01:27:11.553000,VER,1,0 days 00:01:12.617000,12.0,2.0,,,18.957,37.222,16.438,0 days 01:26:17.945000,0 days 01:26:55.167000,0 days 01:27:11.605000,309.0,259.0,318.0,306.0,True,MEDIUM,11.0,False,Red Bull Racing,0 days 01:25:58.936000,2025-11-08 14:41:01.523,1,4.0,False,,False,True,72.617,72.617
12,0 days 01:28:24.515000,VER,1,0 days 00:01:12.962000,13.0,2.0,,,19.094,37.411,16.457,0 days 01:27:30.699000,0 days 01:28:08.110000,0 days 01:28:24.567000,308.0,260.0,317.0,285.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:27:11.553000,2025-11-08 14:42:14.140,1,4.0,False,,False,True,72.962,72.962
13,0 days 01:29:37.335000,VER,1,0 days 00:01:12.820000,14.0,2.0,,,19.006,37.376,16.438,0 days 01:28:43.573000,0 days 01:29:20.949000,0 days 01:29:37.387000,308.0,258.0,317.0,302.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:28:24.515000,2025-11-08 14:43:27.102,1,4.0,False,,False,True,72.82,72.82
14,0 days 01:30:50.110000,VER,1,0 days 00:01:12.775000,15.0,2.0,,,18.933,37.338,16.504,0 days 01:29:56.320000,0 days 01:30:33.658000,0 days 01:30:50.162000,309.0,257.0,320.0,302.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:29:37.335000,2025-11-08 14:44:39.922,1,4.0,False,,False,True,72.775,72.775
15,0 days 01:32:02.939000,VER,1,0 days 00:01:12.829000,16.0,2.0,,,18.899,37.364,16.566,0 days 01:31:09.061000,0 days 01:31:46.425000,0 days 01:32:02.991000,305.0,257.0,318.0,304.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:30:50.110000,2025-11-08 14:45:52.697,1,4.0,False,,False,True,72.829,72.829
16,0 days 01:33:15.994000,VER,1,0 days 00:01:13.055000,17.0,2.0,,,18.875,37.569,16.611,0 days 01:32:21.866000,0 days 01:32:59.435000,0 days 01:33:16.046000,306.0,259.0,318.0,298.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:32:02.939000,2025-11-08 14:47:05.526,1,4.0,False,,False,True,73.055,73.055
17,0 days 01:34:28.958000,VER,1,0 days 00:01:12.964000,18.0,2.0,,,18.842,37.513,16.609,0 days 01:33:34.888000,0 days 01:34:12.401000,0 days 01:34:29.010000,309.0,258.0,317.0,309.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 01:33:15.994000,2025-11-08 14:48:18.581,1,4.0,False,,False,True,72.964,72.964
