,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:58.985000,21.7,46.0,1008.5,False,36.7,218,1.9
1,0 days 00:01:58.998000,21.7,46.0,1008.7,False,37.0,227,2.4
2,0 days 00:02:59.013000,21.8,45.0,1008.7,False,37.0,248,3.0
3,0 days 00:03:59.013000,21.8,45.0,1008.5,False,37.1,210,3.2
4,0 days 00:04:59.172000,21.8,45.0,1008.5,False,37.5,245,2.6
5,0 days 00:05:59.011000,21.9,45.0,1008.5,False,37.5,242,2.7
6,0 days 00:06:59.023000,21.9,44.0,1008.5,False,37.8,230,3.0
7,0 days 00:07:59.014000,22.1,43.0,1008.5,False,37.8,225,4.1
8,0 days 00:08:59.006000,22.1,43.0,1008.5,False,37.6,200,5.2
9,0 days 00:09:59.017000,22.2,44.0,1008.6,False,37.6,211,4.1
10,0 days 00:10:59.017000,22.0,44.0,1008.5,False,37.5,193,3.8
11,0 days 00:11:59.025000,21.9,44.0,1008.4,False,37.4,199,3.6
12,0 days 00:12:59.038000,21.8,44.0,1008.4,False,37.4,231,4.2
13,0 days 00:13:59.038000,21.9,44.0,1008.4,False,37.7,264,4.0
14,0 days 00:14:59.041000,21.9,44.0,1008.3,False,38.1,194,1.8
15,0 days 00:15:59.036000,22.0,43.0,1008.3,False,38.3,235,2.2
16,0 days 00:16:59.060000,22.0,43.0,1008.4,False,38.4,199,4.4
17,0 days 00:17:59.059000,22.0,42.0,1008.3,False,38.4,210,3.1
18,0 days 00:18:59.057000,22.1,42.0,1008.3,False,38.3,226,4.5
19,0 days 00:19:59.063000,22.1,43.0,1008.3,False,37.9,221,3.9
20,0 days 00:20:59.059000,22.0,45.0,1008.2,False,38.4,246,3.5
21,0 days 00:21:59.061000,22.0,45.0,1008.2,False,38.4,210,3.9
22,0 days 00:22:59.061000,22.1,46.0,1008.3,False,38.6,196,3.5
23,0 days 00:23:59.061000,22.2,46.0,1008.2,False,38.7,223,4.6
24,0 days 00:24:59.058000,22.2,46.0,1008.2,False,38.7,180,3.1
25,0 days 00:25:59.062000,22.3,46.0,1008.2,False,38.8,222,2.7
26,0 days 00:26:59.067000,22.3,45.0,1008.2,False,38.9,211,3.4
27,0 days 00:27:59.063000,22.1,45.0,1008.1,False,38.9,203,2.1
28,0 days 00:28:59.063000,22.1,46.0,1008.1,False,38.9,191,3.0
29,0 days 00:29:59.063000,22.1,44.0,1008.1,False,38.9,208,4.1
30,0 days 00:30:59.063000,22.3,45.0,1008.1,False,38.9,208,3.7
31,0 days 00:31:59.049000,22.3,46.0,1008.0,False,39.0,179,4.1
32,0 days 00:32:59.103000,22.2,47.0,1008.2,False,39.1,200,5.1
33,0 days 00:33:59.064000,22.2,47.0,1008.1,False,38.8,211,4.7
34,0 days 00:34:59.064000,22.3,47.0,1008.2,False,38.8,214,4.5
35,0 days 00:35:59.084000,22.3,46.0,1008.1,False,38.8,211,3.9
36,0 days 00:36:59.065000,22.4,46.0,1008.1,False,39.2,196,3.3
37,0 days 00:37:59.065000,22.4,46.0,1008.1,False,39.2,171,3.5
38,0 days 00:38:59.071000,22.5,46.0,1008.1,False,39.1,251,3.0
39,0 days 00:39:59.066000,22.6,45.0,1008.2,False,39.6,233,3.6
40,0 days 00:40:59.072000,22.6,44.0,1008.1,False,39.7,223,3.2
41,0 days 00:41:59.066000,22.5,43.0,1008.1,False,39.7,198,2.4
42,0 days 00:42:59.082000,22.6,44.0,1008.2,False,39.7,247,3.3
43,0 days 00:43:59.069000,22.6,43.0,1008.0,False,39.4,208,2.1
44,0 days 00:44:59.072000,22.6,44.0,1008.0,False,39.9,228,2.6
45,0 days 00:45:59.068000,22.6,44.0,1008.0,False,40.1,200,2.7
46,0 days 00:46:59.069000,22.6,43.0,1008.0,False,39.9,229,3.9
47,0 days 00:47:59.087000,22.6,43.0,1007.9,False,40.2,216,2.8
48,0 days 00:48:59.084000,22.7,43.0,1007.8,False,40.2,205,3.7
49,0 days 00:49:59.098000,22.8,43.0,1007.8,False,40.3,253,3.5
50,0 days 00:50:59.095000,22.8,43.0,1008.0,False,40.3,256,3.4
