,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:19:45.860000,VER,1,,1.0,1.0,0 days 00:17:42.976000,,,55.939,30.952,,0 days 00:19:15.104000,0 days 00:19:45.989000,273.0,231.0,249.0,290.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:17:42.976000,2025-07-04 11:32:44.317,1,,False,,False,False,,
1,0 days 00:21:14.828000,VER,1,0 days 00:01:28.968000,2.0,1.0,,,28.565,36.121,24.282,0 days 00:20:14.425000,0 days 00:20:50.546000,0 days 00:21:14.828000,313.0,263.0,251.0,315.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:19:45.860000,2025-07-04 11:34:47.201,1,,False,,False,True,88.968,88.968
2,0 days 00:24:07.089000,VER,1,,3.0,1.0,,,58.673,73.46,40.044,0 days 00:22:13.858000,0 days 00:23:27.287000,0 days 00:24:07.116000,84.0,159.0,250.0,231.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:21:14.828000,2025-07-04 11:36:16.169,1,,False,,False,False,,172.17699999999996
3,0 days 00:25:35.586000,VER,1,0 days 00:01:28.497000,4.0,1.0,,,28.384,35.712,24.401,0 days 00:24:35.473000,0 days 00:25:11.185000,0 days 00:25:35.586000,317.0,263.0,248.0,322.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:24:07.089000,2025-07-04 11:39:08.430,1,,False,,False,True,88.497,88.497
4,0 days 00:28:25.179000,VER,1,,5.0,1.0,,,56.324,65.785,47.558,0 days 00:26:32.304000,0 days 00:27:37.959000,0 days 00:28:25.296000,124.0,209.0,252.0,193.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:25:35.586000,2025-07-04 11:40:36.927,1,,False,,False,False,,169.667
5,0 days 00:29:53.347000,VER,1,0 days 00:01:28.168000,6.0,1.0,,,28.156,35.679,24.333,0 days 00:28:53.335000,0 days 00:29:29.014000,0 days 00:29:53.347000,316.0,263.0,249.0,313.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:28:25.179000,2025-07-04 11:43:26.520,1,,False,,False,True,88.168,88.168
6,0 days 00:31:49.052000,VER,1,0 days 00:01:55.705000,7.0,1.0,,0 days 00:31:43.102000,41.168,45.567,28.97,0 days 00:30:34.515000,0 days 00:31:20.082000,0 days 00:31:49.052000,259.0,210.0,,216.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:29:53.347000,2025-07-04 11:44:54.688,1,,False,,False,False,115.705,115.705
7,0 days 00:42:54.840000,VER,1,,8.0,2.0,0 days 00:40:55.808000,,,55.388,29.896,,0 days 00:42:25.047000,0 days 00:42:54.853000,273.0,173.0,250.0,284.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:31:49.052000,2025-07-04 11:46:50.393,1,,False,,False,False,,
8,0 days 00:44:22.443000,VER,1,0 days 00:01:27.603000,9.0,2.0,,,28.333,35.364,23.906,0 days 00:43:23.173000,0 days 00:43:58.537000,0 days 00:44:22.443000,314.0,263.0,250.0,320.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:42:54.840000,2025-07-04 11:57:56.181,1,,False,,False,True,87.603,87.603
9,0 days 00:46:33.710000,VER,1,0 days 00:02:11.267000,10.0,2.0,,0 days 00:46:27.724000,44.934,52.794,33.539,0 days 00:45:07.377000,0 days 00:46:00.171000,0 days 00:46:33.710000,208.0,182.0,,202.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:44:22.443000,2025-07-04 11:59:23.784,1,,False,,False,False,131.267,131.267
10,0 days 00:49:17.239000,VER,1,,11.0,3.0,0 days 00:46:59.215000,,67.978,64.315,31.267,0 days 00:47:41.848000,0 days 00:48:46.227000,0 days 00:49:17.317000,131.0,167.0,252.0,256.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:46:33.710000,2025-07-04 12:01:35.051,1,,False,,False,False,,163.56
