,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:35.654000,19.5,72.0,1004.7,False,19.3,195,3.2
1,0 days 00:01:35.641000,19.5,73.0,1004.7,False,19.3,203,3.4
2,0 days 00:02:35.656000,19.5,73.0,1004.8,False,19.5,223,4.0
3,0 days 00:03:35.642000,19.5,73.0,1004.8,False,19.5,223,4.0
4,0 days 00:04:35.652000,19.5,73.0,1004.8,False,19.8,201,4.2
5,0 days 00:05:35.673000,19.5,72.0,1004.8,False,19.5,201,3.3
6,0 days 00:06:35.656000,19.6,71.0,1004.9,False,19.5,209,4.3
7,0 days 00:07:35.656000,19.6,71.0,1004.8,False,19.4,211,3.3
8,0 days 00:08:35.656000,19.6,72.0,1004.8,False,19.5,198,3.4
9,0 days 00:09:35.660000,19.6,71.0,1004.8,False,20.0,203,3.8
10,0 days 00:10:35.657000,19.6,71.0,1004.8,False,20.0,203,3.8
11,0 days 00:11:35.660000,19.6,71.0,1004.8,False,20.0,212,3.3
12,0 days 00:12:35.669000,19.6,72.0,1004.8,False,19.7,198,3.3
13,0 days 00:13:35.669000,19.6,72.0,1004.9,False,19.7,229,3.5
14,0 days 00:14:35.645000,19.7,73.0,1004.9,False,19.9,220,3.2
15,0 days 00:15:35.669000,19.8,72.0,1005.0,False,20.0,227,3.5
16,0 days 00:16:35.670000,19.7,70.0,1004.9,False,20.1,212,4.3
17,0 days 00:17:35.661000,19.7,71.0,1005.0,False,20.2,214,3.5
18,0 days 00:18:35.671000,19.7,71.0,1005.1,False,20.3,222,3.8
19,0 days 00:19:35.665000,19.7,69.0,1005.0,False,20.3,198,4.2
20,0 days 00:20:35.674000,19.7,71.0,1004.9,False,20.2,185,3.6
21,0 days 00:21:35.651000,19.7,71.0,1004.9,False,20.2,206,3.7
22,0 days 00:22:35.663000,19.8,71.0,1005.0,False,20.2,204,4.8
23,0 days 00:23:35.691000,19.8,71.0,1005.0,False,20.6,201,4.0
24,0 days 00:24:35.708000,19.8,70.0,1004.9,False,20.8,202,3.5
