,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:37:17.211000,PIA,81,,1.0,1.0,0 days 00:18:52.826000,0 days 00:20:59.299000,,,,,,,,,,,False,SOFT,1.0,True,McLaren,0 days 00:18:52.826000,2025-05-17 14:05:11.710,125,,False,,False,False,,
1,0 days 00:38:52.325000,PIA,81,,2.0,2.0,0 days 00:37:17.211000,,,37.549,29.588,,0 days 00:38:22.852000,0 days 00:38:52.352000,203.0,114.0,283.0,277.0,False,SOFT,2.0,False,McLaren,0 days 00:37:17.211000,2025-05-17 14:23:36.095,1,,False,,False,False,,
2,0 days 00:40:07.825000,PIA,81,0 days 00:01:15.500000,3.0,2.0,,,23.868,26.238,25.394,0 days 00:39:16.193000,0 days 00:39:42.431000,0 days 00:40:07.825000,230.0,263.0,283.0,296.0,True,SOFT,3.0,False,McLaren,0 days 00:38:52.325000,2025-05-17 14:25:11.209,1,,False,,False,True,75.5,75.5
3,0 days 00:41:51.898000,PIA,81,0 days 00:01:44.073000,4.0,2.0,,,36.783,34.663,32.627,0 days 00:40:44.608000,0 days 00:41:19.271000,0 days 00:41:51.898000,164.0,215.0,131.0,239.0,False,SOFT,4.0,False,McLaren,0 days 00:40:07.825000,2025-05-17 14:26:26.709,1,,False,,False,True,104.073,104.07300000000001
4,0 days 00:43:51.844000,PIA,81,0 days 00:01:59.946000,5.0,2.0,,,48.295,35.407,36.244,0 days 00:42:40.193000,0 days 00:43:15.600000,0 days 00:43:51.844000,196.0,206.0,280.0,191.0,False,SOFT,5.0,False,McLaren,0 days 00:41:51.898000,2025-05-17 14:28:10.782,1,,False,,False,True,119.946,119.946
5,0 days 00:45:30.145000,PIA,81,0 days 00:01:38.301000,6.0,2.0,,0 days 00:45:17.949000,23.971,26.074,48.256,0 days 00:44:15.815000,0 days 00:44:41.889000,0 days 00:45:30.145000,229.0,265.0,,106.0,False,SOFT,6.0,False,McLaren,0 days 00:43:51.844000,2025-05-17 14:30:10.728,1,,False,,False,False,98.301,98.301
6,0 days 01:16:04.317000,PIA,81,,7.0,3.0,0 days 01:14:18.477000,,,38.59,30.417,,0 days 01:15:34.027000,0 days 01:16:04.387000,187.0,232.0,281.0,275.0,False,SOFT,1.0,True,McLaren,0 days 00:45:30.145000,2025-05-17 14:31:49.029,125,,False,,False,False,,
7,0 days 01:17:19.558000,PIA,81,0 days 00:01:15.241000,8.0,3.0,,,23.911,25.881,25.449,0 days 01:16:28.228000,0 days 01:16:54.109000,0 days 01:17:19.558000,235.0,265.0,280.0,299.0,True,SOFT,2.0,True,McLaren,0 days 01:16:04.317000,2025-05-17 15:02:23.201,1,,False,,False,True,75.241,75.241
8,0 days 01:19:05.105000,PIA,81,0 days 00:01:45.547000,9.0,3.0,,0 days 01:19:00.654000,33.343,33.213,38.991,0 days 01:17:52.901000,0 days 01:18:26.114000,0 days 01:19:05.105000,189.0,201.0,,212.0,False,SOFT,3.0,True,McLaren,0 days 01:17:19.558000,2025-05-17 15:03:38.442,1,,False,,False,False,105.547,105.54700000000001
9,0 days 01:26:27.131000,PIA,81,,10.0,4.0,0 days 01:24:46.527000,,,33.315,28.873,,0 days 01:25:58.325000,0 days 01:26:27.406000,203.0,132.0,282.0,280.0,False,SOFT,4.0,False,McLaren,0 days 01:19:05.105000,2025-05-17 15:05:23.989,1,,False,,False,False,,
10,0 days 01:27:42.345000,PIA,81,0 days 00:01:15.214000,11.0,4.0,,,23.888,26.089,25.237,0 days 01:26:51.019000,0 days 01:27:17.108000,0 days 01:27:42.345000,234.0,265.0,283.0,298.0,True,SOFT,5.0,False,McLaren,0 days 01:26:27.131000,2025-05-17 15:12:46.015,1,,False,,False,True,75.214,75.214
11,0 days 01:29:21.314000,PIA,81,0 days 00:01:38.969000,12.0,4.0,,0 days 01:29:16.830000,30.393,31.951,36.625,0 days 01:28:12.738000,0 days 01:28:44.689000,0 days 01:29:21.314000,191.0,218.0,,211.0,False,SOFT,6.0,False,McLaren,0 days 01:27:42.345000,2025-05-17 15:14:01.229,1,,False,,False,False,98.969,98.969
12,0 days 01:37:45.862000,PIA,81,,13.0,5.0,0 days 01:36:08.227000,,,33.705,30.928,,0 days 01:37:14.946000,0 days 01:37:45.946000,205.0,235.0,280.0,266.0,False,SOFT,1.0,True,McLaren,0 days 01:29:21.314000,2025-05-17 15:15:40.198,12,,False,,False,False,,
13,0 days 01:39:00.683000,PIA,81,0 days 00:01:14.821000,14.0,5.0,,,23.763,25.832,25.226,0 days 01:38:09.625000,0 days 01:38:35.457000,0 days 01:39:00.683000,237.0,264.0,282.0,299.0,True,SOFT,2.0,True,McLaren,0 days 01:37:45.862000,2025-05-17 15:24:04.746,1,,False,,False,True,74.821,74.821
14,0 days 01:40:41.391000,PIA,81,0 days 00:01:40.708000,15.0,5.0,,0 days 01:40:36.885000,32.311,31.912,36.485,0 days 01:39:32.994000,0 days 01:40:04.906000,0 days 01:40:41.391000,192.0,215.0,,199.0,False,SOFT,3.0,True,McLaren,0 days 01:39:00.683000,2025-05-17 15:25:19.567,1,,False,,False,False,100.708,100.708
15,0 days 01:45:11.902000,PIA,81,,16.0,6.0,0 days 01:43:36.276000,,,33.116,30.998,,0 days 01:44:40.996000,0 days 01:45:12.168000,200.0,232.0,281.0,270.0,False,SOFT,1.0,True,McLaren,0 days 01:40:41.391000,2025-05-17 15:27:00.275,1,,False,,False,False,,
16,0 days 01:46:26.572000,PIA,81,0 days 00:01:14.670000,17.0,6.0,,,23.677,25.747,25.246,0 days 01:45:35.579000,0 days 01:46:01.326000,0 days 01:46:26.572000,235.0,264.0,283.0,300.0,True,SOFT,2.0,True,McLaren,0 days 01:45:11.902000,2025-05-17 15:31:30.786,1,,False,,False,True,74.67,74.67
17,0 days 01:48:23.026000,PIA,81,0 days 00:01:56.454000,18.0,6.0,,0 days 01:48:16.309000,42.547,32.096,41.811,0 days 01:47:09.119000,0 days 01:47:41.215000,0 days 01:48:23.026000,207.0,206.0,,190.0,False,SOFT,3.0,True,McLaren,0 days 01:46:26.572000,2025-05-17 15:32:45.456,1,,False,,False,False,116.454,116.45400000000001
18,0 days 00:18:42.698000,VER,1,,1.0,1.0,0 days 00:17:07.966000,,,35.287,28.779,,0 days 00:18:13.919000,0 days 00:18:42.779000,179.0,232.0,281.0,270.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:17:07.966000,2025-05-17 14:03:26.850,1,,False,,False,False,,
