,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0,0 days 00:00:39.192000,24.1,37.0,1000.3,False,39.5,135,1.4
1,0 days 00:01:39.193000,24.3,36.0,1000.2,False,39.6,115,0.8
2,0 days 00:02:39.206000,24.3,37.0,1000.2,False,39.6,200,0.8
3,0 days 00:03:39.224000,24.3,39.0,1000.2,False,39.6,225,1.4
4,0 days 00:04:39.223000,24.3,38.0,1000.3,False,39.7,100,1.2
5,0 days 00:05:39.223000,24.4,37.0,1000.2,False,39.9,132,1.1
6,0 days 00:06:39.225000,24.4,37.0,1000.2,False,39.9,345,0.5
7,0 days 00:07:39.226000,24.4,37.0,1000.3,False,40.2,234,0.5
8,0 days 00:08:39.225000,24.4,34.0,1000.2,False,40.2,181,1.7
9,0 days 00:09:39.240000,24.4,35.0,1000.2,False,40.6,121,1.3
10,0 days 00:10:39.228000,24.3,36.0,1000.2,False,40.6,182,1.8
11,0 days 00:11:39.233000,24.3,37.0,1000.2,False,39.9,263,1.2
12,0 days 00:12:39.231000,24.3,38.0,1000.2,False,39.5,315,1.5
13,0 days 00:13:39.231000,24.4,38.0,1000.1,False,39.6,322,1.4
14,0 days 00:14:39.234000,24.4,36.0,1000.1,False,39.6,204,0.6
15,0 days 00:15:39.234000,24.3,36.0,1000.2,False,39.7,331,0.8
16,0 days 00:16:39.233000,24.4,37.0,1000.1,False,39.7,325,0.7
17,0 days 00:17:39.248000,24.4,37.0,1000.2,False,39.8,263,0.7
18,0 days 00:18:39.237000,24.5,37.0,1000.2,False,40.0,0,0.7
19,0 days 00:19:39.244000,24.5,36.0,1000.1,False,40.2,359,0.4
20,0 days 00:20:39.244000,24.5,36.0,1000.2,False,40.5,0,0.4
21,0 days 00:21:39.236000,24.5,35.0,1000.2,False,40.5,304,0.4
22,0 days 00:22:39.241000,24.6,36.0,1000.1,False,41.0,259,0.5
23,0 days 00:23:39.236000,24.6,36.0,1000.0,False,41.0,276,0.9
24,0 days 00:24:39.239000,24.7,35.0,1000.1,False,41.4,166,1.4
25,0 days 00:25:39.240000,24.6,35.0,1000.0,False,41.3,16,0.8
26,0 days 00:26:39.242000,24.6,35.0,1000.2,False,41.5,262,0.8
27,0 days 00:27:39.242000,24.5,36.0,1000.1,False,41.4,199,1.1
28,0 days 00:28:39.232000,24.6,34.0,1000.0,False,41.5,105,1.2
29,0 days 00:29:39.250000,24.6,34.0,999.9,False,41.3,70,1.0
30,0 days 00:30:39.254000,24.6,35.0,999.9,False,41.1,150,0.9
31,0 days 00:31:39.246000,24.6,36.0,999.9,False,41.1,159,1.2
32,0 days 00:32:39.244000,24.6,36.0,1000.0,False,41.1,200,2.1
33,0 days 00:33:39.253000,24.6,37.0,1000.0,False,41.3,194,2.0
34,0 days 00:34:39.249000,24.6,37.0,1000.0,False,41.5,214,2.9
35,0 days 00:35:39.251000,24.7,37.0,1000.0,False,41.5,317,2.4
36,0 days 00:36:39.250000,24.9,36.0,1000.0,False,41.1,252,0.9
37,0 days 00:37:39.251000,24.9,37.0,1000.1,False,40.9,210,1.0
38,0 days 00:38:39.251000,24.9,37.0,1000.0,False,40.9,196,2.1
39,0 days 00:39:39.256000,24.9,38.0,1000.0,False,41.5,207,1.6
40,0 days 00:40:39.261000,24.9,38.0,999.9,False,41.8,295,1.9
41,0 days 00:41:39.251000,24.9,38.0,1000.1,False,41.9,227,1.4
42,0 days 00:42:39.255000,25.0,36.0,1000.1,False,41.5,159,2.4
43,0 days 00:43:39.303000,25.0,36.0,999.9,False,41.0,122,1.9
44,0 days 00:44:39.309000,25.0,37.0,1000.1,False,40.6,0,1.2
45,0 days 00:45:39.254000,24.9,37.0,999.9,False,40.7,151,0.4
46,0 days 00:46:39.256000,24.7,38.0,1000.0,False,41.1,202,1.5
47,0 days 00:47:39.261000,24.7,38.0,1000.0,False,41.8,141,2.5
48,0 days 00:48:39.256000,24.9,37.0,1000.0,False,42.1,146,1.0
49,0 days 00:49:39.259000,25.0,38.0,1000.0,False,42.0,182,1.4
50,0 days 00:50:39.258000,25.0,38.0,999.9,False,42.1,187,0.5
51,0 days 00:51:39.261000,25.1,37.0,999.9,False,42.3,201,2.1
52,0 days 00:52:39.261000,25.2,39.0,1000.0,False,42.6,170,1.7
53,0 days 00:53:39.275000,25.3,35.0,1000.0,False,42.6,208,2.2
54,0 days 00:54:39.292000,25.3,36.0,999.9,False,42.5,199,2.8
55,0 days 00:55:39.308000,25.3,37.0,999.9,False,42.4,233,1.3
56,0 days 00:56:39.319000,25.1,37.0,999.9,False,42.0,209,1.7
57,0 days 00:57:39.333000,25.2,37.0,999.9,False,42.2,172,1.6
58,0 days 00:58:39.342000,25.2,37.0,999.9,False,42.5,187,1.4
