,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
0,0 days 00:23:42.754000,VER,1,,1.0,1.0,0 days 00:21:53.041000,,,36.658,41.92,,0 days 00:23:01.013000,0 days 00:23:42.885000,168.0,199.0,295.0,268.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:21:53.041000,2025-11-21 04:07:59.552,1,,False,,False,False,,
1,0 days 00:25:32.088000,VER,1,0 days 00:01:49.334000,2.0,1.0,,,31.96,36.26,41.114,0 days 00:24:14.714000,0 days 00:24:50.974000,0 days 00:25:32.088000,169.0,151.0,317.0,273.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:23:42.754000,2025-11-21 04:09:49.265,1,,False,,False,True,109.334,109.334
2,0 days 00:27:08.117000,VER,1,0 days 00:01:36.029000,3.0,1.0,,,27.185,32.475,36.369,0 days 00:25:59.273000,0 days 00:26:31.748000,0 days 00:27:08.117000,182.0,210.0,323.0,348.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:25:32.088000,2025-11-21 04:11:38.599,1,,False,,False,True,96.029,96.029
3,0 days 00:29:26.561000,VER,1,0 days 00:02:18.444000,4.0,1.0,,,39.787,48.222,50.435,0 days 00:27:47.904000,0 days 00:28:36.126000,0 days 00:29:26.561000,140.0,129.0,311.0,86.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:27:08.117000,2025-11-21 04:13:14.628,1,,False,,False,True,138.444,138.44400000000002
4,0 days 00:31:02.169000,VER,1,0 days 00:01:35.608000,5.0,1.0,,,27.123,32.101,36.384,0 days 00:29:53.684000,0 days 00:30:25.785000,0 days 00:31:02.169000,184.0,210.0,313.0,347.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:29:26.561000,2025-11-21 04:15:33.072,12,,False,,False,True,95.608,95.608
5,0 days 00:32:58.045000,VER,1,0 days 00:01:55.876000,6.0,1.0,,,34.651,37.793,43.432,0 days 00:31:36.820000,0 days 00:32:14.613000,0 days 00:32:58.045000,150.0,109.0,316.0,295.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:31:02.169000,2025-11-21 04:17:08.680,1,,False,,False,True,115.876,115.876
6,0 days 00:34:33.080000,VER,1,0 days 00:01:35.035000,7.0,1.0,,,26.808,31.981,36.246,0 days 00:33:24.853000,0 days 00:33:56.834000,0 days 00:34:33.080000,184.0,209.0,318.0,345.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:32:58.045000,2025-11-21 04:19:04.556,1,,False,,False,True,95.035,95.035
7,0 days 00:36:22.838000,VER,1,0 days 00:01:49.758000,8.0,1.0,,,34.117,36.91,38.731,0 days 00:35:07.197000,0 days 00:35:44.107000,0 days 00:36:22.838000,151.0,193.0,317.0,280.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:34:33.080000,2025-11-21 04:20:39.591,1,,False,,False,True,109.758,109.75799999999998
8,0 days 00:37:56.943000,VER,1,0 days 00:01:34.105000,9.0,1.0,,,26.414,31.624,36.067,0 days 00:36:49.252000,0 days 00:37:20.876000,0 days 00:37:56.943000,184.0,211.0,322.0,347.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 00:36:22.838000,2025-11-21 04:22:29.349,1,,False,,False,True,94.105,94.10499999999999
9,0 days 00:39:45.386000,VER,1,0 days 00:01:48.443000,10.0,1.0,,0 days 00:39:42.486000,29.788,35.081,43.574,0 days 00:38:26.731000,0 days 00:39:01.812000,0 days 00:39:45.386000,157.0,204.0,,254.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:37:56.943000,2025-11-21 04:24:03.454,12,,False,,False,False,108.443,108.443
10,0 days 00:48:21.178000,VER,1,,11.0,2.0,0 days 00:46:34.432000,,,37.632,39.215,,0 days 00:47:42.086000,0 days 00:48:21.205000,152.0,196.0,292.0,296.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:39:45.386000,2025-11-21 04:25:51.897,12,,False,,False,False,,
11,0 days 00:50:10.352000,VER,1,0 days 00:01:49.174000,12.0,2.0,,,30.826,37.597,40.751,0 days 00:48:52.004000,0 days 00:49:29.601000,0 days 00:50:10.352000,160.0,196.0,320.0,235.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:48:21.178000,2025-11-21 04:34:27.689,1,,False,,False,True,109.174,109.174
12,0 days 00:52:09.279000,VER,1,0 days 00:01:58.927000,13.0,2.0,,,35.822,41.547,41.558,0 days 00:50:46.174000,0 days 00:51:27.721000,0 days 00:52:09.279000,109.0,192.0,319.0,178.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:50:10.352000,2025-11-21 04:36:16.863,12,,False,,False,True,118.927,118.92699999999999
13,0 days 01:08:37.109000,VER,1,,14.0,2.0,,0 days 00:54:36.595000,,,,,,,,,,,False,SOFT,4.0,True,Red Bull Racing,0 days 00:52:09.279000,2025-11-21 04:38:15.790,152,,False,,False,False,,
14,0 days 01:10:23.061000,VER,1,,15.0,3.0,0 days 01:08:37.109000,,,33.57,42.222,,0 days 01:09:40.839000,0 days 01:10:23.144000,171.0,202.0,315.0,295.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:08:37.109000,2025-11-21 04:54:43.620,1,,False,,False,False,,
15,0 days 01:12:34.840000,VER,1,,16.0,3.0,,0 days 01:12:34.840000,28.021,,,0 days 01:10:51.155000,,,179.0,,,,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:10:23.061000,2025-11-21 04:56:29.572,15,,False,,False,False,,
16,0 days 00:30:02.031000,NOR,4,,1.0,1.0,0 days 00:28:04.511000,,,34.97,55.343,,0 days 00:29:06.935000,0 days 00:30:02.182000,154.0,190.0,314.0,38.0,False,MEDIUM,1.0,True,McLaren,0 days 00:28:04.511000,2025-11-21 04:14:11.022,12,,False,,False,False,,
17,0 days 00:31:44.115000,NOR,4,0 days 00:01:42.084000,2.0,1.0,,,27.513,32.239,42.332,0 days 00:30:29.544000,0 days 00:31:01.783000,0 days 00:31:44.115000,185.0,209.0,316.0,147.0,True,MEDIUM,2.0,True,McLaren,0 days 00:30:02.031000,2025-11-21 04:16:08.542,1,,False,,False,True,102.084,102.084
18,0 days 00:33:18.828000,NOR,4,0 days 00:01:34.713000,3.0,1.0,,,26.714,31.632,36.367,0 days 00:32:10.829000,0 days 00:32:42.461000,0 days 00:33:18.828000,184.0,208.0,318.0,338.0,True,MEDIUM,3.0,True,McLaren,0 days 00:31:44.115000,2025-11-21 04:17:50.626,1,,False,,False,True,94.713,94.713
19,0 days 00:35:40.862000,NOR,4,0 days 00:02:22.034000,4.0,1.0,,,40.562,53.37,48.102,0 days 00:33:59.390000,0 days 00:34:52.760000,0 days 00:35:40.862000,106.0,110.0,316.0,251.0,False,MEDIUM,4.0,True,McLaren,0 days 00:33:18.828000,2025-11-21 04:19:25.339,1,,False,,False,True,142.034,142.034
20,0 days 00:37:14.805000,NOR,4,0 days 00:01:33.943000,5.0,1.0,,,26.527,31.47,35.946,0 days 00:36:07.389000,0 days 00:36:38.859000,0 days 00:37:14.805000,187.0,211.0,319.0,343.0,True,MEDIUM,5.0,True,McLaren,0 days 00:35:40.862000,2025-11-21 04:21:47.373,1,,False,,False,True,93.943,93.943
